<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTCO.US,D,20240112,000000,46.2,46.29,43.42,43.86,1041794,0
BTCO.US,D,20240116,000000,43.02,43.49,42.2071,43.42,862140,0
BTCO.US,D,20240117,000000,42.72,42.91,42.29,42.81,908830,0
BTCO.US,D,20240118,000000,42.68,42.8255,40.65,40.85,1648875,0
BTCO.US,D,20240119,000000,41.18,42.0877,40.3,41.565,1742466,0
BTCO.US,D,20240122,000000,40.68,40.82,39.39,40.2,211127,0
BTCO.US,D,20240123,000000,38.84,39.59,38.56,39.17,123896,0
BTCO.US,D,20240124,000000,40,40.19,39.51,39.56,56941,0
BTCO.US,D,20240125,000000,40.04,40.06,39.52,39.78,152843,0
BTCO.US,D,20240126,000000,41.19,42.19,41.11,41.98,289127,0
BTCO.US,D,20240129,000000,42.02,43.31,41.8,43.15,332258,0
BTCO.US,D,20240130,000000,43.44,43.74,43.24,43.57,923303,0
BTCO.US,D,20240131,000000,42.69,43.74,42.49,42.49,316512,0
BTCO.US,D,20240201,000000,42.38,43.26,42.34,43.02,328970,0
BTCO.US,D,20240202,000000,42.72,43.46,42.67,42.95,552813,0
BTCO.US,D,20240205,000000,43.44,43.44,42.28,42.39,273643,0
BTCO.US,D,20240206,000000,42.97,43.39,42.84,43.13,368320,0
BTCO.US,D,20240207,000000,43.18,44.28,42.92,44.18,495428,0
BTCO.US,D,20240208,000000,45.13,45.6205,44.9993,45.59,392115,0
BTCO.US,D,20240209,000000,47.03,48.27,46.8586,47.59,827051,0
BTCO.US,D,20240212,000000,48.27,50.42,48.1892,50.27,661167,0
BTCO.US,D,20240213,000000,49.13,49.53,48.43,49.49,152676,0
BTCO.US,D,20240214,000000,51.87,52.15,51.3311,51.79,1078187,0
BTCO.US,D,20240215,000000,52.56,52.8999,51.74,51.83,170527,0
BTCO.US,D,20240216,000000,52.33,52.4984,51.64,51.95,218696,0
BTCO.US,D,20240220,000000,52.36,52.4,50.79,52.01,595395,0
BTCO.US,D,20240221,000000,50.97,51.46,50.7,51,647026,0
BTCO.US,D,20240222,000000,51.16,52.14,51.05,52.04,253869,0
BTCO.US,D,20240223,000000,51.26,51.35,50.64,51.13,397671,0
BTCO.US,D,20240226,000000,51.46,55,51.44,54.52,1105598,0
BTCO.US,D,20240227,000000,56.98,57.68,56.31,57.1,743902,0
BTCO.US,D,20240228,000000,60.28,64.41,59.11,60.4,2691941,0
BTCO.US,D,20240229,000000,63.44,63.6473,60.43,62.07,772899,0
BTCO.US,D,20240301,000000,62.54,63.29,61.25,63.09,368377,0
BTCO.US,D,20240304,000000,65.52,68.0399,65.47,67.75,763606,0
BTCO.US,D,20240305,000000,67.78,69.43,59.68,61.97,1956862,0
BTCO.US,D,20240306,000000,67,67.61,65.4,67.09,527234,0
BTCO.US,D,20240307,000000,67.45,68.17,66.68,67.79,486908,0
BTCO.US,D,20240308,000000,68.17,70.39,66.18,69.38,1692968,0
BTCO.US,D,20240311,000000,72.44,72.96,71.39,72.15,893193,0
BTCO.US,D,20240312,000000,72.45,73.23,68.75,71.44,2106745,0
BTCO.US,D,20240313,000000,72.82,73.61,71.75,73.61,1023847,0
BTCO.US,D,20240314,000000,72.67,72.768,68.47,69.34,1500206,0
BTCO.US,D,20240315,000000,67.89,70.54,67.43,69.14,909823,0
BTCO.US,D,20240318,000000,67.95,68.555,66.53,66.91,516706,0
BTCO.US,D,20240319,000000,63.81,65.8,62.25,64.37,520615,0
BTCO.US,D,20240320,000000,63.48,66.1,62.09,65.93,1023947,0
BTCO.US,D,20240321,000000,67.74,67.74,64.99,65.3,630335,0
BTCO.US,D,20240322,000000,64.3,64.38,62.71,63.98,711483,0
BTCO.US,D,20240325,000000,67.11,71.25,67.11,71.17,1028849,0
BTCO.US,D,20240326,000000,71.01,71.08,69.41,69.57,607193,0
BTCO.US,D,20240327,000000,71.75,71.91,68.49,68.71,595929,0
BTCO.US,D,20240328,000000,71.23,71.83,70.59,71.01,421365,0
BTCO.US,D,20240401,000000,70.17,70.21,68.2003,69.8,271675,0
BTCO.US,D,20240402,000000,64.94,66.36,64.56,65.96,307829,0
