<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DFVX.US,D,20231103,000000,51.81,51.87,51.7472,51.7472,36360,0
DFVX.US,D,20231106,000000,51.489,51.59,51.4664,51.5839,19839,0
DFVX.US,D,20231107,000000,51.45,51.68,51.45,51.556,31006,0
DFVX.US,D,20231108,000000,51.55,51.55,51.4047,51.52,33119,0
DFVX.US,D,20231109,000000,51.52,51.57,51.0977,51.16,54798,0
DFVX.US,D,20231110,000000,51.42,51.96,51.2181,51.93,51990,0
DFVX.US,D,20231113,000000,51.88,51.88,51.7901,51.85,1543498,0
DFVX.US,D,20231114,000000,52.63,52.95,52.5063,52.762,44224,0
DFVX.US,D,20231115,000000,52.91,53.07,52.91,52.946,47244,0
DFVX.US,D,20231116,000000,52.84,52.84,52.4799,52.6845,58927,0
DFVX.US,D,20231117,000000,52.85,53.05,52.83,52.9843,55536,0
DFVX.US,D,20231120,000000,53.12,53.419,53.11,53.252,30947,0
DFVX.US,D,20231121,000000,53.06,53.18,53.06,53.14,25127,0
DFVX.US,D,20231122,000000,53.21,53.4,53.21,53.4,34975,0
DFVX.US,D,20231124,000000,53.5599,53.5599,53.485,53.5071,6014,0
DFVX.US,D,20231127,000000,53.36,53.43,53.3232,53.33,16199,0
DFVX.US,D,20231128,000000,53.3,53.5,53.2217,53.2709,33161,0
DFVX.US,D,20231129,000000,53.51,53.51,53.241,53.241,36582,0
DFVX.US,D,20231130,000000,53.44,53.6236,53.3056,53.6236,24032,0
DFVX.US,D,20231201,000000,53.66,54.11,53.66,54.0941,28464,0
DFVX.US,D,20231204,000000,53.81,53.9641,53.81,53.9641,27444,0
DFVX.US,D,20231205,000000,53.82,53.82,53.6248,53.6248,45715,0
DFVX.US,D,20231206,000000,53.8001,53.8199,53.4272,53.44,41461,0
DFVX.US,D,20231207,000000,53.71,53.78,53.6499,53.7436,39480,0
DFVX.US,D,20231208,000000,53.74,54.04,53.74,53.9656,30861,0
DFVX.US,D,20231211,000000,54.3291,54.3941,54.3,54.3883,29626,0
DFVX.US,D,20231212,000000,54.638,54.638,54.53,54.59,7156,0
DFVX.US,D,20231213,000000,54.6,55.21,54.44,55.21,29510,0
DFVX.US,D,20231214,000000,55.56,55.8565,55.56,55.6893,27992,0
