<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRAE.US,D,20231220,000000,30.3,30.3,30.02,30.035,17503,0
PRAE.US,D,20231221,000000,30.215,30.3838,30.215,30.3838,7876,0
PRAE.US,D,20231222,000000,30.44,30.46,30.26,30.35,62817,0
PRAE.US,D,20231226,000000,30.27,31.24,30.26,30.3104,52748,0
PRAE.US,D,20231228,000000,30.37,30.37,30.3531,30.3531,5700,0
PRAE.US,D,20231229,000000,30.29,30.34,30.21,30.2124,24113,0
PRAE.US,D,20240102,000000,30.0399,30.0399,29.8253,29.8253,6382,0
PRAE.US,D,20240103,000000,29.58,29.68,29.58,29.6021,2397,0
PRAE.US,D,20240104,000000,29.74,29.74,29.5493,29.5493,33008,0
PRAE.US,D,20240105,000000,29.53,29.5615,29.5,29.5615,7042,0
PRAE.US,D,20240108,000000,29.69,30.13,29.69,30.1226,8863,0
PRAE.US,D,20240109,000000,29.87,29.87,29.845,29.8481,1499,0
PRAE.US,D,20240110,000000,30.03,30.0918,30.0132,30.0918,1060,0
PRAE.US,D,20240111,000000,29.79,30.07,29.74,29.9755,6350,0
PRAE.US,D,20240112,000000,29.9099,29.9222,29.84,29.9222,3506,0
PRAE.US,D,20240116,000000,29.88,29.89,29.72,29.759,4062,0
PRAE.US,D,20240117,000000,29.6,29.7161,29.6,29.7161,2811,0
PRAE.US,D,20240118,000000,29.9285,29.9993,29.8901,29.9993,440,0
PRAE.US,D,20240119,000000,30.075,30.3999,30.075,30.3999,453,0
PRAE.US,D,20240122,000000,30.44,30.53,30.44,30.4564,4604,0
PRAE.US,D,20240123,000000,30.4,30.4698,30.37,30.4698,4000,0
PRAE.US,D,20240124,000000,30.82,30.82,30.5584,30.5584,600,0
PRAE.US,D,20240125,000000,30.81,30.81,30.6,30.7628,1820,0
PRAE.US,D,20240126,000000,30.7517,30.7517,30.7517,30.7517,1,0
PRAE.US,D,20240129,000000,30.84,31.0743,30.8393,31.0743,1908,0
PRAE.US,D,20240130,000000,30.975,31.07,30.975,31.0017,3900,0
PRAE.US,D,20240131,000000,30.79,30.8,30.4865,30.4865,307,0
PRAE.US,D,20240201,000000,30.79,30.804,30.765,30.804,1126,0
PRAE.US,D,20240202,000000,31.02,31.23,31.02,31.1664,1702,0
PRAE.US,D,20240205,000000,30.8876,30.8876,30.8876,30.8876,98,0
PRAE.US,D,20240206,000000,30.85,30.892,30.85,30.892,104,0
PRAE.US,D,20240207,000000,31.13,31.19,31.1046,31.1046,361,0
PRAE.US,D,20240208,000000,31.2798,31.28,31.2293,31.2293,500,0
PRAE.US,D,20240209,000000,31.33,31.4074,31.3299,31.4074,424,0
PRAE.US,D,20240212,000000,31.5312,31.5312,31.5312,31.5312,1,0
PRAE.US,D,20240213,000000,31.15,31.21,31.15,31.2094,880,0
PRAE.US,D,20240214,000000,31.19,31.4,31.1699,31.3727,2268,0
PRAE.US,D,20240215,000000,31.699,31.7,31.6559,31.6559,620,0
PRAE.US,D,20240216,000000,31.46,31.55,30.57,31.4562,10646,0
PRAE.US,D,20240220,000000,31.2397,31.2397,31.1702,31.1702,300,0
PRAE.US,D,20240221,000000,30.9399,31.1567,30.9399,31.1567,1347,0
PRAE.US,D,20240222,000000,32.0198,32.0198,31.9713,31.9713,100,0
PRAE.US,D,20240223,000000,31.9175,31.9175,31.9175,31.9175,1,0
PRAE.US,D,20240226,000000,31.91,31.91,31.8244,31.8244,400,0
PRAE.US,D,20240227,000000,31.85,31.87,31.85,31.8562,341,0
