<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AVMA.US,D,20230630,000000,50.815,50.94,50.815,50.8958,2972,0
AVMA.US,D,20230703,000000,51.02,51.025,50.9775,51.025,1156,0
AVMA.US,D,20230705,000000,50.7782,50.7782,50.7208,50.7208,718,0
AVMA.US,D,20230706,000000,50.11,50.2,49.97,50.1808,1019,0
AVMA.US,D,20230707,000000,50.6567,50.6567,50.3968,50.3968,540,0
AVMA.US,D,20230710,000000,50.56,50.63,50.5302,50.6218,1001,0
AVMA.US,D,20230711,000000,50.81,51.0275,50.7802,51.0275,1249,0
AVMA.US,D,20230712,000000,51.58,51.58,51.4946,51.4946,444,0
AVMA.US,D,20230713,000000,51.82,51.8818,51.7802,51.8818,1000,0
AVMA.US,D,20230714,000000,51.5558,51.5558,51.5558,51.5558,44,0
AVMA.US,D,20230717,000000,51.55,51.7029,51.55,51.7029,3173,0
AVMA.US,D,20230718,000000,52.04,52.04,52.0296,52.0296,132,0
AVMA.US,D,20230719,000000,52.22,52.22,52.19,52.19,100,0
AVMA.US,D,20230720,000000,52.03,52.03,51.95,51.98,13091,0
AVMA.US,D,20230721,000000,52.03,52.03,51.9546,51.9546,2060,0
AVMA.US,D,20230724,000000,52.17,52.18,52.0901,52.1086,1794,0
AVMA.US,D,20230725,000000,52.2542,52.2542,52.2542,52.2542,44,0
AVMA.US,D,20230726,000000,52.42,52.42,52.3537,52.3537,476,0
AVMA.US,D,20230727,000000,52.51,52.51,52.04,52.04,1537,0
AVMA.US,D,20230728,000000,52.45,52.48,52.4404,52.4404,860,0
AVMA.US,D,20230731,000000,52.58,52.58,52.5728,52.5728,106,0
AVMA.US,D,20230801,000000,52.36,52.36,52.3567,52.3567,504,0
AVMA.US,D,20230802,000000,51.7743,51.7743,51.7743,51.7743,85,0
AVMA.US,D,20230803,000000,51.59,51.75,51.5467,51.6779,3124,0
AVMA.US,D,20230804,000000,52.1998,52.1998,51.7957,51.7957,3152,0
AVMA.US,D,20230807,000000,51.8853,51.9599,51.8853,51.9484,4252,0
AVMA.US,D,20230808,000000,51.6419,51.8058,51.6419,51.8058,1433,0
AVMA.US,D,20230809,000000,51.7039,51.7039,51.7039,51.7039,8,0
AVMA.US,D,20230810,000000,51.61,51.74,51.6081,51.6081,2502,0
AVMA.US,D,20230811,000000,51.51,51.5136,51.4617,51.4617,811,0
AVMA.US,D,20230814,000000,51.389,51.4275,51.389,51.4275,578,0
AVMA.US,D,20230815,000000,50.9738,50.9738,50.9738,50.9738,3,0
AVMA.US,D,20230816,000000,50.87,50.87,50.6587,50.6587,410,0
AVMA.US,D,20230817,000000,50.4713,50.4713,50.4713,50.4713,10,0
AVMA.US,D,20230818,000000,50.5399,50.56,50.5043,50.5043,2596,0
AVMA.US,D,20230821,000000,50.36,50.519,50.36,50.519,198,0
AVMA.US,D,20230822,000000,50.53,50.53,50.3715,50.4083,6042,0
AVMA.US,D,20230823,000000,50.91,50.91,50.8051,50.8051,731,0
AVMA.US,D,20230824,000000,50.719,50.719,50.4292,50.4292,1158,0
AVMA.US,D,20230825,000000,50.62,50.62,50.5569,50.5569,643,0
AVMA.US,D,20230828,000000,50.8634,50.8634,50.8634,50.8634,40,0
AVMA.US,D,20230829,000000,51.34,51.4131,51.305,51.4131,13026,0
AVMA.US,D,20230830,000000,51.51,51.56,51.4706,51.4706,5455,0
AVMA.US,D,20230831,000000,51.55,51.5503,51.4689,51.4689,2428,0
AVMA.US,D,20230901,000000,51.6,51.6208,51.56,51.6208,971,0
AVMA.US,D,20230905,000000,51.63,51.63,51.2111,51.2111,1031,0
AVMA.US,D,20230906,000000,51.1,51.1,51.0039,51.0039,144,0
AVMA.US,D,20230907,000000,50.8721,50.8721,50.8721,50.8721,5,0
AVMA.US,D,20230908,000000,50.905,50.905,50.905,50.905,1,0
AVMA.US,D,20230911,000000,51.09,51.09,51.0377,51.0377,183,0
AVMA.US,D,20230912,000000,51.03,51.03,51.0039,51.0039,428,0
AVMA.US,D,20230913,000000,51,51,50.9417,50.9417,406,0
AVMA.US,D,20230914,000000,51.3365,51.3365,51.3365,51.3365,1,0
AVMA.US,D,20230915,000000,51.08,51.08,51.0207,51.0207,8367,0
AVMA.US,D,20230918,000000,51.06,51.06,50.9697,50.9697,2900,0
AVMA.US,D,20230919,000000,50.87,50.8883,50.87,50.8883,442,0
AVMA.US,D,20230920,000000,50.74,50.74,50.6788,50.6788,120,0
AVMA.US,D,20230921,000000,50.33,50.33,50.0874,50.0874,3873,0
AVMA.US,D,20230922,000000,50.2202,50.34,50.1192,50.1192,2518,0
AVMA.US,D,20230925,000000,49.99,50.1622,49.99,50.1325,1183,0
AVMA.US,D,20230926,000000,49.85,49.85,49.6575,49.6575,911,0
AVMA.US,D,20230927,000000,49.81,49.81,49.7022,49.7022,2249,0
AVMA.US,D,20230928,000000,50.0003,50.03,50.0003,50.0131,237,0
AVMA.US,D,20230929,000000,49.95,50.01,49.8899,49.94,3096,0
AVMA.US,D,20231002,000000,49.76,49.76,49.44,49.4994,951,0
AVMA.US,D,20231003,000000,49.33,49.33,48.9199,48.9421,6450,0
AVMA.US,D,20231004,000000,48.97,49.1,48.8,49.0809,790,0
