<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTRN.US,D,20240322,000000,32.6,32.66,32.09,32.4488,5332,0
BTRN.US,D,20240325,000000,33.64,35.0982,33.64,35.0982,1893,0
BTRN.US,D,20240326,000000,34.88,34.88,34.4966,34.4966,776,0
BTRN.US,D,20240327,000000,34.285,34.285,34.14,34.1546,731,0
BTRN.US,D,20240328,000000,35.5,35.5,35.2568,35.2779,481,0
BTRN.US,D,20240401,000000,34.5674,34.5674,34.5674,34.5674,231,0
BTRN.US,D,20240402,000000,32.5344,32.84,32.5344,32.77,1220,0
BTRN.US,D,20240403,000000,32.53,32.98,32.53,32.6407,8619,0
BTRN.US,D,20240404,000000,33.13,33.6151,33.1,33.6151,9122,0
BTRN.US,D,20240405,000000,33.46,33.51,33.2378,33.2378,806,0
BTRN.US,D,20240408,000000,34.8523,34.8523,34.8523,34.8523,54,0
BTRN.US,D,20240409,000000,33.79,33.79,33.68,33.7779,664,0
BTRN.US,D,20240410,000000,33.52,34.1954,33.52,34.1954,394,0
BTRN.US,D,20240411,000000,34.52,34.52,34.29,34.4,794,0
BTRN.US,D,20240412,000000,31.9,32.6727,31.9,32.6727,961,0
BTRN.US,D,20240415,000000,31.91,31.91,30.8409,30.8409,293,0
BTRN.US,D,20240416,000000,30.46,30.4716,30.07,30.4716,319,0
BTRN.US,D,20240417,000000,29.6442,29.6442,29.6442,29.6442,58,0
BTRN.US,D,20240418,000000,30.03,30.2052,30.03,30.2052,830,0
BTRN.US,D,20240419,000000,30.4153,30.4153,30.4153,30.4153,55,0
BTRN.US,D,20240422,000000,30.9448,30.9448,30.9448,30.9448,101,0
BTRN.US,D,20240423,000000,30.9309,30.9309,30.9309,30.9309,23,0
BTRN.US,D,20240424,000000,30.825,30.825,30.295,30.295,213,0
BTRN.US,D,20240425,000000,30.5394,30.5394,30.5394,30.5394,4,0
BTRN.US,D,20240426,000000,30.36,30.37,30.2277,30.2277,241,0
BTRN.US,D,20240429,000000,29.76,29.953,29.76,29.8872,1218,0
BTRN.US,D,20240430,000000,28.81,28.81,28.4042,28.4042,429,0
BTRN.US,D,20240501,000000,27.68,27.68,27.5919,27.6362,1066,0
BTRN.US,D,20240502,000000,28.2118,28.2118,28.151,28.151,362,0
BTRN.US,D,20240503,000000,28.66,28.8903,28.66,28.8903,109,0
BTRN.US,D,20240506,000000,29.1766,29.1766,29.1766,29.1766,11,0
BTRN.US,D,20240507,000000,29.3453,29.3453,29.1284,29.1284,513,0
BTRN.US,D,20240508,000000,28.9353,28.9353,28.9353,28.9353,103,0
BTRN.US,D,20240509,000000,29.002,29.002,29.002,29.002,66,0
BTRN.US,D,20240510,000000,29,29,28.5591,28.5591,153,0
BTRN.US,D,20240513,000000,29.1688,29.1688,29.1688,29.1688,52,0
BTRN.US,D,20240514,000000,28.7627,28.7627,28.7627,28.7627,7,0
BTRN.US,D,20240515,000000,29.9197,29.9197,29.9197,29.9197,10,0
BTRN.US,D,20240516,000000,29.8402,29.8402,29.8402,29.8402,5,0
BTRN.US,D,20240517,000000,30.03,30.06,30.0299,30.0555,2194,0
BTRN.US,D,20240520,000000,30.4222,30.4222,30.4222,30.4222,14,0
BTRN.US,D,20240521,000000,30.49,30.49,30.3397,30.3397,442,0
BTRN.US,D,20240522,000000,30.4039,30.4039,30.4039,30.4039,200,0
BTRN.US,D,20240523,000000,29.86,29.86,29.596,29.596,810,0
BTRN.US,D,20240524,000000,30.2276,30.2276,30.2276,30.2276,54,0
BTRN.US,D,20240528,000000,29.88,29.9848,29.8797,29.9848,1163,0
BTRN.US,D,20240529,000000,29.84,29.84,29.5911,29.5911,232,0
BTRN.US,D,20240530,000000,30.1804,30.1804,30.1804,30.1804,8,0
BTRN.US,D,20240531,000000,29.56,29.82,29.56,29.82,308,0
BTRN.US,D,20240603,000000,30.5499,30.5499,30.32,30.4,895,0
BTRN.US,D,20240604,000000,30.9751,30.9751,30.9751,30.9751,137,0
BTRN.US,D,20240605,000000,31.5,31.59,31.28,31.4008,881,0
BTRN.US,D,20240606,000000,31.4295,31.4295,30.9926,30.9926,357,0
BTRN.US,D,20240607,000000,30.4033,30.4033,30.4033,30.4033,46,0
BTRN.US,D,20240610,000000,30.6801,30.6801,30.47,30.47,363,0
BTRN.US,D,20240611,000000,29.26,29.6351,29.26,29.6351,584,0
BTRN.US,D,20240612,000000,30.7,30.7,29.5768,29.5768,1101,0
BTRN.US,D,20240613,000000,29.7433,29.7433,29.3523,29.3523,918,0
BTRN.US,D,20240614,000000,29.02,29.02,28.9651,28.9651,206,0
BTRN.US,D,20240617,000000,29.3402,29.3402,29.3402,29.3402,6,0
BTRN.US,D,20240618,000000,28.5348,28.5348,28.5348,28.5348,2,0
BTRN.US,D,20240620,000000,28.7094,28.7094,28.7094,28.7094,2,0
BTRN.US,D,20240621,000000,28.5933,28.5933,28.5933,28.5933,73,0
BTRN.US,D,20240624,000000,27.97,27.9901,27.47,27.54,16423,0
BTRN.US,D,20240625,000000,27.84,28.0602,27.84,28.0602,8103,0
BTRN.US,D,20240626,000000,27.8203,27.8203,27.8203,27.8203,64,0
BTRN.US,D,20240627,000000,27.6675,27.6675,27.6675,27.6675,21,0
BTRN.US,D,20240628,000000,27.4955,27.4955,27.4955,27.4955,7,0
BTRN.US,D,20240701,000000,27.83,27.8792,27.83,27.8792,453,0
BTRN.US,D,20240702,000000,27.7225,27.7225,27.7225,27.7225,22,0
BTRN.US,D,20240703,000000,27.513,27.513,27.513,27.513,32,0
BTRN.US,D,20240705,000000,27.49,27.49,27.425,27.425,304,0
BTRN.US,D,20240708,000000,27.4472,27.4472,27.42,27.42,286,0
BTRN.US,D,20240709,000000,27.4699,27.4699,27.42,27.42,215,0
BTRN.US,D,20240710,000000,27.46,27.46,27.42,27.42,599,0
BTRN.US,D,20240711,000000,27.425,27.425,27.425,27.425,6,0
BTRN.US,D,20240712,000000,27.47,27.47,27.439,27.439,342,0
BTRN.US,D,20240715,000000,27.44,27.44,27.44,27.44,35,0
BTRN.US,D,20240716,000000,27.458,27.458,27.45,27.45,170,0
BTRN.US,D,20240717,000000,27.4897,27.4899,27.445,27.445,252,0
BTRN.US,D,20240718,000000,27.36,27.36,27.3386,27.3386,735,0
BTRN.US,D,20240719,000000,27.8205,27.8205,27.8205,27.8205,21,0
BTRN.US,D,20240722,000000,27.75,27.9016,27.75,27.9016,887,0
BTRN.US,D,20240723,000000,27.76,27.76,27.5761,27.5761,327,0
BTRN.US,D,20240724,000000,27.77,27.77,27.6034,27.6034,475,0
BTRN.US,D,20240725,000000,27,27.34,27,27.29,519,0
BTRN.US,D,20240726,000000,28.3068,28.3068,28.3068,28.3068,2,0
BTRN.US,D,20240729,000000,28.0223,28.0223,28.0223,28.0223,50,0
BTRN.US,D,20240730,000000,27.6026,27.6026,27.6026,27.6026,22,0
BTRN.US,D,20240731,000000,27.3619,27.3619,27.3619,27.3619,22,0
BTRN.US,D,20240801,000000,26.5182,26.5182,26.5182,26.5182,91,0
BTRN.US,D,20240802,000000,26.19,26.19,26.19,26.19,104,0
BTRN.US,D,20240805,000000,20.73,22.93,20.72,22.0738,12370,0
BTRN.US,D,20240806,000000,23.39,23.6124,23.39,23.6124,518,0
BTRN.US,D,20240807,000000,22.7032,22.7032,22.7032,22.7032,5,0
BTRN.US,D,20240808,000000,23.6212,23.6212,23.6212,23.6212,82,0
BTRN.US,D,20240809,000000,23.8396,23.8396,23.8396,23.8396,1,0
BTRN.US,D,20240812,000000,23.515,23.515,23.515,23.515,3,0
BTRN.US,D,20240813,000000,23.8653,23.8653,23.8653,23.8653,18,0
BTRN.US,D,20240814,000000,23.6,23.6,23.5016,23.5016,204,0
BTRN.US,D,20240815,000000,23.485,23.485,23.485,23.485,5,0
BTRN.US,D,20240816,000000,23.495,23.495,23.495,23.495,17,0
BTRN.US,D,20240819,000000,23.53,23.53,23.5,23.5,191,0
BTRN.US,D,20240820,000000,23.505,23.505,23.505,23.505,19,0
BTRN.US,D,20240821,000000,23.55,23.55,23.515,23.515,529,0
BTRN.US,D,20240822,000000,23.53,23.53,23.53,23.53,22,0
BTRN.US,D,20240823,000000,23.49,23.55,23.49,23.52,3998,0
BTRN.US,D,20240826,000000,23.52,23.52,23.52,23.52,23,0
BTRN.US,D,20240827,000000,23.525,23.525,23.525,23.525,3,0
BTRN.US,D,20240828,000000,23.53,23.53,23.53,23.53,1,0
