<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OCTD.US,D,20231003,000000,23.75,23.75,23.67,23.675,2805,0
OCTD.US,D,20231004,000000,23.69,23.77,23.69,23.7501,869,0
OCTD.US,D,20231005,000000,23.72,23.75,23.7084,23.7451,49039,0
OCTD.US,D,20231006,000000,23.8848,23.8856,23.8707,23.8707,2109,0
OCTD.US,D,20231009,000000,23.835,23.8848,23.835,23.8848,251,0
OCTD.US,D,20231010,000000,24.01,24.01,23.9528,23.9528,1383,0
OCTD.US,D,20231011,000000,24,24,23.9887,23.9887,523,0
OCTD.US,D,20231012,000000,24.02,24.02,23.955,23.9652,2571,0
OCTD.US,D,20231013,000000,23.9,23.93,23.8835,23.885,9462,0
OCTD.US,D,20231016,000000,23.9698,24.03,23.9698,23.998,11994,0
OCTD.US,D,20231017,000000,23.99,23.99,23.97,23.9778,1110,0
OCTD.US,D,20231018,000000,23.954,23.954,23.86,23.87,24046,0
OCTD.US,D,20231019,000000,23.92,23.92,23.8,23.8029,3174,0
OCTD.US,D,20231020,000000,23.755,23.755,23.7075,23.7075,2883,0
OCTD.US,D,20231023,000000,23.76,23.76,23.7172,23.7172,2514,0
OCTD.US,D,20231024,000000,23.806,23.81,23.75,23.8061,6708,0
OCTD.US,D,20231025,000000,23.77,23.77,23.6699,23.6699,7703,0
OCTD.US,D,20231026,000000,23.626,23.64,23.5899,23.5899,2986,0
OCTD.US,D,20231027,000000,23.5999,23.5999,23.54,23.55,789,0
OCTD.US,D,20231030,000000,23.706,23.71,23.696,23.696,1988,0
OCTD.US,D,20231031,000000,23.79,23.83,23.7399,23.8061,5261,0
OCTD.US,D,20231101,000000,23.85,23.9353,23.85,23.9353,2300,0
OCTD.US,D,20231102,000000,24.025,24.1,24.025,24.0902,12579,0
OCTD.US,D,20231103,000000,24.18,24.23,24.16,24.22,14498,0
OCTD.US,D,20231106,000000,24.2175,24.24,24.1805,24.24,11268,0
