<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BOXX.US,D,20221229,000000,100.0301,100.045,100.0301,100.045,3000,0
BOXX.US,D,20221230,000000,100.03,100.1,100.03,100.1,2203,0
BOXX.US,D,20230103,000000,100.12,100.12,100.11,100.11,28180,0
BOXX.US,D,20230104,000000,100.125,100.13,100.12,100.125,50567,0
BOXX.US,D,20230105,000000,100.13,100.15,100.13,100.15,6535,0
BOXX.US,D,20230106,000000,100.1899,100.1899,100.16,100.16,572,0
BOXX.US,D,20230109,000000,100.19,100.19,100.16,100.16,5399,0
BOXX.US,D,20230110,000000,100.2,100.2,100.195,100.195,146,0
BOXX.US,D,20230111,000000,100.2,100.22,100.2,100.21,329346,0
BOXX.US,D,20230112,000000,100.28,100.28,100.25,100.28,7196,0
BOXX.US,D,20230113,000000,100.2799,100.29,100.2795,100.29,8661,0
BOXX.US,D,20230117,000000,100.2701,100.29,100.2701,100.29,2000,0
BOXX.US,D,20230118,000000,100.33,100.33,100.31,100.31,4355,0
BOXX.US,D,20230119,000000,100.33,100.33,100.32,100.32,2801,0
BOXX.US,D,20230120,000000,100.36,100.36,100.335,100.335,2943,0
BOXX.US,D,20230123,000000,100.37,100.37,100.365,100.365,3499,0
BOXX.US,D,20230124,000000,100.345,100.345,100.345,100.345,25,0
BOXX.US,D,20230125,000000,100.39,100.4,100.39,100.4,2403,0
BOXX.US,D,20230126,000000,100.38,100.434,100.35,100.4,46648,0
BOXX.US,D,20230127,000000,100.43,100.43,100.42,100.42,2084,0
BOXX.US,D,20230130,000000,100.5,100.5,100.45,100.45,641,0
BOXX.US,D,20230131,000000,100.47,100.48,100.45,100.45,15096,0
BOXX.US,D,20230201,000000,100.51,100.51,100.49,100.49,4055,0
BOXX.US,D,20230202,000000,100.53,100.54,100.53,100.535,5038,0
BOXX.US,D,20230203,000000,100.56,100.56,100.535,100.535,16623,0
BOXX.US,D,20230206,000000,100.525,100.55,100.525,100.55,1498,0
BOXX.US,D,20230207,000000,100.55,100.55,100.51,100.535,4283,0
BOXX.US,D,20230208,000000,100.53,100.55,100.52,100.53,15530,0
BOXX.US,D,20230209,000000,100.55,100.55,100.545,100.545,4596,0
BOXX.US,D,20230210,000000,100.55,100.55,100.53,100.54,310878,0
BOXX.US,D,20230213,000000,100.52,100.64,100.52,100.6232,19217,0
BOXX.US,D,20230214,000000,100.67,100.67,100.592,100.615,2082,0
BOXX.US,D,20230215,000000,100.66,100.66,100.61,100.645,30547,0
BOXX.US,D,20230216,000000,100.67,100.69,100.67,100.69,281,0
BOXX.US,D,20230217,000000,100.69,100.7,100.69,100.6999,9892,0
BOXX.US,D,20230221,000000,100.8,100.8,100.72,100.725,7720,0
BOXX.US,D,20230222,000000,100.74,100.74,100.7258,100.74,8762,0
BOXX.US,D,20230223,000000,100.76,100.77,100.755,100.755,381,0
BOXX.US,D,20230224,000000,100.75,100.8,100.75,100.8,1707,0
BOXX.US,D,20230227,000000,100.85,100.85,100.78,100.795,15357,0
BOXX.US,D,20230228,000000,100.8,100.8,100.78,100.79,11746,0
BOXX.US,D,20230301,000000,100.76,100.79,100.76,100.78,2115,0
BOXX.US,D,20230302,000000,100.76,100.8,100.76,100.8,4668,0
BOXX.US,D,20230303,000000,100.83,100.84,100.815,100.815,10490,0
BOXX.US,D,20230306,000000,100.81,100.86,100.8099,100.82,166026,0
BOXX.US,D,20230307,000000,100.85,100.85,100.83,100.84,8516,0
BOXX.US,D,20230308,000000,100.83,100.83,100.796,100.8,13197,0
BOXX.US,D,20230309,000000,100.86,100.86,100.855,100.855,3511,0
BOXX.US,D,20230310,000000,100.88,100.9,100.8667,100.8675,9922,0
BOXX.US,D,20230313,000000,100.9,101.02,100.9,100.99,5558,0
BOXX.US,D,20230314,000000,100.9999,101,100.93,100.9944,777105,0
BOXX.US,D,20230315,000000,101.03,101.03,101.0186,101.03,8425,0
BOXX.US,D,20230316,000000,101.04,101.04,101.005,101.02,1381,0
BOXX.US,D,20230317,000000,101.05,101.06,101.0399,101.045,10413,0
BOXX.US,D,20230320,000000,101.0799,101.08,101.0697,101.07,7263,0
BOXX.US,D,20230321,000000,101.08,101.09,101.0797,101.085,7277,0
BOXX.US,D,20230322,000000,101.08,101.09,101.08,101.09,7412,0
BOXX.US,D,20230323,000000,101.1399,101.14,101.13,101.1352,5011,0
BOXX.US,D,20230324,000000,101.16,101.16,101.1374,101.155,6782,0
BOXX.US,D,20230327,000000,101.16,101.17,101.1599,101.17,12943,0
BOXX.US,D,20230328,000000,101.18,101.2,101.18,101.185,17991,0
BOXX.US,D,20230329,000000,101.18,101.18,101.16,101.17,4501,0
BOXX.US,D,20230330,000000,101.195,101.22,101.1901,101.22,11019,0
BOXX.US,D,20230331,000000,101.22,101.22,101.2157,101.22,6110,0
BOXX.US,D,20230403,000000,101.37,101.37,101.2102,101.23,8962,0
BOXX.US,D,20230404,000000,101.24,101.26,101.24,101.26,12293,0
BOXX.US,D,20230405,000000,101.3395,101.3395,101.29,101.3,9349,0
BOXX.US,D,20230406,000000,101.31,101.32,101.31,101.31,12670,0
BOXX.US,D,20230410,000000,101.34,101.34,101.3101,101.325,21441,0
BOXX.US,D,20230411,000000,101.34,101.3443,101.3298,101.3443,18596,0
BOXX.US,D,20230412,000000,101.36,101.36,101.35,101.36,14771,0
BOXX.US,D,20230413,000000,101.38,101.38,101.36,101.38,15415,0
BOXX.US,D,20230414,000000,101.4,101.41,101.3904,101.4052,21594,0
BOXX.US,D,20230417,000000,101.42,101.42,101.4029,101.405,18688,0
BOXX.US,D,20230418,000000,101.41,101.41,101.37,101.39,13394,0
BOXX.US,D,20230419,000000,101.4199,101.43,101.3901,101.42,9323,0
BOXX.US,D,20230420,000000,101.45,101.46,101.4239,101.46,86100,0
BOXX.US,D,20230421,000000,101.48,101.5,101.47,101.4797,95695,0
BOXX.US,D,20230424,000000,101.4923,101.5,101.49,101.5,27362,0
BOXX.US,D,20230425,000000,101.51,101.52,101.497,101.5199,74097,0
BOXX.US,D,20230426,000000,101.52,101.55,101.52,101.55,94137,0
BOXX.US,D,20230427,000000,101.55,101.56,101.55,101.555,13575,0
BOXX.US,D,20230428,000000,101.56,101.57,101.56,101.57,29660,0
BOXX.US,D,20230501,000000,101.585,101.5922,101.5799,101.585,27958,0
BOXX.US,D,20230502,000000,101.6,101.62,101.59,101.61,30996,0
BOXX.US,D,20230503,000000,101.62,101.62,101.6016,101.615,7392,0
BOXX.US,D,20230504,000000,101.6122,101.64,101.6003,101.63,16936,0
BOXX.US,D,20230505,000000,101.66,101.67,101.62,101.6552,22247,0
BOXX.US,D,20230508,000000,101.61,101.68,101.61,101.67,9805,0
BOXX.US,D,20230509,000000,101.67,101.69,101.669,101.69,18518,0
BOXX.US,D,20230510,000000,101.6905,101.71,101.68,101.71,7188,0
BOXX.US,D,20230511,000000,101.7407,101.76,101.7001,101.76,12076,0
BOXX.US,D,20230512,000000,101.77,101.77,101.7,101.77,12847,0
BOXX.US,D,20230515,000000,101.73,101.78,101.73,101.7799,21772,0
BOXX.US,D,20230516,000000,101.73,101.78,101.73,101.775,12720,0
BOXX.US,D,20230517,000000,101.8,101.8,101.7822,101.791,26681,0
BOXX.US,D,20230518,000000,101.81,101.82,101.8045,101.82,16105,0
BOXX.US,D,20230519,000000,101.8074,101.822,101.775,101.785,19440,0
BOXX.US,D,20230522,000000,101.84,101.84,101.787,101.835,16579,0
BOXX.US,D,20230523,000000,101.85,101.85,101.79,101.835,22166,0
BOXX.US,D,20230524,000000,101.87,101.87,101.8415,101.87,7502,0
BOXX.US,D,20230525,000000,101.89,101.905,101.88,101.895,11535,0
BOXX.US,D,20230526,000000,101.93,101.93,101.861,101.89,27727,0
BOXX.US,D,20230530,000000,101.94,101.94,101.866,101.905,20560,0
BOXX.US,D,20230531,000000,101.94,101.95,101.9,101.94,19266,0
BOXX.US,D,20230601,000000,101.99,101.99,101.8979,101.975,14789,0
BOXX.US,D,20230602,000000,101.94,102.01,101.94,102.01,29305,0
BOXX.US,D,20230605,000000,102.01,103.23,101.97,102.005,10815,0
BOXX.US,D,20230606,000000,102,102.03,102,102.025,15640,0
BOXX.US,D,20230607,000000,102.03,102.04,102.02,102.04,16612,0
BOXX.US,D,20230608,000000,102.1,102.1,102.05,102.1,32503,0
BOXX.US,D,20230609,000000,102.1,102.1,102.03,102.09,36078,0
BOXX.US,D,20230612,000000,102.1013,102.12,102.095,102.12,14560,0
BOXX.US,D,20230613,000000,102.115,102.12,102.1,102.11,31943,0
BOXX.US,D,20230614,000000,102.115,102.115,102.1,102.11,33563,0
BOXX.US,D,20230615,000000,102.127,102.15,102.11,102.11,57676,0
BOXX.US,D,20230616,000000,102.15,102.21,102.15,102.2,27878,0
BOXX.US,D,20230620,000000,102.2056,102.23,102.15,102.2152,240738,0
BOXX.US,D,20230621,000000,102.2396,102.24,102.2209,102.235,23648,0
BOXX.US,D,20230622,000000,102.23,102.27,102.23,102.27,6916,0
BOXX.US,D,20230623,000000,102.3,102.3,102.24,102.26,11265,0
BOXX.US,D,20230626,000000,102.2632,102.27,102.23,102.255,11509,0
BOXX.US,D,20230627,000000,102.27,102.29,102.26,102.29,16619,0
BOXX.US,D,20230628,000000,102.29,102.32,102.27,102.31,6559,0
BOXX.US,D,20230629,000000,102.3199,102.35,102.3199,102.34,12016,0
BOXX.US,D,20230630,000000,102.38,102.38,102.3401,102.365,10333,0
BOXX.US,D,20230703,000000,102.375,102.39,102.3701,102.38,13130,0
BOXX.US,D,20230705,000000,102.4,102.43,102.4,102.43,34716,0
BOXX.US,D,20230706,000000,102.4447,102.47,102.4307,102.445,5273,0
BOXX.US,D,20230707,000000,102.46,102.4899,102.4568,102.48,4258,0
BOXX.US,D,20230710,000000,102.51,102.51,102.48,102.5,12690,0
BOXX.US,D,20230711,000000,102.52,102.52,102.5066,102.52,7597,0
BOXX.US,D,20230712,000000,102.5,102.53,102.47,102.52,34058,0
BOXX.US,D,20230713,000000,102.56,102.59,102.5558,102.5604,11972,0
BOXX.US,D,20230714,000000,102.54,102.6,102.54,102.5826,16826,0
BOXX.US,D,20230717,000000,102.6,102.6,102.57,102.6,36663,0
BOXX.US,D,20230718,000000,102.61,102.61,102.57,102.6,103481,0
BOXX.US,D,20230719,000000,102.6,102.61,102.56,102.585,63286,0
BOXX.US,D,20230720,000000,102.62,102.665,102.6057,102.61,51522,0
BOXX.US,D,20230721,000000,102.61,102.64,102.61,102.61,38825,0
