<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BNKU.US,D,20250220,000000,23.2061,25.11,22.92,23.2061,1490,0
BNKU.US,D,20250221,000000,23.17,23.32,21.928,21.928,1197,0
BNKU.US,D,20250224,000000,21.07,21.8,21.07,21.8,261,0
BNKU.US,D,20250225,000000,20.8514,20.9177,20.8,20.9177,1031,0
BNKU.US,D,20250226,000000,21.64,21.64,21.127,21.127,373,0
BNKU.US,D,20250228,000000,21.62,22.4385,21.62,22.4385,1130,0
BNKU.US,D,20250303,000000,22.59,22.97,20.9939,20.9939,2071,0
BNKU.US,D,20250304,000000,17.93,20.21,17.44,18.054,8410,0
BNKU.US,D,20250305,000000,18.28,18.61,17.6201,18.4641,7693,0
BNKU.US,D,20250306,000000,17.449,17.84,16.88,17.2005,7317,0
BNKU.US,D,20250307,000000,16.1,16.99,16.1,16.9505,5081,0
BNKU.US,D,20250310,000000,15.54,15.55,13.86,14.5544,20419,0
BNKU.US,D,20250311,000000,14.71,14.849,14.075,14.3726,6990,0
BNKU.US,D,20250312,000000,15.16,15.17,14.5,14.7148,27102,0
BNKU.US,D,20250313,000000,14.8,14.8,14.0265,14.1202,16657,0
BNKU.US,D,20250314,000000,14.75,15.4878,14.75,15.4878,22866,0
BNKU.US,D,20250317,000000,15.58,16.22,15.35,16.0157,7652,0
BNKU.US,D,20250318,000000,16.125,16.125,15.8394,15.9767,3035,0
BNKU.US,D,20250319,000000,16.18,17.16,16.18,16.6949,3628,0
BNKU.US,D,20250320,000000,16.4184,17.02,16.16,16.66,3079,0
BNKU.US,D,20250321,000000,16.3677,16.8017,16.03,16.7324,6268,0
BNKU.US,D,20250324,000000,17.72,17.9567,17.66,17.9567,3518,0
BNKU.US,D,20250325,000000,18.16,18.35,18,18.2199,6847,0
BNKU.US,D,20250326,000000,18.5496,18.61,17.6843,17.6843,3117,0
BNKU.US,D,20250327,000000,16.845,17.15,16.821,16.9973,3365,0
BNKU.US,D,20250328,000000,16.37,16.37,15.47,15.6465,8509,0
BNKU.US,D,20250331,000000,15.25,16.2294,15,16.2294,3822,0
BNKU.US,D,20250401,000000,15.65,16.07,15.275,15.9061,5018,0
BNKU.US,D,20250402,000000,16.015,16.8,16.015,16.7786,2733,0
BNKU.US,D,20250403,000000,13.725,14.009,12.4,12.4031,96972,0
BNKU.US,D,20250404,000000,11,13.63,9.2,9.74,124224,0
