<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KEM.US,D,20230829,000000,25.6219,25.6219,25.6219,25.6219,3,0
KEM.US,D,20230830,000000,25.45,25.511,25.45,25.511,110,0
KEM.US,D,20230831,000000,25.3213,25.3213,25.3213,25.3213,3,0
KEM.US,D,20230901,000000,25.56,25.71,25.56,25.623,5200,0
KEM.US,D,20230905,000000,25.53,25.53,25.4726,25.4726,107,0
KEM.US,D,20230906,000000,25.3801,25.3801,25.3801,25.3801,3,0
KEM.US,D,20230907,000000,24.9929,24.9929,24.9929,24.9929,6,0
KEM.US,D,20230908,000000,25.0364,25.0364,25.0364,25.0364,49,0
KEM.US,D,20230911,000000,25.349,25.349,25.349,25.349,6,0
KEM.US,D,20230912,000000,25.3456,25.3456,25.3456,25.3456,3,0
KEM.US,D,20230913,000000,25.3086,25.3086,25.2972,25.2972,214,0
KEM.US,D,20230914,000000,25.4056,25.4056,25.4056,25.4056,5,0
KEM.US,D,20230915,000000,25.2783,25.2783,25.23,25.23,365,0
KEM.US,D,20230918,000000,25.18,25.2571,25.18,25.2571,7927,0
KEM.US,D,20230919,000000,25.1665,25.1665,25.1627,25.1627,100,0
KEM.US,D,20230920,000000,25.0795,25.0795,25.0795,25.0795,12,0
KEM.US,D,20230921,000000,24.654,24.654,24.654,24.654,5,0
KEM.US,D,20230922,000000,25.11,25.11,25.0359,25.0359,212,0
KEM.US,D,20230925,000000,24.75,24.8375,24.75,24.8375,461,0
KEM.US,D,20230926,000000,24.5859,24.5859,24.5859,24.5859,5,0
KEM.US,D,20230927,000000,24.5966,24.5966,24.5966,24.5966,5,0
KEM.US,D,20230928,000000,24.6345,24.6345,24.6345,24.6345,5,0
KEM.US,D,20230929,000000,24.7153,24.7153,24.7153,24.7153,5,0
KEM.US,D,20231002,000000,24.5,24.5974,24.5,24.5974,704,0
KEM.US,D,20231003,000000,24.45,24.48,24.3045,24.3045,704,0
KEM.US,D,20231004,000000,24.2247,24.2247,24.2247,24.2247,5,0
KEM.US,D,20231005,000000,24.3097,24.3097,24.3097,24.3097,5,0
KEM.US,D,20231006,000000,24.6152,24.6152,24.6152,24.6152,5,0
KEM.US,D,20231009,000000,24.5906,24.5906,24.5906,24.5906,5,0
KEM.US,D,20231010,000000,24.8988,24.8988,24.8988,24.8988,2,0
KEM.US,D,20231011,000000,25.017,25.017,25.017,25.017,25,0
KEM.US,D,20231012,000000,24.7499,24.7499,24.7499,24.7499,5,0
KEM.US,D,20231013,000000,24.6463,24.6463,24.6463,24.6463,5,0
KEM.US,D,20231016,000000,24.75,24.9051,24.75,24.9051,452,0
KEM.US,D,20231017,000000,24.84,24.91,24.7954,24.7954,1415,0
KEM.US,D,20231018,000000,24.4926,24.4926,24.4926,24.4926,133,0
KEM.US,D,20231019,000000,24.2443,24.2443,24.2443,24.2443,19,0
KEM.US,D,20231020,000000,23.9932,23.9932,23.9932,23.9932,10,0
KEM.US,D,20231023,000000,23.85,23.92,23.85,23.92,403,0
KEM.US,D,20231024,000000,24.29,24.29,24.29,24.29,300,0
KEM.US,D,20231025,000000,24.05,24.24,24.03,24.23,859,0
KEM.US,D,20231026,000000,23.94,24.18,23.94,24.18,1885,0
KEM.US,D,20231027,000000,24.1,24.1492,24.05,24.0986,27296,0
KEM.US,D,20231030,000000,24.28,24.41,24.12,24.41,450,0
KEM.US,D,20231031,000000,24.04,24.04,23.88,23.99,361,0
KEM.US,D,20231101,000000,24.277,24.277,24.277,24.277,20,0
KEM.US,D,20231102,000000,24.5236,24.5236,24.5236,24.5236,1,0
KEM.US,D,20231103,000000,24.67,25.06,24.67,25.06,200,0
KEM.US,D,20231106,000000,25.0552,25.0552,25.0552,25.0552,2,0
KEM.US,D,20231107,000000,24.84,24.9907,24.84,24.9907,421,0
KEM.US,D,20231108,000000,24.83,24.83,24.71,24.71,242,0
KEM.US,D,20231109,000000,24.6784,24.6784,24.6784,24.6784,1,0
KEM.US,D,20231110,000000,24.59,24.7522,24.58,24.58,846,0
KEM.US,D,20231113,000000,24.8223,24.8223,24.8223,24.8223,1,0
KEM.US,D,20231114,000000,25.3214,25.3214,25.3214,25.3214,7,0
KEM.US,D,20231115,000000,25.6968,25.6968,25.5391,25.5391,138,0
