<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ITDF.US,D,20231023,000000,25.35,25.35,24.108,24.108,2946,0
ITDF.US,D,20231024,000000,24.2971,24.2971,24.2971,24.2971,91,0
ITDF.US,D,20231025,000000,24.15,24.15,23.9734,23.9734,861,0
ITDF.US,D,20231026,000000,23.7863,23.7863,23.7863,23.7863,46,0
ITDF.US,D,20231027,000000,23.63,23.6627,23.63,23.6627,214,0
ITDF.US,D,20231030,000000,23.85,23.9493,23.8199,23.9493,875,0
ITDF.US,D,20231031,000000,23.98,24.0496,23.98,24.0496,447,0
ITDF.US,D,20231101,000000,24.2868,24.2868,24.2868,24.2868,103,0
ITDF.US,D,20231102,000000,24.64,24.7645,24.6174,24.7645,918,0
ITDF.US,D,20231103,000000,25.07,25.07,25.07,25.07,44,0
ITDF.US,D,20231106,000000,25.16,25.16,25.0429,25.0429,605,0
ITDF.US,D,20231107,000000,25.0443,25.0443,25.0443,25.0443,110,0
ITDF.US,D,20231108,000000,25,25.0339,25,25.0339,235,0
ITDF.US,D,20231109,000000,24.8638,24.8638,24.8638,24.8638,71,0
ITDF.US,D,20231110,000000,25.14,25.14,25.14,25.14,6,0
ITDF.US,D,20231113,000000,25.16,25.16,25.1525,25.1525,431,0
ITDF.US,D,20231114,000000,25.7372,25.7372,25.7372,25.7372,91,0
ITDF.US,D,20231115,000000,25.85,25.85,25.7809,25.7809,878,0
ITDF.US,D,20231116,000000,25.75,25.75,25.72,25.7402,1897,0
ITDF.US,D,20231117,000000,25.82,25.9,25.82,25.8832,897,0
ITDF.US,D,20231120,000000,26,26.0559,26,26.0559,223,0
ITDF.US,D,20231121,000000,25.9708,25.9708,25.9708,25.9708,187,0
ITDF.US,D,20231122,000000,26.0287,26.0563,26.0287,26.0563,346,0
ITDF.US,D,20231124,000000,26.08,26.1177,26.08,26.1177,419,0
ITDF.US,D,20231127,000000,26.1,26.1,26.0806,26.0806,2769,0
ITDF.US,D,20231128,000000,26.07,26.1199,26.0657,26.1191,3656,0
ITDF.US,D,20231129,000000,26.2189,26.2189,26.1392,26.1392,557,0
ITDF.US,D,20231130,000000,26.11,26.2011,26.11,26.2011,430,0
ITDF.US,D,20231201,000000,26.4375,26.4375,26.4375,26.4375,251,0
ITDF.US,D,20231204,000000,26.22,26.2934,26.22,26.2934,1301,0
ITDF.US,D,20231205,000000,27.52,27.52,26.2233,26.2233,2918,0
ITDF.US,D,20231206,000000,26.3699,26.3699,26.1841,26.1841,594,0
ITDF.US,D,20231207,000000,26.32,26.37,26.31,26.365,4016,0
ITDF.US,D,20231208,000000,26.32,26.45,26.3,26.4308,2313,0
ITDF.US,D,20231211,000000,26.43,26.5175,26.43,26.5175,1844,0
ITDF.US,D,20231212,000000,26.52,26.5849,26.47,26.5849,4473,0
ITDF.US,D,20231213,000000,26.6,26.9843,26.6,26.9843,2481,0
ITDF.US,D,20231214,000000,27.2499,27.2499,27.11,27.1993,2891,0
ITDF.US,D,20231215,000000,27.1182,27.1182,27.1182,27.1182,196,0
ITDF.US,D,20231218,000000,27.25,27.25,27.15,27.188,6676,0
ITDF.US,D,20231219,000000,27.3699,27.385,27.3651,27.385,5243,0
ITDF.US,D,20231220,000000,27.41,27.41,27.04,27.04,9030,0
ITDF.US,D,20231221,000000,27.22,27.3626,27.1981,27.3626,1067,0
ITDF.US,D,20231222,000000,27.1736,27.1736,27.1736,27.1736,193,0
ITDF.US,D,20231226,000000,27.25,27.3101,27.25,27.3101,2046,0
ITDF.US,D,20231227,000000,27.36,27.395,27.35,27.3908,3331,0
ITDF.US,D,20231228,000000,27.499,27.499,27.4061,27.4061,1056,0
ITDF.US,D,20231229,000000,27.31,27.36,27.31,27.3415,1023,0
ITDF.US,D,20240102,000000,27.1,27.179,27.07,27.1095,7926,0
ITDF.US,D,20240103,000000,26.98,27,26.8899,26.895,2464,0
ITDF.US,D,20240104,000000,26.895,26.99,26.8457,26.8457,9722,0
ITDF.US,D,20240105,000000,26.86,27.018,26.83,26.876,36830,0
ITDF.US,D,20240108,000000,26.91,27.1968,26.91,27.1968,1396,0
ITDF.US,D,20240109,000000,27.05,27.08,27.05,27.0795,3753,0
ITDF.US,D,20240110,000000,27.1082,27.1735,27.1082,27.1735,10899,0
ITDF.US,D,20240111,000000,27.005,27.19,27,27.1889,10408,0
ITDF.US,D,20240112,000000,27.34,27.37,27.18,27.235,10288,0
ITDF.US,D,20240116,000000,27.06,27.06,26.94,26.96,1852,0
ITDF.US,D,20240117,000000,26.71,26.7557,26.71,26.7557,1294,0
ITDF.US,D,20240118,000000,26.8498,26.9574,26.8498,26.9574,212,0
ITDF.US,D,20240119,000000,27.03,27.2021,27.03,27.2021,450,0
ITDF.US,D,20240122,000000,27.3,27.34,27.2808,27.2808,1776,0
ITDF.US,D,20240123,000000,27.27,27.3191,27.2299,27.3191,1522,0
ITDF.US,D,20240124,000000,27.3825,27.3825,27.3825,27.3825,41,0
ITDF.US,D,20240125,000000,27.45,27.486,27.41,27.486,1941,0
ITDF.US,D,20240126,000000,27.56,27.56,27.5253,27.5253,5887,0
ITDF.US,D,20240129,000000,27.58,27.7081,27.54,27.7081,2867,0
ITDF.US,D,20240130,000000,27.69,27.69,27.62,27.6712,2754,0
ITDF.US,D,20240131,000000,27.36,27.36,27.3552,27.3555,1711,0
ITDF.US,D,20240201,000000,27.4999,27.639,27.45,27.639,1877,0
ITDF.US,D,20240202,000000,27.61,27.78,27.61,27.73,8325,0
ITDF.US,D,20240205,000000,27.68,27.68,27.5166,27.6184,3165,0
ITDF.US,D,20240206,000000,27.71,27.77,27.7099,27.7685,21000,0
ITDF.US,D,20240207,000000,27.86,27.92,27.7801,27.8951,2270,0
ITDF.US,D,20240208,000000,27.878,27.8892,27.87,27.8892,741,0
ITDF.US,D,20240209,000000,27.93,28.04,27.93,28.038,574,0
