<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DFVE.US,D,20240201,000000,25.08,25.2924,24.94,25.2924,2553,0
DFVE.US,D,20240202,000000,25.27,25.3591,25.0941,25.3115,4656,0
DFVE.US,D,20240205,000000,24.95,25.1,24.9162,25.0542,3210,0
DFVE.US,D,20240206,000000,25.1,25.15,25.1,25.145,402,0
DFVE.US,D,20240207,000000,25.23,25.27,25.218,25.218,405,0
DFVE.US,D,20240208,000000,25.21,25.35,25.21,25.3277,642,0
DFVE.US,D,20240209,000000,25.3976,25.3976,25.3976,25.3976,18,0
DFVE.US,D,20240212,000000,25.6802,25.6802,25.6802,25.6802,5,0
DFVE.US,D,20240213,000000,25.2,25.2,25.0015,25.1332,2764,0
DFVE.US,D,20240214,000000,25.2601,25.41,25.2601,25.4062,3456,0
DFVE.US,D,20240215,000000,25.683,25.79,25.683,25.7368,1560,0
DFVE.US,D,20240216,000000,25.72,25.72,25.5878,25.5878,481,0
DFVE.US,D,20240220,000000,25.4902,25.55,25.4629,25.4629,4808,0
DFVE.US,D,20240221,000000,25.5286,25.5286,25.5286,25.5286,90,0
DFVE.US,D,20240222,000000,25.72,25.8012,25.72,25.8012,341,0
DFVE.US,D,20240223,000000,25.8963,25.97,25.8963,25.9427,606,0
DFVE.US,D,20240226,000000,25.87,25.87,25.869,25.869,544,0
DFVE.US,D,20240227,000000,26.01,26.0467,26.01,26.0467,155,0
DFVE.US,D,20240228,000000,26.11,26.11,26.0177,26.0177,1326,0
DFVE.US,D,20240229,000000,26.07,26.19,26.07,26.19,1234,0
DFVE.US,D,20240301,000000,26.2797,26.31,26.2448,26.2849,6919,0
DFVE.US,D,20240304,000000,26.35,26.35,26.2899,26.2899,231,0
DFVE.US,D,20240305,000000,26.25,26.25,26.1992,26.1992,541,0
DFVE.US,D,20240306,000000,26.27,26.2894,26.2699,26.2894,431,0
DFVE.US,D,20240307,000000,26.5179,26.5179,26.5179,26.5179,220,0
DFVE.US,D,20240308,000000,26.66,26.66,26.5,26.514,1111,0
DFVE.US,D,20240311,000000,26.5418,26.5418,26.5418,26.5418,78,0
DFVE.US,D,20240312,000000,26.65,26.65,26.61,26.6397,2451,0
DFVE.US,D,20240313,000000,26.75,26.75,26.7103,26.7103,217,0
DFVE.US,D,20240314,000000,26.49,26.49,26.45,26.45,530,0
DFVE.US,D,20240315,000000,26.49,26.5155,26.42,26.4709,1403,0
DFVE.US,D,20240318,000000,26.59,26.59,26.5149,26.5149,764,0
DFVE.US,D,20240319,000000,26.6991,26.6991,26.6991,26.6991,11,0
DFVE.US,D,20240320,000000,26.79,27.0188,26.79,27.0188,166,0
DFVE.US,D,20240321,000000,27.2996,27.2996,27.2845,27.2845,233,0
DFVE.US,D,20240322,000000,27.095,27.095,27.0881,27.0881,136,0
DFVE.US,D,20240325,000000,27.16,27.16,27.0601,27.0601,560,0
DFVE.US,D,20240326,000000,27.15,27.15,27.0337,27.0337,1448,0
DFVE.US,D,20240327,000000,27.33,27.4672,27.33,27.4672,855,0
DFVE.US,D,20240328,000000,27.5905,27.6389,27.5905,27.6389,540,0
DFVE.US,D,20240401,000000,27.4,27.44,27.4,27.4135,594,0
DFVE.US,D,20240402,000000,27.21,27.21,27.0901,27.13,1614,0
