<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARKZ.US,D,20231115,000000,25.63,26.14,25.5115,26.056,11837,0
ARKZ.US,D,20231116,000000,25.58,25.8,24.9101,24.9101,3435,0
ARKZ.US,D,20231117,000000,24.56,24.73,24.51,24.703,4398,0
ARKZ.US,D,20231120,000000,25.805,26.23,25.79,25.95,7671,0
ARKZ.US,D,20231121,000000,25.48,25.595,24.92,25.4166,10012,0
ARKZ.US,D,20231122,000000,25.87,26.5035,25.87,26.5035,1666,0
ARKZ.US,D,20231124,000000,27.05,27.18,26.85,26.9338,4696,0
ARKZ.US,D,20231127,000000,25.44,25.61,25.22,25.3025,2257,0
ARKZ.US,D,20231128,000000,25.83,26.32,25.83,26.32,723,0
ARKZ.US,D,20231129,000000,26.0152,26.0152,25.63,25.6754,846,0
ARKZ.US,D,20231130,000000,25.81,25.91,25.77,25.91,1826,0
ARKZ.US,D,20231201,000000,26.515,26.53,26.515,26.5242,1556,0
ARKZ.US,D,20231204,000000,28.13,28.24,28.13,28.212,2961,0
ARKZ.US,D,20231205,000000,27.9762,28.8,27.97,28.72,9820,0
ARKZ.US,D,20231206,000000,28.86,28.86,28.5175,28.5175,1685,0
ARKZ.US,D,20231207,000000,28.54,29.76,28.54,29.7035,7047,0
ARKZ.US,D,20231208,000000,29.89,29.937,29.76,29.937,673,0
ARKZ.US,D,20231211,000000,27.895,27.895,27.55,27.75,2957,0
ARKZ.US,D,20231212,000000,27.5762,27.5762,27.44,27.5371,4921,0
ARKZ.US,D,20231213,000000,27.83,28.5092,27.83,28.5092,397,0
ARKZ.US,D,20231214,000000,28.83,29.17,28.8299,28.91,4053,0
ARKZ.US,D,20231215,000000,28.44,30.85,28.26,28.32,86321,0
ARKZ.US,D,20231218,000000,27.448,27.448,27.448,27.448,76,0
ARKZ.US,D,20231219,000000,27.1898,27.33,27.1898,27.29,27113,0
ARKZ.US,D,20231220,000000,28.18,28.18,27.26,27.3539,1159,0
ARKZ.US,D,20231221,000000,28.0046,28.0046,28.0046,28.0046,177,0
ARKZ.US,D,20231222,000000,29.2304,29.2304,29.11,29.21,3611,0
