<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BAMB.US,D,20231004,000000,24.965,24.965,24.965,24.965,1,0
BAMB.US,D,20231005,000000,24.985,24.985,24.985,24.985,1,0
BAMB.US,D,20231006,000000,24.955,24.955,24.955,24.955,1,0
BAMB.US,D,20231009,000000,25.05,25.05,25.05,25.05,347,0
BAMB.US,D,20231010,000000,25.035,25.035,25.035,25.035,1,0
BAMB.US,D,20231011,000000,25.055,25.055,25.055,25.055,13,0
BAMB.US,D,20231012,000000,25.04,25.04,25.005,25.005,2708,0
BAMB.US,D,20231013,000000,25.04,25.04,25.04,25.04,811,0
BAMB.US,D,20231016,000000,24.9994,24.9994,24.9994,24.9994,122,0
BAMB.US,D,20231017,000000,24.93,24.93,24.9275,24.9275,2946,0
BAMB.US,D,20231018,000000,24.905,24.905,24.905,24.905,1,0
BAMB.US,D,20231019,000000,24.89,24.895,24.89,24.895,670,0
BAMB.US,D,20231020,000000,24.93,24.935,24.93,24.935,941,0
BAMB.US,D,20231023,000000,24.97,24.98,24.97,24.971,93523,0
BAMB.US,D,20231024,000000,24.975,24.9755,24.97,24.9755,328590,0
BAMB.US,D,20231025,000000,24.9308,24.94,24.9308,24.9368,2325,0
BAMB.US,D,20231026,000000,24.985,24.985,24.9701,24.985,3487,0
BAMB.US,D,20231027,000000,24.99,25,24.99,25,551,0
BAMB.US,D,20231030,000000,24.98,24.98,24.98,24.98,527,0
BAMB.US,D,20231031,000000,25.01,25.01,24.9793,24.9793,3182,0
BAMB.US,D,20231101,000000,25.055,25.055,25.055,25.055,136,0
BAMB.US,D,20231102,000000,25.09,25.11,25.09,25.0951,883,0
BAMB.US,D,20231103,000000,25.19,25.19,25.16,25.173,3541,0
BAMB.US,D,20231106,000000,25.1103,25.12,25.11,25.12,3622,0
BAMB.US,D,20231107,000000,25.16,25.16,25.16,25.16,261,0
BAMB.US,D,20231108,000000,25.17,25.18,25.17,25.17,212039,0
BAMB.US,D,20231109,000000,25.1575,25.1575,25.11,25.11,387417,0
BAMB.US,D,20231110,000000,25.13,25.13,25.11,25.118,347816,0
BAMB.US,D,20231113,000000,25.12,25.12,25.11,25.12,8808,0
BAMB.US,D,20231114,000000,25.24,25.245,25.24,25.245,71187,0
BAMB.US,D,20231115,000000,25.1817,25.21,25.16,25.19,17953,0
BAMB.US,D,20231116,000000,25.2475,25.26,25.24,25.25,3897,0
BAMB.US,D,20231117,000000,25.2401,25.25,25.24,25.25,19787,0
BAMB.US,D,20231120,000000,25.2507,25.26,25.2507,25.26,358825,0
BAMB.US,D,20231121,000000,25.27,25.28,25.25,25.26,10905,0
BAMB.US,D,20231122,000000,25.26,25.282,25.26,25.282,11739,0
BAMB.US,D,20231124,000000,25.25,25.2593,25.2328,25.2593,2815,0
BAMB.US,D,20231127,000000,25.26,25.33,25.26,25.32,90747,0
