<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EQTY.US,D,20221214,000000,16.23,16.55,16.23,16.3763,42287,0
EQTY.US,D,20221215,000000,15.9177,16,15.75,15.833,48542,0
EQTY.US,D,20221216,000000,15.65,15.7,15.56,15.6839,45241,0
EQTY.US,D,20221219,000000,15.51,15.6,15.39,15.4399,493081,0
EQTY.US,D,20221220,000000,15.29,15.56,15.29,15.5024,507280,0
EQTY.US,D,20221221,000000,15.58,15.78,15.58,15.7309,396867,0
EQTY.US,D,20221222,000000,15.52,15.53,15.28,15.5253,621494,0
EQTY.US,D,20221223,000000,15.5,15.6605,15.5,15.6605,703533,0
EQTY.US,D,20221227,000000,15.84,15.84,15.53,15.6031,1000019,0
EQTY.US,D,20221228,000000,15.47,15.66,15.38,15.4049,755713,0
EQTY.US,D,20221229,000000,15.4985,15.76,15.4985,15.76,185359,0
EQTY.US,D,20221230,000000,15.46,15.71,15.46,15.7,127479,0
EQTY.US,D,20230103,000000,15.91,15.92,15.6019,15.76,17305,0
EQTY.US,D,20230104,000000,15.93,16.0368,15.82,15.96,38504,0
EQTY.US,D,20230105,000000,15.78,15.88,15.76,15.795,71442,0
EQTY.US,D,20230106,000000,15.94,16.24,15.93,16.19,47173,0
EQTY.US,D,20230109,000000,16.37,16.44,16.23,16.24,28939,0
EQTY.US,D,20230110,000000,16.2099,16.3414,16.2,16.3414,22585,0
EQTY.US,D,20230111,000000,16.44,16.55,16.44,16.55,116348,0
EQTY.US,D,20230112,000000,16.55,16.68,16.55,16.68,9430,0
EQTY.US,D,20230113,000000,16.5999,16.7,16.57,16.68,80138,0
EQTY.US,D,20230117,000000,16.62,16.7394,16.61,16.66,62960,0
EQTY.US,D,20230118,000000,16.69,16.74,16.4,16.4067,51632,0
EQTY.US,D,20230119,000000,16.215,16.36,16.19,16.25,124970,0
EQTY.US,D,20230120,000000,16.3605,16.66,16.3605,16.66,59405,0
EQTY.US,D,20230123,000000,16.62,16.93,16.62,16.8491,579858,0
EQTY.US,D,20230124,000000,16.89,16.93,16.805,16.85,279643,0
EQTY.US,D,20230125,000000,16.49,16.9,16.49,16.89,4493524,0
EQTY.US,D,20230126,000000,16.95,17.09,16.8957,17.09,4382740,0
EQTY.US,D,20230127,000000,17.155,17.25,17.0885,17.12,393264,0
EQTY.US,D,20230130,000000,17.05,17.08,16.95,16.96,1311546,0
EQTY.US,D,20230131,000000,17.06,17.23,16.99,17.23,327579,0
EQTY.US,D,20230201,000000,17.24,17.6,17.135,17.4627,616130,0
EQTY.US,D,20230202,000000,17.9,17.95,17.765,17.8323,47989,0
EQTY.US,D,20230203,000000,17.68,17.88,17.66,17.6939,188758,0
EQTY.US,D,20230206,000000,17.62,17.65,17.5208,17.5996,72447,0
EQTY.US,D,20230207,000000,17.5107,17.83,17.495,17.8,245501,0
EQTY.US,D,20230208,000000,17.6312,17.685,17.535,17.57,167459,0
EQTY.US,D,20230209,000000,17.79,17.8,17.36,17.4033,60703,0
