<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QLTI.US,D,20241108,000000,24.1845,24.19,24.18,24.185,2164,0
QLTI.US,D,20241111,000000,24.11,24.12,24.055,24.055,26253,0
QLTI.US,D,20241112,000000,23.7501,23.7501,23.5157,23.6151,13931,0
QLTI.US,D,20241113,000000,23.42,23.49,23.28,23.4751,22350,0
QLTI.US,D,20241114,000000,23.54,23.62,23.5197,23.52,8136,0
QLTI.US,D,20241115,000000,23.29,23.29,23.2,23.2187,12691,0
QLTI.US,D,20241118,000000,23.168,23.27,23.168,23.265,4697,0
QLTI.US,D,20241119,000000,23.268,23.3547,23.26,23.3547,31277,0
QLTI.US,D,20241120,000000,23.19,23.1958,23.11,23.1958,5206,0
QLTI.US,D,20241121,000000,23.0235,23.18,23.0235,23.175,3916,0
QLTI.US,D,20241122,000000,23.27,23.36,23.24,23.2831,9450,0
QLTI.US,D,20241125,000000,23.4823,25.1,23.35,23.4,7557,0
QLTI.US,D,20241126,000000,23.43,23.59,23.2718,23.3387,23702,0
QLTI.US,D,20241127,000000,23.38,23.42,23.27,23.27,5241,0
QLTI.US,D,20241129,000000,23.6,23.7328,23.6,23.7328,3926,0
QLTI.US,D,20241202,000000,23.7293,23.8111,23.7293,23.8111,879,0
QLTI.US,D,20241203,000000,23.915,24,23.915,23.966,3806,0
QLTI.US,D,20241204,000000,24.15,24.15,24.0991,24.0991,473,0
QLTI.US,D,20241205,000000,24.146,24.2151,23.87,24.2066,4077,0
QLTI.US,D,20241206,000000,24.285,24.2909,24.2156,24.2909,4454,0
QLTI.US,D,20241209,000000,24.32,24.33,24.255,24.255,11577,0
QLTI.US,D,20241210,000000,24,24,23.81,23.8295,4718,0
QLTI.US,D,20241211,000000,23.919,23.9209,23.915,23.915,859,0
QLTI.US,D,20241212,000000,23.76,23.8348,23.705,23.705,2449,0
QLTI.US,D,20241213,000000,23.705,23.71,23.63,23.6972,6733,0
QLTI.US,D,20241216,000000,23.65,23.77,23.65,23.7421,3514,0
QLTI.US,D,20241217,000000,23.75,23.75,23.6795,23.6795,3362,0
QLTI.US,D,20241218,000000,23.735,23.735,23.1353,23.1353,1358,0
QLTI.US,D,20241219,000000,23.21,23.21,23.033,23.033,1225,0
QLTI.US,D,20241220,000000,22.69,23.1,22.69,22.9656,11961,0
QLTI.US,D,20241223,000000,23,23.1024,23,23.1024,568,0
QLTI.US,D,20241224,000000,22.49,23.18,22.49,23.1538,4780,0
QLTI.US,D,20241226,000000,23.21,23.2376,23.21,23.2376,170,0
QLTI.US,D,20241227,000000,23.16,23.16,23.09,23.1484,1657,0
