<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PJFM.US,D,20231220,000000,50.36,50.36,49.4752,49.4752,1550,0
PJFM.US,D,20231221,000000,50.0764,50.0764,50.0764,50.0764,2,0
PJFM.US,D,20231227,000000,50.64,50.64,50.6162,50.6162,100,0
PJFM.US,D,20231228,000000,50.67,50.7066,50.67,50.7066,100,0
PJFM.US,D,20240102,000000,50.2077,50.2077,50.2077,50.2077,1,0
PJFM.US,D,20240104,000000,49.3369,49.3369,49.3369,49.3369,1,0
PJFM.US,D,20240105,000000,49.4785,49.4785,49.4785,49.4785,2,0
PJFM.US,D,20240111,000000,50.0047,50.0047,50.0047,50.0047,3,0
PJFM.US,D,20240124,000000,50.75,50.75,50.2501,50.2501,140,0
PJFM.US,D,20240213,000000,51.07,51.07,51.07,51.07,502,0
PJFM.US,D,20240214,000000,51.25,51.6346,51.25,51.6346,501,0
PJFM.US,D,20240215,000000,52.1946,52.1946,52.1946,52.1946,1,0
PJFM.US,D,20240216,000000,52.0243,52.0243,52.0243,52.0243,1,0
PJFM.US,D,20240220,000000,51.8698,51.8698,51.8698,51.8698,1,0
PJFM.US,D,20240221,000000,51.8699,51.8699,51.8699,51.8699,1,0
PJFM.US,D,20240222,000000,52.5555,52.5555,52.5555,52.5555,1,0
PJFM.US,D,20240223,000000,52.5763,52.5763,52.5763,52.5763,1,0
PJFM.US,D,20240226,000000,52.5222,52.5222,52.5222,52.5222,1,0
PJFM.US,D,20240227,000000,52.7506,52.7506,52.7506,52.7506,20,0
PJFM.US,D,20240228,000000,52.8186,52.8186,52.8186,52.8186,1,0
PJFM.US,D,20240229,000000,52.9602,52.9602,52.9602,52.9602,10,0
PJFM.US,D,20240301,000000,53.1048,53.1048,53.1048,53.1048,5,0
PJFM.US,D,20240304,000000,53.2,53.2,53.1083,53.1083,500,0
PJFM.US,D,20240305,000000,52.8914,52.8914,52.8914,52.8914,1,0
PJFM.US,D,20240306,000000,53.0716,53.0716,53.0716,53.0716,1,0
PJFM.US,D,20240307,000000,53.4847,53.4847,53.4847,53.4847,1,0
PJFM.US,D,20240308,000000,53.1837,53.1837,53.1837,53.1837,1,0
PJFM.US,D,20240311,000000,53.1952,53.1952,53.1952,53.1952,9,0
PJFM.US,D,20240312,000000,53.4139,53.4139,53.4139,53.4139,1,0
PJFM.US,D,20240313,000000,53.3006,53.3006,53.3006,53.3006,1,0
PJFM.US,D,20240314,000000,52.8511,52.8511,52.8511,52.8511,1,0
PJFM.US,D,20240315,000000,52.859,52.859,52.859,52.859,9,0
PJFM.US,D,20240318,000000,52.6502,52.6502,52.6502,52.6502,9,0
PJFM.US,D,20240319,000000,52.9841,52.9841,52.9841,52.9841,9,0
PJFM.US,D,20240320,000000,53.401,53.401,53.401,53.401,9,0
PJFM.US,D,20240321,000000,53.7382,53.7382,53.7382,53.7382,9,0
PJFM.US,D,20240322,000000,53.3289,53.3289,53.3289,53.3289,9,0
PJFM.US,D,20240325,000000,53.2872,53.2872,53.2872,53.2872,9,0
PJFM.US,D,20240326,000000,53.4166,53.4166,53.4166,53.4166,9,0
PJFM.US,D,20240327,000000,53.889,53.889,53.889,53.889,9,0
PJFM.US,D,20240328,000000,54.0539,54.0539,54.0539,54.0539,9,0
PJFM.US,D,20240401,000000,53.5373,53.5373,53.5373,53.5373,9,0
PJFM.US,D,20240402,000000,52.9464,52.9464,52.9464,52.9464,9,0
PJFM.US,D,20240403,000000,53.0007,53.0007,53.0007,53.0007,9,0
PJFM.US,D,20240404,000000,52.3406,52.3406,52.3406,52.3406,9,0
PJFM.US,D,20240405,000000,52.5499,52.7662,52.5499,52.7662,195,0
PJFM.US,D,20240408,000000,52.8438,52.8438,52.8438,52.8438,9,0
PJFM.US,D,20240409,000000,52.9877,52.9877,52.9877,52.9877,9,0
PJFM.US,D,20240410,000000,52.1817,52.1817,52.1817,52.1817,9,0
PJFM.US,D,20240411,000000,52.1002,52.1002,52.1002,52.1002,9,0
PJFM.US,D,20240412,000000,51.1988,51.1988,51.1988,51.1988,5,0
PJFM.US,D,20240415,000000,50.7223,50.7223,50.7223,50.7223,1,0
PJFM.US,D,20240416,000000,50.387,50.387,50.387,50.387,1,0
PJFM.US,D,20240417,000000,50.0535,50.0535,50.0535,50.0535,11,0
PJFM.US,D,20240418,000000,49.808,49.808,49.808,49.808,2,0
PJFM.US,D,20240419,000000,49.838,49.838,49.838,49.838,9,0
PJFM.US,D,20240422,000000,50.2567,50.2567,50.2567,50.2567,2,0
PJFM.US,D,20240423,000000,50.8752,50.8752,50.8752,50.8752,14,0
PJFM.US,D,20240424,000000,51.0487,51.0487,51.0487,51.0487,13,0
PJFM.US,D,20240425,000000,51.1928,51.1928,51.1928,51.1928,1,0
PJFM.US,D,20240426,000000,50.9086,50.9086,50.9086,50.9086,13,0
PJFM.US,D,20240429,000000,51.0545,51.0545,51.0545,51.0545,8,0
PJFM.US,D,20240430,000000,50.57,50.57,50.1978,50.1978,1575,0
PJFM.US,D,20240501,000000,50.3383,50.3383,50.3383,50.3383,5,0
PJFM.US,D,20240502,000000,50.6907,50.6907,50.6907,50.6907,1,0
PJFM.US,D,20240503,000000,51.12,51.12,51.0385,51.0385,1018,0
PJFM.US,D,20240506,000000,51.6392,51.6392,51.6392,51.6392,1,0
PJFM.US,D,20240507,000000,51.9684,51.9684,51.9684,51.9684,50,0
PJFM.US,D,20240508,000000,51.8794,51.8794,51.8794,51.8794,50,0
PJFM.US,D,20240509,000000,52.3416,52.3416,52.3416,52.3416,50,0
PJFM.US,D,20240510,000000,52.6001,52.6001,52.6001,52.6001,50,0
PJFM.US,D,20240513,000000,52.3089,52.3089,52.3089,52.3089,10,0
