<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PJBF.US,D,20231227,000000,50.4758,50.4758,50.4758,50.4758,47,0
PJBF.US,D,20231228,000000,50.337,50.337,50.337,50.337,20,0
PJBF.US,D,20231229,000000,50.2261,50.2261,50.2261,50.2261,30,0
PJBF.US,D,20240102,000000,49.0523,49.0523,49.0523,49.0523,120,0
PJBF.US,D,20240103,000000,48.5484,48.5484,48.5484,48.5484,139,0
PJBF.US,D,20240104,000000,48.293,48.293,48.293,48.293,67,0
PJBF.US,D,20240105,000000,48.4039,48.4039,48.4039,48.4039,61,0
PJBF.US,D,20240108,000000,49.39,49.6254,49.3685,49.6254,288,0
PJBF.US,D,20240109,000000,49.9,49.9,49.7997,49.7997,501,0
PJBF.US,D,20240110,000000,50.5593,50.5593,50.5593,50.5593,2,0
PJBF.US,D,20240111,000000,50.7584,50.762,50.7584,50.762,160,0
PJBF.US,D,20240112,000000,50.9648,50.9648,50.9648,50.9648,58,0
PJBF.US,D,20240116,000000,50.914,50.914,50.914,50.914,7,0
PJBF.US,D,20240117,000000,50.5648,50.5648,50.5648,50.5648,7,0
PJBF.US,D,20240118,000000,51.2891,51.2891,51.2891,51.2891,7,0
PJBF.US,D,20240119,000000,52.158,52.158,52.158,52.158,7,0
PJBF.US,D,20240122,000000,52.57,52.57,52.2656,52.2656,100,0
PJBF.US,D,20240123,000000,52.2683,52.2683,52.2683,52.2683,7,0
PJBF.US,D,20240124,000000,53.2082,53.26,52.72,52.72,894,0
PJBF.US,D,20240125,000000,52.81,52.81,52.81,52.81,100,0
PJBF.US,D,20240126,000000,53.2233,53.2233,53.2233,53.2233,7,0
PJBF.US,D,20240129,000000,53.7996,53.7996,53.7996,53.7996,27,0
PJBF.US,D,20240130,000000,53.5229,53.5648,53.5229,53.5648,263,0
PJBF.US,D,20240131,000000,52.6781,52.6781,52.6781,52.6781,6,0
PJBF.US,D,20240201,000000,53.8192,53.8192,53.8192,53.8192,71,0
PJBF.US,D,20240202,000000,54.7125,54.7125,54.7125,54.7125,7,0
PJBF.US,D,20240205,000000,55.0404,55.0404,55.0404,55.0404,46,0
PJBF.US,D,20240206,000000,54.6488,54.6488,54.6488,54.6488,21,0
PJBF.US,D,20240207,000000,55.5179,55.5179,55.5179,55.5179,85,0
PJBF.US,D,20240208,000000,55.862,55.862,55.862,55.862,37,0
PJBF.US,D,20240209,000000,56.9767,56.9767,56.9767,56.9767,85,0
PJBF.US,D,20240212,000000,56.4401,56.4401,56.4401,56.4401,22,0
PJBF.US,D,20240214,000000,56.5709,56.5709,56.5709,56.5709,54,0
PJBF.US,D,20240215,000000,56.5997,56.5997,56.5997,56.5997,52,0
PJBF.US,D,20240216,000000,56.478,56.478,56.478,56.478,16,0
PJBF.US,D,20240220,000000,55.7355,55.7355,55.7355,55.7355,84,0
PJBF.US,D,20240221,000000,54.9226,54.9226,54.9226,54.9226,4,0
PJBF.US,D,20240222,000000,57.2783,57.2783,57.2783,57.2783,63,0
PJBF.US,D,20240223,000000,56.917,56.917,56.917,56.917,52,0
PJBF.US,D,20240226,000000,57.21,57.21,57.21,57.21,77,0
PJBF.US,D,20240227,000000,57.1661,57.1661,57.1661,57.1661,3,0
PJBF.US,D,20240228,000000,56.9156,56.9156,56.9156,56.9156,9,0
PJBF.US,D,20240229,000000,57.117,57.117,57.117,57.117,85,0
PJBF.US,D,20240301,000000,58.0189,58.0189,58.0189,58.0189,4,0
PJBF.US,D,20240304,000000,57.9794,57.9794,57.9794,57.9794,95,0
PJBF.US,D,20240305,000000,56.6925,56.6925,56.6925,56.6925,57,0
PJBF.US,D,20240306,000000,57.3026,57.3026,57.3026,57.3026,29,0
PJBF.US,D,20240307,000000,58.4839,58.4839,58.4839,58.4839,17,0
PJBF.US,D,20240308,000000,58.7,58.7,57.3316,57.3316,288,0
PJBF.US,D,20240311,000000,56.7814,56.7814,56.7814,56.7814,10,0
PJBF.US,D,20240312,000000,57.8673,57.8673,57.8673,57.8673,3,0
PJBF.US,D,20240313,000000,57.7389,57.7389,57.7389,57.7389,24,0
PJBF.US,D,20240314,000000,57.6829,57.6829,57.6829,57.6829,18,0
PJBF.US,D,20240315,000000,57.2897,57.2897,56.8848,56.8848,192,0
PJBF.US,D,20240318,000000,57.29,57.29,57.0838,57.0838,225,0
PJBF.US,D,20240319,000000,57.2721,57.2721,57.2721,57.2721,16,0
PJBF.US,D,20240320,000000,57.957,57.957,57.957,57.957,2,0
PJBF.US,D,20240321,000000,58.3116,58.3116,58.3116,58.3116,5,0
PJBF.US,D,20240322,000000,58.3338,58.3338,58.3338,58.3338,17,0
PJBF.US,D,20240325,000000,58.3,58.3,58.2965,58.2965,214,0
PJBF.US,D,20240326,000000,58.0495,58.0495,58.0495,58.0495,3,0
PJBF.US,D,20240327,000000,57.7628,57.7628,57.7628,57.7628,24,0
PJBF.US,D,20240328,000000,57.7067,57.7067,57.7067,57.7067,19,0
PJBF.US,D,20240401,000000,57.7316,57.7316,57.7316,57.7316,1,0
PJBF.US,D,20240402,000000,57.019,57.019,57.019,57.019,2,0
PJBF.US,D,20240403,000000,57.2185,57.2185,57.2185,57.2185,2,0
PJBF.US,D,20240404,000000,57.81,57.81,56.4518,56.4518,1316,0
PJBF.US,D,20240405,000000,57.2338,57.2338,57.2338,57.2338,27,0
PJBF.US,D,20240408,000000,57.226,57.226,57.226,57.226,64,0
PJBF.US,D,20240409,000000,56.8733,56.8733,56.8733,56.8733,85,0
PJBF.US,D,20240410,000000,56.5795,56.5795,56.5795,56.5795,123,0
PJBF.US,D,20240411,000000,57.4329,57.4329,57.4329,57.4329,22,0
PJBF.US,D,20240412,000000,56.5401,56.5401,56.2235,56.2235,1505,0
PJBF.US,D,20240415,000000,56.34,56.34,55.548,55.548,677,0
PJBF.US,D,20240416,000000,55.81,55.81,55.6807,55.6807,372,0
PJBF.US,D,20240417,000000,55.2561,55.2561,55.2561,55.2561,71,0
PJBF.US,D,20240418,000000,55,55,54.9367,54.9367,275,0
PJBF.US,D,20240419,000000,54.4705,54.4705,54.3,54.3,843,0
PJBF.US,D,20240422,000000,54.1901,54.1901,54.1901,54.1901,50,0
PJBF.US,D,20240423,000000,55.25,55.335,55.235,55.335,767,0
PJBF.US,D,20240424,000000,55.0939,55.0939,55.0939,55.0939,13,0
PJBF.US,D,20240425,000000,54.6998,54.6998,54.6998,54.6998,282,0
PJBF.US,D,20240426,000000,55.69,55.8198,55.69,55.8198,230,0
PJBF.US,D,20240429,000000,55.73,55.7331,55.73,55.7331,113,0
PJBF.US,D,20240430,000000,54.8721,54.8721,54.8721,54.8721,54,0
PJBF.US,D,20240501,000000,54.5152,54.5152,54.5152,54.5152,154,0
PJBF.US,D,20240502,000000,54.91,55.0375,54.91,55.0375,317,0
PJBF.US,D,20240503,000000,56.327,56.327,56.327,56.327,9,0
PJBF.US,D,20240506,000000,57.0474,57.0474,57.0474,57.0474,1,0
PJBF.US,D,20240507,000000,56.89,56.96,56.79,56.8358,39875,0
PJBF.US,D,20240508,000000,57.04,57.04,57.0239,57.0239,8001,0
PJBF.US,D,20240509,000000,57.1,57.13,57.0243,57.0243,838,0
PJBF.US,D,20240510,000000,57.1168,57.1168,57.1168,57.1168,53,0
PJBF.US,D,20240513,000000,57.0072,57.108,57.0072,57.108,5199,0
PJBF.US,D,20240514,000000,57.2801,57.5985,57.2801,57.5985,173,0
PJBF.US,D,20240515,000000,58.7716,58.7716,58.7716,58.7716,168,0
PJBF.US,D,20240516,000000,58.2552,58.2552,58.2552,58.2552,41,0
PJBF.US,D,20240517,000000,58.1284,58.1284,58.1284,58.1284,6,0
PJBF.US,D,20240520,000000,58.5247,58.5247,58.5247,58.5247,26,0
PJBF.US,D,20240521,000000,58.6839,58.6839,58.6839,58.6839,143,0
PJBF.US,D,20240522,000000,58.475,58.55,58.231,58.231,9381,0
PJBF.US,D,20240523,000000,58.9,59.09,58.3842,58.3842,947,0
PJBF.US,D,20240524,000000,58.72,59.13,58.72,58.9647,3808,0
PJBF.US,D,20240528,000000,59.23,59.2641,59.23,59.2641,721,0
PJBF.US,D,20240529,000000,58.79,58.96,58.79,58.7952,2893,0
PJBF.US,D,20240530,000000,57.9622,58.1189,57.9622,58.1189,5223,0
PJBF.US,D,20240531,000000,57.92,57.92,57.92,57.92,142,0
PJBF.US,D,20240603,000000,58.33,58.33,57.73,58.0609,1106,0
PJBF.US,D,20240604,000000,58.0097,58.1428,58.0097,58.1428,242,0
PJBF.US,D,20240605,000000,59.19,59.66,59.19,59.66,819,0
PJBF.US,D,20240606,000000,59.64,59.64,59.64,59.64,567,0
PJBF.US,D,20240607,000000,59.323,59.56,59.323,59.3724,905,0
PJBF.US,D,20240610,000000,59.73,59.73,59.73,59.73,229,0
PJBF.US,D,20240611,000000,59.47,59.87,59.47,59.87,1493,0
PJBF.US,D,20240612,000000,60.92,61.0073,60.92,61.0073,551,0
PJBF.US,D,20240613,000000,61.01,61.26,61.01,61.2204,2360,0
PJBF.US,D,20240614,000000,60.65,60.8643,60.65,60.8643,223,0
PJBF.US,D,20240617,000000,61.29,61.79,61.29,61.69,1284,0
PJBF.US,D,20240618,000000,61.93,61.93,61.7358,61.7358,140,0
PJBF.US,D,20240620,000000,62.15,62.15,61.3541,61.3541,229,0
PJBF.US,D,20240621,000000,60.7,61.14,60.7,61.0342,991,0
PJBF.US,D,20240624,000000,60.2586,60.2586,60.2586,60.2586,83,0
PJBF.US,D,20240625,000000,60.85,61.3168,60.85,61.3168,139,0
PJBF.US,D,20240626,000000,61.36,61.36,61.36,61.36,259,0
PJBF.US,D,20240627,000000,61.3084,61.3084,61.3084,61.3084,14,0
PJBF.US,D,20240628,000000,61.0546,61.0546,61.0546,61.0546,25,0
PJBF.US,D,20240701,000000,61.3907,61.3907,61.3907,61.3907,14,0
PJBF.US,D,20240702,000000,61.55,61.55,61.55,61.55,33,0
PJBF.US,D,20240703,000000,62.1003,62.1003,62.1003,62.1003,1,0
PJBF.US,D,20240705,000000,62.32,62.92,62.32,62.9,48798,0
PJBF.US,D,20240708,000000,62.865,64.361,62.855,64.361,1455,0
PJBF.US,D,20240709,000000,62.76,62.8,62.76,62.8,796,0
PJBF.US,D,20240710,000000,63.13,63.6408,63.13,63.6408,21511,0
PJBF.US,D,20240711,000000,63.34,63.34,62.648,62.648,258,0
PJBF.US,D,20240712,000000,63.46,63.46,63.2205,63.2205,155,0
PJBF.US,D,20240715,000000,63.15,63.15,62.8537,62.8537,159,0
PJBF.US,D,20240716,000000,62.6901,62.6901,62.6901,62.6901,10,0
PJBF.US,D,20240717,000000,60.3884,60.3884,60.3884,60.3884,11,0
PJBF.US,D,20240718,000000,59.6684,59.6684,59.6684,59.6684,80,0
PJBF.US,D,20240719,000000,59.4187,59.4187,59.4187,59.4187,40,0
PJBF.US,D,20240722,000000,60.3721,60.3721,60.3721,60.3721,37,0
PJBF.US,D,20240723,000000,60.2744,60.2744,60.2744,60.2744,16,0
PJBF.US,D,20240724,000000,58.1415,58.1415,58.1415,58.1415,6,0
PJBF.US,D,20240725,000000,57.4845,57.4845,57.4845,57.4845,65,0
PJBF.US,D,20240726,000000,57.9798,57.9798,57.9798,57.9798,71,0
PJBF.US,D,20240729,000000,57.6232,57.6232,57.6232,57.6232,1,0
PJBF.US,D,20240730,000000,56.947,56.947,56.947,56.947,91,0
PJBF.US,D,20240731,000000,58.7993,58.7993,58.7993,58.7993,3,0
PJBF.US,D,20240801,000000,57.3693,57.3693,57.3693,57.3693,29,0
PJBF.US,D,20240802,000000,55.8467,56.237,55.6701,56.237,1274,0
PJBF.US,D,20240805,000000,53.825,55.06,53.78,54.9211,1686,0
PJBF.US,D,20240806,000000,56.14,56.42,55.82,55.8501,5663,0
PJBF.US,D,20240807,000000,55.1613,55.1613,55.1613,55.1613,1,0
PJBF.US,D,20240808,000000,56.475,56.8907,56.475,56.8907,214,0
PJBF.US,D,20240809,000000,57.6171,57.6171,57.6171,57.6171,30,0
PJBF.US,D,20240812,000000,57.41,57.7065,57.41,57.6173,1953,0
PJBF.US,D,20240813,000000,59.0298,59.0298,59.0298,59.0298,12,0
PJBF.US,D,20240814,000000,59.7189,59.7189,59.7189,59.7189,3,0
PJBF.US,D,20240815,000000,61.0104,61.0104,61.0104,61.0104,3,0
PJBF.US,D,20240816,000000,61.1158,61.1158,61.1158,61.1158,76,0
PJBF.US,D,20240819,000000,61.21,61.7789,61.21,61.7789,560,0
PJBF.US,D,20240820,000000,61.86,61.9098,61.86,61.9098,806,0
PJBF.US,D,20240821,000000,62.2276,62.2276,62.2276,62.2276,70,0
PJBF.US,D,20240822,000000,61.3907,61.3907,61.3907,61.3907,11,0
PJBF.US,D,20240823,000000,62.1258,62.1258,62.1258,62.1258,45,0
PJBF.US,D,20240826,000000,61.5985,61.5985,61.5985,61.5985,18,0
PJBF.US,D,20240827,000000,61.25,62.05,61.25,61.8645,52678,0
PJBF.US,D,20240828,000000,61.6,61.6,61.05,61.2472,598,0
PJBF.US,D,20240829,000000,61.89,62.03,61.35,61.44,3342,0
PJBF.US,D,20240830,000000,62.02,62.2066,61.63,62.2066,3630,0
PJBF.US,D,20240903,000000,61.2,61.2,60.1684,60.1684,333,0
PJBF.US,D,20240904,000000,59.7439,59.7439,59.7439,59.7439,21,0
PJBF.US,D,20240905,000000,59.1703,59.1703,59.1703,59.1703,22,0
PJBF.US,D,20240906,000000,57.8816,57.8816,57.8816,57.8816,3,0
PJBF.US,D,20240909,000000,58.6011,58.6011,58.6011,58.6011,100,0
PJBF.US,D,20240910,000000,58.79,58.79,58.7465,58.7465,856,0
PJBF.US,D,20240911,000000,60.3037,60.3037,60.3037,60.3037,76,0
PJBF.US,D,20240912,000000,60.02,60.952,60.02,60.952,360,0
PJBF.US,D,20240913,000000,61.1201,61.1201,61.0967,61.0967,366,0
PJBF.US,D,20240916,000000,60.94,60.94,60.9159,60.9159,151,0
PJBF.US,D,20240917,000000,60.6112,60.6112,60.6112,60.6112,13,0
PJBF.US,D,20240918,000000,60.4448,60.4448,60.4448,60.4448,110,0
PJBF.US,D,20240919,000000,61.99,62.0553,61.99,62.0553,168,0
PJBF.US,D,20240920,000000,61.5265,61.5265,61.5265,61.5265,22,0
PJBF.US,D,20240923,000000,61.5199,61.5199,61.462,61.462,337,0
