<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JHMU.US,D,20231103,000000,25.23,25.33,25.23,25.32,3400,0
JHMU.US,D,20231106,000000,25.25,25.29,25.25,25.29,775902,0
JHMU.US,D,20231107,000000,25.4599,25.475,25.4599,25.475,285,0
JHMU.US,D,20231108,000000,25.45,25.5,25.45,25.5,1400,0
JHMU.US,D,20231109,000000,25.48,25.48,25.45,25.452,5700,0
JHMU.US,D,20231110,000000,25.6,25.6,25.585,25.585,226,0
JHMU.US,D,20231113,000000,25.57,25.57,25.57,25.57,79,0
JHMU.US,D,20231114,000000,25.8258,25.85,25.8258,25.85,2000,0
JHMU.US,D,20231115,000000,25.6892,25.71,25.6892,25.69,2004,0
JHMU.US,D,20231116,000000,25.838,25.838,25.838,25.838,4,0
JHMU.US,D,20231117,000000,25.78,25.83,25.78,25.83,700,0
JHMU.US,D,20231120,000000,25.84,25.8938,25.84,25.8938,100,0
JHMU.US,D,20231121,000000,25.9,25.95,25.9,25.9211,476,0
JHMU.US,D,20231122,000000,25.93,26.01,25.93,26.01,1050,0
JHMU.US,D,20231124,000000,25.94,25.94,25.91,25.91,2074,0
JHMU.US,D,20231127,000000,25.93,26.07,25.93,26.07,466,0
JHMU.US,D,20231128,000000,26,26.03,26,26.03,446,0
JHMU.US,D,20231129,000000,26.1,26.25,26.1,26.25,7749,0
JHMU.US,D,20231130,000000,26.25,26.25,26.25,26.25,440,0
JHMU.US,D,20231201,000000,26.3,26.365,26.3,26.365,445,0
JHMU.US,D,20231204,000000,26.365,26.365,26.365,26.365,400,0
JHMU.US,D,20231205,000000,26.495,26.495,26.495,26.495,3,0
JHMU.US,D,20231206,000000,26.52,26.52,26.52,26.52,100,0
JHMU.US,D,20231207,000000,26.5898,26.5898,26.5851,26.5851,100,0
JHMU.US,D,20231208,000000,26.5,26.57,26.5,26.55,625,0
JHMU.US,D,20231211,000000,26.56,26.6,26.56,26.6,3200,0
JHMU.US,D,20231212,000000,26.63,26.63,26.605,26.605,301,0
JHMU.US,D,20231213,000000,26.775,26.775,26.775,26.775,2,0
JHMU.US,D,20231214,000000,26.8,26.8499,26.7825,26.83,6140,0
