<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PWER.US,D,20231130,000000,25.22,25.39,25.22,25.3001,5754,0
PWER.US,D,20231201,000000,25.65,26.03,25.65,25.994,1775,0
PWER.US,D,20231204,000000,25.7622,25.7622,25.7622,25.7622,116,0
PWER.US,D,20231205,000000,25.1898,25.1898,25.1898,25.1898,7,0
PWER.US,D,20231206,000000,25.09,25.11,24.885,24.885,885,0
PWER.US,D,20231207,000000,24.9545,24.9545,24.9545,24.9545,5,0
PWER.US,D,20231208,000000,25.1932,25.1932,25.1932,25.1932,10,0
PWER.US,D,20231211,000000,25.0817,25.0817,25.0817,25.0817,6,0
PWER.US,D,20231212,000000,24.6514,24.6514,24.6514,24.6514,5,0
PWER.US,D,20231213,000000,25.651,25.651,25.651,25.651,6,0
PWER.US,D,20231214,000000,27.0824,27.0824,27.0824,27.0824,50,0
PWER.US,D,20231215,000000,27.0556,27.0556,27.0556,27.0556,3,0
PWER.US,D,20231218,000000,27.07,27.07,26.9463,26.9463,244,0
PWER.US,D,20231219,000000,27.685,27.685,27.685,27.685,38,0
PWER.US,D,20231220,000000,27.56,27.56,26.9271,26.9271,119,0
PWER.US,D,20231221,000000,27.5184,27.5184,27.5184,27.5184,1,0
PWER.US,D,20231222,000000,27.6771,27.6771,27.6771,27.6771,4,0
PWER.US,D,20231226,000000,27.9955,27.9955,27.9955,27.9955,1,0
PWER.US,D,20231227,000000,27.9828,27.9828,27.9828,27.9828,1,0
PWER.US,D,20231228,000000,27.7686,27.7686,27.7686,27.7686,8,0
PWER.US,D,20231229,000000,27.517,27.517,27.517,27.517,1,0
PWER.US,D,20240102,000000,27.41,27.41,27.41,27.41,293,0
PWER.US,D,20240103,000000,26.9935,26.9935,26.9935,26.9935,79,0
PWER.US,D,20240104,000000,26.88,26.88,26.6507,26.6507,105,0
PWER.US,D,20240105,000000,26.4961,26.4961,26.4961,26.4961,4,0
PWER.US,D,20240108,000000,26.4786,26.4786,26.4786,26.4786,101,0
PWER.US,D,20240109,000000,26.169,26.169,26.169,26.169,4,0
PWER.US,D,20240110,000000,25.9158,25.9158,25.9158,25.9158,2,0
PWER.US,D,20240111,000000,25.829,25.877,25.8099,25.877,1002,0
PWER.US,D,20240112,000000,26.0126,26.0126,26.0126,26.0126,4,0
PWER.US,D,20240116,000000,25.1051,25.1051,25.1051,25.1051,20,0
PWER.US,D,20240117,000000,24.64,24.64,24.6135,24.6135,114,0
PWER.US,D,20240118,000000,24.5343,24.5343,24.5343,24.5343,3,0
PWER.US,D,20240119,000000,24.583,24.583,24.583,24.583,1,0
PWER.US,D,20240122,000000,24.6604,24.6604,24.6604,24.6604,53,0
PWER.US,D,20240123,000000,25.0386,25.0386,25.0386,25.0386,11,0
PWER.US,D,20240124,000000,24.9853,24.9853,24.9853,24.9853,16,0
PWER.US,D,20240125,000000,25.1793,25.1793,25.1793,25.1793,11,0
PWER.US,D,20240126,000000,25.3128,25.3128,25.3128,25.3128,3,0
PWER.US,D,20240129,000000,25.5473,25.5473,25.5473,25.5473,11,0
PWER.US,D,20240130,000000,25.5221,25.5221,25.5221,25.5221,3,0
PWER.US,D,20240131,000000,25.0446,25.0446,25.0446,25.0446,5,0
PWER.US,D,20240201,000000,25.3929,25.3929,25.3929,25.3929,3,0
PWER.US,D,20240202,000000,25.1679,25.1679,25.1679,25.1679,3,0
PWER.US,D,20240205,000000,24.4357,24.4357,24.4357,24.4357,1,0
PWER.US,D,20240206,000000,24.7452,24.7452,24.7452,24.7452,7,0
PWER.US,D,20240207,000000,24.9794,24.9794,24.9794,24.9794,7,0
PWER.US,D,20240208,000000,24.8735,24.8735,24.8735,24.8735,7,0
PWER.US,D,20240209,000000,24.9364,24.9364,24.9364,24.9364,4,0
PWER.US,D,20240212,000000,25.4492,25.4492,25.4492,25.4492,17,0
PWER.US,D,20240213,000000,24.4738,24.4738,24.4738,24.4738,38,0
PWER.US,D,20240214,000000,24.8812,24.8812,24.8812,24.8812,4,0
PWER.US,D,20240215,000000,25.3949,25.3949,25.3949,25.3949,2,0
PWER.US,D,20240216,000000,25.3989,25.3989,25.3989,25.3989,15,0
PWER.US,D,20240220,000000,24.9002,24.9002,24.9002,24.9002,35,0
PWER.US,D,20240221,000000,25.0665,25.0665,25.0665,25.0665,35,0
PWER.US,D,20240222,000000,24.7,24.7495,24.7,24.7495,500,0
PWER.US,D,20240223,000000,24.606,24.606,24.606,24.606,40,0
PWER.US,D,20240226,000000,24.4762,24.4762,24.4762,24.4762,35,0
