<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MRCP.US,D,20240304,000000,25.18,25.18,25.1362,25.1362,5650,0
MRCP.US,D,20240305,000000,25.06,25.06,24.983,24.983,180,0
MRCP.US,D,20240306,000000,25.1098,25.14,25.06,25.072,5523,0
MRCP.US,D,20240307,000000,25.1516,25.23,25.1516,25.2148,388,0
MRCP.US,D,20240308,000000,25.29,25.34,25.1404,25.1404,9976,0
MRCP.US,D,20240311,000000,25.1,25.11,25.078,25.104,1072,0
MRCP.US,D,20240312,000000,25.2505,25.2505,25.2505,25.2505,99,0
MRCP.US,D,20240313,000000,25.25,25.26,25.23,25.2383,900,0
MRCP.US,D,20240314,000000,25.21,25.21,25.18,25.1891,200,0
MRCP.US,D,20240315,000000,25.12,25.12,25.07,25.1048,500,0
MRCP.US,D,20240318,000000,25.22,25.2438,25.21,25.21,2159,0
MRCP.US,D,20240319,000000,25.16,25.29,25.16,25.2886,4023,0
MRCP.US,D,20240320,000000,25.3868,25.3868,25.3868,25.3868,26,0
MRCP.US,D,20240321,000000,25.48,25.49,25.4268,25.4268,8862,0
MRCP.US,D,20240322,000000,25.47,25.48,25.45,25.46,2100,0
MRCP.US,D,20240325,000000,25.4001,25.4001,25.4001,25.4001,40,0
MRCP.US,D,20240326,000000,25.45,25.45,25.3798,25.3798,850,0
MRCP.US,D,20240327,000000,25.4813,25.5,25.4813,25.5,750,0
MRCP.US,D,20240328,000000,25.515,25.54,25.5,25.5,1642,0
MRCP.US,D,20240401,000000,25.48,25.49,25.48,25.49,520,0
MRCP.US,D,20240402,000000,25.35,25.37,25.34,25.37,492,0
MRCP.US,D,20240403,000000,25.41,25.41,25.36,25.395,500,0
MRCP.US,D,20240404,000000,25.48,25.48,25.23,25.23,313,0
MRCP.US,D,20240405,000000,25.3,25.3808,25.3,25.3808,400,0
MRCP.US,D,20240408,000000,25.3689,25.3689,25.3689,25.3689,99,0
MRCP.US,D,20240409,000000,25.3843,25.3843,25.3843,25.3843,99,0
MRCP.US,D,20240410,000000,25.263,25.263,25.263,25.263,99,0
MRCP.US,D,20240411,000000,25.26,25.3667,25.26,25.3667,100,0
MRCP.US,D,20240412,000000,25.2,25.2,25.1421,25.1421,4480,0
MRCP.US,D,20240415,000000,25.03,25.03,24.9756,24.9756,455,0
MRCP.US,D,20240416,000000,24.97,24.97,24.9555,24.9555,600,0
MRCP.US,D,20240417,000000,24.97,24.97,24.8783,24.8783,400,0
MRCP.US,D,20240418,000000,24.8235,24.8235,24.8235,24.8235,100,0
MRCP.US,D,20240419,000000,24.7042,24.7042,24.7042,24.7042,100,0
MRCP.US,D,20240422,000000,24.8457,24.8457,24.8457,24.8457,100,0
