<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZYBT.US,D,20250107,000000,3.77,6.1,3.7,4.86,1864800,0
ZYBT.US,D,20250108,000000,4.81,5.849,4.14,4.5,568184,0
ZYBT.US,D,20250110,000000,4.39,5.2,4.2,4.6162,502184,0
ZYBT.US,D,20250113,000000,4.7,4.97,4.3578,4.47,261148,0
ZYBT.US,D,20250114,000000,4.4,4.5,4.26,4.35,611898,0
ZYBT.US,D,20250115,000000,4.39,4.4,4.2,4.34,76741,0
ZYBT.US,D,20250116,000000,4.34,4.69,4.12,4.69,444786,0
ZYBT.US,D,20250117,000000,4.64,4.88,4.6,4.73,26061,0
ZYBT.US,D,20250121,000000,4.5328,4.65,4.2,4.35,13733,0
ZYBT.US,D,20250122,000000,4.5,4.585,4.21,4.45,41227,0
ZYBT.US,D,20250123,000000,4.5,4.7,4.3601,4.48,51559,0
ZYBT.US,D,20250124,000000,4.415,4.48,4.2,4.27,47264,0
ZYBT.US,D,20250127,000000,4.26,4.49,4.2183,4.49,15903,0
ZYBT.US,D,20250128,000000,4.35,4.43,4,4.21,45861,0
ZYBT.US,D,20250129,000000,4.1,4.7656,3.95,4.53,93452,0
ZYBT.US,D,20250130,000000,4.29,4.52,4.13,4.42,25846,0
ZYBT.US,D,20250131,000000,4.62,4.705,4.09,4.59,21680,0
ZYBT.US,D,20250203,000000,4.44,4.5,4.26,4.32,16971,0
ZYBT.US,D,20250204,000000,4.32,4.4,4,4.3,21193,0
ZYBT.US,D,20250205,000000,4.22,4.305,4.05,4.16,13192,0
ZYBT.US,D,20250206,000000,4.2,4.34,4.0041,4.18,19164,0
ZYBT.US,D,20250207,000000,4.33,4.44,4.21,4.21,26284,0
ZYBT.US,D,20250210,000000,4.21,4.46,4.21,4.35,29207,0
ZYBT.US,D,20250211,000000,4.44,4.51,4.23,4.27,6820,0
ZYBT.US,D,20250212,000000,4.45,4.58,4.28,4.33,11761,0
ZYBT.US,D,20250213,000000,4.3,5.2,4.2025,4.94,73744,0
ZYBT.US,D,20250214,000000,4.83,5.1,4.7101,4.99,35468,0
ZYBT.US,D,20250218,000000,4.9,5,4.62,4.64,13008,0
ZYBT.US,D,20250219,000000,4.86,4.89,4.61,4.88,8936,0
ZYBT.US,D,20250220,000000,4.85,5,4.6,5,34722,0
ZYBT.US,D,20250221,000000,4.71,4.9899,4.615,4.62,147623,0
ZYBT.US,D,20250224,000000,4.7,4.98,3.9,4.79,77407,0
ZYBT.US,D,20250225,000000,4.4,4.67,4.2,4.3,30650,0
ZYBT.US,D,20250226,000000,4.5,4.51,4.18,4.22,16856,0
ZYBT.US,D,20250227,000000,4.26,4.375,4.22,4.34,11080,0
ZYBT.US,D,20250228,000000,4.3146,4.45,4.175,4.21,13336,0
ZYBT.US,D,20250303,000000,4.062,4.45,4.062,4.43,27941,0
ZYBT.US,D,20250304,000000,4.2169,4.43,4.2169,4.29,2698,0
ZYBT.US,D,20250305,000000,4.38,4.7,4.3,4.3,18864,0
ZYBT.US,D,20250306,000000,4.25,4.45,4.25,4.38,43784,0
ZYBT.US,D,20250307,000000,4.24,4.4,4.24,4.35,6261,0
ZYBT.US,D,20250310,000000,4.27,4.4,4.25,4.4,17215,0
ZYBT.US,D,20250311,000000,4.2518,4.4,4.22,4.392,12684,0
ZYBT.US,D,20250312,000000,4.2,4.4,4.15,4.4,5890,0
ZYBT.US,D,20250313,000000,4.3814,4.68,4.35,4.44,15295,0
ZYBT.US,D,20250314,000000,4.44,4.6,4.44,4.5,15053,0
ZYBT.US,D,20250317,000000,4.6,4.75,4.52,4.63,7896,0
ZYBT.US,D,20250318,000000,4.62,4.67,4.5939,4.65,10298,0
ZYBT.US,D,20250319,000000,4.5,4.69,4.5,4.69,4736,0
ZYBT.US,D,20250320,000000,4.71,4.79,3.99,4.03,574828,0
ZYBT.US,D,20250321,000000,4,4.9,4,4.88,276881,0
ZYBT.US,D,20250324,000000,4.88,5.85,4.775,5.8,554601,0
ZYBT.US,D,20250325,000000,5.72,9.2793,5.24,8.2,2350343,0
ZYBT.US,D,20250326,000000,6.72,10,6.5,7.02,1428769,0
ZYBT.US,D,20250327,000000,7.01,7.9894,5.26,5.4,359613,0
ZYBT.US,D,20250328,000000,5.33,5.67,4.7,5.105,226725,0
ZYBT.US,D,20250331,000000,5.11,6.25,5.11,5.38,129653,0
ZYBT.US,D,20250401,000000,5.3835,6.0999,5.102,5.32,126488,0
ZYBT.US,D,20250402,000000,5.21,7.35,4.54,4.96,1584656,0
ZYBT.US,D,20250403,000000,4.86,5.46,4.57,4.79,901537,0
ZYBT.US,D,20250404,000000,4.65,4.83,4.09,4.29,288978,0
