<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WETO.US,D,20250227,000000,4.1,4.28,3.49,3.6,740838,0
WETO.US,D,20250228,000000,3.415,4,3.1,3.76,178418,0
WETO.US,D,20250303,000000,3.43,3.855,3.4201,3.8,32994,0
WETO.US,D,20250304,000000,3.8,3.8,3.45,3.6,49696,0
WETO.US,D,20250305,000000,3.83,3.88,3.59,3.67,46299,0
WETO.US,D,20250306,000000,3.67,3.7,3.55,3.69,25062,0
WETO.US,D,20250307,000000,3.601,3.68,3.6,3.65,14798,0
WETO.US,D,20250310,000000,3.7854,3.85,3.602,3.65,27790,0
WETO.US,D,20250311,000000,3.65,3.79,3.6,3.6,966,0
WETO.US,D,20250312,000000,3.6,3.85,3.6,3.7545,26668,0
WETO.US,D,20250313,000000,3.79,3.9,3.7502,3.8,84633,0
WETO.US,D,20250314,000000,3.71,3.9899,3.71,3.9,62720,0
WETO.US,D,20250317,000000,3.9,3.9,3.6192,3.85,30645,0
WETO.US,D,20250318,000000,3.89,3.89,3.6253,3.775,9089,0
WETO.US,D,20250319,000000,3.84,3.99,3.7,3.99,16783,0
WETO.US,D,20250320,000000,3.8895,4.1,3.8,4.05,158429,0
WETO.US,D,20250321,000000,4.01,4.1,3.75,3.9,29023,0
WETO.US,D,20250324,000000,3.99,4,3.89,4,35090,0
WETO.US,D,20250325,000000,3.99,3.99,3.9,3.97,24119,0
WETO.US,D,20250326,000000,3.91,3.9787,3.7,3.8,53160,0
WETO.US,D,20250327,000000,3.648,3.91,3.648,3.81,92921,0
WETO.US,D,20250328,000000,3.9,3.96,3.7,3.96,21800,0
WETO.US,D,20250331,000000,3.94,3.99,3.88,3.89,22526,0
WETO.US,D,20250401,000000,3.88,3.98,3.78,3.93,32289,0
WETO.US,D,20250402,000000,3.97,4,3.75,3.9214,14783,0
WETO.US,D,20250403,000000,3.8,3.99,3.8,3.92,10819,0
WETO.US,D,20250404,000000,3.7,3.99,3.58,3.93,18620,0
