<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YXT.US,D,20240816,000000,11,11,10,10.02,328000,0
YXT.US,D,20240819,000000,10,10.05,9.3,9.35,184405,0
YXT.US,D,20240820,000000,9.3,9.56,9.3,9.52,25654,0
YXT.US,D,20240821,000000,9.465,9.49,9.3,9.49,43896,0
YXT.US,D,20240822,000000,9.47,9.47,9.0001,9.26,47498,0
YXT.US,D,20240823,000000,9.25,9.25,8.38,9.01,56772,0
YXT.US,D,20240826,000000,9.04,9.06,8.3953,8.6,99515,0
YXT.US,D,20240827,000000,8.35,8.39,7.66,7.75,36666,0
YXT.US,D,20240828,000000,7.3249,7.52,6.3,6.76,55515,0
YXT.US,D,20240829,000000,6.76,7.43,6.26,6.325,18012,0
YXT.US,D,20240830,000000,6.58,7.425,6.58,7.06,47475,0
YXT.US,D,20240903,000000,6.98,7.13,6.62,6.62,8402,0
YXT.US,D,20240904,000000,6.56,7,6.3,6.33,24616,0
YXT.US,D,20240905,000000,6.36,6.8525,6.32,6.54,52254,0
YXT.US,D,20240906,000000,6.9224,7.205,6.45,6.52,45048,0
YXT.US,D,20240909,000000,6.33,6.97,6.33,6.51,39525,0
YXT.US,D,20240910,000000,6.5,6.86,5.285,5.51,41540,0
YXT.US,D,20240911,000000,5.5,5.73,5,5.32,62642,0
YXT.US,D,20240912,000000,5.35,5.35,4.705,5.04,14517,0
YXT.US,D,20240913,000000,5.0588,5.0588,4.49,4.56,15972,0
YXT.US,D,20240916,000000,5.09,5.108,4.12,4.34,36122,0
YXT.US,D,20240917,000000,4.58,4.79,4.33,4.35,12631,0
YXT.US,D,20240918,000000,4.45,4.45,3.96,4.1901,57859,0
YXT.US,D,20240919,000000,4.25,4.734,4.11,4.62,82892,0
YXT.US,D,20240920,000000,4.56,4.5995,4.11,4.11,14030,0
YXT.US,D,20240923,000000,4.44,4.44,3.77,3.77,12203,0
YXT.US,D,20240924,000000,3.77,4.185,3.21,3.6229,63840,0
YXT.US,D,20240925,000000,3.63,3.82,3.4,3.4,5421,0
YXT.US,D,20240926,000000,3.75,4.48,3.72,4.36,72796,0
YXT.US,D,20240927,000000,4.47,5.32,3.49,3.68,184970,0
YXT.US,D,20240930,000000,3.85,3.85,2.6,2.81,297245,0
YXT.US,D,20241001,000000,3.21,3.21,2.68,2.76,87976,0
YXT.US,D,20241002,000000,2.76,2.8,2.5,2.521,58313,0
YXT.US,D,20241003,000000,2.46,2.91,2.46,2.55,9952,0
YXT.US,D,20241004,000000,2.7,2.7,2.36,2.6001,74291,0
YXT.US,D,20241007,000000,2.7028,2.8999,2.55,2.88,34075,0
YXT.US,D,20241008,000000,2.72,2.83,2.52,2.52,21502,0
YXT.US,D,20241009,000000,2.56,2.7587,2.52,2.52,8985,0
YXT.US,D,20241010,000000,2.69,2.7246,2.22,2.45,33368,0
YXT.US,D,20241011,000000,2.49,2.6379,2.36,2.51,48575,0
YXT.US,D,20241014,000000,2.68,2.68,2.34,2.6235,17309,0
YXT.US,D,20241015,000000,2.6,2.6,2.4658,2.49,3120,0
YXT.US,D,20241016,000000,2.42,2.67,2.42,2.595,14092,0
YXT.US,D,20241017,000000,2.4419,2.69,2.13,2.42,86370,0
YXT.US,D,20241018,000000,2.35,2.45,2.29,2.3,11292,0
YXT.US,D,20241021,000000,2.35,2.3762,2.25,2.26,5261,0
YXT.US,D,20241022,000000,2.226,2.64,2.195,2.24,18596,0
YXT.US,D,20241023,000000,2.45,2.45,2.1001,2.1001,7007,0
YXT.US,D,20241024,000000,2.12,2.37,2.12,2.37,17326,0
YXT.US,D,20241025,000000,2.5,2.5,2.4,2.42,11330,0
YXT.US,D,20241028,000000,2.35,2.805,2.2504,2.742,66346,0
YXT.US,D,20241029,000000,2.66,2.7121,2.45,2.45,27566,0
YXT.US,D,20241030,000000,2.56,2.58,2.2801,2.55,25543,0
YXT.US,D,20241031,000000,2.46,2.6,2.4,2.4,19152,0
YXT.US,D,20241101,000000,2.51,2.6029,2.14,2.3744,18840,0
YXT.US,D,20241104,000000,2.37,2.4,2.31,2.3825,11712,0
YXT.US,D,20241105,000000,2.3,2.39,2.3,2.39,2393,0
YXT.US,D,20241106,000000,2.48,2.48,2.05,2.06,44713,0
YXT.US,D,20241107,000000,2.35,2.35,2.09,2.09,7068,0
YXT.US,D,20241108,000000,2.14,2.21,2.06,2.21,8098,0
YXT.US,D,20241111,000000,2.24,2.3,2,2.01,25098,0
YXT.US,D,20241112,000000,2.11,2.18,2.04,2.18,24496,0
YXT.US,D,20241113,000000,2.07,2.2,2.07,2.07,47986,0
YXT.US,D,20241114,000000,2.09,2.14,2.05,2.1,29879,0
YXT.US,D,20241115,000000,2.1,2.15,2.05,2.05,7844,0
YXT.US,D,20241118,000000,2.08,2.09,2.0074,2.05,8828,0
YXT.US,D,20241119,000000,2,2.09,1.9,2.06,18635,0
YXT.US,D,20241120,000000,2,2.1,2,2.06,5564,0
YXT.US,D,20241121,000000,2.06,2.15,2.05,2.1,9979,0
YXT.US,D,20241122,000000,2.13,2.15,2.05,2.05,3599,0
YXT.US,D,20241125,000000,2.14,4.25,2.061,2.99,696460,0
YXT.US,D,20241126,000000,2.71,3.23,2.54,2.74,199715,0
YXT.US,D,20241127,000000,2.63,3.1,2.63,2.935,39310,0
YXT.US,D,20241129,000000,2.75,2.8711,2.55,2.59,17867,0
YXT.US,D,20241202,000000,2.55,2.85,2.3287,2.575,35148,0
YXT.US,D,20241203,000000,2.51,2.72,2.49,2.53,33655,0
YXT.US,D,20241204,000000,2.7386,2.75,2.52,2.65,19001,0
YXT.US,D,20241205,000000,2.65,2.83,2.186,2.52,29699,0
YXT.US,D,20241206,000000,2.41,2.5,1.9,2.21,40586,0
YXT.US,D,20241209,000000,2.41,2.4725,2.24,2.4,11219,0
YXT.US,D,20241210,000000,2.35,2.49,2.17,2.3488,9564,0
YXT.US,D,20241211,000000,2.24,2.39,2.18,2.3768,27124,0
YXT.US,D,20241212,000000,2.38,2.38,2.16,2.16,12781,0
YXT.US,D,20241213,000000,2.16,2.24,2.13,2.1336,4414,0
YXT.US,D,20241216,000000,2.065,2.19,1.94,2.0509,13361,0
YXT.US,D,20241217,000000,2.0799,2.4,2.025,2.2,38775,0
YXT.US,D,20241218,000000,2.3,2.3499,2.17,2.23,329803,0
YXT.US,D,20241219,000000,2.3,2.42,2.2,2.2,28488,0
YXT.US,D,20241220,000000,2.179,2.49,2.0319,2.31,110846,0
YXT.US,D,20241223,000000,2.39,3,2.31,2.7,223253,0
YXT.US,D,20241224,000000,2.63,2.81,2.55,2.61,70158,0
YXT.US,D,20241226,000000,2.7,2.93,2.47,2.5,76241,0
YXT.US,D,20241227,000000,2.64,2.819,2.51,2.61,57948,0
YXT.US,D,20241230,000000,2.7,2.8136,2.3,2.47,22801,0
YXT.US,D,20241231,000000,2.46,2.59,2.1,2.36,81045,0
YXT.US,D,20250102,000000,2.38,2.45,2.03,2.1,129864,0
YXT.US,D,20250103,000000,2.18,2.53,2.03,2.0591,51745,0
YXT.US,D,20250106,000000,2.1,2.2667,2.07,2.09,23256,0
