<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WAY.US,D,20240607,000000,21,21.5,20.5,20.7,15748217,0
WAY.US,D,20240610,000000,20.7,22.335,20.65,22.1,3751705,0
WAY.US,D,20240611,000000,22.22,23,21.59,22.72,2256678,0
WAY.US,D,20240612,000000,22.81,23.09,21.51,21.7,1704839,0
WAY.US,D,20240613,000000,22,22.99,21.13,22.15,4505059,0
WAY.US,D,20240614,000000,21.8,22.38,21.56,22,1881624,0
WAY.US,D,20240617,000000,21.88,22.04,21.45,21.62,541214,0
WAY.US,D,20240618,000000,21.46,21.69,20.74,21,640395,0
WAY.US,D,20240620,000000,20.89,21.77,20.74,21.6,1149026,0
WAY.US,D,20240621,000000,21.67,21.9,21.49,21.67,458709,0
WAY.US,D,20240624,000000,21.71,21.8,21.5,21.77,704484,0
WAY.US,D,20240625,000000,21.75,21.75,21.49,21.52,722942,0
WAY.US,D,20240626,000000,21.5,21.64,21.49,21.55,673383,0
WAY.US,D,20240627,000000,21.57,21.58,21.25,21.44,1482864,0
WAY.US,D,20240628,000000,21.5,21.74,21.45,21.5,1655192,0
WAY.US,D,20240701,000000,21.62,21.79,21.42,21.51,2177070,0
WAY.US,D,20240702,000000,21.81,21.97,21.5,21.51,1585800,0
WAY.US,D,20240703,000000,21.84,21.84,21.48,21.5,560170,0
WAY.US,D,20240705,000000,21.63,21.7199,21.49,21.52,1316233,0
WAY.US,D,20240708,000000,21.59,21.86,20.91,21.22,1062705,0
WAY.US,D,20240709,000000,21.22,21.22,20.62,20.67,1997984,0
WAY.US,D,20240710,000000,20.65,21.03,20.26,20.87,655540,0
WAY.US,D,20240711,000000,20.89,21.525,20.83,21.47,458142,0
WAY.US,D,20240712,000000,21.45,21.5362,21.04,21.04,395192,0
WAY.US,D,20240715,000000,21.05,21.685,21.0001,21.38,383573,0
WAY.US,D,20240716,000000,21.4,22.57,21.18,22.43,1316334,0
WAY.US,D,20240717,000000,22.5,22.52,22.12,22.4,758257,0
WAY.US,D,20240718,000000,22.46,22.99,22.25,22.4,305657,0
WAY.US,D,20240719,000000,22.67,22.79,22.32,22.56,368600,0
WAY.US,D,20240722,000000,22.62,22.99,22.24,22.98,496415,0
WAY.US,D,20240723,000000,22.76,23.88,22.59,23.79,1008058,0
WAY.US,D,20240724,000000,23.9,23.99,22.97,23.16,387141,0
WAY.US,D,20240725,000000,23.24,24.1151,23.12,23.12,610034,0
WAY.US,D,20240726,000000,22.6,23.74,22.25,23.47,270771,0
WAY.US,D,20240729,000000,23.41,23.96,22.98,23.03,199856,0
WAY.US,D,20240730,000000,23.19,23.65,22.97,23.32,263181,0
WAY.US,D,20240731,000000,23.5,23.5,22.89,23,255719,0
WAY.US,D,20240801,000000,23.03,23.105,22.63,22.95,494198,0
WAY.US,D,20240802,000000,23.28,23.28,22.28,22.67,319701,0
WAY.US,D,20240805,000000,22,22.35,20.74,21.58,841243,0
WAY.US,D,20240806,000000,21.89,22.23,21.65,21.89,324604,0
WAY.US,D,20240807,000000,22.07,22.43,21.49,21.58,698618,0
WAY.US,D,20240808,000000,22.01,24.29,22.01,23.84,1529375,0
WAY.US,D,20240809,000000,24.15,24.53,23.6401,24.49,549180,0
WAY.US,D,20240812,000000,24.64,24.71,24.09,24.44,387040,0
WAY.US,D,20240813,000000,24.67,25.63,24.67,24.9,347898,0
WAY.US,D,20240814,000000,24.93,25.1706,24.53,24.69,317726,0
WAY.US,D,20240815,000000,24.88,25.19,24.57,25.1,682532,0
WAY.US,D,20240816,000000,24.94,25.82,24.94,25.77,462190,0
WAY.US,D,20240819,000000,25.8,26.74,25.65,26.66,615814,0
WAY.US,D,20240820,000000,26.56,27.07,26.39,26.57,389154,0
WAY.US,D,20240821,000000,26.7,26.915,26.2,26.2,265168,0
WAY.US,D,20240822,000000,26.2,26.5,26.1775,26.25,212862,0
WAY.US,D,20240823,000000,26.49,26.66,26.255,26.39,454909,0
WAY.US,D,20240826,000000,26.76,26.94,26.27,26.46,568113,0
WAY.US,D,20240827,000000,26.2,26.93,26.2,26.42,422755,0
WAY.US,D,20240828,000000,26.28,26.89,26.2,26.67,340733,0
WAY.US,D,20240829,000000,26.8,27.39,26.59,26.67,244145,0
WAY.US,D,20240830,000000,26.71,27.23,26.59,27.22,346274,0
WAY.US,D,20240903,000000,27,27.3,26.49,26.52,302718,0
WAY.US,D,20240904,000000,26.44,27.1,26.44,26.55,188655,0
WAY.US,D,20240905,000000,26.88,26.98,26.5,26.87,341485,0
WAY.US,D,20240906,000000,26.87,27.43,26.75,27.34,513272,0
WAY.US,D,20240909,000000,27.56,28.57,26.81,26.81,714991,0
WAY.US,D,20240910,000000,26.75,27.25,26.18,26.33,453906,0
WAY.US,D,20240911,000000,26.35,26.485,25.76,26.41,555672,0
WAY.US,D,20240912,000000,26.34,26.545,26.145,26.39,431927,0
WAY.US,D,20240913,000000,26.49,26.98,26.49,26.83,511862,0
WAY.US,D,20240916,000000,26.83,27.44,26.63,27.28,840153,0
WAY.US,D,20240917,000000,27.33,27.85,26.92,26.94,762153,0
WAY.US,D,20240918,000000,26.86,27.37,26.72,26.85,822155,0
WAY.US,D,20240919,000000,27.25,27.5,26.6,27.01,745895,0
WAY.US,D,20240920,000000,26.87,27.44,26.26,27.33,9622288,0
WAY.US,D,20240923,000000,27.38,27.825,27.26,27.33,520850,0
WAY.US,D,20240924,000000,27.33,27.42,26.75,27.08,872189,0
WAY.US,D,20240925,000000,27.16,27.5,26.79,27.29,734831,0
WAY.US,D,20240926,000000,27.49,27.99,27.42,27.93,827207,0
WAY.US,D,20240927,000000,28.07,28.55,27.76,27.78,792783,0
WAY.US,D,20240930,000000,27.75,28.16,27.64,27.89,930523,0
WAY.US,D,20241001,000000,27.85,27.945,27,27.03,1088874,0
WAY.US,D,20241002,000000,26.78,27.17,26.561,26.96,547906,0
WAY.US,D,20241003,000000,26.97,27.46,26.59,26.8,303093,0
WAY.US,D,20241004,000000,27,27.095,26.8528,27.03,257409,0
WAY.US,D,20241007,000000,26.87,27.59,26.85,27.59,286636,0
WAY.US,D,20241008,000000,28.08,28.08,27.4,27.4,462671,0
WAY.US,D,20241009,000000,27.36,28.1,27.17,27.93,661145,0
WAY.US,D,20241010,000000,27.77,28.08,27.48,27.88,444179,0
WAY.US,D,20241011,000000,28.05,28.44,27.87,27.88,551870,0
WAY.US,D,20241014,000000,28.2,28.2,27.67,27.74,397294,0
WAY.US,D,20241015,000000,27.71,27.9299,27.46,27.58,625632,0
WAY.US,D,20241016,000000,27.82,27.82,27.37,27.75,816811,0
WAY.US,D,20241017,000000,27.93,28.2,27.23,27.59,543094,0
WAY.US,D,20241018,000000,27.73,28.05,27.69,27.87,513813,0
WAY.US,D,20241021,000000,27.93,28.0399,27.33,27.42,422286,0
WAY.US,D,20241022,000000,27.33,27.75,26.95,27.72,624327,0
WAY.US,D,20241023,000000,27.55,27.69,27.31,27.51,439581,0
WAY.US,D,20241024,000000,27.53,27.55,27.05,27.16,464423,0
WAY.US,D,20241025,000000,27.29,27.865,27.18,27.615,424633,0
WAY.US,D,20241028,000000,27.76,28.22,27.72,27.9,387618,0
WAY.US,D,20241029,000000,27.75,28.2,27.74,28.11,739764,0
WAY.US,D,20241030,000000,28.09,29.405,27.9665,28.57,1204899,0
WAY.US,D,20241031,000000,28.44,28.83,28.27,28.53,503272,0
WAY.US,D,20241101,000000,28.56,29.23,28.56,28.77,659377,0
WAY.US,D,20241104,000000,28.96,29.16,28.55,28.65,898312,0
WAY.US,D,20241105,000000,28.56,29.23,28.56,29.01,522123,0
WAY.US,D,20241106,000000,29.52,30.22,29.07,29.435,1191266,0
WAY.US,D,20241107,000000,31.52,33.25,30.45,31.69,4628594,0
WAY.US,D,20241108,000000,31.87,32.66,31.55,31.62,2218007,0
WAY.US,D,20241111,000000,31.5,31.9132,30.98,31.35,1375552,0
WAY.US,D,20241112,000000,31.35,31.618,30.64,30.96,912987,0
WAY.US,D,20241113,000000,31.32,31.425,30.5,30.815,415501,0
WAY.US,D,20241114,000000,30.99,31.18,30.54,30.68,456183,0
WAY.US,D,20241115,000000,30.79,30.79,29.72,30.3,610976,0
WAY.US,D,20241118,000000,30.48,30.93,30.25,30.37,610082,0
WAY.US,D,20241119,000000,30.19,31.5,30.1647,31.23,1089952,0
WAY.US,D,20241120,000000,31.19,31.37,30.62,30.92,635501,0
WAY.US,D,20241121,000000,30.9,31.25,30.42,31.14,469165,0
WAY.US,D,20241122,000000,31.76,32.15,31.16,31.25,2474997,0
WAY.US,D,20241125,000000,31.25,32.37,29.29,30.96,2370265,0
WAY.US,D,20241126,000000,30.98,31.2174,30.73,30.87,523043,0
WAY.US,D,20241127,000000,30.98,31.16,30.55,30.59,873197,0
WAY.US,D,20241129,000000,30.8,31.08,30.62,30.88,809058,0
WAY.US,D,20241202,000000,30.84,31.12,30.4,30.88,1428928,0
WAY.US,D,20241203,000000,30.88,31.24,29.5,29.77,1825582,0
WAY.US,D,20241204,000000,30.28,30.93,29.5,29.87,1050110,0
WAY.US,D,20241205,000000,29.84,30.28,29.78,30.25,1005809,0
WAY.US,D,20241206,000000,30.37,31,30.2107,30.92,1188515,0
WAY.US,D,20241209,000000,31.41,31.9153,30.75,31.37,1757866,0
WAY.US,D,20241210,000000,31.6,33.2,31.27,32.785,1417139,0
WAY.US,D,20241211,000000,32.9,34.115,32.65,34.02,1578016,0
WAY.US,D,20241212,000000,34,34.22,33.15,34.19,1405953,0
WAY.US,D,20241213,000000,34,34.6,33.8501,34.07,1362757,0
WAY.US,D,20241216,000000,34.1,35.42,33.87,35.36,1974270,0
WAY.US,D,20241217,000000,35.56,35.98,35,35.49,2845800,0
WAY.US,D,20241218,000000,35.51,36.63,34.37,34.7,1274175,0
WAY.US,D,20241219,000000,34.72,35.89,34.71,35.49,1204547,0
WAY.US,D,20241220,000000,35.04,37.11,34.88,36.82,2643046,0
WAY.US,D,20241223,000000,36.93,36.955,36.15,36.93,803447,0
WAY.US,D,20241224,000000,37.05,37.82,36.9,37.76,527118,0
WAY.US,D,20241226,000000,37.59,38.345,37.51,38.17,934394,0
WAY.US,D,20241227,000000,37.88,38.26,37.29,37.92,1140546,0
WAY.US,D,20241230,000000,37.44,37.6,36.5791,37.06,977111,0
WAY.US,D,20241231,000000,37.71,37.78,36.61,36.7,734876,0
WAY.US,D,20250102,000000,36.79,37.1099,35.26,35.95,1167222,0
WAY.US,D,20250103,000000,36,37.17,35.85,36.98,893440,0
WAY.US,D,20250106,000000,37.23,37.5926,36.62,37.5,1275845,0
WAY.US,D,20250107,000000,37.5,37.7199,37.01,37.5,880626,0
WAY.US,D,20250108,000000,37.27,38,36.78,37.51,816344,0
WAY.US,D,20250110,000000,37.01,37.72,36.29,37.49,903255,0
WAY.US,D,20250113,000000,37,37.66,36.39,36.95,1199612,0
WAY.US,D,20250114,000000,37.7,38.34,36.61,37.36,1204196,0
WAY.US,D,20250115,000000,37.81,38,37.205,37.69,1368535,0
WAY.US,D,20250116,000000,37.69,37.75,37.03,37.36,947417,0
WAY.US,D,20250117,000000,37.64,37.64,36.86,37.47,919635,0
WAY.US,D,20250121,000000,37.82,38.44,37.57,38.09,1018945,0
WAY.US,D,20250122,000000,38.25,38.838,37.7047,38.17,1208329,0
WAY.US,D,20250123,000000,38.09,38.2,37.5,37.87,917211,0
