<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WRD.US,D,20241025,000000,15.5,19.8,15.5,16.55,1950574,0
WRD.US,D,20241028,000000,17.79,18.98,16.8962,17,673833,0
WRD.US,D,20241029,000000,16.8,17.35,15.05,15.41,544148,0
WRD.US,D,20241030,000000,15.52,15.9,15.22,15.25,174289,0
WRD.US,D,20241031,000000,14.94,14.98,14.5129,14.77,92172,0
WRD.US,D,20241101,000000,14.77,15.8114,14.098,14.52,330671,0
WRD.US,D,20241104,000000,14.28,15.6,14.19,15.46,178771,0
WRD.US,D,20241105,000000,15.69,15.9902,15.135,15.51,172788,0
WRD.US,D,20241106,000000,15,15.699,14.6,15.51,114052,0
WRD.US,D,20241107,000000,15.92,15.92,15.11,15.66,58166,0
WRD.US,D,20241108,000000,15.76,15.76,15.02,15.5,111555,0
WRD.US,D,20241111,000000,15.94,22.69,15.75,22.47,997256,0
WRD.US,D,20241112,000000,21.78,21.78,16.59,17.18,445379,0
WRD.US,D,20241113,000000,17.76,20.7,17.56,19.04,317731,0
WRD.US,D,20241114,000000,19.26,19.99,15.76,15.79,276744,0
WRD.US,D,20241115,000000,16.07,18,16.07,17.37,150487,0
WRD.US,D,20241118,000000,19,21.87,18.01,18.33,402295,0
WRD.US,D,20241119,000000,19,19.65,18.53,19.29,132955,0
WRD.US,D,20241120,000000,19.99,19.99,17.3,17.7,163625,0
WRD.US,D,20241121,000000,18.2,18.59,17.7,18.2,89216,0
WRD.US,D,20241122,000000,18.16,19.94,17.69,19.865,134972,0
WRD.US,D,20241125,000000,19.98,21.26,18.25,18.27,196186,0
WRD.US,D,20241126,000000,18.65,19.39,17.35,17.5,112376,0
WRD.US,D,20241127,000000,17.81,18.25,16.52,17.16,107283,0
WRD.US,D,20241129,000000,17.16,17.8432,17.1,17.37,34518,0
WRD.US,D,20241202,000000,17.53,17.68,16.3,16.73,108941,0
WRD.US,D,20241203,000000,16.59,17.31,16.55,17.14,132010,0
WRD.US,D,20241204,000000,17.22,17.54,16.5001,16.94,65412,0
WRD.US,D,20241205,000000,16.99,17.03,15.88,15.95,91844,0
WRD.US,D,20241206,000000,16.85,16.98,15.9,16.81,120530,0
WRD.US,D,20241209,000000,17.75,18.5,16.5,17.16,217391,0
WRD.US,D,20241210,000000,17,17,15.84,15.92,209812,0
WRD.US,D,20241211,000000,16,16.5,15.85,16,141963,0
WRD.US,D,20241212,000000,16.24,16.48,15.65,16.04,60390,0
WRD.US,D,20241213,000000,16,16.25,15.65,16.2,47613,0
WRD.US,D,20241216,000000,16.19,16.2,15.65,16,54614,0
WRD.US,D,20241217,000000,15.75,15.96,15.35,15.66,89021,0
WRD.US,D,20241218,000000,15.72,15.93,14.1421,14.68,139313,0
WRD.US,D,20241219,000000,15.24,15.5,14.5,15.07,46956,0
WRD.US,D,20241220,000000,14.66,16.44,14.66,14.7,139490,0
WRD.US,D,20241223,000000,14.9,15.1644,14.22,14.75,79309,0
WRD.US,D,20241224,000000,14.92,15,14.57,14.69,35739,0
WRD.US,D,20241226,000000,14.52,14.8059,14.26,14.58,67702,0
WRD.US,D,20241227,000000,14.41,14.5311,14,14.2,82673,0
WRD.US,D,20241230,000000,14.23,14.29,13.59,13.85,79635,0
WRD.US,D,20241231,000000,13.93,14.66,13.7701,14.18,38955,0
WRD.US,D,20250102,000000,14.18,14.43,14,14.19,54609,0
WRD.US,D,20250103,000000,14.11,14.3166,13.33,13.89,165872,0
WRD.US,D,20250106,000000,14,14,12.8519,13.11,118572,0
WRD.US,D,20250107,000000,13.16,14.38,13.155,13.79,121162,0
WRD.US,D,20250108,000000,13.72,13.72,13,13.05,42380,0
WRD.US,D,20250110,000000,13.13,13.4,12.55,12.81,40299,0
WRD.US,D,20250113,000000,12.62,13.04,12.22,12.22,98813,0
WRD.US,D,20250114,000000,12.31,12.71,12.2961,12.3,26015,0
WRD.US,D,20250115,000000,12.91,13,12.4,12.46,21557,0
WRD.US,D,20250116,000000,12.72,12.9547,12.48,12.62,19633,0
WRD.US,D,20250117,000000,12.7,13.6,12.7,13.25,62492,0
WRD.US,D,20250121,000000,13.25,13.25,12.5,12.82,30490,0
WRD.US,D,20250122,000000,13.33,14.23,12.81,13.91,86454,0
WRD.US,D,20250123,000000,14,15.5,13.51,14.5,187662,0
WRD.US,D,20250124,000000,15.5,15.5,14.64,15.32,95570,0
WRD.US,D,20250127,000000,15.5,16.28,14.3,14.35,90888,0
WRD.US,D,20250128,000000,14.45,15.1977,14.35,14.54,33855,0
WRD.US,D,20250129,000000,14.74,15.5,14.68,15.19,48653,0
WRD.US,D,20250130,000000,15.38,15.4,14.465,14.95,68399,0
WRD.US,D,20250131,000000,15.14,15.225,14.65,14.69,24430,0
WRD.US,D,20250203,000000,14.25,14.99,13.8501,14.32,52648,0
WRD.US,D,20250204,000000,14.645,14.8,14.23,14.58,25625,0
WRD.US,D,20250205,000000,14.5,14.58,13.8,13.8,43725,0
WRD.US,D,20250206,000000,14.75,16.02,14.56,15.93,142703,0
WRD.US,D,20250207,000000,16.63,16.65,15.565,15.94,101954,0
WRD.US,D,20250210,000000,16.25,16.9,15.16,15.99,99944,0
WRD.US,D,20250211,000000,15.8,16.35,15.51,15.9,47976,0
WRD.US,D,20250212,000000,16.05,16.8,15.6,16.56,99579,0
WRD.US,D,20250213,000000,16.7,17.38,16.18,17.17,105892,0
WRD.US,D,20250214,000000,35.73,42.24,27.53,31.5,21075358,0
WRD.US,D,20250218,000000,42.52,44,38.7,40.4,10528642,0
WRD.US,D,20250219,000000,38.7,38.99,33,34.01,4642895,0
WRD.US,D,20250220,000000,33.01,33.1,27.51,27.59,3835540,0
WRD.US,D,20250221,000000,29.6,30.05,23.2,24.42,5184775,0
WRD.US,D,20250224,000000,28.16,28.17,23.88,24.18,7114310,0
WRD.US,D,20250225,000000,23.52,23.52,20.6207,22.33,3402416,0
WRD.US,D,20250226,000000,22.59,24.549,22.05,23.34,2816034,0
WRD.US,D,20250227,000000,24.145,24.25,19.511,19.83,2636173,0
WRD.US,D,20250228,000000,18.99,20.49,18.78,19.95,1972836,0
WRD.US,D,20250303,000000,20.37,20.5,16.97,17.6,2350408,0
WRD.US,D,20250304,000000,16.75,17.9199,16.04,16.88,2531911,0
WRD.US,D,20250305,000000,18,18.87,17.12,17.8,4555185,0
WRD.US,D,20250306,000000,17.15,17.21,15.85,15.95,2557132,0
WRD.US,D,20250307,000000,16.5,16.64,15.6,16.39,2530284,0
WRD.US,D,20250310,000000,15.99,16.48,15.365,16.01,1642797,0
WRD.US,D,20250311,000000,15.76,17.04,15.67,16.31,2827010,0
