<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WINVR.US,D,20211005,000000,0.2001,0.3,0.2001,0.3,973925,0
WINVR.US,D,20211006,000000,0.25,0.2999,0.25,0.2999,230,0
WINVR.US,D,20211008,000000,0.2899,0.29,0.27,0.27,1841,0
WINVR.US,D,20211012,000000,0.25,0.25,0.25,0.25,1300,0
WINVR.US,D,20211013,000000,0.24,0.24,0.219,0.22,141945,0
WINVR.US,D,20211018,000000,0.278,0.278,0.23,0.2775,3437,0
WINVR.US,D,20211019,000000,0.23,0.247,0.23,0.245,201504,0
WINVR.US,D,20211020,000000,0.22,0.23,0.2099,0.21,329304,0
WINVR.US,D,20211021,000000,0.21,0.2301,0.21,0.23,33294,0
WINVR.US,D,20211022,000000,0.22,0.248,0.1719,0.248,276296,0
WINVR.US,D,20211025,000000,0.21,0.2425,0.2099,0.2325,35900,0
WINVR.US,D,20211026,000000,0.21,0.25,0.21,0.25,17719,0
WINVR.US,D,20211027,000000,0.248,0.25,0.248,0.25,736,0
WINVR.US,D,20211028,000000,0.22,0.2391,0.22,0.2391,48282,0
WINVR.US,D,20211029,000000,0.239,0.26,0.239,0.25,10800,0
WINVR.US,D,20211101,000000,0.24,0.250001,0.225,0.225,96800,0
WINVR.US,D,20211103,000000,0.225,0.2999,0.225,0.2975,4579,0
WINVR.US,D,20211104,000000,0.2798,0.2798,0.2798,0.2798,184,0
WINVR.US,D,20211105,000000,0.225,0.3185,0.225,0.3185,5300,0
WINVR.US,D,20211108,000000,0.25,0.2788,0.2301,0.2569,115382,0
WINVR.US,D,20211109,000000,0.2553,0.2553,0.2553,0.2553,100,0
WINVR.US,D,20211110,000000,0.2271,0.26,0.22,0.225,69561,0
WINVR.US,D,20211111,000000,0.227,0.236,0.227,0.2321,162460,0
WINVR.US,D,20211112,000000,0.2321,0.3,0.23,0.232,228652,0
WINVR.US,D,20211115,000000,0.23,0.2999,0.23,0.2532,117437,0
WINVR.US,D,20211116,000000,0.23,0.2521,0.225,0.2475,120859,0
WINVR.US,D,20211117,000000,0.225,0.259,0.225,0.259,19472,0
WINVR.US,D,20211118,000000,0.259,0.26,0.259,0.26,58255,0
WINVR.US,D,20211119,000000,0.23,0.23,0.23,0.23,13745,0
WINVR.US,D,20211122,000000,0.232,0.236,0.232,0.232,16629,0
WINVR.US,D,20211123,000000,0.23,0.24,0.23,0.24,20542,0
WINVR.US,D,20211124,000000,0.23,0.23,0.23,0.23,3700,0
WINVR.US,D,20211126,000000,0.23,0.23,0.23,0.23,15850,0
WINVR.US,D,20211129,000000,0.23,0.23,0.23,0.23,1000,0
WINVR.US,D,20211130,000000,0.2301,0.232,0.23,0.23,385732,0
WINVR.US,D,20211201,000000,0.232,0.232,0.23,0.23,125000,0
WINVR.US,D,20211202,000000,0.232,0.232101,0.232,0.232,11080,0
WINVR.US,D,20211206,000000,0.25,0.25,0.25,0.25,1000,0
WINVR.US,D,20211209,000000,0.25,0.29,0.25,0.29,26611,0
WINVR.US,D,20211216,000000,0.2499,0.25,0.2499,0.25,10000,0
WINVR.US,D,20211220,000000,0.251401,0.251401,0.25,0.25,1791,0
WINVR.US,D,20211228,000000,0.2894,0.2894,0.2894,0.2894,200,0
WINVR.US,D,20220106,000000,0.28,0.28,0.28,0.28,150,0
WINVR.US,D,20220110,000000,0.28,0.28,0.28,0.28,100,0
WINVR.US,D,20220111,000000,0.25,0.28,0.25,0.28,1200,0
WINVR.US,D,20220112,000000,0.25,0.28,0.25,0.28,7822,0
WINVR.US,D,20220119,000000,0.22,0.25,0.22,0.25,4150,0
WINVR.US,D,20220121,000000,0.2,0.22,0.2,0.22,2650,0
WINVR.US,D,20220124,000000,0.16,0.238,0.16,0.238,1325,0
WINVR.US,D,20220125,000000,0.1603,0.22,0.1603,0.22,4400,0
WINVR.US,D,20220126,000000,0.2,0.2,0.2,0.2,3000,0
WINVR.US,D,20220127,000000,0.2,0.21,0.2,0.2002,376118,0
WINVR.US,D,20220128,000000,0.1501,0.2,0.1501,0.2,12551,0
WINVR.US,D,20220201,000000,0.1948,0.195,0.1948,0.195,2683,0
WINVR.US,D,20220202,000000,0.1514,0.1928,0.151,0.1928,2250,0
WINVR.US,D,20220208,000000,0.1606,0.19,0.1606,0.19,1700,0
WINVR.US,D,20220217,000000,0.12,0.19,0.12,0.1506,5780,0
WINVR.US,D,20220222,000000,0.1694,0.1694,0.1694,0.1694,300,0
WINVR.US,D,20220223,000000,0.095,0.1768,0.095,0.1506,3300,0
WINVR.US,D,20220228,000000,0.1407,0.1694,0.1106,0.13,33535,0
WINVR.US,D,20220302,000000,0.0904,0.143,0.0904,0.143,13475,0
WINVR.US,D,20220303,000000,0.138,0.138,0.13,0.13,2925,0
WINVR.US,D,20220304,000000,0.13,0.13,0.13,0.13,121,0
WINVR.US,D,20220307,000000,0.110301,0.110896,0.1103,0.110896,5400,0
WINVR.US,D,20220309,000000,0.1103,0.1201,0.1103,0.1201,5900,0
WINVR.US,D,20220311,000000,0.1297,0.13,0.1111,0.1111,970,0
WINVR.US,D,20220314,000000,0.1,0.1,0.0975,0.0975,53980,0
WINVR.US,D,20220315,000000,0.105,0.105,0.085,0.0851,46611,0
WINVR.US,D,20220316,000000,0.0604,0.1044,0.0604,0.1044,861,0
WINVR.US,D,20220317,000000,0.0801,0.104,0.0801,0.10155,421,0
WINVR.US,D,20220318,000000,0.12,0.12,0.12,0.12,312,0
WINVR.US,D,20220323,000000,0.0952,0.101326,0.0952,0.0958,6000,0
WINVR.US,D,20220324,000000,0.1155,0.1155,0.1155,0.1155,1205,0
WINVR.US,D,20220329,000000,0.1,0.1,0.0821,0.0822,5700,0
WINVR.US,D,20220330,000000,0.0824,0.083,0.0824,0.083,43487,0
WINVR.US,D,20220331,000000,0.0834,0.0834,0.0834,0.0834,502,0
WINVR.US,D,20220401,000000,0.0915,0.12,0.0915,0.118,74630,0
WINVR.US,D,20220404,000000,0.1001,0.1001,0.1,0.1,326,0
WINVR.US,D,20220406,000000,0.118,0.118,0.118,0.118,100,0
WINVR.US,D,20220408,000000,0.119,0.119,0.0901,0.119,23876,0
WINVR.US,D,20220422,000000,0.111,0.111,0.11,0.11,13237,0
WINVR.US,D,20220425,000000,0.0901,0.1394,0.0901,0.1394,3918,0
WINVR.US,D,20220516,000000,0.0906,0.0907,0.0906,0.0907,1820,0
WINVR.US,D,20220517,000000,0.1094,0.1194,0.0594,0.09,243822,0
WINVR.US,D,20220518,000000,0.1046,0.1094,0.09,0.09,10212,0
WINVR.US,D,20220519,000000,0.076,0.1194,0.075,0.1194,2200,0
WINVR.US,D,20220523,000000,0.1,0.1,0.0999,0.1,28000,0
WINVR.US,D,20220524,000000,0.015,0.1,0.015,0.1,8403,0
WINVR.US,D,20220525,000000,0.0206,0.0975,0.0206,0.0975,6600,0
WINVR.US,D,20220526,000000,0.0975,0.0975,0.0975,0.0975,206,0
WINVR.US,D,20220527,000000,0.0938,0.0938,0.0925,0.0925,881,0
WINVR.US,D,20220531,000000,0.0925,0.0994,0.0894,0.0994,26579,0
WINVR.US,D,20220601,000000,0.075,0.0994,0.075,0.0994,707,0
WINVR.US,D,20220606,000000,0.09,0.0901,0.09,0.0901,443,0
WINVR.US,D,20220609,000000,0.1194,0.1194,0.1194,0.1194,401,0
WINVR.US,D,20220614,000000,0.0994,0.0994,0.0994,0.0994,800,0
WINVR.US,D,20220615,000000,0.09,0.09,0.09,0.09,500,0
WINVR.US,D,20220622,000000,0.09,0.09,0.085,0.085,6580,0
WINVR.US,D,20220623,000000,0.08,0.08,0.08,0.08,1777,0
WINVR.US,D,20220627,000000,0.0888,0.09,0.0888,0.09,700,0
WINVR.US,D,20220628,000000,0.09,0.095,0.09,0.095,900,0
WINVR.US,D,20220629,000000,0.09,0.09,0.09,0.09,500,0
WINVR.US,D,20220630,000000,0.09,0.09,0.09,0.09,1700,0
WINVR.US,D,20220705,000000,0.0701,0.0762,0.0701,0.0728,12700,0
WINVR.US,D,20220706,000000,0.0715,0.0715,0.0715,0.0715,895,0
WINVR.US,D,20220708,000000,0.0715,0.0715,0.0715,0.0715,900,0
WINVR.US,D,20220711,000000,0.07,0.0777,0.07,0.0777,26886,0
WINVR.US,D,20220715,000000,0.077,0.077,0.077,0.077,338,0
WINVR.US,D,20220721,000000,0.0994,0.0994,0.0994,0.0994,900,0
WINVR.US,D,20220722,000000,0.08,0.08,0.08,0.08,600,0
WINVR.US,D,20220725,000000,0.0703,0.0703,0.07,0.07,620,0
WINVR.US,D,20220726,000000,0.07,0.07,0.07,0.07,600,0
WINVR.US,D,20220727,000000,0.07,0.07,0.07,0.07,500,0
WINVR.US,D,20220728,000000,0.07,0.07,0.07,0.07,504,0
WINVR.US,D,20220803,000000,0.07,0.07,0.07,0.07,526,0
WINVR.US,D,20220804,000000,0.07,0.07,0.06,0.060001,2526,0
WINVR.US,D,20220805,000000,0.043901,0.0646,0.043901,0.0556,900,0
WINVR.US,D,20220808,000000,0.0611,0.0671,0.0452,0.0452,2800,0
WINVR.US,D,20220809,000000,0.0623,0.0623,0.0623,0.0623,1187,0
WINVR.US,D,20220810,000000,0.0625,0.0658,0.0625,0.0625,3100,0
WINVR.US,D,20220811,000000,0.0625,0.0629,0.061,0.061,21826,0
WINVR.US,D,20220812,000000,0.059,0.059,0.059,0.059,558,0
WINVR.US,D,20220815,000000,0.06,0.06,0.06,0.06,524,0
WINVR.US,D,20220816,000000,0.059,0.059,0.04,0.04,43162,0
WINVR.US,D,20220817,000000,0.0439,0.0439,0.0416,0.0416,607,0
WINVR.US,D,20220926,000000,0.0326,0.045,0.0326,0.045,60500,0
WINVR.US,D,20221005,000000,0.0375,0.0375,0.0375,0.0375,100,0
WINVR.US,D,20221006,000000,0.04,0.0435,0.04,0.0435,10803,0
WINVR.US,D,20221021,000000,0.0401,0.0401,0.0401,0.0401,11191,0
WINVR.US,D,20221024,000000,0.0401,0.0401,0.04,0.04,75000,0
WINVR.US,D,20221026,000000,0.0401,0.0401,0.0401,0.0401,4965,0
WINVR.US,D,20221027,000000,0.04,0.0425,0.04,0.0425,25100,0
WINVR.US,D,20221028,000000,0.0425,0.0425,0.04,0.0401,60000,0
WINVR.US,D,20221102,000000,0.045,0.045,0.045,0.045,5001,0
WINVR.US,D,20221104,000000,0.0401,0.0401,0.0401,0.0401,3291,0
WINVR.US,D,20221107,000000,0.045,0.045,0.045,0.045,1500,0
WINVR.US,D,20221108,000000,0.045,0.045,0.0401,0.0401,10401,0
WINVR.US,D,20221114,000000,0.0451,0.0475,0.0401,0.0403,35700,0
WINVR.US,D,20221118,000000,0.04,0.04,0.04,0.04,425000,0
WINVR.US,D,20221121,000000,0.0439,0.055,0.0425,0.055,47105,0
WINVR.US,D,20221130,000000,0.055,0.0694,0.055,0.065,544900,0
WINVR.US,D,20221201,000000,0.0647,0.0675,0.06,0.06,107200,0
WINVR.US,D,20221202,000000,0.065,0.065,0.06,0.06,81000,0
WINVR.US,D,20221205,000000,0.06,0.06,0.06,0.06,25000,0
WINVR.US,D,20221206,000000,0.06,0.0601,0.06,0.0601,30400,0
WINVR.US,D,20221207,000000,0.0625,0.0625,0.0625,0.0625,25300,0
WINVR.US,D,20221208,000000,0.0625,0.0645,0.0625,0.0625,18450,0
WINVR.US,D,20221212,000000,0.0665,0.0665,0.0665,0.0665,15000,0
WINVR.US,D,20221213,000000,0.0665,0.0665,0.0665,0.0665,2300,0
WINVR.US,D,20221219,000000,0.062601,0.075,0.0625,0.075,93199,0
WINVR.US,D,20221220,000000,0.07,0.07,0.07,0.07,1800,0
WINVR.US,D,20221221,000000,0.07,0.0745,0.07,0.0745,17800,0
WINVR.US,D,20221222,000000,0.077201,0.077201,0.077201,0.077201,100,0
WINVR.US,D,20221223,000000,0.0794,0.0794,0.0794,0.0794,407,0
WINVR.US,D,20221228,000000,0.0775,0.0775,0.0774,0.0774,8162,0
WINVR.US,D,20221230,000000,0.0625,0.0725,0.06,0.0725,24162,0
WINVR.US,D,20230106,000000,0.06,0.0725,0.06,0.072499,31102,0
WINVR.US,D,20230109,000000,0.06,0.06,0.06,0.06,9000,0
WINVR.US,D,20230112,000000,0.065,0.0701,0.06,0.0701,44342,0
WINVR.US,D,20230113,000000,0.0701,0.0701,0.0701,0.0701,1000,0
WINVR.US,D,20230117,000000,0.07,0.0702,0.07,0.0701,23217,0
WINVR.US,D,20230119,000000,0.073,0.073,0.0701,0.073,7464,0
WINVR.US,D,20230120,000000,0.07,0.07,0.07,0.07,50000,0
WINVR.US,D,20230123,000000,0.07,0.08,0.07,0.08,64910,0
WINVR.US,D,20230124,000000,0.07,0.07,0.07,0.07,5000,0
WINVR.US,D,20230201,000000,0.148922,0.148922,0.0626,0.0655,6101,0
WINVR.US,D,20230202,000000,0.1482,0.1495,0.062,0.062,12308,0
WINVR.US,D,20230206,000000,0.1099,0.1099,0.0634,0.0702,8861,0
WINVR.US,D,20230207,000000,0.0902,0.0902,0.0691,0.0691,2703,0
WINVR.US,D,20230208,000000,0.1495,0.1495,0.063,0.0721,11470,0
WINVR.US,D,20230209,000000,0.0775,0.0775,0.062,0.0759,11728,0
WINVR.US,D,20230210,000000,0.062,0.0959,0.062,0.07,4554,0
WINVR.US,D,20230213,000000,0.1495,0.1499,0.063,0.068,11086,0
WINVR.US,D,20230214,000000,0.062,0.1298,0.062,0.073,2205,0
WINVR.US,D,20230215,000000,0.0624,0.0735,0.0624,0.0735,1602,0
WINVR.US,D,20230216,000000,0.1095,0.1095,0.062,0.062,4004,0
WINVR.US,D,20230217,000000,0.0625,0.0792,0.0621,0.0621,9804,0
WINVR.US,D,20230221,000000,0.1486,0.1486,0.063,0.0693,17662,0
WINVR.US,D,20230222,000000,0.146,0.1461,0.062,0.0633,45921,0
WINVR.US,D,20230223,000000,0.0622,0.0751,0.0621,0.075,15984,0
WINVR.US,D,20230224,000000,0.0816,0.1369,0.071,0.0753,9174,0
WINVR.US,D,20230228,000000,0.1465,0.1465,0.071,0.071,2298,0
WINVR.US,D,20230301,000000,0.08,0.0878,0.0734,0.0878,3103,0
WINVR.US,D,20230302,000000,0.1359,0.1359,0.0762,0.0762,3002,0
WINVR.US,D,20230303,000000,0.073,0.0922,0.073,0.09,9899,0
WINVR.US,D,20230306,000000,0.1448,0.1448,0.074,0.08,4144,0
WINVR.US,D,20230307,000000,0.1416,0.1419,0.074,0.092,5151,0
WINVR.US,D,20230308,000000,0.081,0.081,0.081,0.081,618,0
WINVR.US,D,20230313,000000,0.0778,0.0778,0.0778,0.0778,321,0
WINVR.US,D,20230315,000000,0.073,0.073,0.073,0.073,1198,0
WINVR.US,D,20230316,000000,0.0972,0.1113,0.09,0.0982,3021,0
WINVR.US,D,20230317,000000,0.074,0.0953,0.074,0.081,11491,0
WINVR.US,D,20230324,000000,0.081,0.0836,0.0752,0.0792,2907,0
WINVR.US,D,20230327,000000,0.0922,0.0922,0.0889,0.0901,1006,0
WINVR.US,D,20230330,000000,0.074,0.1062,0.073,0.0935,950,0
