<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YAAS.US,D,20241220,000000,4.08,4.25,3.48,3.95,665200,0
YAAS.US,D,20241223,000000,3.91,3.95,3.3,3.45,185883,0
YAAS.US,D,20241224,000000,3.49,3.58,3.3,3.35,162693,0
YAAS.US,D,20241226,000000,3.39,3.67,3.29,3.35,73632,0
YAAS.US,D,20241227,000000,3.42,3.5,3.3,3.3,50098,0
YAAS.US,D,20241230,000000,3.5,3.73,3.2,3.632,27499,0
YAAS.US,D,20241231,000000,3.6903,4.1973,3.6903,4.0264,175267,0
YAAS.US,D,20250102,000000,4,4.09,3.71,3.91,102689,0
YAAS.US,D,20250103,000000,4,4,3.85,3.87,17852,0
YAAS.US,D,20250106,000000,4.0127,4.0127,3.55,3.81,122045,0
YAAS.US,D,20250107,000000,3.94,3.94,3.6002,3.72,33438,0
YAAS.US,D,20250108,000000,3.73,3.7383,3.58,3.58,33377,0
YAAS.US,D,20250110,000000,3.58,3.63,3.5,3.6,37859,0
YAAS.US,D,20250113,000000,3.51,3.55,3.36,3.47,26284,0
YAAS.US,D,20250114,000000,3.6,3.88,3.4086,3.748,142008,0
YAAS.US,D,20250115,000000,3.8,3.86,3.56,3.75,41539,0
YAAS.US,D,20250116,000000,3.75,3.75,3.55,3.74,33563,0
YAAS.US,D,20250117,000000,3.67,3.67,3.67,3.67,6870,0
YAAS.US,D,20250121,000000,3.7,3.7,3.35,3.65,13397,0
YAAS.US,D,20250122,000000,3.43,3.9222,3.43,3.86,469502,0
YAAS.US,D,20250123,000000,3.73,3.99,3.71,3.84,30649,0
YAAS.US,D,20250124,000000,3.81,3.86,3.7,3.86,106876,0
YAAS.US,D,20250127,000000,3.7,3.79,3.6,3.79,106216,0
YAAS.US,D,20250128,000000,3.672,3.9599,3.6,3.7,42138,0
YAAS.US,D,20250129,000000,3.63,3.8,3.63,3.8,145022,0
YAAS.US,D,20250130,000000,3.7,3.9,3.692,3.81,91377,0
YAAS.US,D,20250131,000000,3.8,3.9,3.5501,3.86,62996,0
YAAS.US,D,20250203,000000,3.8,3.8,3.66,3.66,7723,0
YAAS.US,D,20250204,000000,3.61,3.6805,3.5209,3.63,11781,0
YAAS.US,D,20250205,000000,3.55,3.78,3.39,3.78,34773,0
YAAS.US,D,20250206,000000,3.57,3.75,3.5,3.68,124893,0
YAAS.US,D,20250207,000000,3.61,3.76,3.31,3.46,146382,0
YAAS.US,D,20250210,000000,3.4,3.64,3.4,3.64,79703,0
YAAS.US,D,20250211,000000,3.5,3.55,3.36,3.36,25227,0
YAAS.US,D,20250212,000000,3.31,3.39,3.1,3.24,176174,0
YAAS.US,D,20250213,000000,3.2,3.24,3.01,3.05,48583,0
YAAS.US,D,20250214,000000,3,3.62,2.85,3.023,181627,0
YAAS.US,D,20250218,000000,3.15,3.15,2.58,2.78,81177,0
YAAS.US,D,20250219,000000,2.97,2.97,2.012,2.4188,154484,0
YAAS.US,D,20250220,000000,2.56,2.77,2.29,2.29,40238,0
YAAS.US,D,20250221,000000,2.41,2.7436,2.39,2.62,125847,0
YAAS.US,D,20250224,000000,2.43,2.72,2.39,2.63,41016,0
YAAS.US,D,20250225,000000,2.45,2.69,2.45,2.55,7262,0
YAAS.US,D,20250226,000000,2.53,2.68,2.49,2.51,34858,0
YAAS.US,D,20250227,000000,2.3,2.6619,2.3,2.41,4240,0
YAAS.US,D,20250228,000000,2.41,2.41,2.3873,2.3873,2419,0
YAAS.US,D,20250303,000000,2.32,2.32,2.25,2.31,7630,0
YAAS.US,D,20250304,000000,2.2717,2.6,2.2,2.26,86410,0
YAAS.US,D,20250305,000000,2.41,2.55,2.08,2.08,204153,0
YAAS.US,D,20250306,000000,2.17,2.38,1.93,1.99,45962,0
YAAS.US,D,20250307,000000,1.9,1.96,1.7,1.83,36558,0
YAAS.US,D,20250310,000000,1.71,1.83,1.58,1.65,15142,0
