<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VACHU.US,D,20240812,000000,9.99,10,9.98,9.98,712770,0
VACHU.US,D,20240813,000000,9.99,9.99,9.98,9.98,454856,0
VACHU.US,D,20240814,000000,9.99,9.99,9.985,9.9888,113278,0
VACHU.US,D,20240815,000000,9.99,9.99,9.98,9.98,65937,0
VACHU.US,D,20240816,000000,9.985,9.99,9.98,9.98,23006,0
VACHU.US,D,20240819,000000,9.9884,9.99,9.98,9.98,470461,0
VACHU.US,D,20240820,000000,9.99,9.99,9.9705,9.975,299148,0
VACHU.US,D,20240821,000000,9.98,9.99,9.98,9.98,194357,0
VACHU.US,D,20240822,000000,9.99,9.99,9.98,9.98,12002,0
VACHU.US,D,20240823,000000,9.99,9.99,9.98,9.985,88177,0
VACHU.US,D,20240826,000000,9.99,9.9901,9.98,9.98,256493,0
VACHU.US,D,20240827,000000,9.98,9.98,9.97,9.97,10637,0
VACHU.US,D,20240828,000000,9.975,9.98,9.975,9.98,2711,0
VACHU.US,D,20240829,000000,9.97,9.98,9.97,9.975,4510,0
VACHU.US,D,20240903,000000,9.98,9.98,9.98,9.98,4763,0
VACHU.US,D,20240904,000000,9.98,9.98,9.98,9.98,625,0
VACHU.US,D,20240905,000000,9.99,9.99,9.98,9.99,70840,0
VACHU.US,D,20240906,000000,10,10,10,10,420359,0
VACHU.US,D,20240909,000000,10,10,9.99,9.995,108665,0
VACHU.US,D,20240910,000000,10,10,9.99,9.99,37551,0
VACHU.US,D,20240911,000000,9.99,10,9.97,9.98,390381,0
VACHU.US,D,20240912,000000,9.99,9.99,9.98,9.98,200000,0
VACHU.US,D,20240913,000000,9.99,9.99,9.99,9.99,30000,0
VACHU.US,D,20240916,000000,10,10,10,10,105,0
VACHU.US,D,20240917,000000,9.98,9.99,9.98,9.99,5390,0
VACHU.US,D,20240918,000000,9.99,10,9.9899,10,6040,0
VACHU.US,D,20240920,000000,10,10,10,10,15002,0
VACHU.US,D,20240924,000000,10,10,10,10,5958,0
VACHU.US,D,20240925,000000,10,10.02,10,10,10024,0
VACHU.US,D,20240926,000000,10.01,10.01,10,10,14500,0
VACHU.US,D,20240930,000000,10.01,10.01,10,10,41001,0
VACHU.US,D,20241001,000000,10.01,10.01,10,10,48059,0
VACHU.US,D,20241002,000000,10,10,10,10,14001,0
VACHU.US,D,20241003,000000,10.01,10.01,10.0099,10.01,34601,0
VACHU.US,D,20241004,000000,10.02,10.02,10.02,10.02,5001,0
VACHU.US,D,20241007,000000,10.03,10.03,10.03,10.03,2266,0
