date,ticker,open,high,low,close,volume
2020-01-02,NOVT,88.51,91.52,88.45,91.52,162699
2020-01-03,NOVT,90.1,91.105,89.63,90.54,80330
2020-01-06,NOVT,89.84,90.36,88.8726,89.39,78469
2020-01-07,NOVT,88.93,90.67,88.53,90.67,90655
2020-01-08,NOVT,90.48,92.85,89.41,92.16,139646
2020-01-09,NOVT,92.55,93.83,92.05,92.35,85579
2020-01-10,NOVT,92.75,92.9,91.19,92.9,85319
2020-01-13,NOVT,93.2,96.35,93.09,96.31,157761
2020-01-14,NOVT,96.02,96.44,94.69,95.07,156551
2020-01-15,NOVT,95.0,95.97,93.97,94.66,146638
2020-01-16,NOVT,95.56,96.41,95.19,96.3,185803
2020-01-17,NOVT,96.72,97.96,96.21,97.64,113488
2020-01-21,NOVT,97.0,97.8085,96.45,96.57,82817
2020-01-22,NOVT,96.96,97.89,96.655,97.2,64105
2020-01-23,NOVT,97.11,97.74,96.2,97.45,102979
2020-01-24,NOVT,98.0,98.38,95.9,96.48,56092
2020-01-27,NOVT,94.52,95.47,93.7201,95.01,150907
2020-01-28,NOVT,95.9,96.63,95.13,95.79,91121
2020-01-29,NOVT,95.9,97.05,94.17,94.33,51614
2020-01-30,NOVT,93.59,94.19,92.46,94.1,76674
2020-01-31,NOVT,94.05,94.06,90.26,90.73,87870
2020-02-03,NOVT,90.43,94.59,90.43,94.13,91026
2020-02-04,NOVT,95.6,96.29,93.89,94.94,74407
2020-02-05,NOVT,96.17,97.59,94.69,97.38,82587
2020-02-06,NOVT,97.63,97.65,95.22,97.06,77955
2020-02-07,NOVT,96.76,97.26,94.78,95.9,74612
2020-02-10,NOVT,95.53,96.75,95.16,96.62,79555
2020-02-11,NOVT,97.29,98.44,96.51,97.27,74186
2020-02-12,NOVT,98.09,98.1,96.39,97.69,96342
2020-02-13,NOVT,97.21,98.6,96.04,98.6,76968
2020-02-14,NOVT,98.5,99.48,98.09,98.56,86197
2020-02-18,NOVT,97.6,98.0,95.85,96.19,57724
2020-02-19,NOVT,96.53,99.79,96.47,98.41,121545
2020-02-20,NOVT,98.03,98.76,95.49,96.28,97065
2020-02-21,NOVT,96.28,96.28,92.7,94.01,125053
2020-02-24,NOVT,89.6,91.3038,87.21,88.24,194118
2020-02-25,NOVT,89.2,89.64,85.17,85.36,156363
2020-02-26,NOVT,84.86,92.05,84.86,92.04,215233
2020-02-27,NOVT,88.81,93.03,87.85,90.15,204563
2020-02-28,NOVT,86.08,90.41,86.08,89.21,169424
2020-03-02,NOVT,89.25,92.55,87.12,92.54,114495
2020-03-03,NOVT,92.6,94.91,89.2,89.7,138915
2020-03-04,NOVT,91.21,94.06,90.195,94.05,119283
2020-03-05,NOVT,91.1,94.72,89.47,91.26,95035
2020-03-06,NOVT,88.46,89.705,84.61,87.32,160220
2020-03-09,NOVT,83.83,86.935,73.32,81.24,179599
2020-03-10,NOVT,84.19,86.2036,76.7,80.03,163586
2020-03-11,NOVT,77.1,80.9,76.91,79.04,143430
2020-03-12,NOVT,73.86,78.99,70.88,71.78,152436
2020-03-13,NOVT,74.24,83.42,72.52,83.42,204478
2020-03-16,NOVT,74.24,81.53,71.53,72.17,197904
2020-03-17,NOVT,74.03,83.6,73.0887,83.25,241051
2020-03-18,NOVT,77.78,80.14,70.26,71.77,171667
2020-03-19,NOVT,71.31,77.6479,68.92,74.12,564617
2020-03-20,NOVT,74.57,77.64,66.44,69.38,242495
2020-03-23,NOVT,69.98,77.38,67.06,74.79,153914
2020-03-24,NOVT,78.66,82.5,72.54,78.07,182200
2020-03-25,NOVT,78.08,79.36,71.55,72.21,134178
2020-03-26,NOVT,73.01,81.51,72.6,80.25,119132
2020-03-27,NOVT,77.77,79.73,75.0756,76.79,195348
2020-03-30,NOVT,78.07,81.935,77.495,80.5,124858
2020-03-31,NOVT,79.78,81.065,77.94,79.88,207211
2020-04-01,NOVT,77.11,78.08,75.7747,76.75,173610
2020-04-02,NOVT,74.88,75.085,67.47,70.79,374980
2020-04-03,NOVT,69.74,73.515,66.89,67.25,109522
2020-04-06,NOVT,70.6,75.52,69.875,74.87,209482
2020-04-07,NOVT,76.65,79.56,72.62,74.71,114405
2020-04-08,NOVT,76.03,80.61,76.01,78.75,124549
2020-04-09,NOVT,80.9,82.52,79.0299,81.46,153603
2020-04-13,NOVT,80.41,80.41,77.95,78.83,67326
