<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SKYX.US,D,20220210,000000,14,14,10.3,11.85,1100400,0
SKYX.US,D,20220211,000000,11.49,11.7,10.5,10.5,290520,0
SKYX.US,D,20220214,000000,10.95,12.15,10.74,11.8,244072,0
SKYX.US,D,20220215,000000,11.25,12.98,11.011,12.5,327121,0
SKYX.US,D,20220216,000000,12.8,13.48,12.51,13.27,261298,0
SKYX.US,D,20220217,000000,13.27,13.95,12.78,13.89,311021,0
SKYX.US,D,20220218,000000,14,14,11.6,12.39,246663,0
SKYX.US,D,20220222,000000,12.58,13.71,12.0101,13.51,150262,0
SKYX.US,D,20220223,000000,14.09,14.15,13.46,13.9,153936,0
SKYX.US,D,20220224,000000,13.37,13.75,12.5,13.2,174420,0
SKYX.US,D,20220225,000000,13.86,13.86,12.5001,13.19,64562,0
SKYX.US,D,20220228,000000,13.49,13.49,10.5,10.5,343935,0
SKYX.US,D,20220301,000000,10.8,13.74,10.8,13.12,286854,0
SKYX.US,D,20220302,000000,13.22,13.75,12.7312,13.74,140149,0
SKYX.US,D,20220303,000000,13.75,15.8,13.65,14.95,558339,0
SKYX.US,D,20220304,000000,15.6,15.87,14.16,15.78,224280,0
SKYX.US,D,20220307,000000,16,16,11,11,485846,0
SKYX.US,D,20220308,000000,11.05,11.49,10.52,10.93,332930,0
SKYX.US,D,20220309,000000,11.75,12.33,11.0012,11.61,136109,0
SKYX.US,D,20220310,000000,11.61,12.78,10.56,12.61,108807,0
SKYX.US,D,20220311,000000,12.79,13.0458,11.7201,12.34,45878,0
SKYX.US,D,20220314,000000,12.21,12.66,11.82,12.49,53459,0
SKYX.US,D,20220315,000000,12.42,13.84,11.6059,13.58,136075,0
SKYX.US,D,20220316,000000,13.46,14.4,13.03,13.61,156870,0
SKYX.US,D,20220317,000000,13.86,13.949,12.82,13.51,40560,0
SKYX.US,D,20220318,000000,13.28,13.7925,12.82,13.51,114413,0
SKYX.US,D,20220321,000000,13.48,13.48,12.47,12.47,55637,0
SKYX.US,D,20220322,000000,12.2,12.83,12.2,12.51,51569,0
SKYX.US,D,20220323,000000,12.51,13.38,12.51,12.92,29457,0
SKYX.US,D,20220324,000000,12.75,13.3875,12.73,12.75,34056,0
SKYX.US,D,20220325,000000,12.54,13.357,12.52,12.62,36830,0
SKYX.US,D,20220328,000000,13.18,13.18,12.5803,12.61,29043,0
SKYX.US,D,20220329,000000,12.58,13.4,12.58,13.1,59593,0
SKYX.US,D,20220330,000000,13.52,13.52,12.8,13.11,79482,0
SKYX.US,D,20220331,000000,12.86,13.4899,12.51,12.85,72580,0
SKYX.US,D,20220401,000000,12.65,13.23,12.52,12.65,36808,0
SKYX.US,D,20220404,000000,12.55,13.4,12.53,13.12,61660,0
SKYX.US,D,20220405,000000,13.14,13.4247,12.62,13.17,49184,0
SKYX.US,D,20220406,000000,12.9,13.16,12.6,12.75,49805,0
SKYX.US,D,20220407,000000,12.99,12.99,11.09,11.1,77047,0
SKYX.US,D,20220408,000000,11,11.29,10.57,11.02,64950,0
SKYX.US,D,20220411,000000,10.8,11.9748,10.62,11,39099,0
SKYX.US,D,20220412,000000,11.2,12.3494,11.2,11.5,99473,0
SKYX.US,D,20220413,000000,11.27,12.25,11.1,11.79,53293,0
SKYX.US,D,20220414,000000,11.55,13.0907,11.0912,11.73,52751,0
SKYX.US,D,20220418,000000,11.85,12.39,11.541,11.95,31725,0
SKYX.US,D,20220419,000000,11.81,13.25,11.465,12.87,180602,0
SKYX.US,D,20220420,000000,13.13,13.35,12.095,13.35,154832,0
SKYX.US,D,20220421,000000,13.4,13.6,12.94,13.26,127353,0
SKYX.US,D,20220422,000000,13.31,13.6,13.04,13.35,91898,0
SKYX.US,D,20220425,000000,13.1,13.6,12.02,12.11,108525,0
SKYX.US,D,20220426,000000,12.15,12.755,11.79,12.23,96325,0
SKYX.US,D,20220427,000000,12.05,12.08,11.15,11.72,90648,0
SKYX.US,D,20220428,000000,11.75,12.85,11.51,12.11,108159,0
SKYX.US,D,20220429,000000,12.1,13.365,11.7812,12,99732,0
SKYX.US,D,20220502,000000,11.82,12.92,11.82,12.06,106328,0
SKYX.US,D,20220503,000000,11.85,12.65,11.75,11.88,96157,0
SKYX.US,D,20220504,000000,11.88,12.0309,10.82,10.91,59867,0
SKYX.US,D,20220505,000000,10.91,11.24,10.36,10.58,61674,0
SKYX.US,D,20220506,000000,10.34,10.935,10.1,10.11,77859,0
SKYX.US,D,20220509,000000,10.01,10.215,8.13,8.48,65667,0
SKYX.US,D,20220510,000000,8.37,8.725,5.8,5.92,206932,0
SKYX.US,D,20220511,000000,6,6.1,3.41,3.73,421186,0
SKYX.US,D,20220512,000000,4.11,4.97,3.75,4.85,330284,0
SKYX.US,D,20220513,000000,5.33,5.7,4.71,5.41,181427,0
SKYX.US,D,20220516,000000,5.65,5.7591,4.14,4.21,169946,0
SKYX.US,D,20220517,000000,4.5,4.65,4.21,4.3,126503,0
SKYX.US,D,20220518,000000,4.1,4.555,4.07,4.15,89501,0
SKYX.US,D,20220519,000000,4.07,4.62,3.7,3.81,101583,0
SKYX.US,D,20220520,000000,3.6,3.9,3.5,3.89,143481,0
SKYX.US,D,20220523,000000,3.96,4.33,3.68,3.89,113470,0
SKYX.US,D,20220524,000000,3.76,4.2678,3.5,3.51,112536,0
SKYX.US,D,20220525,000000,3.5,4.05,3.44,3.45,76514,0
SKYX.US,D,20220526,000000,3.45,3.595,3.2283,3.45,85252,0
SKYX.US,D,20220527,000000,3.44,3.5099,3.26,3.42,36867,0
SKYX.US,D,20220531,000000,3.57,3.76,3.22,3.76,109362,0
SKYX.US,D,20220601,000000,3.76,3.96,3.5,3.8,75490,0
SKYX.US,D,20220602,000000,3.8,3.95,3.405,3.63,60420,0
SKYX.US,D,20220603,000000,3.73,3.73,3.41,3.59,87775,0
SKYX.US,D,20220606,000000,3.48,3.51,2.325,2.37,394776,0
SKYX.US,D,20220607,000000,2.41,2.4399,1.96,2.09,385575,0
SKYX.US,D,20220608,000000,2.09,2.77,2.09,2.39,625374,0
SKYX.US,D,20220609,000000,2.22,2.35,2,2.2,167973,0
SKYX.US,D,20220610,000000,2.17,2.2889,2,2,75590,0
SKYX.US,D,20220613,000000,2,2.2899,1.91,2.06,160425,0
SKYX.US,D,20220614,000000,2,2.1544,1.82,1.99,112402,0
SKYX.US,D,20220615,000000,2.11,2.2933,1.9812,2.13,117493,0
SKYX.US,D,20220616,000000,2.15,2.19,2,2,85841,0
SKYX.US,D,20220617,000000,2.09,2.18,1.96,1.99,78978,0
SKYX.US,D,20220621,000000,2.13,2.19,1.91,2.04,93570,0
SKYX.US,D,20220622,000000,2.04,2.15,1.96,2.11,54309,0
SKYX.US,D,20220623,000000,2.14,2.17,1.823,2.17,102578,0
SKYX.US,D,20220624,000000,2.23,2.2899,2.07,2.07,88755,0
SKYX.US,D,20220627,000000,2.2,2.28,2,2.07,53737,0
SKYX.US,D,20220628,000000,2.07,2.3416,1.94,2.11,77971,0
SKYX.US,D,20220629,000000,2.02,2.28,2.02,2.25,48495,0
SKYX.US,D,20220630,000000,2.25,2.25,2,2,51167,0
SKYX.US,D,20220701,000000,1.97,2.44,1.97,2.16,65525,0
SKYX.US,D,20220705,000000,2.16,2.18,2.02,2.12,33605,0
SKYX.US,D,20220706,000000,2.18,2.2299,2.1,2.16,18722,0
SKYX.US,D,20220707,000000,2.12,2.24,2.12,2.2,34637,0
SKYX.US,D,20220708,000000,2.12,2.2461,2.12,2.15,18820,0
SKYX.US,D,20220711,000000,2.27,3.33,2.1621,2.85,1803676,0
SKYX.US,D,20220712,000000,2.99,2.99,2.22,2.69,582691,0
SKYX.US,D,20220713,000000,2.52,2.98,2.4452,2.8,212011,0
SKYX.US,D,20220714,000000,2.81,2.99,2.5512,2.97,176631,0
SKYX.US,D,20220715,000000,2.97,3.4499,2.8,3.43,476305,0
SKYX.US,D,20220718,000000,3.63,5.47,3.6043,4.91,7541122,0
SKYX.US,D,20220719,000000,4.95,4.95,4.11,4.52,746790,0
SKYX.US,D,20220720,000000,4.33,4.57,3.9001,4.43,366047,0
SKYX.US,D,20220721,000000,4.26,4.44,4,4.17,161738,0
SKYX.US,D,20220722,000000,4.11,4.45,3.91,4.06,122491,0
SKYX.US,D,20220725,000000,4,4.0233,3.5412,3.74,112867,0
SKYX.US,D,20220726,000000,3.67,3.92,3.4712,3.87,77588,0
SKYX.US,D,20220727,000000,4.02,4.27,3.78,4.17,94268,0
SKYX.US,D,20220728,000000,4.33,7.78,4.165,7.03,19575903,0
SKYX.US,D,20220729,000000,7.24,7.24,5.4,5.99,1992510,0
SKYX.US,D,20220801,000000,5.76,6.11,5.11,5.96,679162,0
SKYX.US,D,20220802,000000,5.65,5.8591,5.2655,5.56,370208,0
SKYX.US,D,20220803,000000,5.46,6.7,5.4512,6.43,1012596,0
SKYX.US,D,20220804,000000,6.58,7.22,6.2,6.42,660429,0
SKYX.US,D,20220805,000000,6.3,6.69,5.77,6.5,300910,0
SKYX.US,D,20220808,000000,6.5,6.9241,6.03,6.14,177504,0
SKYX.US,D,20220809,000000,5.67,5.8,3.19,3.6,3164214,0
SKYX.US,D,20220810,000000,3.79,3.85,2.88,3.015,1328601,0
SKYX.US,D,20220811,000000,3.22,3.45,2.95,3.35,781562,0
SKYX.US,D,20220812,000000,3.35,3.63,3.11,3.43,528876,0
SKYX.US,D,20220815,000000,3.39,3.72,3.3712,3.62,352956,0
SKYX.US,D,20220816,000000,3.4,3.7841,3.4,3.64,142452,0
SKYX.US,D,20220817,000000,3.5,3.77,3.4512,3.69,327212,0
SKYX.US,D,20220818,000000,3.8,3.91,3.5,3.6,169658,0
SKYX.US,D,20220819,000000,3.62,3.74,3.5,3.69,123203,0
SKYX.US,D,20220822,000000,3.62,3.69,3.4,3.66,116655,0
SKYX.US,D,20220823,000000,3.64,4,3.5,3.93,204706,0
SKYX.US,D,20220824,000000,3.95,4.02,3.76,3.93,145153,0
SKYX.US,D,20220825,000000,3.78,3.9299,3.38,3.5,362977,0
SKYX.US,D,20220826,000000,3.63,3.63,3.3,3.39,147415,0
SKYX.US,D,20220829,000000,3.31,3.61,3.31,3.41,140441,0
SKYX.US,D,20220830,000000,3.35,3.485,3,3.2,214519,0
SKYX.US,D,20220831,000000,3.13,3.29,3.05,3.11,135313,0
SKYX.US,D,20220901,000000,3,3.55,3,3.53,202909,0
SKYX.US,D,20220902,000000,3.54,3.69,3.38,3.6,180242,0
SKYX.US,D,20220906,000000,3.72,4.12,3.67,3.94,903379,0
SKYX.US,D,20220907,000000,3.83,4.14,3.7038,3.99,329318,0
SKYX.US,D,20220908,000000,3.99,4.25,3.9,4.24,344563,0
SKYX.US,D,20220909,000000,4.12,4.3,3.9013,3.92,305199,0
SKYX.US,D,20220912,000000,3.97,4.35,3.9612,4.24,351914,0
SKYX.US,D,20220913,000000,4.2,4.28,3.6004,3.65,513673,0
SKYX.US,D,20220914,000000,3.66,4.25,3.66,3.9,868406,0
SKYX.US,D,20220915,000000,3.88,3.99,3.3,3.53,843614,0
SKYX.US,D,20220916,000000,3.47,3.49,3.25,3.4,1989425,0
SKYX.US,D,20220919,000000,3.31,3.5,3.27,3.45,476489,0
SKYX.US,D,20220920,000000,3.39,3.58,3.317,3.42,424291,0
SKYX.US,D,20220921,000000,3.33,3.48,3.3022,3.37,85789,0
SKYX.US,D,20220922,000000,3.37,3.38,3.18,3.24,214401,0
