<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NCI.US,D,20240423,000000,4.35,11.39,3.84,9.5,7022933,0
NCI.US,D,20240424,000000,8.18,9.3561,2.0726,2.34,8459629,0
NCI.US,D,20240425,000000,2.5,3.35,2.0693,2.36,8935994,0
NCI.US,D,20240426,000000,2.11,2.19,1.81,1.88,1650021,0
NCI.US,D,20240429,000000,1.9,1.9,1.35,1.45,1232331,0
NCI.US,D,20240430,000000,1.3,1.34,1.21,1.27,1086338,0
NCI.US,D,20240501,000000,1.19,1.32,1.12,1.25,779316,0
NCI.US,D,20240502,000000,1.2,1.24,1.16,1.17,430092,0
NCI.US,D,20240503,000000,1.2,1.21,1.04,1.09,598301,0
NCI.US,D,20240506,000000,1.04,1.09,1.02,1.05,437096,0
NCI.US,D,20240507,000000,1,1.03,0.925,0.983,4011144,0
NCI.US,D,20240508,000000,1.08,1.22,1.04,1.11,5895932,0
NCI.US,D,20240509,000000,1.02,1.15,0.9505,1.15,760539,0
NCI.US,D,20240510,000000,1.03,1.13,1.02,1.13,393757,0
NCI.US,D,20240513,000000,1.1238,1.27,1.11,1.175,652396,0
NCI.US,D,20240514,000000,1.18,1.22,1.09,1.09,604625,0
NCI.US,D,20240515,000000,1.08,1.14,1.0398,1.05,281974,0
NCI.US,D,20240516,000000,1.05,1.09,1.02,1.02,381361,0
NCI.US,D,20240517,000000,1.03,1.1,1.03,1.04,267642,0
NCI.US,D,20240520,000000,1.04,1.07,1.01,1.01,172945,0
NCI.US,D,20240521,000000,1.02,1.07,0.97,0.98,338913,0
NCI.US,D,20240522,000000,1.02,1.02,0.92,0.94,330257,0
NCI.US,D,20240523,000000,0.92,0.95,0.8101,0.84,317055,0
NCI.US,D,20240524,000000,0.849,0.85,0.76,0.773,312154,0
NCI.US,D,20240528,000000,0.769,0.8,0.7501,0.79,122520,0
NCI.US,D,20240529,000000,0.8098,0.86,0.7547,0.788,258757,0
NCI.US,D,20240530,000000,0.7644,0.8,0.7403,0.8,127496,0
NCI.US,D,20240531,000000,0.7998,0.8,0.7199,0.721,104762,0
NCI.US,D,20240603,000000,0.711,0.745,0.66,0.695,110494,0
NCI.US,D,20240604,000000,0.6741,0.691,0.6506,0.681,140600,0
NCI.US,D,20240605,000000,0.706,0.7646,0.67,0.733801,225495,0
NCI.US,D,20240606,000000,0.72,0.85,0.72,0.795,500818,0
NCI.US,D,20240607,000000,0.7712,0.7734,0.72,0.729,474324,0
NCI.US,D,20240610,000000,0.74,0.8,0.7005,0.7005,192762,0
NCI.US,D,20240611,000000,0.711,0.75,0.57406,0.631,358545,0
NCI.US,D,20240612,000000,0.635,0.68,0.6346,0.6526,276275,0
NCI.US,D,20240613,000000,0.85,0.9,0.6954,0.885,28157794,0
NCI.US,D,20240614,000000,0.7102,0.875,0.709,0.821,1331562,0
NCI.US,D,20240617,000000,0.7558,0.911,0.75,0.8061,864501,0
NCI.US,D,20240618,000000,0.7662,0.781,0.7,0.73,296120,0
NCI.US,D,20240620,000000,0.73,0.7496,0.7006,0.719,136616,0
NCI.US,D,20240621,000000,0.71,0.7245,0.7001,0.7227,70096,0
NCI.US,D,20240624,000000,0.731,0.74,0.7,0.7344,99503,0
NCI.US,D,20240625,000000,0.732,0.732,0.68,0.7,50903,0
NCI.US,D,20240626,000000,0.699,0.7,0.6605,0.6705,77098,0
NCI.US,D,20240627,000000,0.6704,0.6835,0.665,0.668,37798,0
NCI.US,D,20240628,000000,0.687,0.7,0.6216,0.6301,185385,0
NCI.US,D,20240701,000000,0.64,0.6624,0.6,0.601,44542,0
NCI.US,D,20240702,000000,0.6,0.625,0.59,0.601,73760,0
NCI.US,D,20240703,000000,0.609,0.626,0.5982,0.6078,34993,0
NCI.US,D,20240705,000000,0.62,0.670101,0.608,0.622,43716,0
NCI.US,D,20240708,000000,0.654,0.654,0.622,0.65,32430,0
NCI.US,D,20240709,000000,0.631,0.67,0.63,0.641,20688,0
NCI.US,D,20240710,000000,0.634,0.683,0.63,0.68,78807,0
NCI.US,D,20240711,000000,0.6601,0.67,0.6301,0.668,19375,0
NCI.US,D,20240712,000000,0.668,0.668,0.63,0.6488,113997,0
NCI.US,D,20240715,000000,0.6251,0.66,0.6251,0.658,29874,0
NCI.US,D,20240716,000000,0.66,0.66,0.64,0.658,25817,0
NCI.US,D,20240717,000000,0.64,0.6573,0.601,0.6241,41619,0
NCI.US,D,20240718,000000,0.6241,0.65,0.6,0.627573,48331,0
NCI.US,D,20240719,000000,0.6661,0.6661,0.6056,0.6056,27488,0
NCI.US,D,20240722,000000,0.6016,0.628,0.6,0.6077,34619,0
NCI.US,D,20240723,000000,0.5931,0.61,0.5764,0.585251,64144,0
NCI.US,D,20240724,000000,0.575,0.6,0.57,0.5788,35561,0
NCI.US,D,20240725,000000,0.5775,0.585,0.551,0.56,58680,0
NCI.US,D,20240726,000000,0.553,0.5805,0.553,0.553001,31827,0
NCI.US,D,20240729,000000,0.58,0.58,0.511,0.5343,44765,0
NCI.US,D,20240730,000000,0.5181,0.55,0.5102,0.5165,43203,0
NCI.US,D,20240731,000000,0.53,0.5499,0.48,0.491,150650,0
NCI.US,D,20240801,000000,0.486,0.51,0.486,0.4948,40085,0
NCI.US,D,20240802,000000,0.506,0.539399,0.48,0.4837,26480,0
NCI.US,D,20240805,000000,0.47,0.499999,0.3501,0.461,52928,0
NCI.US,D,20240806,000000,0.4988,0.51,0.452749,0.4761,37362,0
NCI.US,D,20240807,000000,0.5,0.505,0.45,0.4597,42059,0
NCI.US,D,20240808,000000,0.4598,0.4779,0.425,0.438,67024,0
NCI.US,D,20240809,000000,0.4377,0.4392,0.4011,0.41305,15498,0
NCI.US,D,20240812,000000,0.4296,0.441,0.4221,0.4301,23343,0
NCI.US,D,20240813,000000,0.43,0.4462,0.425,0.4368,18747,0
NCI.US,D,20240814,000000,0.472,0.472,0.415,0.4248,15965,0
NCI.US,D,20240815,000000,0.4306,0.46,0.4011,0.41,83651,0
NCI.US,D,20240816,000000,0.405,0.4272,0.405,0.415,24843,0
NCI.US,D,20240819,000000,0.415,0.425,0.402,0.402,12492,0
NCI.US,D,20240820,000000,0.42,0.539,0.403,0.4614,2580599,0
NCI.US,D,20240821,000000,0.4288,0.51,0.4075,0.4693,1977589,0
NCI.US,D,20240822,000000,0.4545,0.4701,0.4204,0.4312,108456,0
NCI.US,D,20240823,000000,0.417,0.4718,0.4109,0.46,216736,0
NCI.US,D,20240826,000000,0.43,0.46,0.42,0.433,56414,0
NCI.US,D,20240827,000000,0.425,0.47,0.420101,0.4451,35079,0
NCI.US,D,20240828,000000,0.444101,0.46,0.4225,0.423,64797,0
NCI.US,D,20240829,000000,0.425384,0.44,0.413,0.4238,54409,0
NCI.US,D,20240830,000000,0.4228,0.45,0.418,0.4241,93317,0
NCI.US,D,20240903,000000,0.4241,0.4484,0.42,0.4201,26238,0
NCI.US,D,20240904,000000,0.41,0.4305,0.41,0.411,53999,0
NCI.US,D,20240905,000000,0.439,0.439,0.39,0.435,17538,0
NCI.US,D,20240906,000000,0.4339,0.47,0.3998,0.4122,82430,0
NCI.US,D,20240909,000000,0.408,0.46,0.4001,0.4116,36758,0
NCI.US,D,20240910,000000,0.42,0.435,0.405,0.41,24011,0
NCI.US,D,20240911,000000,0.423,0.47,0.4155,0.4501,47119,0
NCI.US,D,20240912,000000,0.449,0.54,0.43,0.51,122534,0
NCI.US,D,20240913,000000,0.5151,0.5399,0.4511,0.5096,136599,0
NCI.US,D,20240916,000000,0.508,0.508,0.4764,0.4827,12015,0
NCI.US,D,20240917,000000,0.4699,0.49,0.463,0.49,38723,0
