<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NEWTH.US,D,20240918,000000,25.2,25.25,25.14,25.17,125900,0
NEWTH.US,D,20240919,000000,25.25,25.5,25.18,25.2,52476,0
NEWTH.US,D,20240920,000000,25.22,25.33,25.14,25.16,48940,0
NEWTH.US,D,20240923,000000,25.2,25.2,25.14,25.17,32220,0
NEWTH.US,D,20240924,000000,25.15,25.2,25.07,25.15,71045,0
NEWTH.US,D,20240925,000000,25.275,25.38,25.09,25.13,43044,0
NEWTH.US,D,20240926,000000,25.15,25.17,25.1,25.1,28852,0
NEWTH.US,D,20240927,000000,25.125,25.14,25.07,25.12,13073,0
NEWTH.US,D,20240930,000000,25.135,25.1467,25.04,25.1,49617,0
NEWTH.US,D,20241001,000000,25.09,25.15,25.05,25.1,26187,0
NEWTH.US,D,20241002,000000,25.14,25.15,25.09,25.105,16310,0
NEWTH.US,D,20241003,000000,25.12,25.2,25.1,25.14,29526,0
NEWTH.US,D,20241004,000000,25.14,25.14,25.06,25.11,13469,0
NEWTH.US,D,20241007,000000,25.12,25.13,25.05,25.07,27925,0
NEWTH.US,D,20241008,000000,25.06,25.14,25.0553,25.12,27617,0
NEWTH.US,D,20241009,000000,25.12,25.145,25.0944,25.13,10462,0
NEWTH.US,D,20241010,000000,25.15,25.18,25.12,25.12,15937,0
NEWTH.US,D,20241011,000000,25.17,25.2499,25.17,25.24,8395,0
NEWTH.US,D,20241014,000000,25.22,25.24,25.1,25.23,26477,0
NEWTH.US,D,20241015,000000,25.23,25.24,25.19,25.19,6343,0
NEWTH.US,D,20241016,000000,25.1791,25.26,25.1791,25.23,15723,0
NEWTH.US,D,20241017,000000,25.25,25.3,25.24,25.24,2548,0
NEWTH.US,D,20241018,000000,25.25,25.33,25.24,25.32,17637,0
NEWTH.US,D,20241021,000000,25.35,25.38,25.245,25.3,39999,0
NEWTH.US,D,20241022,000000,25.3,25.3,25.21,25.23,14146,0
NEWTH.US,D,20241023,000000,25.2,25.2102,25.1,25.18,15677,0
NEWTH.US,D,20241024,000000,25.18,25.2,25.155,25.18,13128,0
NEWTH.US,D,20241025,000000,25.24,25.25,25.225,25.24,6867,0
NEWTH.US,D,20241028,000000,25.23,25.2399,25.1,25.13,20266,0
NEWTH.US,D,20241029,000000,25.2,25.2,25.16,25.2,15050,0
NEWTH.US,D,20241030,000000,25.2,25.2,25.16,25.2,6837,0
NEWTH.US,D,20241031,000000,25.13,25.34,25.13,25.3,7051,0
NEWTH.US,D,20241101,000000,25.34,25.42,25.338,25.372,1800,0
NEWTH.US,D,20241104,000000,25.32,25.4,25.22,25.32,10643,0
NEWTH.US,D,20241105,000000,25.33,25.52,25.32,25.47,12958,0
NEWTH.US,D,20241106,000000,25.4354,25.56,25.34,25.54,14558,0
NEWTH.US,D,20241107,000000,25.54,25.6,25.4,25.45,25213,0
NEWTH.US,D,20241108,000000,25.47,25.63,25.2632,25.618,23804,0
NEWTH.US,D,20241111,000000,25.62,25.6314,25.62,25.63,1077,0
NEWTH.US,D,20241112,000000,25.65,25.7389,25.56,25.69,6877,0
NEWTH.US,D,20241113,000000,25.67,25.69,25.52,25.6567,4772,0
NEWTH.US,D,20241114,000000,25.68,25.68,25.527,25.67,2260,0
NEWTH.US,D,20241115,000000,25.67,25.6727,25.51,25.64,6496,0
NEWTH.US,D,20241118,000000,25.6529,25.6796,25.51,25.6,25578,0
NEWTH.US,D,20241119,000000,25.67,25.67,25.387,25.48,37824,0
NEWTH.US,D,20241120,000000,25.5,25.5,25.3,25.36,37776,0
NEWTH.US,D,20241121,000000,25.34,25.43,25.12,25.14,37817,0
NEWTH.US,D,20241122,000000,25.19,25.25,25.145,25.19,30209,0
NEWTH.US,D,20241125,000000,25.2607,25.28,25.2,25.22,19618,0
NEWTH.US,D,20241126,000000,25.22,25.38,25.22,25.3,9352,0
NEWTH.US,D,20241127,000000,25.42,25.46,25.35,25.4,17916,0
NEWTH.US,D,20241129,000000,25.3,25.45,25.2849,25.36,18333,0
NEWTH.US,D,20241202,000000,25.54,25.63,25.4753,25.5,54226,0
NEWTH.US,D,20241203,000000,25.62,25.66,25.52,25.65,20854,0
NEWTH.US,D,20241204,000000,25.5,25.65,25.5,25.5001,10775,0
NEWTH.US,D,20241205,000000,25.5,25.5539,25.47,25.5,11610,0
NEWTH.US,D,20241206,000000,25.5,25.592,25.45,25.45,15433,0
NEWTH.US,D,20241209,000000,25.4,25.5,25.31,25.39,31483,0
NEWTH.US,D,20241210,000000,25.4,25.55,25.4,25.4,4822,0
NEWTH.US,D,20241211,000000,25.3999,25.54,25.3825,25.5025,7940,0
NEWTH.US,D,20241212,000000,25.498,25.53,25.3852,25.3861,6399,0
NEWTH.US,D,20241213,000000,25.55,25.55,25.48,25.48,1474,0
NEWTH.US,D,20241216,000000,25.548,25.548,25.4,25.4,22595,0
NEWTH.US,D,20241217,000000,25.45,25.7395,25.42,25.65,72373,0
NEWTH.US,D,20241218,000000,25.7,25.74,25.56,25.68,13390,0
NEWTH.US,D,20241219,000000,25.72,25.72,25.602,25.69,1023,0
NEWTH.US,D,20241220,000000,25.62,25.65,25.5465,25.5745,23499,0
NEWTH.US,D,20241223,000000,25.6475,25.86,25.6,25.848,45717,0
NEWTH.US,D,20241224,000000,25.88,25.94,25.77,25.8927,26176,0
NEWTH.US,D,20241226,000000,25.92,25.92,25.86,25.9105,4559,0
NEWTH.US,D,20241227,000000,25.9,25.93,25.8,25.88,2892,0
NEWTH.US,D,20241230,000000,25.95,25.95,25.8,25.9,2734,0
NEWTH.US,D,20241231,000000,25.9,25.94,25.7659,25.78,8919,0
NEWTH.US,D,20250102,000000,25.77,25.95,25.77,25.84,2884,0
NEWTH.US,D,20250103,000000,25.95,25.95,25.895,25.91,2198,0
NEWTH.US,D,20250106,000000,25.9,25.95,25.855,25.91,7909,0
NEWTH.US,D,20250107,000000,25.85,25.935,25.67,25.71,17645,0
NEWTH.US,D,20250108,000000,25.71,25.75,25.65,25.685,42278,0
NEWTH.US,D,20250110,000000,25.69,25.77,25.67,25.67,18609,0
NEWTH.US,D,20250113,000000,25.59,25.7899,25.35,25.47,148125,0
NEWTH.US,D,20250114,000000,25.04,25.04,24.8,24.99,67248,0
NEWTH.US,D,20250115,000000,25,25.11,24.88,25.08,31429,0
NEWTH.US,D,20250116,000000,25.1,25.1,24.9991,25.0044,35979,0
NEWTH.US,D,20250117,000000,25,25.05,24.9901,25.0498,33556,0
NEWTH.US,D,20250121,000000,25.02,25.09,25,25.02,25117,0
NEWTH.US,D,20250122,000000,25.04,25.0799,25.0143,25.0257,20240,0
NEWTH.US,D,20250123,000000,25.03,25.07,25.02,25.02,21943,0
NEWTH.US,D,20250124,000000,25.03,25.15,25,25.04,29331,0
NEWTH.US,D,20250127,000000,25.075,25.16,25.03,25.1,9469,0
NEWTH.US,D,20250128,000000,25.1523,25.17,25.095,25.095,10803,0
NEWTH.US,D,20250129,000000,25.04,25.1399,25.02,25.05,15964,0
NEWTH.US,D,20250130,000000,25.11,25.12,25.0701,25.08,10793,0
NEWTH.US,D,20250131,000000,25.1,25.12,25.09,25.101,7327,0
NEWTH.US,D,20250203,000000,25.15,25.18,25.11,25.11,8162,0
NEWTH.US,D,20250204,000000,25.1,25.14,25.095,25.11,5744,0
NEWTH.US,D,20250205,000000,25.14,25.28,25.1101,25.13,8424,0
NEWTH.US,D,20250206,000000,25.13,25.21,25.13,25.16,5461,0
NEWTH.US,D,20250207,000000,25.175,25.22,25.175,25.18,16144,0
NEWTH.US,D,20250210,000000,25.18,25.18,25.1,25.14,8296,0
NEWTH.US,D,20250211,000000,25.13,25.16,25.1,25.16,4543,0
NEWTH.US,D,20250212,000000,25.14,25.18,25.13,25.14,7908,0
NEWTH.US,D,20250213,000000,25.1551,25.18,25.13,25.13,4554,0
NEWTH.US,D,20250214,000000,25.15,25.18,25.15,25.1501,5830,0
NEWTH.US,D,20250218,000000,25.18,25.22,25.1677,25.17,10049,0
NEWTH.US,D,20250219,000000,25.225,25.25,25.15,25.175,9389,0
NEWTH.US,D,20250220,000000,25.17,25.27,25.15,25.17,4142,0
NEWTH.US,D,20250221,000000,25.27,25.27,25.2,25.2,5545,0
NEWTH.US,D,20250224,000000,25.2493,25.2493,25.21,25.24,2646,0
NEWTH.US,D,20250225,000000,25.21,25.24,25.16,25.19,14154,0
NEWTH.US,D,20250226,000000,25.22,25.28,25.22,25.2411,7616,0
NEWTH.US,D,20250227,000000,25.25,25.25,25.21,25.22,6040,0
NEWTH.US,D,20250228,000000,25.255,25.2599,25.24,25.24,6836,0
NEWTH.US,D,20250303,000000,25.26,25.26,25.22,25.2435,7841,0
NEWTH.US,D,20250304,000000,25.27,25.27,25.1,25.15,17832,0
NEWTH.US,D,20250305,000000,25.27,25.27,25.0901,25.15,16808,0
NEWTH.US,D,20250306,000000,25.2,25.2,24.71,25.02,118555,0
NEWTH.US,D,20250307,000000,25.05,25.15,24.98,24.98,22073,0
NEWTH.US,D,20250310,000000,24.99,24.995,24.78,24.87,30091,0
NEWTH.US,D,20250311,000000,24.84,24.85,24.65,24.82,14772,0
NEWTH.US,D,20250312,000000,24.85,24.95,24.84,24.85,9854,0
NEWTH.US,D,20250313,000000,24.8,24.95,24.8,24.93,5357,0
NEWTH.US,D,20250314,000000,24.9196,24.9601,24.9,24.95,4785,0
NEWTH.US,D,20250317,000000,24.91,25.01,24.81,24.9,10668,0
NEWTH.US,D,20250318,000000,24.9394,25.04,24.88,24.9916,13915,0
NEWTH.US,D,20250319,000000,25.02,25.04,24.93,25,11361,0
NEWTH.US,D,20250320,000000,25,25.03,24.95,25.03,6032,0
NEWTH.US,D,20250321,000000,25.01,25.02,24.975,25.0164,15612,0
NEWTH.US,D,20250324,000000,25.04,25.09,24.9,25,23526,0
NEWTH.US,D,20250325,000000,25,25.08,25,25.02,4861,0
NEWTH.US,D,20250326,000000,25.0199,25.02,24.99,25,9175,0
NEWTH.US,D,20250327,000000,25.02,25.02,24.92,24.97,21145,0
NEWTH.US,D,20250328,000000,25,25.02,24.922,24.93,7070,0
NEWTH.US,D,20250331,000000,25,25.02,24.825,25.01,13804,0
NEWTH.US,D,20250401,000000,24.82,25.1,24.82,25.1,14461,0
NEWTH.US,D,20250402,000000,25.09,25.2399,25.07,25.07,14876,0
NEWTH.US,D,20250403,000000,25.07,25.0895,24.64,24.81,27459,0
NEWTH.US,D,20250404,000000,24.845,24.9,24.12,24.49,59035,0
NEWTH.US,D,20250407,000000,24.31,24.535,23.8206,23.86,26040,0
NEWTH.US,D,20250408,000000,24.05,24.52,23.38,23.94,33133,0
NEWTH.US,D,20250409,000000,23.75,24.49,23,24.38,30324,0
NEWTH.US,D,20250410,000000,24.1,24.5,24.1,24.4,12355,0
NEWTH.US,D,20250411,000000,24.416,24.416,24.1529,24.33,9465,0
