<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JUNE.US,D,20240417,000000,4,4.2,3.6,4.06,2234700,0
JUNE.US,D,20240418,000000,3.94,4.6,3.85,4.1,587176,0
JUNE.US,D,20240419,000000,4.08,4.135,3.99,4.04,392817,0
JUNE.US,D,20240422,000000,4.05,4.25,3.94,4,823903,0
JUNE.US,D,20240423,000000,4.08,4.14,3.8,3.91,409518,0
JUNE.US,D,20240424,000000,3.9,4.0513,3.9,4,250503,0
JUNE.US,D,20240425,000000,4,4.08,3.94,4,227657,0
JUNE.US,D,20240426,000000,3.99,4.05,3.92,4,204162,0
JUNE.US,D,20240429,000000,4.02,4.08,3.93,4.01,325319,0
JUNE.US,D,20240430,000000,4.2,4.2,3.94,4.01,245110,0
JUNE.US,D,20240501,000000,4.08,4.1,4,4.1,51757,0
JUNE.US,D,20240502,000000,4.14,4.14,3.97,4,186257,0
JUNE.US,D,20240503,000000,4.02,4.1,3.96,4.08,166240,0
JUNE.US,D,20240506,000000,4.21,4.75,3.97,4.74,329418,0
JUNE.US,D,20240507,000000,4.8,4.8,4.3,4.6,148919,0
JUNE.US,D,20240508,000000,4.59,4.83,4.5197,4.68,119796,0
JUNE.US,D,20240509,000000,4.51,4.8316,4.51,4.58,45352,0
JUNE.US,D,20240510,000000,4.7,4.75,4.41,4.56,170744,0
JUNE.US,D,20240513,000000,4.57,4.8,4.4204,4.74,66691,0
JUNE.US,D,20240514,000000,4.62,4.7,4.31,4.52,80570,0
JUNE.US,D,20240515,000000,4.53,4.53,4.05,4.15,270591,0
JUNE.US,D,20240516,000000,4.24,4.3,4.16,4.3,70750,0
JUNE.US,D,20240517,000000,4.26,4.3,4.23,4.3,241466,0
JUNE.US,D,20240520,000000,4.25,4.3,4.25,4.28,57660,0
JUNE.US,D,20240521,000000,4.2244,4.6,4.22,4.48,138129,0
JUNE.US,D,20240522,000000,4.4521,4.5799,4.39,4.48,39792,0
JUNE.US,D,20240523,000000,4.49,4.59,4.22,4.22,76085,0
JUNE.US,D,20240524,000000,4.43,4.43,4.2,4.25,159936,0
JUNE.US,D,20240528,000000,4.25,4.37,4.01,4.14,48784,0
JUNE.US,D,20240529,000000,4.12,4.45,4.11,4.18,79679,0
JUNE.US,D,20240530,000000,4.3,4.31,4.12,4.12,22502,0
JUNE.US,D,20240531,000000,4.29,4.325,4.21,4.27,13525,0
JUNE.US,D,20240603,000000,4.3297,4.45,4.255,4.31,57877,0
JUNE.US,D,20240604,000000,4.405,4.499,4.28,4.32,8500,0
JUNE.US,D,20240605,000000,4.34,4.34,4.25,4.25,1895,0
JUNE.US,D,20240606,000000,4.23,4.28,4.145,4.28,5521,0
JUNE.US,D,20240607,000000,4.27,4.35,4.15,4.15,109867,0
JUNE.US,D,20240610,000000,4.15,4.28,4.15,4.28,2872,0
JUNE.US,D,20240611,000000,4.0101,4.189,4.0101,4.15,23293,0
JUNE.US,D,20240612,000000,4.1899,4.29,4.145,4.28,13961,0
JUNE.US,D,20240613,000000,4.27,4.35,4.25,4.275,207191,0
JUNE.US,D,20240614,000000,4.25,4.33,4.1222,4.23,123876,0
JUNE.US,D,20240617,000000,4.18,4.27,4.05,4.18,15768,0
JUNE.US,D,20240618,000000,4.29,4.3,4.18,4.3,57494,0
JUNE.US,D,20240620,000000,4.3,4.4,4.25,4.39,80444,0
JUNE.US,D,20240621,000000,4.32,4.44,4.27,4.31,17087,0
JUNE.US,D,20240624,000000,4.27,4.32,4.27,4.32,8097,0
JUNE.US,D,20240625,000000,4.32,4.32,4.27,4.3,5305,0
JUNE.US,D,20240626,000000,4.25,4.275,4.1,4.27,16004,0
JUNE.US,D,20240628,000000,4.3,4.334,4.14,4.28,131358,0
JUNE.US,D,20240701,000000,4.28,4.4884,4.2,4.202,105561,0
JUNE.US,D,20240702,000000,4.29,4.3,4.13,4.3,8837,0
JUNE.US,D,20240703,000000,4.29,4.345,4.1,4.12,35573,0
JUNE.US,D,20240705,000000,4.18,4.4,4.16,4.31,182399,0
JUNE.US,D,20240708,000000,4.4457,4.9663,4.4,4.9,262323,0
JUNE.US,D,20240709,000000,5.01,5.19,4.9,5.02,256326,0
JUNE.US,D,20240710,000000,5.09,5.227,5.03,5.08,77008,0
JUNE.US,D,20240711,000000,5.1486,5.7993,5.08,5.42,55173,0
JUNE.US,D,20240712,000000,5.51,5.808,5.05,5.4,195327,0
JUNE.US,D,20240715,000000,5.44,5.7001,5.31,5.31,71375,0
JUNE.US,D,20240716,000000,5.3051,5.3999,4.9001,4.9001,192227,0
JUNE.US,D,20240717,000000,5.04,5.495,4.73,5.35,173987,0
JUNE.US,D,20240718,000000,5.21,5.39,5.16,5.2,101925,0
JUNE.US,D,20240719,000000,5.12,5.29,5.12,5.13,19711,0
JUNE.US,D,20240722,000000,5.1,5.1,4.81,4.81,76503,0
JUNE.US,D,20240723,000000,4.8101,5.02,4.81,4.99,29507,0
JUNE.US,D,20240724,000000,5.03,5.03,4.8001,4.82,19398,0
JUNE.US,D,20240725,000000,4.9,5.01,4.8,4.81,96213,0
JUNE.US,D,20240726,000000,4.82,4.8998,4.7641,4.8,39133,0
JUNE.US,D,20240729,000000,4.92,4.92,4.055,4.12,126357,0
JUNE.US,D,20240730,000000,4.08,4.5,4.08,4.32,75830,0
JUNE.US,D,20240731,000000,4.3,4.6899,4.19,4.5,22478,0
JUNE.US,D,20240801,000000,4.6,4.9437,4.49,4.77,38412,0
JUNE.US,D,20240802,000000,4.69,4.715,3.8,4.3,95194,0
JUNE.US,D,20240805,000000,4.4516,4.4516,4.13,4.34,11485,0
JUNE.US,D,20240806,000000,4.47,4.56,4.47,4.55,21929,0
JUNE.US,D,20240807,000000,4.7,4.725,4.55,4.55,51060,0
JUNE.US,D,20240808,000000,4.55,4.88,4.37,4.54,72468,0
JUNE.US,D,20240809,000000,4.4,4.69,4.4,4.59,9108,0
JUNE.US,D,20240812,000000,4.66,4.69,4.205,4.52,91596,0
JUNE.US,D,20240813,000000,4.78,4.78,4.47,4.735,78627,0
JUNE.US,D,20240814,000000,4.63,4.69,4.48,4.525,39112,0
JUNE.US,D,20240815,000000,4.51,4.57,4.3,4.378,113921,0
JUNE.US,D,20240816,000000,4.38,4.535,4.38,4.5,7722,0
JUNE.US,D,20240819,000000,4.545,5.05,4.39,4.46,123433,0
JUNE.US,D,20240820,000000,4.417,4.6918,4.25,4.25,47623,0
JUNE.US,D,20240821,000000,4.54,4.56,4.37,4.4,16888,0
JUNE.US,D,20240822,000000,4.39,4.54,4.39,4.54,19228,0
JUNE.US,D,20240823,000000,4.55,4.72,4.535,4.618,11654,0
JUNE.US,D,20240826,000000,4.6104,4.63,4.51,4.55,25959,0
JUNE.US,D,20240827,000000,4.56,5,4.56,4.66,1047127,0
