<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SMHX.US,D,20240830,000000,25.305,25.34,24.8769,25.23,29683,0
SMHX.US,D,20240903,000000,24.84,24.84,23.16,23.2981,35373,0
SMHX.US,D,20240904,000000,23,23.669,22.95,23.33,21975,0
SMHX.US,D,20240905,000000,23.08,23.55,23.08,23.26,7674,0
SMHX.US,D,20240906,000000,22.97,22.97,21.99,22.14,46220,0
SMHX.US,D,20240909,000000,22.5542,22.79,22.54,22.7391,5076,0
SMHX.US,D,20240910,000000,22.8,23.1426,22.685,23.1332,7640,0
SMHX.US,D,20240911,000000,23.4577,24.3472,23,24.3472,50656,0
SMHX.US,D,20240912,000000,24.2,24.72,24.2,24.46,17849,0
SMHX.US,D,20240913,000000,24.7701,24.89,24.73,24.85,22130,0
SMHX.US,D,20240916,000000,24.41,24.66,24.355,24.5475,9242,0
SMHX.US,D,20240917,000000,24.88,24.88,24.42,24.46,9965,0
SMHX.US,D,20240918,000000,24.66,25,24.28,24.3297,35343,0
SMHX.US,D,20240919,000000,25.34,25.51,25.21,25.2506,20179,0
SMHX.US,D,20240920,000000,25.12,25.12,24.72,24.9542,8411,0
SMHX.US,D,20240923,000000,25.11,25.11,24.85,25.03,4755,0
SMHX.US,D,20240924,000000,25.2,25.448,24.98,25.41,21758,0
SMHX.US,D,20240925,000000,25.37,25.67,25.37,25.55,4771,0
SMHX.US,D,20240926,000000,26.36,26.36,25.596,26.21,19079,0
SMHX.US,D,20240927,000000,26.25,26.25,25.657,25.71,12996,0
SMHX.US,D,20240930,000000,25.48,25.71,25.34,25.69,10923,0
SMHX.US,D,20241001,000000,25.71,25.71,24.73,24.8559,21763,0
SMHX.US,D,20241002,000000,24.8,25.35,24.8,25.17,5108,0
SMHX.US,D,20241003,000000,25.39,25.66,25.177,25.33,13929,0
SMHX.US,D,20241004,000000,25.95,25.95,25.51,25.83,12988,0
SMHX.US,D,20241007,000000,25.75,26.0183,25.688,25.8018,20006,0
SMHX.US,D,20241008,000000,25.92,26.32,25.8305,26.2672,18571,0
SMHX.US,D,20241009,000000,26.54,26.81,26.289,26.81,19872,0
SMHX.US,D,20241010,000000,26.56,26.95,26.39,26.95,24320,0
SMHX.US,D,20241011,000000,26.7,27.17,26.7,27.0884,28498,0
SMHX.US,D,20241014,000000,27.37,27.6,27.31,27.45,54252,0
SMHX.US,D,20241015,000000,27.49,27.5,26.35,26.4617,57677,0
SMHX.US,D,20241016,000000,26.77,26.77,26.38,26.66,53122,0
SMHX.US,D,20241017,000000,27.5,27.5,26.87,26.89,34527,0
SMHX.US,D,20241018,000000,27.03,27.14,26.7794,26.8345,14673,0
SMHX.US,D,20241021,000000,26.84,27.05,26.63,27.0333,55115,0
SMHX.US,D,20241022,000000,26.94,27.09,26.8175,27.07,29193,0
SMHX.US,D,20241023,000000,26.7486,26.87,26.17,26.53,29222,0
SMHX.US,D,20241024,000000,26.61,26.61,26.4299,26.5395,12322,0
SMHX.US,D,20241025,000000,26.83,27.29,26.83,26.93,38095,0
SMHX.US,D,20241028,000000,27.11,27.1391,26.98,27.0245,47804,0
SMHX.US,D,20241029,000000,27.2,27.97,27.04,27.8441,32960,0
