<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JIVE.US,D,20230915,000000,48.704,48.704,48.704,48.704,2,0
JIVE.US,D,20230918,000000,48.6091,48.6091,48.6091,48.6091,4,0
JIVE.US,D,20230919,000000,49.0065,49.0065,49.0065,49.0065,5,0
JIVE.US,D,20230920,000000,49.54,49.89,48.8468,48.8468,2911,0
JIVE.US,D,20230921,000000,48.34,48.34,48.3254,48.3254,115,0
JIVE.US,D,20230922,000000,48.7401,48.7401,48.4785,48.4785,202,0
JIVE.US,D,20230925,000000,48.34,48.36,48.3394,48.3394,1272,0
JIVE.US,D,20230926,000000,47.7747,47.7747,47.7747,47.7747,1,0
JIVE.US,D,20230927,000000,47.7091,47.7091,47.7091,47.7091,15,0
JIVE.US,D,20230928,000000,48.1926,48.1926,48.1926,48.1926,4,0
JIVE.US,D,20230929,000000,48.4,48.4,47.8305,47.8305,315,0
JIVE.US,D,20231002,000000,47.161,47.161,47.161,47.161,4,0
JIVE.US,D,20231003,000000,46.48,46.48,46.4413,46.4413,200,0
JIVE.US,D,20231004,000000,46.1441,46.1441,46.1441,46.1441,4,0
JIVE.US,D,20231005,000000,46.25,46.5,46.25,46.45,534,0
JIVE.US,D,20231006,000000,47.1388,47.1388,47.1388,47.1388,1,0
JIVE.US,D,20231009,000000,47.1756,47.1756,47.1756,47.1756,4,0
JIVE.US,D,20231010,000000,47.73,47.91,47.73,47.85,416,0
JIVE.US,D,20231011,000000,48.09,48.09,48.0357,48.0357,340,0
JIVE.US,D,20231012,000000,47.57,47.57,47.57,47.57,8,0
JIVE.US,D,20231013,000000,47.56,47.56,47.3571,47.3571,330,0
JIVE.US,D,20231016,000000,47.8605,47.8605,47.8605,47.8605,1,0
JIVE.US,D,20231017,000000,47.855,47.855,47.855,47.855,1,0
JIVE.US,D,20231018,000000,47.2537,47.2537,47.2537,47.2537,1,0
JIVE.US,D,20231019,000000,46.8529,46.8529,46.8529,46.8529,1,0
JIVE.US,D,20231020,000000,46.3225,46.3225,46.3225,46.3225,21,0
JIVE.US,D,20231023,000000,46.2,46.2,46.1474,46.1474,201,0
JIVE.US,D,20231024,000000,46.35,46.35,46.35,46.35,4,0
JIVE.US,D,20231025,000000,46.09,46.16,46.09,46.09,102,0
JIVE.US,D,20231026,000000,45.9228,45.96,45.9228,45.9228,201,0
JIVE.US,D,20231027,000000,45.8,45.8,45.8,45.8,2,0
JIVE.US,D,20231030,000000,46.21,46.21,46.21,46.21,2,0
JIVE.US,D,20231031,000000,46.22,46.22,46.22,46.22,4,0
JIVE.US,D,20231101,000000,46.61,46.61,46.61,46.61,4,0
JIVE.US,D,20231102,000000,47.38,47.38,47.38,47.38,6,0
JIVE.US,D,20231103,000000,47.74,47.89,47.74,47.89,585,0
JIVE.US,D,20231106,000000,47.7128,47.7128,47.7128,47.7128,2,0
JIVE.US,D,20231107,000000,47.2226,47.2226,47.2226,47.2226,3,0
JIVE.US,D,20231108,000000,46.7908,46.7908,46.7908,46.7908,1,0
JIVE.US,D,20231109,000000,46.72,46.72,46.72,46.72,215,0
JIVE.US,D,20231110,000000,47.16,47.16,47.16,47.16,2,0
JIVE.US,D,20231113,000000,47.375,47.375,47.375,47.375,1,0
JIVE.US,D,20231114,000000,48.56,48.56,48.56,48.56,2,0
JIVE.US,D,20231115,000000,48.55,48.55,48.5153,48.5153,101,0
JIVE.US,D,20231116,000000,48.18,48.18,48.18,48.18,2,0
JIVE.US,D,20231117,000000,48.76,48.76,48.76,48.76,2,0
JIVE.US,D,20231120,000000,49.0395,49.0395,49.0395,49.0395,12,0
JIVE.US,D,20231121,000000,48.68,48.68,48.68,48.68,5,0
JIVE.US,D,20231122,000000,48.659,48.659,48.659,48.659,1,0
JIVE.US,D,20231124,000000,49.1228,49.1228,49.1228,49.1228,1,0
JIVE.US,D,20231127,000000,49.0103,49.0103,49.0103,49.0103,3,0
JIVE.US,D,20231128,000000,49.2832,49.2832,49.2832,49.2832,1,0
JIVE.US,D,20231129,000000,49.175,49.175,49.175,49.175,4,0
JIVE.US,D,20231130,000000,49.15,49.15,49.15,49.15,4,0
JIVE.US,D,20231201,000000,49.71,49.71,49.6969,49.6969,101,0
JIVE.US,D,20231204,000000,49.39,49.39,49.17,49.195,2236,0
JIVE.US,D,20231205,000000,49.08,49.08,48.955,48.955,182,0
JIVE.US,D,20231206,000000,49.17,49.17,48.94,48.94,615,0
JIVE.US,D,20231207,000000,49.166,49.166,49.12,49.12,510,0
JIVE.US,D,20231208,000000,49.17,49.17,49.155,49.155,108,0
JIVE.US,D,20231211,000000,49.18,49.18,49.18,49.18,2,0
JIVE.US,D,20231212,000000,49.1699,49.1699,49.1699,49.1699,5,0
JIVE.US,D,20231213,000000,49.8005,49.8005,49.8005,49.8005,21,0
JIVE.US,D,20231214,000000,50.1514,50.19,50.1514,50.1514,200,0
JIVE.US,D,20231215,000000,49.7059,49.7059,49.7059,49.7059,2,0
JIVE.US,D,20231218,000000,49.8278,49.8278,49.8278,49.8278,2,0
JIVE.US,D,20231219,000000,49.8,49.8,49.8,49.8,10,0
JIVE.US,D,20231220,000000,49.3,49.3,49.3,49.3,2,0
JIVE.US,D,20231221,000000,49.929,50.1669,49.929,50.1669,420,0
JIVE.US,D,20231222,000000,50.3273,50.3273,50.3273,50.3273,1,0
JIVE.US,D,20231226,000000,50.21,50.5553,50.21,50.5553,1896,0
JIVE.US,D,20231227,000000,50.8065,50.8065,50.8065,50.8065,3,0
JIVE.US,D,20231228,000000,50.7986,50.7986,50.7986,50.7986,33,0
JIVE.US,D,20231229,000000,50.8203,50.8203,50.8203,50.8203,400,0
JIVE.US,D,20240102,000000,50.44,50.44,50.3863,50.3863,351,0
JIVE.US,D,20240103,000000,50.2164,50.2164,50.2164,50.2164,2,0
JIVE.US,D,20240104,000000,50.4456,50.4456,50.4456,50.4456,2,0
JIVE.US,D,20240105,000000,50.68,50.68,50.6703,50.6703,100,0
JIVE.US,D,20240108,000000,50.81,50.87,50.8,50.87,1189,0
JIVE.US,D,20240109,000000,50.27,50.27,50.27,50.27,3,0
JIVE.US,D,20240110,000000,50.38,50.38,50.38,50.38,2,0
JIVE.US,D,20240111,000000,50.27,50.27,50.27,50.27,24,0
JIVE.US,D,20240112,000000,50.4045,50.4045,50.4045,50.4045,1,0
JIVE.US,D,20240116,000000,49.5068,49.5068,49.5068,49.5068,12,0
JIVE.US,D,20240117,000000,48.97,48.97,48.97,48.97,2,0
JIVE.US,D,20240118,000000,49.3216,49.3216,49.3216,49.3216,9,0
JIVE.US,D,20240119,000000,49.4821,49.4821,49.4821,49.4821,16,0
JIVE.US,D,20240122,000000,49.33,49.4,49.26,49.28,2598,0
JIVE.US,D,20240123,000000,49.5484,49.5484,49.5484,49.5484,6,0
JIVE.US,D,20240124,000000,50.26,50.31,50.0856,50.0856,3086,0
JIVE.US,D,20240125,000000,50.2603,50.2603,50.2603,50.2603,5,0
JIVE.US,D,20240126,000000,50.3199,50.3199,50.3,50.3,194,0
JIVE.US,D,20240129,000000,50.5863,50.5863,50.5863,50.5863,12,0
JIVE.US,D,20240130,000000,50.5,50.5,50.5,50.5,2,0
JIVE.US,D,20240131,000000,50.3262,50.3262,50.3262,50.3262,25,0
JIVE.US,D,20240201,000000,50.7991,50.7991,50.7991,50.7991,1,0
JIVE.US,D,20240202,000000,50.4379,50.4379,50.4379,50.4379,10,0
JIVE.US,D,20240205,000000,50.07,50.07,50.07,50.07,10,0
JIVE.US,D,20240206,000000,50.56,50.56,50.56,50.56,101,0
JIVE.US,D,20240207,000000,50.5722,50.5722,50.5722,50.5722,54,0
JIVE.US,D,20240208,000000,50.27,50.27,50.27,50.27,7,0
JIVE.US,D,20240209,000000,50.39,50.39,50.39,50.39,2,0
JIVE.US,D,20240212,000000,50.7219,50.7219,50.7219,50.7219,1,0
JIVE.US,D,20240213,000000,50.169,50.169,49.9886,49.9886,600,0
JIVE.US,D,20240214,000000,50.4289,50.4289,50.4289,50.4289,1,0
JIVE.US,D,20240215,000000,50.82,50.82,50.82,50.82,2,0
JIVE.US,D,20240216,000000,51.1125,51.1125,51.1125,51.1125,1,0
JIVE.US,D,20240220,000000,51.56,51.56,51.3831,51.3831,810,0
JIVE.US,D,20240221,000000,51.5012,51.5012,51.5012,51.5012,1,0
JIVE.US,D,20240222,000000,51.85,51.9639,51.85,51.9639,486,0
JIVE.US,D,20240223,000000,52.0457,52.0457,52.0457,52.0457,1,0
JIVE.US,D,20240226,000000,51.7303,51.7303,51.7303,51.7303,1,0
JIVE.US,D,20240227,000000,51.8959,51.8959,51.8959,51.8959,1,0
JIVE.US,D,20240228,000000,51.67,51.67,51.6582,51.6582,158,0
JIVE.US,D,20240229,000000,51.72,51.8106,51.66,51.8106,1975,0
JIVE.US,D,20240301,000000,52.3233,52.3233,52.3233,52.3233,1,0
JIVE.US,D,20240304,000000,52.2763,52.2763,52.2763,52.2763,25,0
JIVE.US,D,20240305,000000,52.3109,52.3109,52.3109,52.3109,34,0
JIVE.US,D,20240306,000000,52.9573,52.9573,52.9573,52.9573,25,0
JIVE.US,D,20240307,000000,53.33,53.33,53.33,53.33,12,0
JIVE.US,D,20240308,000000,53.2526,53.2526,53.2526,53.2526,1,0
JIVE.US,D,20240311,000000,52.95,52.95,52.95,52.95,5,0
JIVE.US,D,20240312,000000,53.2956,53.2956,53.2956,53.2956,1,0
JIVE.US,D,20240313,000000,53.3641,53.3641,53.3641,53.3641,10,0
JIVE.US,D,20240314,000000,53.0935,53.0935,53.0935,53.0935,1,0
JIVE.US,D,20240315,000000,53.06,53.3,53.06,53.2956,1087,0
JIVE.US,D,20240318,000000,53.3891,53.3891,53.3891,53.3891,1,0
JIVE.US,D,20240319,000000,53.689,53.689,53.689,53.689,1,0
JIVE.US,D,20240320,000000,54.21,54.21,54.21,54.21,3,0
JIVE.US,D,20240321,000000,54.3349,54.3349,54.3349,54.3349,1,0
JIVE.US,D,20240322,000000,54.27,54.27,54.04,54.04,2739,0
JIVE.US,D,20240325,000000,54.26,54.26,54.1294,54.1294,357,0
JIVE.US,D,20240326,000000,54.1881,54.1881,54.1881,54.1881,25,0
JIVE.US,D,20240327,000000,54.46,54.46,54.46,54.46,99,0
JIVE.US,D,20240328,000000,54.555,54.555,54.555,54.555,107,0
JIVE.US,D,20240401,000000,54.26,54.26,54.21,54.21,837,0
JIVE.US,D,20240402,000000,54.32,54.3509,54.3199,54.3509,900,0
JIVE.US,D,20240403,000000,54.55,54.8624,54.55,54.8624,1335,0
JIVE.US,D,20240404,000000,54.6098,54.6098,54.6098,54.6098,20,0
JIVE.US,D,20240405,000000,54.82,54.82,54.8118,54.8118,125,0
JIVE.US,D,20240409,000000,55.3377,55.3377,55.3377,55.3377,1,0
JIVE.US,D,20240410,000000,54.7981,54.7981,54.7981,54.7981,35,0
JIVE.US,D,20240411,000000,54.8289,54.8289,54.8289,54.8289,1,0
JIVE.US,D,20240412,000000,53.84,53.84,53.84,53.84,2,0
JIVE.US,D,20240415,000000,54.45,54.45,53.7223,53.7223,568,0
JIVE.US,D,20240416,000000,53,53.06,53,53,102,0
JIVE.US,D,20240417,000000,53.43,53.43,53.2146,53.2146,1390,0
JIVE.US,D,20240418,000000,53.2494,53.2494,53.2494,53.2494,1,0
JIVE.US,D,20240419,000000,53.4221,53.4221,53.4221,53.4221,1,0
JIVE.US,D,20240422,000000,53.91,53.91,53.91,53.91,7,0
JIVE.US,D,20240423,000000,54.17,54.415,54.14,54.38,5548,0
JIVE.US,D,20240424,000000,54.34,54.34,54.33,54.3398,749,0
JIVE.US,D,20240425,000000,54.21,54.2708,54.2098,54.2708,370,0
JIVE.US,D,20240426,000000,54.7127,54.7127,54.7127,54.7127,5,0
JIVE.US,D,20240429,000000,55.05,55.05,55.05,55.05,2,0
JIVE.US,D,20240430,000000,54.4036,54.4036,54.23,54.23,307,0
JIVE.US,D,20240501,000000,54.2183,54.2183,54.2183,54.2183,1,0
JIVE.US,D,20240502,000000,55.0176,55.0176,55.0176,55.0176,24,0
JIVE.US,D,20240503,000000,55.35,55.35,55.35,55.35,35,0
JIVE.US,D,20240506,000000,55.8137,55.8137,55.8137,55.8137,5,0
JIVE.US,D,20240507,000000,55.72,55.72,55.72,55.72,3,0
JIVE.US,D,20240508,000000,55.6433,55.6433,55.61,55.61,900,0
JIVE.US,D,20240509,000000,56,56.03,56,56.03,590,0
JIVE.US,D,20240510,000000,56.2413,56.2413,56.2413,56.2413,15,0
JIVE.US,D,20240513,000000,56.3805,56.3805,56.3805,56.3805,15,0
JIVE.US,D,20240514,000000,56.67,56.67,56.67,56.67,2,0
JIVE.US,D,20240515,000000,57.06,57.06,57.06,57.06,3,0
JIVE.US,D,20240516,000000,56.9008,56.9008,56.9008,56.9008,4,0
JIVE.US,D,20240517,000000,57.3384,57.3384,57.3384,57.3384,3,0
JIVE.US,D,20240520,000000,57.3436,57.3436,57.3436,57.3436,8,0
JIVE.US,D,20240521,000000,57.3001,57.3001,57.3001,57.3001,25,0
JIVE.US,D,20240522,000000,56.664,56.664,56.664,56.664,78,0
JIVE.US,D,20240523,000000,56.14,56.14,56.14,56.14,57,0
JIVE.US,D,20240524,000000,56.6947,56.6947,56.6947,56.6947,4,0
JIVE.US,D,20240528,000000,56.9886,56.9886,56.9886,56.9886,2,0
JIVE.US,D,20240529,000000,56.123,56.123,56.123,56.123,2,0
JIVE.US,D,20240530,000000,56.45,56.45,56.45,56.45,2,0
JIVE.US,D,20240531,000000,56.62,56.823,56.6199,56.823,231,0
JIVE.US,D,20240603,000000,51.14,57.0124,51.14,57.0124,217,0
JIVE.US,D,20240604,000000,56.3891,56.3891,56.3891,56.3891,35,0
JIVE.US,D,20240605,000000,56.39,56.39,56.39,56.39,77,0
JIVE.US,D,20240606,000000,56.6382,56.6382,56.6382,56.6382,72,0
JIVE.US,D,20240607,000000,55.9531,55.9531,55.9531,55.9531,87,0
JIVE.US,D,20240610,000000,56.1297,56.1297,56.1297,56.1297,1,0
JIVE.US,D,20240611,000000,55.38,55.38,55.38,55.38,18,0
JIVE.US,D,20240612,000000,55.97,56.03,55.9587,55.9587,1834,0
JIVE.US,D,20240613,000000,55.1,55.1363,55.1,55.1363,340,0
JIVE.US,D,20240614,000000,54.7197,54.7197,54.7197,54.7197,1,0
JIVE.US,D,20240617,000000,55.0088,55.0088,55.0088,55.0088,6,0
JIVE.US,D,20240618,000000,55.3578,55.3578,55.3578,55.3578,72,0
JIVE.US,D,20240620,000000,55.67,55.683,55.67,55.683,102,0
JIVE.US,D,20240621,000000,55.17,55.17,55.17,55.17,20,0
JIVE.US,D,20240624,000000,55.79,55.79,55.68,55.7313,2368,0
JIVE.US,D,20240625,000000,55.58,55.68,55.57,55.68,739,0
JIVE.US,D,20240626,000000,55.4033,55.4033,55.4033,55.4033,9,0
JIVE.US,D,20240627,000000,55.56,55.56,55.37,55.4434,180979,0
JIVE.US,D,20240628,000000,55.71,55.715,55.62,55.7134,119767,0
JIVE.US,D,20240701,000000,56.28,56.29,56,56.0653,19533,0
JIVE.US,D,20240702,000000,56.215,56.27,56.2061,56.2061,6413,0
JIVE.US,D,20240703,000000,56.84,56.9295,56.84,56.8503,2889,0
JIVE.US,D,20240705,000000,56.85,57.14,56.85,57.04,4687,0
JIVE.US,D,20240708,000000,56.94,56.94,56.74,56.74,1057,0
JIVE.US,D,20240709,000000,56.43,56.54,56.43,56.43,2107,0
JIVE.US,D,20240710,000000,56.94,57.05,56.94,57.015,7690,0
JIVE.US,D,20240711,000000,57.5426,57.65,57.46,57.465,10274,0
JIVE.US,D,20240712,000000,57.93,58.59,57.76,57.76,14764,0
JIVE.US,D,20240715,000000,57.78,57.78,57.6099,57.6099,6634,0
JIVE.US,D,20240716,000000,57.6,57.97,57.6,57.935,3575,0
JIVE.US,D,20240717,000000,57.73,58.06,57.73,57.8762,13587,0
JIVE.US,D,20240718,000000,57.685,57.685,57.31,57.32,32397,0
JIVE.US,D,20240719,000000,57.07,57.07,56.81,56.81,3508,0
JIVE.US,D,20240722,000000,57.29,57.38,57.29,57.38,6504,0
JIVE.US,D,20240723,000000,56.75,57.14,56.75,57.0717,2942,0
JIVE.US,D,20240724,000000,56.8,56.8,56.4937,56.4937,639,0
JIVE.US,D,20240725,000000,56.3,56.62,56.3,56.38,6914,0
JIVE.US,D,20240726,000000,56.93,57.03,56.93,57.0147,1080,0
JIVE.US,D,20240729,000000,56.71,56.86,56.71,56.7907,1099,0
JIVE.US,D,20240730,000000,56.99,56.99,56.84,56.84,438,0
JIVE.US,D,20240731,000000,57.56,57.82,57.55,57.55,1726,0
JIVE.US,D,20240801,000000,57.06,57.06,55.84,56.26,666386,0
JIVE.US,D,20240802,000000,55.28,56.73,54.9,55.09,411093,0
JIVE.US,D,20240805,000000,50.16,53.6831,50.14,53.4334,29698,0
JIVE.US,D,20240806,000000,52.99,53.8579,52.94,53.5788,6558,0
JIVE.US,D,20240807,000000,54.6,54.6,53.8503,53.8503,8002,0
JIVE.US,D,20240808,000000,54.37,54.8299,54.37,54.71,5232,0
JIVE.US,D,20240809,000000,54.8971,55.07,54.82,55.07,4487,0
JIVE.US,D,20240812,000000,55.14,55.3417,55.14,55.2427,3869,0
JIVE.US,D,20240813,000000,55.714,56.0133,55.6461,56.0133,3485,0
JIVE.US,D,20240814,000000,56.0471,56.1218,55.9201,56.0428,6222,0
JIVE.US,D,20240815,000000,56.57,56.8963,56.57,56.7401,4646,0
JIVE.US,D,20240816,000000,56.98,57.28,56.98,57.28,4328,0
JIVE.US,D,20240819,000000,57.9699,58.0634,57.84,58.0634,3524,0
JIVE.US,D,20240820,000000,57.66,57.68,57.4601,57.5,5599,0
JIVE.US,D,20240821,000000,57.7531,58.33,57.72,57.9616,7297,0
JIVE.US,D,20240822,000000,57.75,57.75,57.43,57.5,6560,0
JIVE.US,D,20240823,000000,58.49,58.6799,58.36,58.6373,3610,0
JIVE.US,D,20240826,000000,58.5,58.64,58.4645,58.4645,3501,0
JIVE.US,D,20240827,000000,58.55,58.78,58.55,58.78,5483,0
