<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZENA.US,D,20241002,000000,6.75,7.4805,6.09,6.35,232369,0
ZENA.US,D,20241003,000000,6.5,6.75,5.41,5.55,109945,0
ZENA.US,D,20241004,000000,5.55,5.7,3.9001,3.91,213243,0
ZENA.US,D,20241007,000000,3.95,3.953,2.59,2.77,242009,0
ZENA.US,D,20241008,000000,2.79,2.9,2.22,2.41,203295,0
ZENA.US,D,20241009,000000,2.4,2.43,1.7701,1.849,196749,0
ZENA.US,D,20241010,000000,1.9,2.07,1.75,1.77,137961,0
ZENA.US,D,20241011,000000,2.77,3.1199,2.26,2.45,47353548,0
ZENA.US,D,20241014,000000,2.24,2.34,2.16,2.23,1900026,0
ZENA.US,D,20241015,000000,2.16,2.25,1.8808,1.97,829007,0
ZENA.US,D,20241016,000000,2,2.5,1.97,2.46,1006529,0
ZENA.US,D,20241017,000000,2.44,2.6,2.17,2.17,497888,0
ZENA.US,D,20241018,000000,2.2,2.2399,2.1,2.14,310570,0
ZENA.US,D,20241021,000000,2.12,2.19,1.97,2.02,211362,0
ZENA.US,D,20241022,000000,2.05,2.08,1.86,1.91,184170,0
ZENA.US,D,20241023,000000,1.88,1.98,1.7,1.76,441503,0
ZENA.US,D,20241024,000000,2.91,2.93,2.03,2.16,54982740,0
ZENA.US,D,20241025,000000,2.06,2.24,2.05,2.21,2053930,0
ZENA.US,D,20241028,000000,2.07,2.28,2.07,2.11,977193,0
ZENA.US,D,20241029,000000,2.21,2.2115,1.98,2.06,751260,0
ZENA.US,D,20241030,000000,2.04,2.21,2.03,2.13,458745,0
ZENA.US,D,20241031,000000,2.12,2.19,2.05,2.08,298148,0
ZENA.US,D,20241101,000000,2.04,2.23,2.04,2.16,247803,0
ZENA.US,D,20241104,000000,2.16,2.1884,1.91,1.96,395285,0
ZENA.US,D,20241105,000000,1.93,2.09,1.9002,2.08,265271,0
ZENA.US,D,20241106,000000,2.08,2.1,1.91,1.96,307226,0
ZENA.US,D,20241107,000000,1.97,2.02,1.82,1.96,460556,0
ZENA.US,D,20241108,000000,1.87,2,1.85,1.98,450359,0
ZENA.US,D,20241111,000000,1.88,2.1,1.85,2.06,385251,0
ZENA.US,D,20241112,000000,2.04,2.0599,1.86,1.9,651238,0
ZENA.US,D,20241113,000000,1.94,1.96,1.65,1.78,426209,0
ZENA.US,D,20241114,000000,1.76,1.85,1.61,1.72,142276,0
ZENA.US,D,20241115,000000,1.81,1.81,1.55,1.67,157126,0
ZENA.US,D,20241118,000000,1.63,1.6397,1.42,1.45,360950,0
ZENA.US,D,20241119,000000,1.42,1.5354,1.41,1.52,374039,0
ZENA.US,D,20241120,000000,1.5,1.54,1.47,1.52,123570,0
ZENA.US,D,20241121,000000,1.81,1.85,1.45,1.65,7816824,0
ZENA.US,D,20241122,000000,1.63,1.81,1.58,1.79,801621,0
ZENA.US,D,20241125,000000,1.89,7.35,1.88,6.42,116400450,0
