<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSSI.US,D,20241115,000000,7.8,9.49,7.5,9.06,4773385,0
TSSI.US,D,20241118,000000,9.05,9.05,7.22,7.42,1983102,0
TSSI.US,D,20241119,000000,7.71,8.34,7.5,8.03,1226848,0
TSSI.US,D,20241120,000000,8.1,8.2,7.26,7.53,1186388,0
TSSI.US,D,20241121,000000,7.65,7.9,7.29,7.31,1124891,0
TSSI.US,D,20241122,000000,7.4,7.5642,6.726495,7.39,1681300,0
TSSI.US,D,20241125,000000,7.59,8.48,7.59,8.1,1814798,0
TSSI.US,D,20241126,000000,8.3,9.82,8.2201,9.44,1966670,0
TSSI.US,D,20241127,000000,9.57,10.55,8.88,9.7,1467458,0
TSSI.US,D,20241129,000000,10.2,10.4718,9.81,10.19,594059,0
TSSI.US,D,20241202,000000,10.4,11.5,10.4,11.01,1378018,0
TSSI.US,D,20241203,000000,11.01,11.68,10.6501,10.81,1143128,0
TSSI.US,D,20241204,000000,10.99,11,9.1,9.25,1792803,0
TSSI.US,D,20241205,000000,9.35,9.99,9.25,9.96,714046,0
TSSI.US,D,20241206,000000,10.66,10.69,9.77,9.9,1013372,0
TSSI.US,D,20241209,000000,10,10.1399,9.15,9.6,979830,0
TSSI.US,D,20241210,000000,9.71,9.71,8.92,9.15,828151,0
TSSI.US,D,20241211,000000,9.07,9.68,8.58,9.26,895461,0
TSSI.US,D,20241212,000000,9.34,9.985,9.3,9.41,519347,0
TSSI.US,D,20241213,000000,9.69,9.69,8.8501,8.91,560173,0
TSSI.US,D,20241216,000000,9.05,10.1,9,9.59,725885,0
TSSI.US,D,20241217,000000,9.59,10.0222,9.11,9.34,473727,0
TSSI.US,D,20241218,000000,9.44,10.68,9.1444,9.47,1320215,0
TSSI.US,D,20241219,000000,9.75,10.7495,9.7,10.13,959349,0
TSSI.US,D,20241220,000000,10.08,10.7323,9.75,10.06,1404750,0
TSSI.US,D,20241223,000000,10.49,11.3534,10.12,10.12,1107647,0
TSSI.US,D,20241224,000000,10.24,10.83,10.06,10.78,479856,0
TSSI.US,D,20241226,000000,10.79,12.2,10.75,12.19,1342842,0
TSSI.US,D,20241227,000000,12.49,12.49,11.27,11.97,856818,0
TSSI.US,D,20241230,000000,11.74,11.94,11.15,11.86,760059,0
TSSI.US,D,20241231,000000,11.96,12.358,11.18,11.86,678811,0
TSSI.US,D,20250102,000000,12.1,13.76,11.71,13.67,1941533,0
