imp_date,ticker,action,price,rsi,adx
2025-04-25 00:00:00,AMED,sell,94.5,71.67,28.42
2025-04-25 00:00:00,GRPN,sell,19.89,71.32,26.44
2025-04-25 00:00:00,PPTA,sell,14.29,70.65,28.95
2025-04-25 00:00:00,STOK,sell,9.76,69.57,33.76
2025-04-25 00:00:00,EZPW,sell,16.32,68.19,30.1
2025-04-25 00:00:00,DJT,sell,26.14,67.32,26.05
2025-04-25 00:00:00,GPCR,sell,23.74,65.79,29.51
2025-04-25 00:00:00,SDGR,sell,26.45,64.69,29.0
2025-04-25 00:00:00,ATEC,sell,11.51,64.36,16.22
2025-04-25 00:00:00,KYMR,sell,33.26,64.02,27.42
2025-04-25 00:00:00,KALV,sell,12.99,63.87,21.81
2025-04-25 00:00:00,ALGN,sell,183.35,63.38,22.54
2025-04-25 00:00:00,ROIV,sell,11.01,62.83,20.83
2025-04-25 00:00:00,CRMD,sell,9.1,62.23,23.09
2025-04-25 00:00:00,NTES,sell,105.86,61.48,16.08
2025-04-25 00:00:00,XENE,sell,37.62,61.48,34.29
2025-04-25 00:00:00,AVAV,sell,149.59,60.63,26.03
2025-04-25 00:00:00,HSTM,sell,33.28,60.58,27.17
2025-04-25 00:00:00,ANIP,sell,69.82,60.32,23.91
2025-04-25 00:00:00,HAS,sell,60.99,60.29,29.84
2025-04-25 00:00:00,NAGE,sell,7.38,60.01,20.65
2025-04-25 00:00:00,MMYT,sell,107.64,59.7,14.09
2025-04-25 00:00:00,TREE,sell,51.54,59.67,15.78
2025-04-25 00:00:00,PERI,sell,8.91,59.5,21.97
2025-04-25 00:00:00,AEVA,sell,7.32,59.44,35.55
2025-04-25 00:00:00,PRGS,sell,59.11,59.38,15.17
2025-04-25 00:00:00,IMCR,sell,30.16,59.11,18.72
2025-04-25 00:00:00,BKNG,sell,4838.4399,58.93,17.89
2025-04-25 00:00:00,RGEN,sell,144.75,58.58,23.29
2025-04-25 00:00:00,LENZ,sell,26.87,58.52,19.71
2025-04-25 00:00:00,TEM,sell,52.9,58.43,20.53
