<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QCJA.US,D,20250122,000000,20.0199,21.92,19.9962,20.0185,359149,0
QCJA.US,D,20250123,000000,20,20.03,19.92,20.0299,95530,0
QCJA.US,D,20250124,000000,20.0177,20.78,19.9409,19.9746,121428,0
QCJA.US,D,20250127,000000,19.68,19.8284,19.68,19.78,111145,0
QCJA.US,D,20250128,000000,19.76,19.91,19.74,19.9,79012,0
QCJA.US,D,20250129,000000,19.8895,19.9299,19.81,19.87,83297,0
QCJA.US,D,20250130,000000,19.92,20.41,19.8499,19.98,213945,0
QCJA.US,D,20250131,000000,19.98,20.355,19.89,19.91,107695,0
QCJA.US,D,20250203,000000,19.77,19.92,19.74,19.85,48588,0
QCJA.US,D,20250204,000000,19.87,19.99,19.87,19.9312,83024,0
QCJA.US,D,20250205,000000,19.94,19.99,19.94,19.96,49031,0
QCJA.US,D,20250206,000000,19.9559,20.485,19.9559,20.06,109142,0
QCJA.US,D,20250207,000000,19.99,19.99,19.92,19.94,23980,0
QCJA.US,D,20250210,000000,20.019,20.07,20,20.02,36094,0
QCJA.US,D,20250211,000000,20,20.03,19.95,20.02,31616,0
QCJA.US,D,20250212,000000,19.97,20.02,19.94,20.01,41849,0
QCJA.US,D,20250213,000000,20.06,20.1293,20.03,20.1293,23691,0
QCJA.US,D,20250214,000000,20.14,20.18,20.0801,20.1348,34790,0
QCJA.US,D,20250218,000000,20.13,20.19,20.1015,20.16,33195,0
QCJA.US,D,20250219,000000,20.16,20.35,20.1308,20.1506,8773,0
QCJA.US,D,20250220,000000,20.18,20.605,20.05,20.1255,15447,0
QCJA.US,D,20250221,000000,20.19,20.19,19.99,19.9958,26062,0
QCJA.US,D,20250224,000000,20.04,20.04,19.93,19.93,94116,0
QCJA.US,D,20250225,000000,19.832,19.879,19.76,19.84,91813,0
QCJA.US,D,20250226,000000,19.88,19.93,19.7928,19.8375,25392,0
QCJA.US,D,20250227,000000,19.812,19.86,19.63,19.63,22161,0
QCJA.US,D,20250228,000000,19.6194,20.185,19.59,19.7375,18643,0
QCJA.US,D,20250303,000000,19.84,19.97,19.5292,19.54,26292,0
QCJA.US,D,20250304,000000,19.42,20.53,19.415,19.51,57710,0
QCJA.US,D,20250305,000000,19.72,19.72,19.48,19.64,29216,0
QCJA.US,D,20250306,000000,19.61,19.68,19.4,19.4,17308,0
QCJA.US,D,20250307,000000,19.43,19.51,19.31,19.46,29863,0
QCJA.US,D,20250310,000000,19.36,19.36,19.11,19.18,19359,0
QCJA.US,D,20250311,000000,19.18,19.2108,19.0524,19.15,45678,0
QCJA.US,D,20250312,000000,19.23,19.36,19.182,19.27,8595,0
QCJA.US,D,20250313,000000,19.27,19.27,19.04,19.1,25188,0
QCJA.US,D,20250314,000000,19.15,20.15,19.15,19.34,23001,0
QCJA.US,D,20250317,000000,19.33,19.3856,19.2565,19.38,10691,0
QCJA.US,D,20250318,000000,19.32,19.32,19.1796,19.24,12810,0
QCJA.US,D,20250319,000000,19.28,19.495,19.2301,19.3319,10110,0
QCJA.US,D,20250320,000000,19.38,19.4092,19.26,19.34,17532,0
QCJA.US,D,20250321,000000,19.29,19.38,19.2192,19.38,16172,0
QCJA.US,D,20250324,000000,19.5,19.55,19.48,19.55,27912,0
QCJA.US,D,20250325,000000,19.56,19.6,19.52,19.6,44625,0
QCJA.US,D,20250326,000000,19.559,19.56,19.41,19.44,13092,0
QCJA.US,D,20250327,000000,19.4,19.46,19.34,19.34,9607,0
QCJA.US,D,20250328,000000,19.37,19.38,19.12,19.17,42873,0
QCJA.US,D,20250331,000000,19.07,19.1822,19.0399,19.1822,2596,0
QCJA.US,D,20250401,000000,19.11,19.2257,19.085,19.2257,18206,0
QCJA.US,D,20250402,000000,19.169,19.32,19.14,19.32,40674,0
QCJA.US,D,20250403,000000,18.97,18.97,18.815,18.83,12843,0
QCJA.US,D,20250404,000000,18.5101,18.52,18.19,18.19,19745,0
