<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PDPA.US,D,20241224,000000,24.77,24.89,24.77,24.89,11537,0
PDPA.US,D,20241226,000000,24.8859,25.84,24.85,25.17,20430,0
PDPA.US,D,20241227,000000,25,25.19,24.97,24.99,4206,0
PDPA.US,D,20241230,000000,25,25,24.87,24.9,15031,0
PDPA.US,D,20241231,000000,24.91,24.9399,24.86,24.88,10756,0
PDPA.US,D,20250102,000000,24.99,25.0999,24.96,25,20588,0
PDPA.US,D,20250103,000000,25,25.1,24.9402,25.1,14954,0
PDPA.US,D,20250106,000000,25.1,25.25,25.05,25.1,16055,0
PDPA.US,D,20250107,000000,25,25.04,24.93,24.96,18819,0
PDPA.US,D,20250108,000000,24.98,25,24.935,24.95,9991,0
PDPA.US,D,20250110,000000,25,25.26,24.93,25.03,8680,0
PDPA.US,D,20250113,000000,25.03,25.19,24.95,25.09,7458,0
PDPA.US,D,20250114,000000,25.06,25.1501,25.06,25.1501,4984,0
PDPA.US,D,20250115,000000,24.95,25.35,24.95,25.112,3438,0
PDPA.US,D,20250116,000000,25.3394,25.3394,25.02,25.03,910,0
PDPA.US,D,20250117,000000,25.03,25.35,25,25.2,5075,0
PDPA.US,D,20250121,000000,25.21,25.28,25.02,25.095,11404,0
PDPA.US,D,20250122,000000,25.07,25.21,25.0603,25.21,1033,0
PDPA.US,D,20250123,000000,25.0955,25.35,25.07,25.1256,2410,0
PDPA.US,D,20250124,000000,25.091,25.34,25.091,25.1,1220,0
PDPA.US,D,20250127,000000,25.11,25.11,25.07,25.07,991,0
PDPA.US,D,20250128,000000,25.12,25.15,25.08,25.15,907,0
PDPA.US,D,20250129,000000,25.15,25.15,25.09,25.09,957,0
PDPA.US,D,20250130,000000,25.34,25.34,25.0801,25.1104,848,0
PDPA.US,D,20250131,000000,25.35,25.35,25.2899,25.2899,800,0
PDPA.US,D,20250203,000000,25.1273,25.29,25.1,25.1,2920,0
PDPA.US,D,20250204,000000,25.11,25.25,25.08,25.08,21172,0
PDPA.US,D,20250205,000000,25.09,25.1001,25.08,25.09,2571,0
PDPA.US,D,20250206,000000,25.09,25.1499,25.09,25.1,1227,0
PDPA.US,D,20250207,000000,25.1,25.15,25.08,25.15,2722,0
PDPA.US,D,20250210,000000,25.08,25.1841,25.08,25.14,1034,0
PDPA.US,D,20250211,000000,25.09,25.0913,25.0711,25.08,1663,0
PDPA.US,D,20250212,000000,25.1299,25.1383,25.07,25.0754,3308,0
PDPA.US,D,20250213,000000,25.08,25.0801,25.07,25.0701,3260,0
PDPA.US,D,20250214,000000,25.2099,25.2099,25.2099,25.2099,224,0
PDPA.US,D,20250218,000000,25.11,25.1341,24.9932,24.9999,1400,0
PDPA.US,D,20250219,000000,24.98,25.05,24.9,25,9897,0
PDPA.US,D,20250220,000000,25.05,25.05,25.05,25.05,747,0
PDPA.US,D,20250221,000000,25.09,25.1099,25.01,25.01,948,0
PDPA.US,D,20250225,000000,25.0174,25.06,25.0174,25.06,940,0
PDPA.US,D,20250226,000000,25.04,25.04,25.04,25.04,402,0
PDPA.US,D,20250227,000000,25.01,25.23,24.9,25.23,2533,0
PDPA.US,D,20250303,000000,25.08,25.23,25.08,25.23,300,0
PDPA.US,D,20250304,000000,25.08,25.1,25.08,25.1,1126,0
PDPA.US,D,20250307,000000,25.1496,25.1496,25.1,25.1,470,0
PDPA.US,D,20250310,000000,25.07,25.24,24.83,24.85,18405,0
PDPA.US,D,20250311,000000,25.045,25.23,24.8,24.9,3260,0
PDPA.US,D,20250312,000000,25,25.23,24.98,25.0001,1720,0
PDPA.US,D,20250314,000000,25.0169,25.0169,24.9,24.9,1126,0
PDPA.US,D,20250317,000000,24.8865,25.0219,24.8,24.8198,4823,0
PDPA.US,D,20250318,000000,25.0027,25.0027,24.8924,24.9911,1002,0
PDPA.US,D,20250319,000000,24.8064,25.03,24.8,25.03,10777,0
PDPA.US,D,20250320,000000,24.985,25.03,24.8,25.0091,7891,0
PDPA.US,D,20250321,000000,24.9,25.0095,24.8,25.0095,5634,0
PDPA.US,D,20250325,000000,24.99,24.99,24.9,24.9661,650,0
PDPA.US,D,20250326,000000,25,25,25,25,1009,0
PDPA.US,D,20250327,000000,25,25.0254,25,25,4236,0
PDPA.US,D,20250328,000000,25.015,25.015,25,25,792,0
PDPA.US,D,20250331,000000,25.0247,25.03,25.0247,25.0247,360,0
PDPA.US,D,20250401,000000,25.24,25.24,25,25,3531,0
PDPA.US,D,20250402,000000,25,25,25,25,107,0
PDPA.US,D,20250403,000000,25,25.13,24.722,24.722,13083,0
PDPA.US,D,20250404,000000,24.75,24.9,24.72,24.74,2365,0
