<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SST-WS.US,D,20220131,000000,1.0325,1.0325,0.93,0.95,135285,0
SST-WS.US,D,20220201,000000,1,1,0.93,0.9451,52460,0
SST-WS.US,D,20220202,000000,0.95,0.965,0.9456,0.949984,166852,0
SST-WS.US,D,20220203,000000,0.93,1.1,0.93,0.98,2368520,0
SST-WS.US,D,20220204,000000,1.07,1.2,0.93,1.08,300342,0
SST-WS.US,D,20220207,000000,1.1797,1.205,1.05,1.075,257678,0
SST-WS.US,D,20220208,000000,1.09,1.19,1.09,1.15,327759,0
SST-WS.US,D,20220209,000000,1.36,1.4,1.11,1.11,2167261,0
SST-WS.US,D,20220210,000000,1.25,1.38,1.15,1.15,588315,0
SST-WS.US,D,20220211,000000,1.15,1.22,1.12,1.15,318594,0
SST-WS.US,D,20220214,000000,1.225,1.27,1.1801,1.27,182242,0
SST-WS.US,D,20220215,000000,1.16,1.34,1.16,1.3001,98004,0
SST-WS.US,D,20220216,000000,1.3,1.355,1.2,1.23,179440,0
SST-WS.US,D,20220217,000000,1.24,1.45,1.15,1.19,844274,0
SST-WS.US,D,20220218,000000,1.31,1.33,1.13,1.18,382367,0
SST-WS.US,D,20220222,000000,1.25,1.45,1.2,1.3,280190,0
SST-WS.US,D,20220223,000000,1.26,1.61,1.26,1.28,780561,0
SST-WS.US,D,20220224,000000,1.24,1.4,1.19,1.2699,403648,0
SST-WS.US,D,20220225,000000,1.16,1.63,1.16,1.43,473553,0
SST-WS.US,D,20220228,000000,1.39,1.48,1.3491,1.42,121207,0
SST-WS.US,D,20220301,000000,1.5,1.6,1.39,1.5,134372,0
SST-WS.US,D,20220302,000000,1.5,1.6,1.4,1.41,323710,0
SST-WS.US,D,20220303,000000,1.45,1.55,1.36,1.39,172502,0
SST-WS.US,D,20220304,000000,1.4,1.4,1.27,1.35,115425,0
SST-WS.US,D,20220307,000000,1.41,1.41,1.19,1.2,855049,0
SST-WS.US,D,20220308,000000,1.2708,1.47,1.27,1.33,326281,0
SST-WS.US,D,20220309,000000,1.4,1.63,1.38,1.52,402414,0
SST-WS.US,D,20220310,000000,1.6,2.5,1.51,1.95,893032,0
SST-WS.US,D,20220311,000000,1.98,2.35,1.89,2.2,397835,0
