<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OPP_B.US,D,20211129,000000,24.97,25.1,24.84,24.85,58190,0
OPP_B.US,D,20211130,000000,24.93,24.93,24.7,24.7,22023,0
OPP_B.US,D,20211201,000000,25.1,25.1,24.85,24.9,36815,0
OPP_B.US,D,20211202,000000,24.67,24.99,24.67,24.98,37848,0
OPP_B.US,D,20211203,000000,25.06,25.06,24.96,25,26958,0
OPP_B.US,D,20211206,000000,25.02,25.0562,25,25.0189,19740,0
OPP_B.US,D,20211207,000000,25.06,25.06,25,25,16794,0
OPP_B.US,D,20211208,000000,25.05,25.09,25.04,25.09,5803,0
OPP_B.US,D,20211209,000000,25.09,25.2,25.09,25.2,5930,0
OPP_B.US,D,20211210,000000,25.3,25.3,25.09,25.2,29384,0
OPP_B.US,D,20211213,000000,25.25,25.25,24.8,24.95,24035,0
OPP_B.US,D,20211214,000000,24.95,25.14,24.87,25.06,3903,0
OPP_B.US,D,20211215,000000,25.05,25.05,25,25.025,9500,0
OPP_B.US,D,20211216,000000,25.0474,25.225,25.04,25.14,37469,0
OPP_B.US,D,20211217,000000,25.2266,25.25,25.1473,25.23,38367,0
OPP_B.US,D,20211220,000000,25.19,25.19,25.15,25.17,3392,0
OPP_B.US,D,20211221,000000,25.07,25.22,25.05,25.07,20117,0
OPP_B.US,D,20211222,000000,25.0701,25.2423,25.07,25.22,23975,0
OPP_B.US,D,20211223,000000,25.1996,25.31,25.155,25.29,8091,0
OPP_B.US,D,20211227,000000,25.2665,25.2665,25.21,25.245,13233,0
OPP_B.US,D,20211228,000000,25.25,25.34,25.2177,25.3,17717,0
OPP_B.US,D,20211229,000000,25.3292,25.39,25.25,25.375,10915,0
OPP_B.US,D,20211230,000000,25.39,25.39,25.31,25.3884,8538,0
OPP_B.US,D,20211231,000000,25.39,25.39,25.3,25.3,5859,0
OPP_B.US,D,20220103,000000,25.34,25.35,25.25,25.3,13655,0
OPP_B.US,D,20220104,000000,25.26,25.26,25.08,25.17,32839,0
OPP_B.US,D,20220105,000000,25.22,25.2486,25.11,25.1101,12447,0
OPP_B.US,D,20220106,000000,25.1,25.2,25.04,25.15,8951,0
OPP_B.US,D,20220107,000000,25.19,25.19,25.04,25.05,6170,0
OPP_B.US,D,20220110,000000,25.05,25.1399,25.0364,25.085,4165,0
OPP_B.US,D,20220111,000000,25.0225,25.24,25.0225,25.215,9800,0
OPP_B.US,D,20220112,000000,25.25,25.25,25.2215,25.2301,11763,0
OPP_B.US,D,20220113,000000,25.3,25.3,25.2,25.26,30405,0
