<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RAC-U.US,D,20250303,000000,10.04,10.05,10.03,10.04,70213,0
RAC-U.US,D,20250304,000000,10.05,10.07,10.03,10.05,61219,0
RAC-U.US,D,20250305,000000,10.05,10.05,10.03,10.03,201727,0
RAC-U.US,D,20250306,000000,10.0317,10.0317,10.03,10.03,2106,0
RAC-U.US,D,20250307,000000,10.035,10.04,10.0328,10.04,15299,0
RAC-U.US,D,20250310,000000,10.0316,10.05,10.03,10.05,2468,0
RAC-U.US,D,20250311,000000,10.05,10.05,10.0407,10.0407,2921,0
RAC-U.US,D,20250312,000000,10.0494,10.05,10.043,10.0494,756,0
RAC-U.US,D,20250313,000000,10.05,10.05,10.04,10.04,3285,0
RAC-U.US,D,20250314,000000,10.0408,10.0408,10.0408,10.0408,193,0
RAC-U.US,D,20250318,000000,10.035,10.035,10.02,10.0272,4161,0
RAC-U.US,D,20250319,000000,10.02,10.03,10.02,10.03,19946,0
RAC-U.US,D,20250321,000000,10.05,10.06,10.05,10.06,835,0
RAC-U.US,D,20250326,000000,10.045,10.06,10.045,10.06,5122,0
RAC-U.US,D,20250327,000000,10.05,10.09,10.05,10.09,5306,0
RAC-U.US,D,20250328,000000,10.06,10.06,10.05,10.0545,15533,0
RAC-U.US,D,20250331,000000,10.099,10.1,10.099,10.1,6100,0
RAC-U.US,D,20250401,000000,10.09,10.09,10.09,10.09,400,0
RAC-U.US,D,20250402,000000,10.07,10.08,10.07,10.08,6100,0
RAC-U.US,D,20250403,000000,10.03,10.05,10.03,10.05,1363,0
RAC-U.US,D,20250404,000000,10.03,10.03,10,10.03,132076,0
