<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SCE_N.US,D,20240605,000000,25.41,25.44,25.28,25.31,263530,0
SCE_N.US,D,20240606,000000,25.29,25.32,25.28,25.29,84830,0
SCE_N.US,D,20240607,000000,25.25,25.27,25.2,25.26,93820,0
SCE_N.US,D,20240610,000000,25.27,25.35,25.21,25.27,513671,0
SCE_N.US,D,20240611,000000,25.25,25.34,25.23,25.33,157441,0
SCE_N.US,D,20240612,000000,25.43,25.58,25.37,25.43,320273,0
SCE_N.US,D,20240613,000000,25.49,25.5,25.38,25.49,82586,0
SCE_N.US,D,20240614,000000,25.46,25.49,25.42,25.46,36293,0
SCE_N.US,D,20240617,000000,25.48,25.69,25.4,25.51,167823,0
SCE_N.US,D,20240618,000000,25.55,25.66,25.44,25.54,160411,0
SCE_N.US,D,20240620,000000,25.59,25.64,25.5036,25.55,227807,0
SCE_N.US,D,20240621,000000,25.53,25.58,25.47,25.55,16100,0
SCE_N.US,D,20240624,000000,25.54,25.65,25.5101,25.62,133082,0
SCE_N.US,D,20240625,000000,25.66,25.73,25.65,25.71,329189,0
SCE_N.US,D,20240626,000000,25.7,25.8,25.7,25.78,144986,0
SCE_N.US,D,20240627,000000,25.84,25.84,25.73,25.79,12297,0
SCE_N.US,D,20240628,000000,25.74,25.9,25.56,25.74,2980174,0
SCE_N.US,D,20240701,000000,25.79,25.79,25.65,25.73,55796,0
SCE_N.US,D,20240702,000000,25.73,25.74,25.69,25.73,32059,0
SCE_N.US,D,20240703,000000,25.65,25.83,25.65,25.6901,31972,0
SCE_N.US,D,20240705,000000,25.8,25.8,25.74,25.75,7996,0
SCE_N.US,D,20240708,000000,25.785,25.85,25.74,25.8,10046,0
SCE_N.US,D,20240709,000000,25.77,25.88,25.68,25.82,8835,0
SCE_N.US,D,20240710,000000,25.73,25.8499,25.72,25.73,8478,0
SCE_N.US,D,20240711,000000,25.73,25.9,25.73,25.76,37026,0
SCE_N.US,D,20240712,000000,25.81,25.82,25.7601,25.7601,9082,0
SCE_N.US,D,20240715,000000,25.84,25.85,25.6,25.68,25726,0
SCE_N.US,D,20240716,000000,25.7,25.75,25.68,25.685,20082,0
SCE_N.US,D,20240717,000000,25.755,25.755,25.63,25.7,225848,0
SCE_N.US,D,20240718,000000,25.7,25.76,25.54,25.59,17742,0
SCE_N.US,D,20240719,000000,25.59,25.68,25.46,25.46,56126,0
SCE_N.US,D,20240722,000000,25.52,25.568,25.46,25.49,20868,0
SCE_N.US,D,20240723,000000,25.5,25.55,25.28,25.44,38997,0
SCE_N.US,D,20240724,000000,25.38,25.38,25.21,25.28,324798,0
SCE_N.US,D,20240725,000000,25.35,25.43,25.26,25.38,28972,0
SCE_N.US,D,20240726,000000,25.39,25.5,25.38,25.43,27631,0
SCE_N.US,D,20240729,000000,25.5,25.5,25.31,25.31,18956,0
SCE_N.US,D,20240730,000000,25.37,25.4075,25.29,25.3016,15755,0
SCE_N.US,D,20240731,000000,25.37,25.4199,25.32,25.34,50755,0
SCE_N.US,D,20240801,000000,25.4,25.485,25.33,25.34,17973,0
SCE_N.US,D,20240802,000000,25.35,25.47,25.29,25.33,36684,0
SCE_N.US,D,20240805,000000,24.99,25.25,24.85,25.2,47661,0
SCE_N.US,D,20240806,000000,25.28,25.36,25.09,25.27,125775,0
SCE_N.US,D,20240807,000000,25.46,25.5499,25.3402,25.355,16542,0
SCE_N.US,D,20240808,000000,25.49,25.56,25.36,25.41,23882,0
SCE_N.US,D,20240809,000000,25.58,25.67,25.47,25.67,8591,0
SCE_N.US,D,20240812,000000,25.67,25.79,25.59,25.72,44324,0
SCE_N.US,D,20240813,000000,25.84,25.9,25.62,25.77,75319,0
SCE_N.US,D,20240814,000000,25.67,25.9,25.67,25.88,97287,0
SCE_N.US,D,20240815,000000,25.97,26,25.77,26,4631,0
SCE_N.US,D,20240816,000000,26.02,26.02,25.92,25.92,9188,0
SCE_N.US,D,20240819,000000,26.01,26.09,25.93,26.08,9883,0
SCE_N.US,D,20240820,000000,26,26.14,25.94,26.13,21601,0
SCE_N.US,D,20240821,000000,26.21,26.2136,26,26.15,329603,0
SCE_N.US,D,20240822,000000,26.15,26.29,26.01,26.2,22615,0
SCE_N.US,D,20240823,000000,26.2,26.33,26.05,26.33,10860,0
SCE_N.US,D,20240826,000000,26.1801,26.28,26.04,26.07,49703,0
SCE_N.US,D,20240827,000000,26.04,26.15,26,26.125,13865,0
SCE_N.US,D,20240828,000000,26.11,26.2,26.11,26.17,6480,0
SCE_N.US,D,20240829,000000,26.17,26.17,26,26.16,38867,0
SCE_N.US,D,20240830,000000,26.065,26.11,26,26.09,108262,0
SCE_N.US,D,20240903,000000,26.045,26.17,26.04,26.07,4433,0
SCE_N.US,D,20240904,000000,26.18,26.36,26.18,26.24,43084,0
SCE_N.US,D,20240905,000000,26.315,26.37,26.18,26.3,12926,0
SCE_N.US,D,20240906,000000,26.3,26.4,26.12,26.27,61181,0
SCE_N.US,D,20240909,000000,26.37,26.7,26.345,26.7,13272,0
SCE_N.US,D,20240910,000000,26.75,26.7613,26.5,26.6975,31379,0
SCE_N.US,D,20240911,000000,26.77,26.77,26.59,26.61,23034,0
SCE_N.US,D,20240912,000000,26.7,26.75,26.67,26.67,27618,0
SCE_N.US,D,20240913,000000,26.19,26.45,26.19,26.43,11457,0
SCE_N.US,D,20240916,000000,26.59,26.59,26.3791,26.42,37284,0
SCE_N.US,D,20240917,000000,26.52,26.58,26.44,26.5,25390,0
SCE_N.US,D,20240918,000000,26.6,26.6,26.43,26.55,31676,0
SCE_N.US,D,20240919,000000,26.79,26.8,26.57,26.64,20568,0
SCE_N.US,D,20240920,000000,26.73,26.7395,26.48,26.7,11780,0
SCE_N.US,D,20240923,000000,26.8,26.8,26.5,26.68,12351,0
SCE_N.US,D,20240924,000000,26.62,26.7,26.5,26.7,20316,0
SCE_N.US,D,20240925,000000,26.78,26.78,26.665,26.7,25065,0
SCE_N.US,D,20240926,000000,26.8,26.82,26.65,26.65,118838,0
SCE_N.US,D,20240927,000000,26.7,26.9225,26.7,26.71,107138,0
SCE_N.US,D,20240930,000000,26.79,26.79,26.5,26.7,551609,0
SCE_N.US,D,20241001,000000,26.74,26.74,26.67,26.73,15222,0
SCE_N.US,D,20241002,000000,26.73,26.78,26.65,26.72,12591,0
SCE_N.US,D,20241003,000000,26.72,26.81,26.72,26.76,11763,0
SCE_N.US,D,20241004,000000,26.78,26.78,26.54,26.73,11201,0
SCE_N.US,D,20241007,000000,26.66,26.66,26.58,26.59,16183,0
SCE_N.US,D,20241008,000000,26.6,26.75,26.555,26.65,35690,0
SCE_N.US,D,20241009,000000,26.62,26.75,26.62,26.7,30934,0
SCE_N.US,D,20241010,000000,26.6525,26.72,26.64,26.69,3615,0
SCE_N.US,D,20241011,000000,26.77,26.78,26.65,26.75,9041,0
SCE_N.US,D,20241014,000000,26.73,26.73,26.6407,26.68,4921,0
SCE_N.US,D,20241015,000000,26.87,26.87,26.65,26.75,32500,0
SCE_N.US,D,20241016,000000,26.82,26.9099,26.77,26.8,5838,0
SCE_N.US,D,20241017,000000,26.84,26.84,26.64,26.65,24215,0
SCE_N.US,D,20241018,000000,26.395,26.7,26.395,26.68,12347,0
SCE_N.US,D,20241021,000000,26.51,26.69,26.45,26.45,49054,0
SCE_N.US,D,20241022,000000,26.55,26.68,26.49,26.68,22074,0
SCE_N.US,D,20241023,000000,26.6,26.6,26.4,26.58,11735,0
SCE_N.US,D,20241024,000000,26.67,26.7,26.5,26.52,27440,0
SCE_N.US,D,20241025,000000,26.62,26.68,26.45,26.47,21257,0
SCE_N.US,D,20241028,000000,26.57,26.68,26.49,26.55,9285,0
SCE_N.US,D,20241029,000000,26.63,26.7,26.44,26.4965,23028,0
SCE_N.US,D,20241030,000000,26.5,26.615,26.5,26.5,10365,0
SCE_N.US,D,20241031,000000,26.64,26.65,26.43,26.5,41478,0
SCE_N.US,D,20241101,000000,26.53,26.54,26.46,26.46,20137,0
SCE_N.US,D,20241104,000000,26.67,26.67,26.54,26.54,8332,0
SCE_N.US,D,20241105,000000,26.64,26.64,26.54,26.6,10919,0
SCE_N.US,D,20241106,000000,26.47,26.5,26.37,26.45,42553,0
SCE_N.US,D,20241107,000000,26.59,26.8101,26.35,26.73,3626,0
SCE_N.US,D,20241108,000000,27,27.06,26.67,27.06,7978,0
SCE_N.US,D,20241111,000000,26.95,27.115,26.87,26.91,21742,0
SCE_N.US,D,20241112,000000,26.82,26.928051,26.72,26.72,25501,0
SCE_N.US,D,20241113,000000,26.8243,26.87,26.6,26.6,66802,0
SCE_N.US,D,20241114,000000,26.6,26.74,26.5,26.52,7566,0
SCE_N.US,D,20241115,000000,26.4,26.55,26.4,26.52,10011,0
SCE_N.US,D,20241118,000000,26.6131,26.6131,26.39,26.44,9836,0
SCE_N.US,D,20241119,000000,26.2601,26.46,26.25,26.29,15507,0
SCE_N.US,D,20241120,000000,26.2,26.29,26.1,26.22,21123,0
SCE_N.US,D,20241121,000000,26.36,26.43,26.19,26.23,15650,0
SCE_N.US,D,20241122,000000,26.38,26.38,26.23,26.3,102827,0
SCE_N.US,D,20241125,000000,26.46,26.5528,26.3607,26.4,9682,0
SCE_N.US,D,20241126,000000,26.395,26.56,26.24,26.35,15171,0
SCE_N.US,D,20241127,000000,26.29,26.412,26.24,26.36,18972,0
SCE_N.US,D,20241129,000000,26.36,26.55,26.26,26.26,116714,0
SCE_N.US,D,20241202,000000,26.2,26.36,26.2,26.33,6364,0
SCE_N.US,D,20241203,000000,26.44,26.47,26.27,26.39,8114,0
SCE_N.US,D,20241204,000000,26.22,26.44,26.22,26.44,5899,0
SCE_N.US,D,20241205,000000,26.42,26.45,26.405,26.45,4277,0
SCE_N.US,D,20241206,000000,26.4,26.42,26.35,26.42,19707,0
SCE_N.US,D,20241209,000000,26.41,26.41,26.29,26.37,13257,0
SCE_N.US,D,20241210,000000,26.26567,26.3313,26.26,26.32,4929,0
SCE_N.US,D,20241211,000000,26.36,26.41,26.33,26.35,12502,0
SCE_N.US,D,20241212,000000,26.23,26.336,26.23,26.32,18996,0
SCE_N.US,D,20241213,000000,25.95,25.95,25.8,25.92,13974,0
SCE_N.US,D,20241216,000000,25.87,26.04,25.76,25.95,12110,0
SCE_N.US,D,20241217,000000,25.9581,25.99,25.82,25.92,15811,0
SCE_N.US,D,20241218,000000,25.878,25.99,25.78,25.78,12273,0
SCE_N.US,D,20241219,000000,25.780717,25.82,25.34,25.63,18480,0
SCE_N.US,D,20241220,000000,25.55,25.73,25.51,25.715,7984,0
SCE_N.US,D,20241223,000000,25.585,25.692,25.585,25.65,13262,0
SCE_N.US,D,20241224,000000,25.5,25.65,25.37,25.65,8992,0
SCE_N.US,D,20241226,000000,25.61,25.64,25.49,25.6,19150,0
SCE_N.US,D,20241227,000000,25.51,25.625,25.49,25.53,16759,0
SCE_N.US,D,20241230,000000,25.52,25.58,25.41,25.5,15999,0
SCE_N.US,D,20241231,000000,25.35,25.57,25.34,25.43,119195,0
SCE_N.US,D,20250102,000000,25.46,25.74,25.46,25.58,5987,0
SCE_N.US,D,20250103,000000,25.815,25.8583,25.67,25.78,3923,0
SCE_N.US,D,20250106,000000,25.8036,25.8036,25.62,25.62,6574,0
SCE_N.US,D,20250107,000000,25.86,25.86,25.38,25.41,24074,0
