<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RFLR.US,D,20240918,000000,25.14,25.48,25.13,25.2136,3117,0
RFLR.US,D,20240919,000000,25.47,25.57,25.47,25.5312,2541,0
RFLR.US,D,20240920,000000,25.6,25.6,25.4405,25.4405,945,0
RFLR.US,D,20240923,000000,25.48,25.51,25.3473,25.3908,4005,0
RFLR.US,D,20240924,000000,25.4653,25.4718,25.384,25.4718,1862,0
RFLR.US,D,20240925,000000,25.4,25.4,25.2241,25.2241,597,0
RFLR.US,D,20240926,000000,25.3879,25.45,25.3595,25.3694,3929,0
RFLR.US,D,20240927,000000,25.58,25.64,25.5,25.51,1796,0
RFLR.US,D,20240930,000000,25.56,25.58,25.5313,25.5313,1382,0
RFLR.US,D,20241001,000000,25.27,25.304,25.27,25.304,401,0
RFLR.US,D,20241002,000000,25.3385,25.35,25.315,25.3239,8614,0
RFLR.US,D,20241003,000000,25.211,25.26,25.16,25.1634,14383,0
RFLR.US,D,20241004,000000,25.435,25.66,25.33,25.45,7848,0
RFLR.US,D,20241007,000000,25.319,25.319,25.2775,25.2775,231,0
RFLR.US,D,20241008,000000,25.3183,25.3183,25.2615,25.2615,1010,0
RFLR.US,D,20241009,000000,25.28,25.31,25.277,25.277,683,0
RFLR.US,D,20241010,000000,25.1,25.1688,25.1,25.1688,1180,0
RFLR.US,D,20241011,000000,25.45,25.56,25.45,25.55,2207,0
RFLR.US,D,20241014,000000,25.5013,25.6594,25.5013,25.6594,683,0
RFLR.US,D,20241015,000000,25.82,25.82,25.7315,25.7315,693,0
RFLR.US,D,20241016,000000,25.8833,25.96,25.8833,25.9302,1490,0
RFLR.US,D,20241017,000000,26.02,26.02,25.86,25.9557,13602,0
RFLR.US,D,20241018,000000,25.9833,25.9833,25.9833,25.9833,1,0
RFLR.US,D,20241021,000000,25.9482,25.9482,25.7549,25.7549,2720,0
RFLR.US,D,20241022,000000,25.6546,25.6692,25.6546,25.6692,1953,0
RFLR.US,D,20241023,000000,25.502,25.502,25.502,25.502,74,0
RFLR.US,D,20241024,000000,25.62,25.62,25.5,25.5601,597,0
RFLR.US,D,20241025,000000,25.7,25.7,25.498,25.498,105,0
RFLR.US,D,20241028,000000,25.7905,25.84,25.7905,25.8187,1651,0
RFLR.US,D,20241029,000000,25.749,25.77,25.7364,25.7364,1729,0
RFLR.US,D,20241030,000000,25.8781,25.9097,25.767,25.767,1278,0
RFLR.US,D,20241031,000000,25.79,25.8,25.5283,25.5283,1073,0
RFLR.US,D,20241101,000000,25.64,25.73,25.64,25.7199,1400,0
RFLR.US,D,20241104,000000,25.72,25.7299,25.63,25.63,2515,0
RFLR.US,D,20241105,000000,25.8,25.93,25.8,25.9004,8273,0
RFLR.US,D,20241106,000000,26.75,26.79,26.4921,26.5751,33951,0
RFLR.US,D,20241107,000000,26.63,26.6751,26.63,26.6751,2282,0
RFLR.US,D,20241108,000000,26.79,27.955,26.7148,26.8121,4976,0
RFLR.US,D,20241111,000000,26.9,26.94,26.872,26.9201,13390,0
RFLR.US,D,20241112,000000,26.7282,26.82,26.7159,26.7159,6059,0
RFLR.US,D,20241113,000000,26.89,26.89,26.5967,26.5967,86081,0
RFLR.US,D,20241114,000000,26.545,26.545,26.379,26.379,789,0
RFLR.US,D,20241115,000000,26.1566,26.18,26.1566,26.1602,2129,0
RFLR.US,D,20241118,000000,26.2881,26.3492,26.17,26.19,7127,0
RFLR.US,D,20241119,000000,26.07,26.39,26.07,26.3839,5501,0
RFLR.US,D,20241120,000000,26.28,26.4,26.28,26.3912,5356,0
RFLR.US,D,20241121,000000,26.509,26.8,26.509,26.768,6998,0
RFLR.US,D,20241122,000000,26.87,27.09,26.87,27.05,9624,0
RFLR.US,D,20241125,000000,27.29,27.369,27.21,27.2589,11722,0
RFLR.US,D,20241126,000000,27.23,27.43,27.1814,27.2186,5539,0
RFLR.US,D,20241127,000000,27.33,27.43,27.225,27.2449,14580,0
RFLR.US,D,20241129,000000,27.35,27.35,27.2701,27.3231,8832,0
RFLR.US,D,20241202,000000,27.255,27.4,27.255,27.3519,11324,0
RFLR.US,D,20241203,000000,27.33,27.35,27.2337,27.2351,4544,0
RFLR.US,D,20241204,000000,27.32,27.32,27.22,27.3085,12484,0
RFLR.US,D,20241205,000000,27.24,27.31,27.0583,27.0583,8068,0
RFLR.US,D,20241206,000000,27.1899,27.22,27.1542,27.1891,7834,0
RFLR.US,D,20241209,000000,27.15,27.27,27.0685,27.0685,785,0
RFLR.US,D,20241210,000000,27.1499,27.1499,26.9359,26.9359,769,0
RFLR.US,D,20241211,000000,26.97,27.21,26.97,27.0919,5902,0
RFLR.US,D,20241212,000000,26.97,26.99,26.7972,26.83,12780,0
