<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WAR.US,D,20250103,000000,20.5,20.5,19.9744,20.2343,7692,0
WAR.US,D,20250106,000000,20.405,20.68,20.405,20.505,9865,0
WAR.US,D,20250107,000000,20.65,20.65,20.245,20.2974,33602,0
WAR.US,D,20250108,000000,20.24,20.34,20.2099,20.3374,4298,0
WAR.US,D,20250110,000000,20.11,20.23,20.1,20.1542,32379,0
WAR.US,D,20250113,000000,19.89,20.5,19.8,20.0779,5130,0
WAR.US,D,20250114,000000,20.2,20.249,20.2,20.2109,4464,0
WAR.US,D,20250115,000000,20.54,20.66,20.51,20.6251,2989,0
WAR.US,D,20250116,000000,20.75,20.97,20.75,20.7871,3176,0
WAR.US,D,20250117,000000,20.95,21,20.9297,20.9297,54333,0
WAR.US,D,20250121,000000,21.18,21.41,21.18,21.395,7842,0
WAR.US,D,20250122,000000,21.64,21.74,21.615,21.675,10512,0
WAR.US,D,20250123,000000,21.509,21.509,21.424,21.46,2791,0
WAR.US,D,20250124,000000,21.38,21.38,21.139,21.1478,3488,0
WAR.US,D,20250127,000000,20.405,20.95,20.04,20.1358,16228,0
WAR.US,D,20250128,000000,20.15,20.1637,20.1398,20.1441,3009,0
WAR.US,D,20250129,000000,20.24,20.2462,20.08,20.165,2490,0
WAR.US,D,20250130,000000,20.37,20.4071,20.3,20.4071,1825,0
WAR.US,D,20250131,000000,20.57,20.65,20.3452,20.3452,2517,0
WAR.US,D,20250203,000000,19.93,20.3,19.89,20.1415,3924,0
WAR.US,D,20250204,000000,20.34,20.3986,20.31,20.3986,2500,0
WAR.US,D,20250205,000000,20.45,20.65,20.4284,20.6484,3107,0
WAR.US,D,20250206,000000,20.2795,20.38,20.22,20.34,4462,0
WAR.US,D,20250207,000000,20.51,20.51,20.245,20.2949,1051,0
WAR.US,D,20250210,000000,20.43,20.48,20.43,20.4645,633,0
WAR.US,D,20250212,000000,20.17,20.2,20.1159,20.1468,961,0
WAR.US,D,20250213,000000,20.1516,20.1516,20.0897,20.1005,1251,0
WAR.US,D,20250214,000000,20.15,20.15,20.0399,20.115,1081,0
WAR.US,D,20250218,000000,20.64,20.64,20.4,20.5475,3925,0
WAR.US,D,20250219,000000,20.445,20.47,20.44,20.4651,2104,0
WAR.US,D,20250220,000000,20.305,20.305,20.12,20.2901,2073,0
WAR.US,D,20250221,000000,20.11,20.11,19.8958,19.8958,652,0
WAR.US,D,20250224,000000,19.9494,19.95,19.9,19.91,5570,0
WAR.US,D,20250225,000000,19.83,20.34,19.64,19.7949,3134,0
WAR.US,D,20250226,000000,20,20.1901,19.8,20.007,4903,0
WAR.US,D,20250227,000000,19.955,19.955,19.4708,19.4708,2838,0
WAR.US,D,20250228,000000,19.485,19.5507,19.4499,19.5427,3243,0
WAR.US,D,20250303,000000,20.2,20.47,19.6234,19.6234,3331,0
WAR.US,D,20250304,000000,19.46,19.9216,19.45,19.7991,4511,0
WAR.US,D,20250305,000000,20.11,20.2724,20.085,20.2724,2640,0
WAR.US,D,20250306,000000,20.076,20.87,19.874,19.8808,2564,0
WAR.US,D,20250307,000000,19.61,20.0626,19.61,20.0626,2036,0
WAR.US,D,20250310,000000,19.74,20.21,19.35,19.5105,3711,0
WAR.US,D,20250311,000000,19.5126,19.575,19.35,19.5213,884,0
WAR.US,D,20250312,000000,19.6599,19.84,19.6599,19.7681,3441,0
WAR.US,D,20250313,000000,19.67,20.25,19.595,19.6439,5402,0
WAR.US,D,20250314,000000,19.97,20.2716,19.73,20.2716,5779,0
WAR.US,D,20250317,000000,20.35,21.05,20.35,20.57,9613,0
WAR.US,D,20250318,000000,20.36,20.46,20.36,20.4253,4771,0
WAR.US,D,20250319,000000,20.37,20.55,20.3601,20.4104,2861,0
WAR.US,D,20250320,000000,20.09,20.19,20.02,20.0313,2325,0
WAR.US,D,20250321,000000,19.7455,20,19.7455,19.8248,668,0
WAR.US,D,20250324,000000,20.1518,20.231,20.13,20.231,3276,0
WAR.US,D,20250325,000000,20.25,22.25,20.195,20.2287,2602,0
WAR.US,D,20250326,000000,20.23,20.23,19.983,20.0424,497,0
WAR.US,D,20250327,000000,19.86,19.9412,19.781,19.8936,2291,0
WAR.US,D,20250328,000000,19.59,19.59,19.43,19.4553,3440,0
WAR.US,D,20250331,000000,19.2199,19.4059,19.2199,19.4059,493,0
WAR.US,D,20250401,000000,19.4172,19.73,19.25,19.6071,51717,0
WAR.US,D,20250402,000000,19.77,19.99,19.77,19.8939,3795,0
WAR.US,D,20250403,000000,19.36,19.4,18.97,18.97,9734,0
WAR.US,D,20250404,000000,18.33,18.33,17.595,17.6319,2392,0
