<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SN.US,D,20230801,000000,38.49,44.19,36.0112,40.02,2013072,0
SN.US,D,20230802,000000,37.01,38.145,35.01,36.92,3612710,0
SN.US,D,20230803,000000,35.06,35.7,28.955,30.05,5977509,0
SN.US,D,20230804,000000,29.45,29.73,25.84,26.9,7847611,0
SN.US,D,20230807,000000,27.42,31.61,26.94,30.1,2581833,0
SN.US,D,20230808,000000,28.81,30.55,28.5,28.87,1663192,0
SN.US,D,20230809,000000,28.7,30.675,28.51,29.95,2375259,0
SN.US,D,20230810,000000,29.95,31.9675,29.95,31.33,945177,0
SN.US,D,20230811,000000,31.5,32.45,31.36,32.02,1497279,0
SN.US,D,20230814,000000,31.91,32.21,29.99,30.29,926575,0
SN.US,D,20230815,000000,29.67,31.54,29.42,31.17,1230287,0
SN.US,D,20230816,000000,30.73,31.04,29.48,30.3,1961131,0
SN.US,D,20230817,000000,30.09,31.69,29.95,31.22,647053,0
SN.US,D,20230818,000000,30.72,32.06,30.43,31.64,773362,0
SN.US,D,20230821,000000,31.59,32.23,31.32,31.94,969912,0
SN.US,D,20230822,000000,32,33.55,32,33.27,1304921,0
SN.US,D,20230823,000000,32.87,33.005,31.51,31.97,1573513,0
SN.US,D,20230824,000000,34.92,36.75,34.5,35.61,2235862,0
SN.US,D,20230825,000000,35.61,35.89,34,34.97,1328486,0
SN.US,D,20230828,000000,36.44,36.89,34.82,35.17,1123852,0
SN.US,D,20230829,000000,35.15,35.55,34.25,35.12,891038,0
SN.US,D,20230830,000000,35.12,35.8,34.67,35.33,758597,0
SN.US,D,20230831,000000,35,36.325,33.78,34.92,1127363,0
SN.US,D,20230901,000000,34.92,36.415,34.81,36.09,761070,0
SN.US,D,20230905,000000,36.25,37.03,35.1,35.43,1804700,0
SN.US,D,20230906,000000,35.17,35.4792,34.3,34.67,999549,0
SN.US,D,20230907,000000,34.2,34.5,33.7,33.9,1574156,0
SN.US,D,20230908,000000,33.8,36.0799,33.08,35.02,1644844,0
SN.US,D,20230911,000000,37,40.84,36.76,40.5,4789777,0
SN.US,D,20230912,000000,40,41.82,39.8,41.71,1634633,0
SN.US,D,20230913,000000,41.67,42.08,39.42,40.17,2564328,0
SN.US,D,20230914,000000,40.02,41.05,39.78,40.02,1035894,0
SN.US,D,20230915,000000,40,41.33,39.66,40.71,1606757,0
SN.US,D,20230918,000000,40.49,41.89,40.05,41.89,985479,0
SN.US,D,20230919,000000,41.55,43.12,40.68,43,1319884,0
SN.US,D,20230920,000000,42.81,44.81,42.81,44.44,1889372,0
SN.US,D,20230921,000000,43.78,44.66,41.73,43.97,1560783,0
SN.US,D,20230922,000000,43.97,44.98,43.78,43.78,1348727,0
SN.US,D,20230925,000000,43.43,43.47,41.76,42.45,979108,0
SN.US,D,20230926,000000,42.25,43.21,42.01,43,682239,0
SN.US,D,20230927,000000,44.46,46.04,43.86,45.5,1678455,0
SN.US,D,20230928,000000,45.5,45.5,44.55,44.93,1060409,0
SN.US,D,20230929,000000,45.06,46.6,44.79,46.36,709033,0
SN.US,D,20231002,000000,46.52,46.6,45.71,46.5,743437,0
SN.US,D,20231003,000000,46.28,46.32,44.8,45.24,830908,0
SN.US,D,20231004,000000,45,45.305,44.38,45.07,568860,0
SN.US,D,20231005,000000,45.19,45.3,44.445,44.63,601083,0
SN.US,D,20231006,000000,43.86,45.0299,43.53,44.47,314006,0
SN.US,D,20231009,000000,44.24,45.24,43.51,44.25,384018,0
SN.US,D,20231010,000000,44.3,45.2,43.55,44.3,592542,0
SN.US,D,20231011,000000,43.99,44.48,43.43,44.06,579049,0
SN.US,D,20231012,000000,43.93,44,41.9501,42.3,446797,0
SN.US,D,20231013,000000,41.57,42.57,40.5747,41.47,686642,0
SN.US,D,20231016,000000,41.58,43.47,39.54,43.16,494159,0
SN.US,D,20231017,000000,42.74,44.02,42.63,43.54,298033,0
SN.US,D,20231018,000000,43.27,43.71,42.63,43.15,290429,0
SN.US,D,20231019,000000,43.15,43.57,42.42,42.95,370739,0
SN.US,D,20231020,000000,43,43.435,42.18,42.75,544437,0
SN.US,D,20231023,000000,42.31,42.94,41.38,41.38,483494,0
SN.US,D,20231024,000000,41.5,42.575,40.49,40.71,750652,0
SN.US,D,20231025,000000,41.95,41.96,40.2,40.68,916377,0
SN.US,D,20231026,000000,40.59,40.79,38.69,40.48,851178,0
SN.US,D,20231027,000000,40.48,41.22,40.12,40.25,340744,0
SN.US,D,20231030,000000,40.65,41.84,40.59,41.49,316435,0
SN.US,D,20231031,000000,41.26,42.42,40.83,41.76,460991,0
SN.US,D,20231101,000000,41.54,42.54,40.27,42.46,551885,0
SN.US,D,20231102,000000,43.21,44.85,42.9,44.14,593622,0
SN.US,D,20231103,000000,44.55,46.085,44.27,45.64,535561,0
SN.US,D,20231106,000000,45.84,46.32,44.71,45.76,607354,0
SN.US,D,20231107,000000,45.7,46.6973,45.17,46.27,599116,0
SN.US,D,20231108,000000,46.25,46.33,43.58,44,1551486,0
SN.US,D,20231109,000000,44.5,44.99,41.26,43.62,2238066,0
SN.US,D,20231110,000000,43.66,43.82,42.14,42.91,584513,0
SN.US,D,20231113,000000,42.92,42.92,41.12,42.14,1036273,0
SN.US,D,20231114,000000,42.9,44.57,42.74,43.18,2228152,0
SN.US,D,20231115,000000,43.2,45.01,42.905,44,2838773,0
SN.US,D,20231116,000000,44.15,44.31,43.25,43.98,1329355,0
SN.US,D,20231117,000000,44.2,46,43.31,46,1063572,0
SN.US,D,20231120,000000,46.21,47,44.97,45.91,659262,0
SN.US,D,20231121,000000,45.7,47.08,45.2191,46.3,628196,0
SN.US,D,20231122,000000,46.49,48.66,46.3986,47.4,1087595,0
SN.US,D,20231124,000000,47.75,48,46.71,47.79,377560,0
SN.US,D,20231127,000000,47.26,47.5999,45.69,46.63,1330898,0
SN.US,D,20231128,000000,47.15,49.4899,46.22,48.9,1173537,0
SN.US,D,20231129,000000,49,49.25,46.5,46.52,1605993,0
SN.US,D,20231130,000000,46.08,47.2986,45.35,47,749093,0
SN.US,D,20231201,000000,46.93,49.05,46.6,49.01,1220003,0
SN.US,D,20231204,000000,46.6,47.785,45.87,46.64,762655,0
SN.US,D,20231205,000000,46.08,48.66,45.7,48.46,1226679,0
SN.US,D,20231206,000000,49.32,50.12,46.79,47.41,3909508,0
SN.US,D,20231207,000000,47.24,48.4,47,47.71,1372271,0
SN.US,D,20231208,000000,47.87,47.99,46.9,47.58,945736,0
SN.US,D,20231211,000000,47.4,48.12,47.06,47.65,801482,0
SN.US,D,20231212,000000,47.5,47.78,46.66,47.28,586755,0
SN.US,D,20231213,000000,47.3,48.47,46.85,48.46,724016,0
SN.US,D,20231214,000000,48.61,50.89,48.55,50,2236982,0
SN.US,D,20231215,000000,50.29,50.3,48.76,49.17,1051456,0
SN.US,D,20231218,000000,49.36,50.23,48.6453,50.12,1042412,0
SN.US,D,20231219,000000,50.33,51.78,49.94,51.34,1024327,0
SN.US,D,20231220,000000,51.03,51.55,49.63,49.7,688429,0
SN.US,D,20231221,000000,50.55,50.83,49.97,50.51,701367,0
SN.US,D,20231222,000000,50.72,51.13,50.35,50.64,352495,0
SN.US,D,20231226,000000,50.94,51.215,50.64,51,420742,0
SN.US,D,20231227,000000,51.14,51.49,50.04,51.48,691682,0
SN.US,D,20231228,000000,53.26,53.3965,50.89,51.47,1171299,0
SN.US,D,20231229,000000,51.32,52.21,50.96,51.17,475588,0
SN.US,D,20240102,000000,50.56,50.89,49.72,50.44,1029516,0
