<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZNOV.US,D,20241104,000000,24.94,24.94,24.8855,24.8951,447721,0
ZNOV.US,D,20241105,000000,24.8923,24.97,24.8923,24.97,626105,0
ZNOV.US,D,20241106,000000,25.54,26.55,24.98,25.06,186885,0
ZNOV.US,D,20241107,000000,25.11,25.12,25.029,25.1,58501,0
ZNOV.US,D,20241108,000000,25.11,25.1281,25.0491,25.0749,77240,0
ZNOV.US,D,20241111,000000,25.1,25.11,25.05,25.0749,199308,0
ZNOV.US,D,20241112,000000,25.0739,25.0926,24.9601,25.0467,642427,0
ZNOV.US,D,20241113,000000,25.04,25.1199,25.03,25.0746,337485,0
ZNOV.US,D,20241114,000000,25.078,25.1,25.04,25.06,26251,0
ZNOV.US,D,20241115,000000,25.02,25.11,24.9752,25.0127,101171,0
ZNOV.US,D,20241118,000000,25.02,25.06,24.98,25.04,163661,0
ZNOV.US,D,20241119,000000,25.03,25.1,25,25.01,65733,0
ZNOV.US,D,20241120,000000,25.06,25.07,24.9813,25.0307,20575,0
ZNOV.US,D,20241121,000000,25.03,25.08,25.0029,25.0497,35248,0
ZNOV.US,D,20241122,000000,25.07,25.0999,25.06,25.0857,28734,0
ZNOV.US,D,20241125,000000,25.13,25.13,25.1,25.1047,5659,0
ZNOV.US,D,20241126,000000,25.14,25.14,25.0801,25.1105,13117,0
ZNOV.US,D,20241127,000000,25.1,25.14,25.0815,25.14,20983,0
ZNOV.US,D,20241129,000000,25.14,25.16,25.14,25.16,1164,0
ZNOV.US,D,20241202,000000,25.1416,25.1736,25.11,25.1656,10139,0
ZNOV.US,D,20241203,000000,25.16,25.1899,25.1484,25.1484,1346,0
ZNOV.US,D,20241204,000000,25.1488,25.18,25.1488,25.18,514,0
ZNOV.US,D,20241205,000000,25.19,25.21,25.1791,25.2,10654,0
ZNOV.US,D,20241206,000000,25.1811,25.24,25.1811,25.2002,3619,0
ZNOV.US,D,20241209,000000,25.2,25.2199,25.1811,25.19,12391,0
ZNOV.US,D,20241211,000000,25.21,25.22,25.1998,25.1998,1872,0
ZNOV.US,D,20241212,000000,25.21,25.23,25.15,25.15,133894,0
ZNOV.US,D,20241213,000000,25.1601,25.2,25.15,25.15,51667,0
ZNOV.US,D,20241216,000000,25.18,25.2033,25.17,25.17,5061,0
ZNOV.US,D,20241217,000000,25.19,25.22,25.16,25.1899,6450,0
ZNOV.US,D,20241218,000000,25.21,25.21,25.0742,25.0742,6325,0
ZNOV.US,D,20241219,000000,25.13,25.19,25.0466,25.0661,3308,0
ZNOV.US,D,20241220,000000,25.08,25.35,25.08,25.11,17803,0
ZNOV.US,D,20241223,000000,25.09,25.18,25.09,25.18,2155,0
ZNOV.US,D,20241224,000000,25.21,25.21,25.16,25.19,693,0
ZNOV.US,D,20241226,000000,25.2299,25.23,25.2299,25.23,428,0
ZNOV.US,D,20241227,000000,25.13,25.1607,25.13,25.1607,372,0
ZNOV.US,D,20241230,000000,25.09,25.169,25.08,25.16,12620,0
ZNOV.US,D,20241231,000000,25.12,25.13,25.09,25.1,2576,0
ZNOV.US,D,20250102,000000,25.132,25.14,25.08,25.14,6714,0
ZNOV.US,D,20250103,000000,25.13,25.19,25.13,25.1702,431,0
ZNOV.US,D,20250106,000000,25.2,25.25,25.2,25.23,25609,0
ZNOV.US,D,20250107,000000,25.25,25.25,25.05,25.1559,86090,0
ZNOV.US,D,20250108,000000,25.15,25.18,25.12,25.18,7672,0
ZNOV.US,D,20250110,000000,25.07,25.13,25.06,25.11,9255,0
ZNOV.US,D,20250113,000000,25.0609,25.11,25.06,25.08,1744,0
ZNOV.US,D,20250114,000000,25.11,25.13,25.08,25.13,7224,0
ZNOV.US,D,20250115,000000,25.19,25.24,25.19,25.2215,4770,0
ZNOV.US,D,20250116,000000,25.2,25.23,25.2,25.2207,1249,0
ZNOV.US,D,20250117,000000,25.23,25.25,25.23,25.24,331,0
ZNOV.US,D,20250121,000000,25.26,25.28,25.2596,25.28,1791,0
ZNOV.US,D,20250122,000000,25.31,25.35,25.31,25.31,3757,0
ZNOV.US,D,20250123,000000,25.34,25.35,25.3,25.33,2396,0
ZNOV.US,D,20250124,000000,25.33,25.38,25.32,25.37,4355,0
ZNOV.US,D,20250127,000000,25.25,25.3,25.25,25.2885,7866,0
ZNOV.US,D,20250128,000000,25.339,25.36,25.3,25.3297,665,0
ZNOV.US,D,20250129,000000,25.3,25.33,25.29,25.3191,1506,0
ZNOV.US,D,20250130,000000,25.31,25.3363,25.31,25.3363,383,0
ZNOV.US,D,20250131,000000,25.34,25.36,25.3,25.3216,72967,0
ZNOV.US,D,20250203,000000,25.27,25.3199,25.26,25.27,2595,0
ZNOV.US,D,20250204,000000,25.28,25.3207,25.26,25.3207,14299,0
ZNOV.US,D,20250205,000000,25.28,25.3387,25.27,25.3384,8741,0
ZNOV.US,D,20250206,000000,25.32,25.38,25.32,25.3599,7527,0
ZNOV.US,D,20250207,000000,25.34,25.34,25.32,25.3253,1027,0
ZNOV.US,D,20250210,000000,25.32,25.3201,25.32,25.32,2453,0
ZNOV.US,D,20250211,000000,25.32,25.3915,25.305,25.32,111397,0
