<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WFG.US,D,20210202,000000,65.3659,67.413,61.1031,61.1031,59964.462032691,0
WFG.US,D,20210203,000000,63.8805,65.9335,62.9805,64.8877,74356.456962086,0
WFG.US,D,20210204,000000,64.9075,66.1489,64.3161,65.5913,105282.97053909,0
WFG.US,D,20210205,000000,66.8335,68.4172,66.5497,67.4081,131418.5350303,0
WFG.US,D,20210208,000000,68.6415,69.1614,66.4723,68.955,104218.76308545,0
WFG.US,D,20210209,000000,68.955,69.1516,67.7038,68.2416,60438.114971338,0
WFG.US,D,20210210,000000,67.9479,69.7172,67.3238,69.7172,48313.607514189,0
WFG.US,D,20210211,000000,70.1676,70.2361,69.1118,70.1577,52694.393310567,0
WFG.US,D,20210212,000000,70.1081,72.8269,69.1714,72.7485,150229.61110005,0
WFG.US,D,20210216,000000,73.3549,77.081,70.9297,71.5171,118978.59487146,0
WFG.US,D,20210217,000000,71.5757,72.9253,68.1344,69.1316,112318.22833631,0
WFG.US,D,20210218,000000,68.9362,68.9362,65.8065,67.1948,178219.47645745,0
WFG.US,D,20210219,000000,67.4875,68.7586,67.1352,68.0452,100495.04476992,0
WFG.US,D,20210222,000000,68.3577,68.3577,66.1975,67.2047,122708.35982025,0
WFG.US,D,20210223,000000,66.9219,67.1451,64.1733,65.2579,166318.6944309,0
WFG.US,D,20210224,000000,66.1291,67.0777,64.8381,66.4327,141054.85290124,0
WFG.US,D,20210225,000000,66.902,67.9181,66.0794,66.5696,186507.39511156,0
WFG.US,D,20210226,000000,66.4912,68.1434,64.7199,66.7939,155088.08092391,0
WFG.US,D,20210301,000000,68.0452,68.838,66.0129,66.1687,104903.04041597,0
WFG.US,D,20210302,000000,66.0794,67.2741,61.6112,62.277,228539.55844152,0
WFG.US,D,20210303,000000,62.5786,64.7686,62.5588,64.0363,163282.27676251,0
WFG.US,D,20210304,000000,64.0462,64.0462,61.1716,62.1202,188843.41109408,0
WFG.US,D,20210305,000000,62.8336,63.7823,60.2834,63.7823,142047.50852798,0
WFG.US,D,20210308,000000,63.7823,65.6795,63.7823,64.0264,139125.97689152,0
WFG.US,D,20210309,000000,65.4851,66.6281,64.6932,64.8877,78490.338567043,0
WFG.US,D,20210310,000000,64.7785,65.1805,63.05,63.1561,149622.9322297,0
WFG.US,D,20210311,000000,64.075,64.8579,63.4489,64.5453,145348.97028757,0
WFG.US,D,20210312,000000,64.5553,65.3173,63.8021,65.3173,149292.38294485,0
WFG.US,D,20210315,000000,65.3859,66.0407,63.7624,65.1031,119398.83588299,0
WFG.US,D,20210316,000000,65.5139,67.4478,64.9949,65.5227,182891.50842249,0
WFG.US,D,20210317,000000,65.5139,66.3067,63.9291,64.0809,260423.45561793,0
WFG.US,D,20210318,000000,64.4927,66.4357,63.5124,63.9143,265860.38669027,0
WFG.US,D,20210319,000000,63.7674,64.7845,63.2484,64.3072,149208.73785143,0
WFG.US,D,20210322,000000,64.5821,66.6113,64.5821,64.7577,172140.59448741,0
WFG.US,D,20210323,000000,64.4143,65.1507,62.5052,62.7483,241246.55823599,0
WFG.US,D,20210324,000000,62.6292,63.5273,60.8948,60.9244,203475.25580943,0
WFG.US,D,20210325,000000,60.6387,62.923,60.1783,62.923,215118.04815025,0
WFG.US,D,20210326,000000,64.1792,65.8373,63.8259,65.0027,246893.10592799,0
WFG.US,D,20210329,000000,65.5039,65.9445,63.6305,63.9539,193420.71247139,0
WFG.US,D,20210330,000000,63.5719,65.2965,62.9041,64.9253,191612.76912684,0
WFG.US,D,20210331,000000,65.6597,71.0647,65.5227,70.6519,593332.94297639,0
WFG.US,D,20210401,000000,70.9764,72.9481,69.4661,72.5154,369161.06929252,0
WFG.US,D,20210405,000000,73.5553,75.1628,73.0245,74.6429,326563.5457528,0
WFG.US,D,20210406,000000,74.0663,76.3308,73.5265,74.0852,215879.92394093,0
WFG.US,D,20210407,000000,74.7322,78.36,74.7322,77.9184,517867.93658343,0
WFG.US,D,20210408,000000,78.5773,80.3813,78.3897,80.3813,360865.08846073,0
WFG.US,D,20210409,000000,80.7345,80.9597,78.6348,79.2828,223778.84252202,0
