<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ONON.US,D,20210915,000000,35.4,38,34.5,35,13765817,0
ONON.US,D,20210916,000000,36,40.13,35.9,37.49,6458744,0
ONON.US,D,20210917,000000,39.64,40.8,38.15,38.95,3661908,0
ONON.US,D,20210920,000000,38,38,34.35,36.01,2779643,0
ONON.US,D,20210921,000000,37.78,39.01,36.01,38.64,1339494,0
ONON.US,D,20210922,000000,39.4,39.8,35.55,35.75,1703681,0
ONON.US,D,20210923,000000,36.55,37.68,35.84,37.34,902269,0
ONON.US,D,20210924,000000,37.2,37.32,35.6,36.02,1180981,0
ONON.US,D,20210927,000000,35.71,35.99,32.92,33.37,1780587,0
ONON.US,D,20210928,000000,32.62,33.04,31.85,32,1776255,0
ONON.US,D,20210929,000000,32.24,33.24,30.31,30.9,2383351,0
ONON.US,D,20210930,000000,30.9,32.4,30.06,30.13,1468851,0
ONON.US,D,20211001,000000,30.14,30.98,29.8,30.5,1062483,0
ONON.US,D,20211004,000000,29.12,30.24,28.1,29.09,1308536,0
ONON.US,D,20211005,000000,29.09,31.18,28.93,30.44,1370182,0
ONON.US,D,20211006,000000,30,30.22,29.22,29.59,743370,0
ONON.US,D,20211007,000000,29.59,30.9694,29.29,29.84,615653,0
ONON.US,D,20211008,000000,30.04,30.42,29.01,30.07,619415,0
ONON.US,D,20211011,000000,30.3,31.62,30.3,30.69,1315704,0
ONON.US,D,20211012,000000,31.31,32.5,30.11,30.54,1164215,0
ONON.US,D,20211013,000000,30.8,31.35,30.649,30.7,684670,0
ONON.US,D,20211014,000000,31.18,31.22,29.15,29.57,1179358,0
ONON.US,D,20211015,000000,29.63,31.06,29.6,29.72,413471,0
ONON.US,D,20211018,000000,29.72,30.52,29.345,30.07,567856,0
ONON.US,D,20211019,000000,30.57,30.9,29.41,29.77,568471,0
ONON.US,D,20211020,000000,30.31,32.5,30.1,31.36,1265312,0
ONON.US,D,20211021,000000,31.18,33.85,31.18,33.71,1294301,0
ONON.US,D,20211022,000000,33.68,34.08,32.5,33.26,778638,0
ONON.US,D,20211025,000000,33.37,36.2,33.0101,34.98,1154443,0
ONON.US,D,20211026,000000,35.24,36.5,34.65,35.58,1571152,0
ONON.US,D,20211027,000000,35.9,35.9,33.68,34,1218292,0
ONON.US,D,20211028,000000,34.36,35.43,32.93,33.7,863696,0
ONON.US,D,20211029,000000,33.36,34.5,33.035,34.16,402670,0
ONON.US,D,20211101,000000,34.45,36.79,34.22,36.58,1037505,0
ONON.US,D,20211102,000000,36.77,36.96,35.21,35.41,542600,0
ONON.US,D,20211103,000000,35.41,38.76,35.33,38.45,1599892,0
ONON.US,D,20211104,000000,38.65,38.7,36.19,37.63,1198764,0
ONON.US,D,20211105,000000,38.08,39.8,37.89,39.19,1037441,0
ONON.US,D,20211108,000000,39.48,39.55,36.9,38.24,2049067,0
ONON.US,D,20211109,000000,38.21,39.42,37.51,37.85,1066204,0
ONON.US,D,20211110,000000,37.43,38.9299,36.91,37.19,783192,0
ONON.US,D,20211111,000000,37.52,37.792,35.55,37.01,765769,0
ONON.US,D,20211112,000000,37.55,37.68,35.85,37.2,662720,0
ONON.US,D,20211115,000000,37.75,38.72,36.1,36.43,2112367,0
ONON.US,D,20211116,000000,39.4,46.7,39.3,45.61,8917015,0
ONON.US,D,20211117,000000,43.05,55.87,43.05,51.45,7956373,0
ONON.US,D,20211118,000000,50.1,50.72,44.95,45,3128772,0
ONON.US,D,20211119,000000,48.39,48.97,42.2076,44.94,3758612,0
ONON.US,D,20211122,000000,45.19,45.4474,41.1,42.56,2243511,0
