<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TEL.US,D,20070614,000000,29.1839,30.9643,29.1839,30.6454,840056.1327162,0
TEL.US,D,20070615,000000,30.8409,30.8409,30.1708,30.603,1457992.2388902,0
TEL.US,D,20070618,000000,30.7994,30.8409,29.3033,29.3033,1082208.4244844,0
TEL.US,D,20070619,000000,29.3033,29.7376,28.4703,28.9479,1205701.209345,0
TEL.US,D,20070620,000000,29.0486,29.0486,27.8673,28.3559,2182938.33486,0
TEL.US,D,20070621,000000,28.3963,28.9479,28.196,28.9479,681709.03024075,0
TEL.US,D,20070622,000000,29.1839,31.1547,29.0269,30.7235,317337.62874547,0
TEL.US,D,20070625,000000,30.8409,31.5514,30.1708,30.9593,257621.82101489,0
TEL.US,D,20070626,000000,31.0077,31.3926,30.9179,31.1547,151629.1501007,0
TEL.US,D,20070627,000000,31.1547,31.3926,30.7619,31.3569,343198.19895791,0
TEL.US,D,20070628,000000,31.3569,31.5129,31.1547,31.2356,191697.73361612,0
TEL.US,D,20070629,000000,31.4133,31.4695,30.5625,30.8073,2157705.9894548,0
TEL.US,D,20070702,000000,30.9179,32.0479,30.7462,31.5287,2545784.7712989,0
TEL.US,D,20070703,000000,31.5366,32.031,30.8231,31.2801,4757275.9236503,0
TEL.US,D,20070705,000000,31.2356,32.5572,30.9494,31.1142,5423487.0532015,0
TEL.US,D,20070706,000000,31.0777,31.4873,30.603,31.4073,5008781.6721864,0
TEL.US,D,20070709,000000,31.1952,31.8663,30.3523,31.7873,6807556.4843239,0
TEL.US,D,20070710,000000,31.1547,31.1547,30.3523,30.7619,6951719.891876,0
TEL.US,D,20070711,000000,30.7619,30.9593,30.5221,30.8073,7562305.7678049,0
TEL.US,D,20070712,000000,30.7235,30.8073,30.2132,30.7699,5190969.9060987,0
TEL.US,D,20070713,000000,30.2073,31.4607,29.9744,31.1311,2617544.2565447,0
TEL.US,D,20070716,000000,29.9744,31.428,29.2371,30.9987,3188318.9184759,0
TEL.US,D,20070717,000000,30.7767,31.1547,30.1866,30.6524,4961488.5033872,0
TEL.US,D,20070718,000000,29.1453,30.6524,28.8691,29.925,6224242.6578924,0
TEL.US,D,20070719,000000,30.002,30.3286,29.6792,30.0514,2635040.3174279,0
TEL.US,D,20070720,000000,30.0514,30.1165,29.8668,29.9961,4319213.7522596,0
TEL.US,D,20070723,000000,27.6838,30.7619,27.6838,30.6898,2744201.4705555,0
TEL.US,D,20070724,000000,30.5398,30.9336,30.0761,30.2872,2686514.220993,0
TEL.US,D,20070725,000000,30.1708,30.4234,29.9744,30.3435,3070034.3199209,0
TEL.US,D,20070726,000000,29.9744,30.2073,28.9667,29.626,4602577.5913862,0
TEL.US,D,20070727,000000,28.3963,30.0761,28.1792,29.1453,3693036.755186,0
TEL.US,D,20070730,000000,28.7111,28.7516,28.0637,28.4358,3696330.882361,0
TEL.US,D,20070731,000000,28.4358,28.4585,28.1585,28.2521,2724293.8370252,0
TEL.US,D,20070801,000000,27.5436,28.3963,27.4153,27.7804,4781841.540147,0
TEL.US,D,20070802,000000,27.2979,28.0006,26.8913,27.8199,3193768.2620463,0
