<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TEQI.US,D,20200807,000000,24.4228,24.4228,24.4228,24.4228,192.72452258613,0
TEQI.US,D,20200810,000000,24.7678,24.7678,24.7402,24.7402,391.53508272761,0
TEQI.US,D,20200811,000000,25.7103,25.7103,24.7875,24.7984,4671.0338237323,0
TEQI.US,D,20200812,000000,25.0655,25.0655,24.9995,25.0124,627.87620779377,0
TEQI.US,D,20200813,000000,24.7975,24.8644,24.7875,24.7875,3412.2383893671,0
TEQI.US,D,20200814,000000,24.6909,24.8694,24.6909,24.7994,5180.2322991967,0
TEQI.US,D,20200817,000000,24.7205,24.7205,24.6712,24.6712,1166.4905314423,0
TEQI.US,D,20200818,000000,24.5194,24.5194,24.5194,24.5194,142.0075429582,0
TEQI.US,D,20200819,000000,24.6515,24.6515,24.4484,24.4484,1044.7697803354,0
TEQI.US,D,20200820,000000,24.3035,24.3035,24.2759,24.2759,1474.8497675802,0
TEQI.US,D,20200821,000000,24.1527,24.2088,24.1527,24.2088,963.62261293066,0
TEQI.US,D,20200824,000000,24.5086,24.62,24.5086,24.62,370.23395128389,0
TEQI.US,D,20200825,000000,24.5283,24.5568,24.5283,24.5568,301.2588589899,0
TEQI.US,D,20200826,000000,24.4701,24.4701,24.4277,24.4277,309.37357573037,0
TEQI.US,D,20200827,000000,24.548,24.6712,24.548,24.6377,865.23167245248,0
TEQI.US,D,20200828,000000,24.7738,24.7738,24.7738,24.7738,92.304902922832,0
TEQI.US,D,20200831,000000,24.6427,24.6427,24.5864,24.5864,772.92676952964,0
TEQI.US,D,20200901,000000,24.4987,24.4987,24.4218,24.482,987.96676315206,0
TEQI.US,D,20200902,000000,24.6427,24.9502,24.6051,24.9502,2734.659541538,0
TEQI.US,D,20200903,000000,25.0084,25.0084,24.4484,24.4484,2399.9274759936,0
TEQI.US,D,20200904,000000,24.3833,24.4927,24.2493,24.4927,2899.996895125,0
TEQI.US,D,20200908,000000,24.0176,24.1437,23.9091,23.9239,12340.455483068,0
TEQI.US,D,20200909,000000,24.1921,24.3064,24.1625,24.1891,5685.3734162909,0
TEQI.US,D,20200910,000000,24.057,24.1507,23.8293,23.8293,2245.7478579247,0
TEQI.US,D,20200911,000000,23.7879,23.9603,23.7879,23.9141,8845.0412471109,0
TEQI.US,D,20200914,000000,24.2296,24.2976,24.2296,24.2976,256.62791691733,0
TEQI.US,D,20200915,000000,24.336,24.336,24.2138,24.2138,487.89734402068,0
TEQI.US,D,20200916,000000,24.4889,24.5627,24.3933,24.3933,1661.488252611,0
TEQI.US,D,20200917,000000,24.3725,24.3725,24.3261,24.3261,196.78188095637,0
TEQI.US,D,20200918,000000,24.0964,24.1527,24.0964,24.1143,1115.7735518145,0
TEQI.US,D,20200921,000000,23.5197,23.5197,23.4122,23.4655,5587.9968154053,0
TEQI.US,D,20200922,000000,23.4122,23.4714,23.4122,23.4714,246.48452099174,0
TEQI.US,D,20200923,000000,23.6243,23.6243,22.9725,22.9725,12612.298493874,0
TEQI.US,D,20200924,000000,22.943,23.0042,22.943,23.0042,192.72452258613,0
TEQI.US,D,20200925,000000,22.9332,23.3107,22.9332,23.3107,9491.1755675707,0
TEQI.US,D,20200928,000000,23.7711,23.8293,23.6943,23.6943,32704.337143274,0
TEQI.US,D,20200929,000000,23.6163,23.6163,23.3768,23.4536,12412.473594139,0
TEQI.US,D,20200930,000000,23.704,23.704,23.636,23.6538,4072.5734641228,0
TEQI.US,D,20201001,000000,23.6066,23.6066,23.5907,23.5907,14707.9240921,0
TEQI.US,D,20201002,000000,23.781,23.781,23.7357,23.7357,2248.7908767024,0
TEQI.US,D,20201005,000000,24.0994,24.1596,24.0994,24.1596,3072.43462586,0
TEQI.US,D,20201006,000000,24.3213,24.4652,23.9536,23.984,8450.4631456056,0
TEQI.US,D,20201007,000000,24.1861,24.4366,24.1861,24.3833,27970.414264803,0
TEQI.US,D,20201008,000000,25.3711,25.3711,24.5234,24.7175,5581.9107778499,0
TEQI.US,D,20201009,000000,24.8792,24.8792,24.7166,24.7166,4624.3742024746,0
TEQI.US,D,20201012,000000,24.831,24.9364,24.831,24.9364,416.89357254158,0
TEQI.US,D,20201013,000000,24.8605,24.8605,24.6288,24.6831,1076.2143077047,0
TEQI.US,D,20201014,000000,24.6871,24.6871,24.5884,24.5884,5700.5885101793,0
TEQI.US,D,20201015,000000,24.6338,24.6338,24.6338,24.6338,53.759998405606,0
TEQI.US,D,20201016,000000,24.7442,24.7442,24.7442,24.7442,109.54867599633,0
TEQI.US,D,20201019,000000,24.6871,24.6871,24.3785,24.3843,1548.896557837,0
TEQI.US,D,20201020,000000,24.5785,24.5785,24.5785,24.5785,97.376600885625,0
TEQI.US,D,20201021,000000,24.5984,24.5984,24.5293,24.5293,134.90716581029,0
TEQI.US,D,20201022,000000,24.7195,24.8684,24.7195,24.8684,345.88980106248,0
TEQI.US,D,20201023,000000,24.9187,24.9571,24.9187,24.9571,7284.9869537558,0
TEQI.US,D,20201026,000000,24.7638,24.7638,24.2138,24.3666,3696.2534752835,0
TEQI.US,D,20201027,000000,24.2631,24.2729,24.051,24.051,4197.3372340075,0
TEQI.US,D,20201028,000000,23.7909,23.7909,23.364,23.364,4909.4036279836,0
TEQI.US,D,20201029,000000,23.6755,23.6755,23.6755,23.6755,170.40905154984,0
TEQI.US,D,20201030,000000,23.357,23.4813,23.357,23.4813,2683.94256191,0
TEQI.US,D,20201102,000000,23.8579,24.0393,23.7435,24.0393,5916.6428433943,0
TEQI.US,D,20201103,000000,24.3883,24.5914,24.3883,24.5351,4416.4345860001,0
TEQI.US,D,20201104,000000,24.2916,24.6387,24.2916,24.4267,3290.5176382601,0
TEQI.US,D,20201105,000000,24.822,25.1405,24.822,25.0134,29629.873838228,0
TEQI.US,D,20201106,000000,25.0054,25.0054,24.9187,24.9187,478.76828768765,0
TEQI.US,D,20201109,000000,25.3524,26.6735,25.3524,26.2525,16591.552715481,0
TEQI.US,D,20201110,000000,26.4606,26.6055,26.4506,26.573,5155.8881489753,0
TEQI.US,D,20201111,000000,26.5966,26.5966,26.3896,26.4941,11449.865320802,0
TEQI.US,D,20201112,000000,26.4132,26.4132,25.8967,26.0534,8283.0971128334,0
TEQI.US,D,20201113,000000,26.4793,26.6637,26.4793,26.6607,2596.70935695,0
TEQI.US,D,20201116,000000,27.1359,27.2414,27.064,27.2137,29165.306304838,0
TEQI.US,D,20201117,000000,27.0688,27.2316,26.98,27.2049,17780.35871796,0
TEQI.US,D,20201118,000000,27.4444,27.474,26.99,26.993,15136.989739752,0
TEQI.US,D,20201119,000000,26.8569,26.9999,26.7405,26.981,7470.611099194,0
TEQI.US,D,20201120,000000,26.8943,26.9703,26.8569,26.8746,1801.467116384,0
TEQI.US,D,20201123,000000,27.2611,27.3429,27.2611,27.3429,803.3569573064,0
