<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPTE.US,D,20231205,000000,20.06,20.06,19.935,20,3864,0
SPTE.US,D,20231206,000000,20.1,20.17,19.8996,19.8997,20510,0
SPTE.US,D,20231207,000000,20.01,20.2,19.98,20.165,2165,0
SPTE.US,D,20231208,000000,20.12,20.35,20.12,20.3445,63684,0
SPTE.US,D,20231211,000000,20.25,20.454,20.18,20.4051,55266,0
SPTE.US,D,20231212,000000,20.45,20.5929,20.45,20.5929,978,0
SPTE.US,D,20231213,000000,20.72,20.8498,20.67,20.8498,29167,0
SPTE.US,D,20231214,000000,21.07,21.07,20.87,20.9868,20867,0
SPTE.US,D,20231215,000000,21.1581,21.18,21.04,21.0549,43279,0
SPTE.US,D,20231218,000000,21.02,21.041,20.9791,21.041,38003,0
SPTE.US,D,20231219,000000,21.15,21.1899,21.07,21.1487,7103,0
SPTE.US,D,20231220,000000,21.118,21.22,20.75,20.75,129987,0
SPTE.US,D,20231221,000000,21.07,21.15,20.95,21.15,6577,0
SPTE.US,D,20231222,000000,21.11,21.11,21.09,21.09,1507,0
SPTE.US,D,20231226,000000,21.2,21.2783,21.2,21.275,2551,0
SPTE.US,D,20231227,000000,21.265,21.34,21.26,21.3042,1435,0
SPTE.US,D,20231228,000000,21.3,21.42,21.3,21.325,80008,0
SPTE.US,D,20231229,000000,21.265,21.33,21.21,21.21,2807,0
SPTE.US,D,20240102,000000,20.92,20.92,20.59,20.5911,113569,0
SPTE.US,D,20240103,000000,20.45,20.49,20.35,20.4016,35077,0
SPTE.US,D,20240104,000000,20.27,20.33,20.2566,20.2566,2412,0
SPTE.US,D,20240105,000000,20.41,20.41,20.288,20.288,3050,0
SPTE.US,D,20240108,000000,20.43,20.835,20.43,20.835,14111,0
SPTE.US,D,20240109,000000,20.645,20.86,20.645,20.8539,1007,0
SPTE.US,D,20240110,000000,20.8957,21.0199,20.8733,20.9926,15045,0
SPTE.US,D,20240111,000000,20.99,21.13,20.96,21.1144,3218,0
SPTE.US,D,20240112,000000,21.15,21.17,21.15,21.17,609,0
SPTE.US,D,20240116,000000,21.1,21.2738,21.1,21.14,7926,0
SPTE.US,D,20240117,000000,20.93,21.1045,20.93,21.1045,8819,0
SPTE.US,D,20240118,000000,21.58,21.7061,21.53,21.7061,11706,0
SPTE.US,D,20240119,000000,21.829,22.1626,21.829,22.1616,2832,0
SPTE.US,D,20240122,000000,22.34,22.3684,22.22,22.25,10463,0
SPTE.US,D,20240123,000000,22.3,22.35,22.16,22.3413,15825,0
SPTE.US,D,20240124,000000,22.63,23.04,22.63,22.74,46888,0
SPTE.US,D,20240125,000000,22.9792,22.9987,22.7665,22.7665,1952,0
SPTE.US,D,20240126,000000,22.64,22.74,22.605,22.605,1251,0
SPTE.US,D,20240129,000000,22.56,22.748,22.53,22.748,10058,0
SPTE.US,D,20240130,000000,22.6101,22.66,22.585,22.62,5123,0
SPTE.US,D,20240131,000000,22.344,22.4498,22.2154,22.2154,9177,0
SPTE.US,D,20240201,000000,22.3,22.51,22.2469,22.4296,10818,0
SPTE.US,D,20240202,000000,22.52,22.7766,22.52,22.7766,3361,0
SPTE.US,D,20240205,000000,22.82,22.96,22.6843,22.9267,11049,0
SPTE.US,D,20240206,000000,22.97,22.97,22.715,22.8856,5623,0
SPTE.US,D,20240207,000000,23.14,23.3,23.12,23.3,3240,0
SPTE.US,D,20240208,000000,23.36,23.64,23.36,23.5406,8467,0
SPTE.US,D,20240209,000000,23.59,23.96,23.59,23.914,8159,0
SPTE.US,D,20240212,000000,23.9,23.98,23.65,23.65,5433,0
SPTE.US,D,20240213,000000,23.06,23.27,22.95,23.2,66368,0
SPTE.US,D,20240214,000000,23.42,23.56,23.33,23.56,5427,0
SPTE.US,D,20240215,000000,23.58,23.6494,23.44,23.6494,17431,0
SPTE.US,D,20240216,000000,23.4408,23.54,23.3846,23.3846,910,0
SPTE.US,D,20240220,000000,23.27,23.27,22.93,23.1,14909,0
SPTE.US,D,20240221,000000,22.81,22.98,22.77,22.98,2933,0
SPTE.US,D,20240222,000000,23.62,23.9,23.62,23.8656,7542,0
SPTE.US,D,20240223,000000,24.06,24.06,23.77,23.88,11071,0
SPTE.US,D,20240226,000000,23.96,24.015,23.88,23.9707,2427,0
SPTE.US,D,20240227,000000,23.96,23.97,23.83,23.88,10923,0
SPTE.US,D,20240228,000000,23.65,23.75,23.628,23.74,3798,0
SPTE.US,D,20240229,000000,23.875,24.1,23.762,24.0724,3953,0
SPTE.US,D,20240301,000000,24.2252,24.61,24.21,24.5727,9435,0
SPTE.US,D,20240304,000000,24.79,24.9617,24.7293,24.76,8021,0
SPTE.US,D,20240305,000000,24.61,24.61,24.1592,24.271,5323,0
SPTE.US,D,20240306,000000,24.6201,24.83,24.6201,24.7562,1773,0
SPTE.US,D,20240307,000000,25.18,25.3949,25.154,25.3949,2671,0
SPTE.US,D,20240308,000000,25.48,25.68,24.72,24.79,25835,0
SPTE.US,D,20240311,000000,24.55,24.56,24.31,24.409,5045,0
SPTE.US,D,20240312,000000,24.9681,24.9849,24.74,24.9849,648,0
SPTE.US,D,20240313,000000,24.685,24.85,24.685,24.79,5046,0
SPTE.US,D,20240314,000000,24.72,24.72,24.48,24.5398,2120,0
SPTE.US,D,20240315,000000,24.44,24.44,24.18,24.18,8970,0
SPTE.US,D,20240318,000000,24.56,24.56,24.3118,24.3118,4483,0
SPTE.US,D,20240319,000000,24.1,24.4236,24.04,24.3723,4230,0
SPTE.US,D,20240320,000000,24.45,24.649,24.31,24.649,2625,0
SPTE.US,D,20240321,000000,25.01,25.1389,24.928,24.93,2208,0
SPTE.US,D,20240322,000000,24.85,24.97,24.85,24.9098,3737,0
SPTE.US,D,20240325,000000,24.76,24.9599,24.76,24.83,2832,0
SPTE.US,D,20240326,000000,24.99,24.99,24.68,24.68,47003,0
SPTE.US,D,20240327,000000,24.685,24.685,24.49,24.627,4893,0
SPTE.US,D,20240328,000000,24.62,24.68,24.55,24.5502,4286,0
SPTE.US,D,20240401,000000,24.67,24.98,24.67,24.7769,3661,0
SPTE.US,D,20240402,000000,24.48,24.55,24.4336,24.5217,1088,0
SPTE.US,D,20240403,000000,24.7091,24.7091,24.51,24.6143,4997,0
SPTE.US,D,20240404,000000,24.83,24.86,24.166,24.166,3632,0
SPTE.US,D,20240405,000000,24.25,24.3666,24.234,24.3666,1733,0
SPTE.US,D,20240408,000000,24.57,24.57,24.36,24.3711,7663,0
SPTE.US,D,20240409,000000,24.6,24.63,24.33,24.4789,8321,0
SPTE.US,D,20240410,000000,24.38,24.405,24.25,24.33,14637,0
SPTE.US,D,20240411,000000,24.33,24.739,24.33,24.685,2738,0
SPTE.US,D,20240412,000000,24.38,24.4278,24.15,24.2105,3860,0
SPTE.US,D,20240415,000000,24.34,24.34,23.7577,23.8198,2160,0
SPTE.US,D,20240416,000000,23.71,23.97,23.71,23.76,2808,0
SPTE.US,D,20240417,000000,23.84,23.9608,23.3735,23.4604,7037,0
SPTE.US,D,20240418,000000,23.27,23.38,23.01,23.081,3726,0
SPTE.US,D,20240419,000000,22.94,23,22.2901,22.39,11257,0
SPTE.US,D,20240422,000000,22.45,22.76,22.33,22.58,8224,0
SPTE.US,D,20240423,000000,22.76,23.15,22.76,23.1215,28851,0
SPTE.US,D,20240424,000000,23.27,23.3,23,23.15,8187,0
SPTE.US,D,20240425,000000,22.87,23.2169,22.87,23.2169,2412,0
SPTE.US,D,20240426,000000,23.6,23.72,23.6,23.6,1852,0
SPTE.US,D,20240429,000000,23.66,23.66,23.52,23.6309,3567,0
SPTE.US,D,20240430,000000,23.53,23.58,23.2236,23.2236,1957,0
SPTE.US,D,20240501,000000,22.93,23.0018,22.765,22.9459,2979,0
SPTE.US,D,20240502,000000,23.14,23.34,23.03,23.2508,4073,0
SPTE.US,D,20240503,000000,23.83,24.1,23.81,23.96,13332,0
SPTE.US,D,20240506,000000,24.01,24.33,24.01,24.33,6783,0
SPTE.US,D,20240507,000000,24.23,24.33,24.1016,24.205,6610,0
SPTE.US,D,20240508,000000,24.1,24.23,24,24.1659,19358,0
SPTE.US,D,20240509,000000,24.1,24.24,24.09,24.115,4421,0
SPTE.US,D,20240510,000000,24.33,24.33,24.19,24.29,2485,0
SPTE.US,D,20240513,000000,24.28,24.47,24.18,24.2,8527,0
SPTE.US,D,20240514,000000,24.27,24.51,24.27,24.5014,5235,0
SPTE.US,D,20240515,000000,24.5816,25.2699,24.5816,25.0449,3038,0
SPTE.US,D,20240516,000000,25.1,25.1899,24.9077,24.9077,4068,0
SPTE.US,D,20240517,000000,25,25.2343,24.76,25.2343,6257,0
SPTE.US,D,20240520,000000,24.92,25.21,24.92,25.1718,3389,0
SPTE.US,D,20240521,000000,25.035,25.18,24.9927,25.18,2086,0
SPTE.US,D,20240522,000000,25.27,25.3799,25.15,25.35,5586,0
SPTE.US,D,20240523,000000,25.6,25.8532,25.31,25.32,4420,0
SPTE.US,D,20240524,000000,25.47,25.6751,25.47,25.6751,1920,0
SPTE.US,D,20240528,000000,25.81,26.0188,25.7419,25.89,5954,0
SPTE.US,D,20240529,000000,25.64,25.79,25.5601,25.63,9480,0
SPTE.US,D,20240530,000000,25.55,25.55,25.1967,25.1967,4008,0
SPTE.US,D,20240531,000000,25.2525,25.2525,24.6568,25.0705,5016,0
SPTE.US,D,20240603,000000,25.47,25.49,23.5,25.38,10544,0
SPTE.US,D,20240604,000000,25.33,25.43,25.18,25.4191,2916,0
