<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XJAN.US,D,20240123,000000,30.939,30.99,30.86,30.98,932467,0
XJAN.US,D,20240124,000000,31.02,31.0749,30.965,30.98,59121,0
XJAN.US,D,20240125,000000,31.03,31.07,30.965,31.05,152691,0
XJAN.US,D,20240126,000000,31.009,31.06,30.99,31.03,99387,0
XJAN.US,D,20240129,000000,31,31.12,31,31.04,85445,0
XJAN.US,D,20240130,000000,31.08,31.11,31.02,31.1,119924,0
XJAN.US,D,20240131,000000,31.0397,31.0999,30.896,30.95,143329,0
XJAN.US,D,20240201,000000,30.98,31.0785,30.9125,31.0361,76234,0
XJAN.US,D,20240202,000000,31.07,31.17,31.07,31.14,670082,0
XJAN.US,D,20240205,000000,31.1,31.16,31.035,31.08,24538,0
XJAN.US,D,20240206,000000,31.105,31.1587,31.098,31.1504,42622,0
XJAN.US,D,20240207,000000,31.24,31.26,31.16,31.2204,43005,0
XJAN.US,D,20240208,000000,31.25,31.26,31.16,31.25,37656,0
XJAN.US,D,20240209,000000,31.29,31.3099,31.19,31.3,48734,0
XJAN.US,D,20240212,000000,31.29,31.32,31.24,31.2412,30815,0
XJAN.US,D,20240213,000000,31.14,31.14,30.98,31.1,79353,0
XJAN.US,D,20240214,000000,31.13,31.2074,31.09,31.2074,36280,0
XJAN.US,D,20240215,000000,31.2,31.29,31.1944,31.2887,33743,0
XJAN.US,D,20240216,000000,31.22,31.2799,31.1653,31.2102,45696,0
XJAN.US,D,20240220,000000,31.23,31.23,31.1107,31.1438,61368,0
XJAN.US,D,20240221,000000,31.1,31.2291,31.1,31.22,488661,0
XJAN.US,D,20240222,000000,31.32,31.399,31.32,31.3629,9562,0
XJAN.US,D,20240223,000000,31.39,31.42,31.349,31.42,8355,0
XJAN.US,D,20240226,000000,31.42,31.42,31.33,31.3542,10703,0
XJAN.US,D,20240227,000000,31.375,31.3999,31.345,31.37,8166,0
XJAN.US,D,20240228,000000,31.3908,31.4,31.37,31.3768,6424,0
XJAN.US,D,20240229,000000,31.44,31.44,31.375,31.4322,8661,0
XJAN.US,D,20240301,000000,31.499,31.54,31.46,31.54,55128,0
XJAN.US,D,20240304,000000,31.46,31.55,31.4489,31.46,52253,0
XJAN.US,D,20240305,000000,31.395,31.44,31.35,31.37,10560,0
XJAN.US,D,20240306,000000,31.475,31.475,31.4,31.433,7899,0
XJAN.US,D,20240307,000000,31.5074,31.55,31.45,31.5225,20818,0
XJAN.US,D,20240308,000000,31.59,31.59,31.42,31.5029,5139,0
XJAN.US,D,20240311,000000,31.425,31.5,31.41,31.42,33900,0
XJAN.US,D,20240312,000000,31.545,31.5999,31.4799,31.521,14758,0
XJAN.US,D,20240313,000000,31.68,31.68,31.5017,31.5355,49602,0
XJAN.US,D,20240314,000000,31.6,31.6,31.4891,31.5111,14566,0
XJAN.US,D,20240315,000000,31.5017,31.5017,31.45,31.4557,4369,0
XJAN.US,D,20240318,000000,31.46,31.5799,31.46,31.49,5062,0
XJAN.US,D,20240319,000000,31.51,31.59,31.51,31.5845,7186,0
XJAN.US,D,20240320,000000,31.61,31.6831,31.582,31.6682,1579,0
XJAN.US,D,20240321,000000,31.75,31.76,31.6998,31.6998,5299,0
XJAN.US,D,20240322,000000,31.74,31.75,31.68,31.713,6835,0
XJAN.US,D,20240325,000000,31.7238,31.7371,31.67,31.6805,3869,0
XJAN.US,D,20240326,000000,31.68,31.7284,31.67,31.6759,2739,0
XJAN.US,D,20240327,000000,31.7054,31.7408,31.65,31.7408,7522,0
XJAN.US,D,20240328,000000,31.7688,31.8,31.7538,31.7645,72058,0
XJAN.US,D,20240401,000000,31.73,31.77,31.6705,31.7351,4484,0
XJAN.US,D,20240402,000000,31.6345,31.71,31.6299,31.6752,12617,0
XJAN.US,D,20240403,000000,31.705,31.7399,31.65,31.6905,6466,0
XJAN.US,D,20240404,000000,31.75,31.75,31.5887,31.5887,19231,0
XJAN.US,D,20240405,000000,31.645,31.7112,31.64,31.6715,5924,0
XJAN.US,D,20240408,000000,31.72,31.72,31.6592,31.6856,1549,0
XJAN.US,D,20240409,000000,31.72,31.72,31.63,31.72,4892,0
XJAN.US,D,20240410,000000,31.62,31.64,31.5613,31.64,2418,0
XJAN.US,D,20240411,000000,31.5406,31.685,31.5406,31.64,3799,0
XJAN.US,D,20240412,000000,31.61,31.61,31.51,31.5351,8679,0
XJAN.US,D,20240415,000000,31.6032,31.64,31.3716,31.4186,7380,0
XJAN.US,D,20240416,000000,31.44,31.47,31.38,31.4261,4652,0
XJAN.US,D,20240417,000000,31.4799,31.4799,31.3356,31.34,4551,0
XJAN.US,D,20240418,000000,31.41,31.44,31.3651,31.3651,4120,0
XJAN.US,D,20240419,000000,31.38,31.38,31.2446,31.26,4995,0
XJAN.US,D,20240422,000000,31.33,31.4472,31.297,31.39,5216,0
XJAN.US,D,20240423,000000,31.53,31.58,31.52,31.5479,4386,0
XJAN.US,D,20240424,000000,31.6,31.6,31.51,31.59,6417,0
XJAN.US,D,20240425,000000,31.39,31.53,31.385,31.49,10672,0
XJAN.US,D,20240426,000000,31.66,31.66,31.61,31.6326,5279,0
XJAN.US,D,20240429,000000,31.6201,31.6912,31.62,31.63,7085,0
XJAN.US,D,20240430,000000,31.59,31.62,31.52,31.55,3911,0
XJAN.US,D,20240501,000000,31.55,31.6699,31.4957,31.4957,3569,0
XJAN.US,D,20240502,000000,31.52,31.62,31.5,31.5781,4802,0
XJAN.US,D,20240503,000000,31.745,31.7649,31.69,31.7,12368,0
XJAN.US,D,20240506,000000,31.7514,31.8404,31.7514,31.8404,817,0
XJAN.US,D,20240507,000000,31.8618,31.9,31.8218,31.866,5852,0
XJAN.US,D,20240508,000000,31.865,31.9,31.8638,31.9,829,0
XJAN.US,D,20240509,000000,31.89,31.94,31.89,31.9206,5769,0
XJAN.US,D,20240510,000000,31.975,32.01,31.945,31.9597,5515,0
XJAN.US,D,20240513,000000,31.99,31.99,31.9101,31.9601,11357,0
XJAN.US,D,20240514,000000,32,32.05,31.91,32.0099,3504,0
XJAN.US,D,20240515,000000,32.06,32.16,32.06,32.1155,1640,0
XJAN.US,D,20240516,000000,32.17,32.17,32.0923,32.145,9673,0
XJAN.US,D,20240517,000000,32.1599,32.1599,32.1252,32.1252,2241,0
XJAN.US,D,20240520,000000,32.145,32.19,32.13,32.1449,5894,0
XJAN.US,D,20240521,000000,32.1454,32.2,32.14,32.1761,2258,0
XJAN.US,D,20240522,000000,32.13,32.22,32.1216,32.1431,4923,0
XJAN.US,D,20240523,000000,32.1001,32.16,32.07,32.0925,2507,0
XJAN.US,D,20240524,000000,32.18,32.2096,32.152,32.1701,2630,0
XJAN.US,D,20240528,000000,32.19,32.19,32.09,32.1657,1860,0
XJAN.US,D,20240529,000000,32.1,32.1793,32.1,32.1142,4473,0
XJAN.US,D,20240530,000000,32.12,32.13,32.04,32.0817,4303,0
XJAN.US,D,20240531,000000,32.06,32.1592,32.01,32.1592,3631,0
XJAN.US,D,20240603,000000,32.22,32.23,32.11,32.1648,5171,0
XJAN.US,D,20240604,000000,32.13,32.1849,32.13,32.1849,697,0
XJAN.US,D,20240605,000000,32.1987,32.275,32.1905,32.275,12116,0
XJAN.US,D,20240606,000000,32.23,32.32,32.23,32.2756,2418,0
XJAN.US,D,20240607,000000,32.3191,32.33,32.24,32.2799,1275,0
XJAN.US,D,20240610,000000,32.25,32.32,32.25,32.2941,3249,0
XJAN.US,D,20240611,000000,32.2862,32.34,32.28,32.3158,8076,0
XJAN.US,D,20240612,000000,32.43,32.44,32.3613,32.3963,4321,0
XJAN.US,D,20240613,000000,32.34,32.4,32.34,32.3799,13133,0
XJAN.US,D,20240614,000000,32.39,32.4,32.35,32.3951,56482,0
XJAN.US,D,20240617,000000,32.36,32.46,32.36,32.4302,3294,0
XJAN.US,D,20240618,000000,32.41,32.49,32.41,32.4502,4722,0
XJAN.US,D,20240620,000000,32.41,32.47,32.39,32.4251,11354,0
XJAN.US,D,20240621,000000,32.44,32.4599,32.4,32.4261,5657,0
XJAN.US,D,20240624,000000,32.41,32.49,32.39,32.4383,284817,0
XJAN.US,D,20240625,000000,32.4001,32.48,32.4,32.4466,9335,0
XJAN.US,D,20240626,000000,32.4579,32.4999,32.425,32.4667,4730,0
XJAN.US,D,20240627,000000,32.45,32.4872,32.45,32.4872,636,0
XJAN.US,D,20240628,000000,32.49,32.545,32.47,32.5004,34826,0
XJAN.US,D,20240701,000000,32.487,32.5261,32.45,32.5261,1226,0
XJAN.US,D,20240702,000000,32.5522,32.58,32.5018,32.5604,2389,0
XJAN.US,D,20240703,000000,32.55,32.63,32.5301,32.585,1522,0
XJAN.US,D,20240705,000000,32.48,32.65,32.48,32.59,12522,0
XJAN.US,D,20240708,000000,32.53,32.66,32.53,32.6342,1562,0
XJAN.US,D,20240709,000000,32.67,32.67,32.6348,32.64,1015,0
XJAN.US,D,20240710,000000,32.6,32.7,32.6,32.68,8836,0
XJAN.US,D,20240711,000000,32.6716,32.6716,32.61,32.6548,5016,0
XJAN.US,D,20240712,000000,32.716,32.725,32.6954,32.6954,680,0
XJAN.US,D,20240715,000000,32.7112,32.7112,32.68,32.68,438595,0
XJAN.US,D,20240716,000000,32.67,32.75,32.67,32.723,1102,0
XJAN.US,D,20240717,000000,32.64,32.6999,32.64,32.6648,1830,0
XJAN.US,D,20240718,000000,32.6867,32.6867,32.6,32.6238,6930,0
