<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SIXF.US,D,20240201,000000,25.0625,25.18,25.06,25.17,284482,0
SIXF.US,D,20240202,000000,25.2195,25.32,25.2195,25.29,30422,0
SIXF.US,D,20240205,000000,25.2605,25.3,25.2605,25.27,9564,0
SIXF.US,D,20240206,000000,25.41,25.41,25.25,25.3,26278,0
SIXF.US,D,20240207,000000,25.38,25.4,25.345,25.39,11964,0
SIXF.US,D,20240208,000000,25.3686,25.4,25.3686,25.4,8312,0
SIXF.US,D,20240209,000000,25.42,25.46,25.4,25.4252,8016,0
SIXF.US,D,20240212,000000,25.58,25.58,25.412,25.4252,1697750,0
SIXF.US,D,20240213,000000,25.42,25.42,25.185,25.252,41725,0
SIXF.US,D,20240214,000000,25.3301,25.4,25.28,25.3952,19776,0
SIXF.US,D,20240215,000000,25.43,25.47,25.36,25.47,8986,0
SIXF.US,D,20240216,000000,25.6,25.6,25.4098,25.4098,13115,0
SIXF.US,D,20240220,000000,25.34,25.38,25.29,25.3392,7336,0
SIXF.US,D,20240221,000000,25.47,25.47,25.2701,25.3648,14638,0
SIXF.US,D,20240222,000000,25.66,25.66,25.49,25.59,12284,0
SIXF.US,D,20240223,000000,25.58,25.6394,25.56,25.6054,7647,0
SIXF.US,D,20240226,000000,25.63,25.63,25.55,25.5735,11539,0
SIXF.US,D,20240227,000000,25.63,25.63,25.54,25.5953,6727,0
SIXF.US,D,20240228,000000,25.59,25.61,25.54,25.5653,5134,0
SIXF.US,D,20240229,000000,25.6,25.66,25.56,25.66,187135,0
SIXF.US,D,20240301,000000,25.665,25.72,25.665,25.695,3691,0
SIXF.US,D,20240304,000000,25.7,25.7,25.66,25.6963,1369,0
SIXF.US,D,20240305,000000,25.62,25.63,25.5301,25.585,5709,0
SIXF.US,D,20240306,000000,25.6559,25.6699,25.627,25.645,5042,0
SIXF.US,D,20240307,000000,25.68,25.75,25.68,25.7349,1540,0
SIXF.US,D,20240308,000000,25.77,25.79,25.66,25.66,3994,0
SIXF.US,D,20240311,000000,25.635,25.6994,25.635,25.6724,4010,0
SIXF.US,D,20240312,000000,25.77,25.8,25.75,25.7899,10118,0
SIXF.US,D,20240313,000000,25.785,25.8199,25.75,25.7803,7483,0
SIXF.US,D,20240314,000000,25.74,25.78,25.7,25.7402,3458,0
SIXF.US,D,20240315,000000,25.71,25.72,25.61,25.67,7050,0
SIXF.US,D,20240318,000000,25.785,25.79,25.75,25.765,3158,0
SIXF.US,D,20240319,000000,25.73,25.8399,25.72,25.8203,5387,0
SIXF.US,D,20240320,000000,25.7865,25.9,25.7865,25.8862,5117,0
SIXF.US,D,20240321,000000,25.92,25.98,25.9001,25.925,24701,0
SIXF.US,D,20240322,000000,25.95,25.97,25.91,25.9403,12698,0
SIXF.US,D,20240325,000000,25.92,25.93,25.9,25.9153,3641,0
SIXF.US,D,20240326,000000,25.91,25.94,25.9001,25.9104,5580,0
SIXF.US,D,20240327,000000,25.89,25.9653,25.8801,25.9653,10383,0
SIXF.US,D,20240328,000000,25.98,26.02,25.9512,25.9902,1715206,0
SIXF.US,D,20240401,000000,25.9565,25.9753,25.94,25.9753,15790,0
SIXF.US,D,20240402,000000,25.88,25.915,25.87,25.915,3335,0
SIXF.US,D,20240403,000000,25.92,25.9229,25.92,25.9229,186,0
SIXF.US,D,20240404,000000,25.96,25.96,25.8133,25.8133,154,0
SIXF.US,D,20240405,000000,25.9099,25.9099,25.9099,25.9099,191,0
SIXF.US,D,20240408,000000,25.91,25.9208,25.91,25.9208,159,0
SIXF.US,D,20240409,000000,25.88,25.9277,25.88,25.9277,2358,0
SIXF.US,D,20240410,000000,25.8401,25.86,25.8401,25.86,116,0
SIXF.US,D,20240411,000000,25.8001,25.935,25.8001,25.935,1603,0
SIXF.US,D,20240412,000000,25.78,25.78,25.78,25.78,54,0
SIXF.US,D,20240415,000000,25.6696,25.6696,25.6696,25.6696,88,0
SIXF.US,D,20240416,000000,25.65,25.6658,25.65,25.6612,1506,0
SIXF.US,D,20240417,000000,25.56,25.6104,25.56,25.6104,933,0
SIXF.US,D,20240418,000000,25.59,25.59,25.5806,25.5806,578,0
SIXF.US,D,20240419,000000,25.61,25.61,25.5149,25.5149,670,0
SIXF.US,D,20240422,000000,25.6007,25.6007,25.6007,25.6007,98,0
SIXF.US,D,20240423,000000,25.68,25.7541,25.68,25.7541,1191,0
SIXF.US,D,20240424,000000,25.73,25.7694,25.73,25.7694,100,0
SIXF.US,D,20240425,000000,25.68,25.715,25.68,25.715,301,0
SIXF.US,D,20240426,000000,25.82,25.8407,25.82,25.8407,177,0
SIXF.US,D,20240429,000000,25.86,25.8799,25.85,25.8799,4428,0
SIXF.US,D,20240430,000000,25.76,25.76,25.7278,25.7278,201,0
SIXF.US,D,20240501,000000,25.69,25.8305,25.69,25.6914,387,0
SIXF.US,D,20240502,000000,25.7653,25.7653,25.7653,25.7653,41,0
SIXF.US,D,20240503,000000,25.9369,25.9369,25.9369,25.9369,82,0
SIXF.US,D,20240506,000000,25.98,26.0354,25.98,26.0354,440,0
SIXF.US,D,20240507,000000,26.05,26.0707,26.05,26.0707,168,0
SIXF.US,D,20240508,000000,26.0846,26.0846,26.0846,26.0846,5,0
SIXF.US,D,20240509,000000,26.08,26.1304,26.08,26.1304,1200,0
SIXF.US,D,20240510,000000,26.165,26.165,26.165,26.165,5,0
SIXF.US,D,20240513,000000,26.14,26.1654,26.14,26.1654,300,0
SIXF.US,D,20240514,000000,26.2,26.2201,26.16,26.2201,1073,0
SIXF.US,D,20240515,000000,26.27,26.31,26.27,26.31,130,0
SIXF.US,D,20240516,000000,26.29,26.29,26.2815,26.2898,1365,0
SIXF.US,D,20240517,000000,26.32,26.32,26.32,26.32,5,0
SIXF.US,D,20240520,000000,26.32,26.3517,26.32,26.3429,173632,0
SIXF.US,D,20240521,000000,26.3,26.365,26.3,26.365,460,0
SIXF.US,D,20240522,000000,26.35,26.35,26.34,26.34,990,0
SIXF.US,D,20240523,000000,26.3301,26.4,26.3099,26.3099,2929,0
SIXF.US,D,20240524,000000,26.375,26.375,26.375,26.375,39,0
SIXF.US,D,20240528,000000,26.44,26.44,26.3712,26.3712,174,0
SIXF.US,D,20240529,000000,26.3301,26.3301,26.3301,26.3301,1,0
SIXF.US,D,20240530,000000,26.32,26.35,26.2849,26.2849,1182,0
SIXF.US,D,20240531,000000,26.1901,26.3486,26.1901,26.3486,477,0
SIXF.US,D,20240603,000000,26.3069,26.3602,26.3069,26.3602,2190,0
SIXF.US,D,20240604,000000,26.34,26.385,26.34,26.385,125,0
SIXF.US,D,20240605,000000,26.4652,26.4652,26.4652,26.4652,43,0
SIXF.US,D,20240606,000000,26.45,26.4696,26.45,26.4696,719,0
SIXF.US,D,20240607,000000,26.4851,26.4851,26.4851,26.4851,89,0
SIXF.US,D,20240610,000000,26.4951,26.4951,26.4951,26.4951,25,0
SIXF.US,D,20240611,000000,26.5107,26.5107,26.5107,26.5107,25,0
SIXF.US,D,20240612,000000,26.52,26.5597,26.52,26.5597,1104,0
SIXF.US,D,20240613,000000,26.61,26.61,26.53,26.5711,1911,0
SIXF.US,D,20240614,000000,26.54,26.5702,26.54,26.5702,154,0
SIXF.US,D,20240617,000000,26.61,26.61,26.59,26.6,1821,0
SIXF.US,D,20240618,000000,26.57,26.615,26.57,26.615,484,0
SIXF.US,D,20240620,000000,26.59,26.6149,26.58,26.6149,521,0
SIXF.US,D,20240621,000000,26.64,26.64,26.6198,26.6198,400,0
SIXF.US,D,20240624,000000,26.6211,26.6211,26.6211,26.6211,5,0
SIXF.US,D,20240625,000000,26.6358,26.6358,26.6358,26.6358,5,0
SIXF.US,D,20240626,000000,26.6473,26.6473,26.6473,26.6473,5,0
SIXF.US,D,20240627,000000,26.6647,26.6647,26.6647,26.6647,1,0
SIXF.US,D,20240628,000000,26.661,26.6749,26.64,26.6749,24408,0
SIXF.US,D,20240701,000000,26.6832,26.6832,26.6832,26.6832,5,0
SIXF.US,D,20240702,000000,26.695,26.7,26.695,26.7,204,0
SIXF.US,D,20240703,000000,26.7,26.715,26.69,26.715,843,0
SIXF.US,D,20240705,000000,26.7,26.7376,26.7,26.7376,310,0
SIXF.US,D,20240708,000000,26.72,26.7351,26.72,26.7351,900,0
SIXF.US,D,20240709,000000,26.74,26.745,26.74,26.745,1036,0
SIXF.US,D,20240710,000000,26.7537,26.7537,26.7537,26.7537,40,0
SIXF.US,D,20240711,000000,26.7546,26.7546,26.7546,26.7546,47,0
SIXF.US,D,20240712,000000,26.7651,26.7651,26.7651,26.7651,43,0
SIXF.US,D,20240715,000000,26.7618,26.7711,26.7618,26.7711,800,0
SIXF.US,D,20240716,000000,26.772,26.772,26.772,26.772,47,0
SIXF.US,D,20240717,000000,26.7717,26.7717,26.7717,26.7717,47,0
SIXF.US,D,20240718,000000,26.7604,26.7604,26.7604,26.7604,40,0
SIXF.US,D,20240719,000000,26.7724,26.7849,26.7724,26.7849,236,0
SIXF.US,D,20240722,000000,26.78,26.795,26.78,26.795,635,0
SIXF.US,D,20240723,000000,26.8045,26.8045,26.8045,26.8045,65,0
SIXF.US,D,20240724,000000,26.785,26.785,26.785,26.785,47,0
SIXF.US,D,20240725,000000,26.76,26.81,26.76,26.7855,4751,0
SIXF.US,D,20240726,000000,26.8,26.825,26.8,26.825,1162,0
SIXF.US,D,20240729,000000,26.83,26.83,26.8248,26.8248,1310,0
SIXF.US,D,20240730,000000,26.8406,26.85,26.8,26.825,11809,0
SIXF.US,D,20240731,000000,26.846,26.86,26.81,26.8299,11368,0
SIXF.US,D,20240801,000000,26.9,26.94,26.54,26.61,42525,0
SIXF.US,D,20240802,000000,26.5499,26.5499,26.28,26.331,6074,0
SIXF.US,D,20240805,000000,25.92,25.95,25.76,25.85,2509,0
SIXF.US,D,20240806,000000,26.07,26.19,26.0371,26.0553,2815,0
SIXF.US,D,20240807,000000,26.2,26.2,25.9267,25.9267,1201,0
SIXF.US,D,20240808,000000,26.22,26.2986,26.16,26.2593,29142,0
SIXF.US,D,20240809,000000,26.3153,26.3695,26.27,26.3695,8532,0
SIXF.US,D,20240812,000000,26.4484,26.48,26.36,26.36,2255,0
SIXF.US,D,20240813,000000,26.505,26.66,26.48,26.6563,54387,0
SIXF.US,D,20240814,000000,26.635,26.78,26.635,26.7121,25591,0
SIXF.US,D,20240815,000000,26.87,26.95,26.83,26.9055,19327,0
SIXF.US,D,20240816,000000,26.945,26.9994,26.88,26.9451,10391,0
SIXF.US,D,20240819,000000,27.13,27.13,26.975,27.11,38939,0
SIXF.US,D,20240820,000000,27.075,27.08,27.04,27.055,28929,0
SIXF.US,D,20240821,000000,27.0885,27.15,27.0885,27.1088,6147,0
SIXF.US,D,20240822,000000,27.14,27.14,26.9733,26.9733,3826,0
SIXF.US,D,20240823,000000,27.08,27.27,27.08,27.18,7586,0
SIXF.US,D,20240826,000000,27.21,27.21,27.116,27.15,13138,0
SIXF.US,D,20240827,000000,27.13,27.2,27.12,27.1554,7027,0
SIXF.US,D,20240828,000000,27.06,27.1,26.99,27.1,11350,0
SIXF.US,D,20240829,000000,27.15,27.23,27.09,27.12,2860,0
SIXF.US,D,20240830,000000,27.17,27.2334,27.17,27.2334,1101,0
SIXF.US,D,20240903,000000,27.0103,27.0103,26.9,26.95,3450,0
SIXF.US,D,20240904,000000,26.96,26.96,26.9067,26.9067,3870,0
SIXF.US,D,20240905,000000,26.94,26.94,26.815,26.8595,1794,0
SIXF.US,D,20240906,000000,26.71,26.71,26.6,26.6201,1315,0
