<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
THTA.US,D,20231116,000000,20.13,20.13,20.0217,20.043,50236,0
THTA.US,D,20231117,000000,20.11,20.11,20.03,20.04,16617,0
THTA.US,D,20231120,000000,20.1,20.1,20.0301,20.035,10059,0
THTA.US,D,20231121,000000,20.05,20.05,20.0225,20.04,4844,0
THTA.US,D,20231122,000000,20.06,20.06,20.0256,20.0332,6725,0
THTA.US,D,20231124,000000,19.99,20.0599,19.99,20.0449,7476,0
THTA.US,D,20231127,000000,20.09,20.09,20.05,20.065,10451,0
THTA.US,D,20231128,000000,20.12,20.12,20.0565,20.0811,35317,0
THTA.US,D,20231129,000000,20.08,20.1001,20.0588,20.1001,5314,0
THTA.US,D,20231130,000000,20.12,20.14,20.09,20.0904,13115,0
THTA.US,D,20231201,000000,20.13,20.13,20.05,20.0752,15645,0
THTA.US,D,20231204,000000,20.16,20.16,20.1,20.1399,98800,0
THTA.US,D,20231205,000000,20.16,20.16,20.1,20.135,10658,0
THTA.US,D,20231206,000000,20.1141,20.17,20.1141,20.17,7775,0
THTA.US,D,20231207,000000,20.155,20.16,20.1302,20.15,10881,0
THTA.US,D,20231208,000000,20.145,20.1799,20.14,20.14,2370,0
THTA.US,D,20231211,000000,20.17,20.18,20.1241,20.155,4059,0
THTA.US,D,20231212,000000,20.165,20.19,20.1501,20.17,7667,0
THTA.US,D,20231213,000000,20.1882,20.1987,20.1,20.1042,24715,0
THTA.US,D,20231214,000000,20.07,20.14,20.05,20.12,7385,0
THTA.US,D,20231215,000000,20.05,20.08,20.01,20.03,29026,0
THTA.US,D,20231218,000000,20.07,20.08,20.0104,20.06,21051,0
THTA.US,D,20231219,000000,20.09,20.09,20.02,20.0513,7471,0
THTA.US,D,20231220,000000,20.03,20.1199,20.0201,20.0955,13548,0
THTA.US,D,20231221,000000,20.12,20.13,20.07,20.1,8398,0
THTA.US,D,20231222,000000,20.13,20.14,20.0801,20.11,4207,0
THTA.US,D,20231226,000000,20.09,20.1499,20.07,20.089,3241,0
THTA.US,D,20231227,000000,20.12,20.14,20.12,20.12,2006,0
THTA.US,D,20231228,000000,20.1,20.1491,20.0952,20.115,1832,0
THTA.US,D,20231229,000000,20.132,20.1394,20.11,20.11,1909,0
THTA.US,D,20240102,000000,20.16,20.16,20.1499,20.1501,3508,0
THTA.US,D,20240103,000000,20.15,20.1699,20.1333,20.15,2577,0
THTA.US,D,20240104,000000,20.15,20.16,20.12,20.14,12262,0
THTA.US,D,20240105,000000,20.18,20.1884,20.1421,20.165,2979,0
THTA.US,D,20240108,000000,20.1994,20.2,20.1801,20.19,6922,0
THTA.US,D,20240109,000000,20.1881,20.1999,20.17,20.19,11230,0
THTA.US,D,20240110,000000,20.1809,20.21,20.15,20.18,26275,0
THTA.US,D,20240111,000000,20.15,20.1899,20.1,20.17,40634,0
THTA.US,D,20240112,000000,20.19,20.19,20.125,20.1852,10500,0
THTA.US,D,20240116,000000,20.19,20.2,20.16,20.1789,3358,0
THTA.US,D,20240117,000000,20.002,20.05,19.9849,20.033,13506,0
THTA.US,D,20240118,000000,20.0299,20.07,20.0001,20.03,17354,0
THTA.US,D,20240119,000000,20.0484,20.0484,19.88,19.9121,12145,0
THTA.US,D,20240122,000000,19.9,19.93,19.805,19.9105,7566,0
THTA.US,D,20240123,000000,19.95,20,19.95,19.97,11994,0
THTA.US,D,20240124,000000,19.83,19.945,19.732,19.945,33929,0
THTA.US,D,20240125,000000,19.91,19.9599,19.83,19.8799,27151,0
THTA.US,D,20240126,000000,19.93,19.95,19.85,19.912,4172,0
THTA.US,D,20240129,000000,19.97,19.97,19.8204,19.8204,10355,0
THTA.US,D,20240130,000000,19.85,19.88,19.84,19.8584,4084,0
THTA.US,D,20240131,000000,19.9,20.0489,19.9,20.0489,13410,0
THTA.US,D,20240201,000000,20.04,20.1172,20.04,20.09,9855,0
THTA.US,D,20240202,000000,20.07,20.07,19.93,19.9722,9607,0
THTA.US,D,20240205,000000,20.0101,20.1114,20.0101,20.1078,2788,0
THTA.US,D,20240206,000000,20.13,20.13,20.1001,20.1076,2742,0
THTA.US,D,20240207,000000,20.1109,20.1109,20.0517,20.1,1705,0
THTA.US,D,20240208,000000,20.15,20.16,20.0815,20.14,11832,0
THTA.US,D,20240209,000000,20.17,20.17,20.14,20.14,10091,0
THTA.US,D,20240212,000000,20.15,20.18,20.1192,20.145,11887,0
THTA.US,D,20240213,000000,20.16,20.2092,20.11,20.12,9066,0
THTA.US,D,20240214,000000,20.13,20.17,20.1,20.1133,3952,0
THTA.US,D,20240215,000000,19.945,19.99,19.9266,19.94,7146,0
THTA.US,D,20240216,000000,19.97,20,19.93,19.95,8166,0
THTA.US,D,20240220,000000,19.98,20.0186,19.9599,19.99,7510,0
THTA.US,D,20240221,000000,19.99,19.9949,19.9556,19.985,18903,0
THTA.US,D,20240222,000000,20.05,20.05,20.0001,20.0204,11812,0
THTA.US,D,20240223,000000,20.08,20.08,20.0401,20.055,15356,0
THTA.US,D,20240226,000000,20.07,20.12,20.0201,20.06,24478,0
THTA.US,D,20240227,000000,20.08,20.1107,20.04,20.078,33041,0
THTA.US,D,20240228,000000,20.1,20.1099,20.0673,20.0985,6655,0
THTA.US,D,20240229,000000,20.12,20.13,20.0601,20.09,7245,0
THTA.US,D,20240301,000000,20.13,20.13,20.0722,20.1039,8039,0
THTA.US,D,20240304,000000,20.12,20.15,20.0824,20.13,3542,0
THTA.US,D,20240305,000000,20.0701,20.13,20.0701,20.11,3021,0
THTA.US,D,20240306,000000,20.08,20.17,20.08,20.11,14994,0
THTA.US,D,20240307,000000,20.2,20.2,20.1011,20.13,14688,0
THTA.US,D,20240308,000000,20.0981,20.135,20.0981,20.135,1206,0
THTA.US,D,20240311,000000,20.09,20.1694,20.09,20.13,13437,0
THTA.US,D,20240312,000000,20.2055,20.23,20.1501,20.2101,6845,0
THTA.US,D,20240313,000000,20.22,20.24,20.1601,20.23,7403,0
THTA.US,D,20240314,000000,20.24,20.24,20.185,20.1901,7818,0
THTA.US,D,20240315,000000,20.1986,20.1986,20.1301,20.16,6638,0
THTA.US,D,20240318,000000,20.15,20.24,20.14,20.2176,15818,0
THTA.US,D,20240319,000000,20.18,20.2499,20.17,20.2224,12510,0
THTA.US,D,20240320,000000,20.26,20.26,20.19,20.23,9100,0
THTA.US,D,20240321,000000,20.23,20.29,20.23,20.28,7525,0
THTA.US,D,20240322,000000,20.28,20.3199,20.2214,20.3075,5999,0
THTA.US,D,20240325,000000,20.31,20.3533,20.31,20.325,11563,0
THTA.US,D,20240326,000000,20.35,20.36,20.2801,20.328,14543,0
THTA.US,D,20240327,000000,20.34,20.36,20.31,20.35,14239,0
THTA.US,D,20240328,000000,20.12,20.1599,20.0997,20.15,26368,0
THTA.US,D,20240401,000000,20.24,20.24,20.15,20.17,27749,0
THTA.US,D,20240402,000000,20.18,20.18,20.135,20.168,9483,0
THTA.US,D,20240403,000000,20.2,20.2,20.1601,20.17,18510,0
THTA.US,D,20240404,000000,20.18,20.1999,20.1551,20.1551,12658,0
THTA.US,D,20240405,000000,20.168,20.19,20.14,20.176,34192,0
THTA.US,D,20240408,000000,20.17,20.22,20.17,20.21,6350,0
THTA.US,D,20240409,000000,20.16,20.2099,20.1501,20.1998,32767,0
THTA.US,D,20240410,000000,20.16,20.2093,20.16,20.1948,8827,0
THTA.US,D,20240411,000000,20.2221,20.2221,20.18,20.2,28273,0
THTA.US,D,20240412,000000,20.2,20.2245,20.15,20.1815,16389,0
THTA.US,D,20240415,000000,20.23,20.2342,20.1601,20.215,16167,0
THTA.US,D,20240416,000000,20.06,20.06,19.81,19.86,135540,0
THTA.US,D,20240417,000000,19.944,19.95,19.77,19.8495,19856,0
THTA.US,D,20240418,000000,19.82,19.93,19.82,19.86,13050,0
THTA.US,D,20240419,000000,19.83,19.87,19.6601,19.6601,31225,0
THTA.US,D,20240422,000000,19.83,20.0499,19.83,20.03,22117,0
THTA.US,D,20240423,000000,20.09,20.1399,20.04,20.1,9559,0
THTA.US,D,20240424,000000,20.14,20.16,20.0701,20.125,17702,0
THTA.US,D,20240425,000000,20.08,20.1399,20.0016,20.11,18184,0
THTA.US,D,20240426,000000,20.16,20.17,20.12,20.145,6193,0
THTA.US,D,20240429,000000,20.21,20.21,20.15,20.175,20524,0
THTA.US,D,20240430,000000,20.2,20.23,20.151,20.19,46063,0
THTA.US,D,20240501,000000,20.1513,20.22,20.1513,20.1752,25402,0
THTA.US,D,20240502,000000,20.209,20.21,20.2,20.2003,15042,0
THTA.US,D,20240503,000000,20.22,20.42,20.1801,20.2478,20751,0
THTA.US,D,20240506,000000,20.22,20.26,20.2115,20.2551,25109,0
THTA.US,D,20240507,000000,20.31,20.31,20.24,20.2518,18558,0
