<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TAFL.US,D,20231218,000000,25.48,25.54,25.48,25.54,6000,0
TAFL.US,D,20231219,000000,25.55,25.5704,25.545,25.545,1091,0
TAFL.US,D,20231221,000000,25.6091,25.6091,25.6091,25.6091,1,0
TAFL.US,D,20231222,000000,25.625,25.625,25.625,25.625,1,0
TAFL.US,D,20231226,000000,25.67,25.67,25.655,25.655,100,0
TAFL.US,D,20231227,000000,25.7383,25.7383,25.7383,25.7383,1,0
TAFL.US,D,20231228,000000,25.635,25.635,25.635,25.635,1,0
TAFL.US,D,20231229,000000,25.6377,25.6377,25.6377,25.6377,1,0
TAFL.US,D,20240102,000000,25.5855,25.5855,25.5855,25.5855,1,0
TAFL.US,D,20240103,000000,25.6067,25.6067,25.6067,25.6067,1,0
TAFL.US,D,20240104,000000,25.56,25.58,25.56,25.58,200,0
TAFL.US,D,20240105,000000,25.5298,25.5298,25.5298,25.5298,1,0
TAFL.US,D,20240108,000000,25.5901,25.5901,25.5901,25.5901,1,0
TAFL.US,D,20240109,000000,25.5833,25.5833,25.5833,25.5833,2,0
TAFL.US,D,20240110,000000,25.555,25.555,25.555,25.555,1,0
TAFL.US,D,20240111,000000,25.63,25.63,25.63,25.63,1,0
TAFL.US,D,20240112,000000,25.6214,25.6214,25.6214,25.6214,1,0
TAFL.US,D,20240116,000000,25.6,25.61,25.585,25.585,6600,0
TAFL.US,D,20240117,000000,25.53,25.53,25.4719,25.4719,1500,0
TAFL.US,D,20240118,000000,25.38,25.405,25.38,25.405,4000,0
TAFL.US,D,20240119,000000,25.33,25.34,25.2943,25.2943,28001,0
TAFL.US,D,20240122,000000,25.38,25.38,25.3716,25.3716,300,0
TAFL.US,D,20240123,000000,25.315,25.315,25.315,25.315,1,0
TAFL.US,D,20240124,000000,25.265,25.265,25.265,25.265,1,0
TAFL.US,D,20240125,000000,25.36,25.36,25.36,25.36,1,0
TAFL.US,D,20240126,000000,25.33,25.33,25.33,25.33,1,0
TAFL.US,D,20240129,000000,25.49,25.49,25.49,25.49,1,0
TAFL.US,D,20240130,000000,25.5225,25.5225,25.5225,25.5225,1,0
TAFL.US,D,20240131,000000,25.6604,25.6604,25.6604,25.6604,1,0
TAFL.US,D,20240201,000000,25.7252,25.7252,25.7252,25.7252,1,0
TAFL.US,D,20240202,000000,25.5647,25.5647,25.5647,25.5647,2,0
TAFL.US,D,20240205,000000,25.4167,25.4167,25.4167,25.4167,1,0
TAFL.US,D,20240206,000000,25.45,25.45,25.45,25.45,1,0
TAFL.US,D,20240207,000000,25.4606,25.4606,25.4606,25.4606,1,0
TAFL.US,D,20240208,000000,25.456,25.456,25.456,25.456,91,0
