<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SUPP.US,D,20230216,000000,50.27,50.5111,50.1187,50.1187,3296,0
SUPP.US,D,20230217,000000,50.3,50.3003,50.171,50.3003,1434,0
SUPP.US,D,20230221,000000,50.61,50.61,49.1,49.1,2502,0
SUPP.US,D,20230222,000000,48.97,49.09,48.6664,48.7733,712,0
SUPP.US,D,20230223,000000,49.18,49.2,49.18,49.2,1552,0
SUPP.US,D,20230224,000000,48.5271,48.7003,48.5271,48.7003,241,0
SUPP.US,D,20230227,000000,49.1353,49.1353,49.1353,49.1353,25,0
SUPP.US,D,20230228,000000,49.41,49.41,49.1968,49.1968,222,0
SUPP.US,D,20230301,000000,49.69,49.69,49.46,49.53,936,0
SUPP.US,D,20230302,000000,49.87,50.0119,49.87,50.0119,324,0
SUPP.US,D,20230303,000000,50.7343,50.7343,50.7343,50.7343,10,0
SUPP.US,D,20230306,000000,51,51,50.6169,50.6169,1209,0
SUPP.US,D,20230307,000000,50,50,49.8835,49.8835,242,0
SUPP.US,D,20230308,000000,50,50.2768,50,50.2768,506,0
SUPP.US,D,20230309,000000,49.5,49.5,49.1831,49.1831,121,0
SUPP.US,D,20230310,000000,48,48,47.8085,47.8085,517,0
SUPP.US,D,20230313,000000,48,48,47.3034,47.3034,21,0
SUPP.US,D,20230314,000000,47.9148,47.9148,47.9148,47.9148,89,0
SUPP.US,D,20230315,000000,46.5,46.6254,46.5,46.6254,180,0
SUPP.US,D,20230316,000000,47.3893,47.3893,47.3893,47.3893,2,0
SUPP.US,D,20230317,000000,46.41,46.42,46.41,46.42,352,0
SUPP.US,D,20230320,000000,46.8499,46.8499,46.8499,46.8499,10,0
SUPP.US,D,20230321,000000,47.6648,47.6648,47.6648,47.6648,10,0
SUPP.US,D,20230322,000000,47.85,47.85,46.9427,46.9427,421,0
SUPP.US,D,20230323,000000,46.8553,46.8553,46.8553,46.8553,10,0
SUPP.US,D,20230324,000000,46.6581,46.6581,46.6581,46.6581,11,0
SUPP.US,D,20230327,000000,46.8726,46.8726,46.8726,46.8726,4,0
SUPP.US,D,20230328,000000,47.1052,47.1052,47.1052,47.1052,4,0
SUPP.US,D,20230329,000000,47.8252,47.8252,47.8252,47.8252,50,0
SUPP.US,D,20230330,000000,48.19,48.2505,48.19,48.2505,210,0
SUPP.US,D,20230331,000000,48.56,48.7543,48.38,48.7543,7607,0
SUPP.US,D,20230403,000000,48.5992,48.5992,48.5992,48.5992,1,0
SUPP.US,D,20230404,000000,47.3891,47.3891,47.3891,47.3891,31,0
SUPP.US,D,20230405,000000,46.463,46.463,46.463,46.463,5,0
SUPP.US,D,20230406,000000,46.5606,46.5606,46.5606,46.5606,53,0
SUPP.US,D,20230410,000000,46.9487,46.9487,46.9487,46.9487,221,0
SUPP.US,D,20230411,000000,47.2138,47.2138,47.2138,47.2138,174,0
SUPP.US,D,20230412,000000,47.3209,47.3209,47.3209,47.3209,50,0
SUPP.US,D,20230413,000000,47.6678,47.6678,47.6678,47.6678,50,0
SUPP.US,D,20230414,000000,47.58,47.6175,47.55,47.6175,201,0
SUPP.US,D,20230417,000000,47.943,47.943,47.943,47.943,62,0
SUPP.US,D,20230418,000000,48.1187,48.1187,48.1187,48.1187,50,0
SUPP.US,D,20230419,000000,47.8899,48.07,47.8899,48.07,1826,0
SUPP.US,D,20230420,000000,48.4299,48.4299,48.1,48.214,320,0
SUPP.US,D,20230421,000000,48.05,48.05,48.0315,48.0315,173,0
SUPP.US,D,20230424,000000,47.99,48.1127,47.9892,48.1127,1392,0
SUPP.US,D,20230425,000000,47.65,47.65,47.39,47.39,205,0
SUPP.US,D,20230426,000000,46.7698,46.7698,46.7698,46.7698,50,0
SUPP.US,D,20230427,000000,47.4684,47.4684,47.4684,47.4684,50,0
SUPP.US,D,20230428,000000,48.1127,48.1127,48.1127,48.1127,22,0
SUPP.US,D,20230501,000000,48.11,48.39,48.11,48.3702,400,0
SUPP.US,D,20230502,000000,48.078,48.078,48.078,48.078,50,0
SUPP.US,D,20230503,000000,47.8738,47.8738,47.8738,47.8738,50,0
SUPP.US,D,20230504,000000,47.6736,47.6736,47.6736,47.6736,5,0
SUPP.US,D,20230505,000000,48.662,48.662,48.662,48.662,2,0
SUPP.US,D,20230508,000000,48.7157,48.7157,48.7157,48.7157,50,0
SUPP.US,D,20230509,000000,48.7509,48.7509,48.7509,48.7509,6,0
SUPP.US,D,20230510,000000,48.7625,48.7625,48.7625,48.7625,6,0
SUPP.US,D,20230511,000000,48.5493,48.5493,48.5493,48.5493,6,0
SUPP.US,D,20230512,000000,48.83,48.83,48.83,48.83,6,0
SUPP.US,D,20230515,000000,49.2432,49.2432,49.2432,49.2432,6,0
SUPP.US,D,20230516,000000,48.8,48.8,48.8,48.8,104,0
SUPP.US,D,20230517,000000,49.33,49.3812,49.33,49.3812,100,0
SUPP.US,D,20230518,000000,49.9338,49.9338,49.9338,49.9338,50,0
SUPP.US,D,20230519,000000,50.01,50.09,49.77,49.77,80270,0
SUPP.US,D,20230522,000000,49.53,49.53,49.4634,49.4634,869,0
SUPP.US,D,20230523,000000,48.82,48.85,48.82,48.85,211,0
SUPP.US,D,20230524,000000,48.1663,48.1663,48.1663,48.1663,50,0
SUPP.US,D,20230525,000000,49.0558,49.0558,49.0558,49.0558,50,0
SUPP.US,D,20230526,000000,49.7472,49.7472,49.7472,49.7472,42,0
SUPP.US,D,20230530,000000,49.5899,49.6702,49.5899,49.6702,228,0
SUPP.US,D,20230531,000000,48.8017,48.8017,48.8017,48.8017,2,0
SUPP.US,D,20230601,000000,49.3509,49.3509,49.3509,49.3509,2,0
SUPP.US,D,20230602,000000,50.4739,50.4739,50.4739,50.4739,1,0
SUPP.US,D,20230605,000000,50.22,50.22,50.22,50.22,110,0
SUPP.US,D,20230606,000000,50.34,50.3637,50.33,50.35,2001,0
SUPP.US,D,20230607,000000,50.68,50.68,50.68,50.68,102,0
SUPP.US,D,20230608,000000,50.7322,50.7322,50.7322,50.7322,1,0
SUPP.US,D,20230609,000000,50.7499,50.75,50.7345,50.7345,214,0
SUPP.US,D,20230612,000000,51.27,51.27,51.2524,51.2524,710,0
SUPP.US,D,20230613,000000,51.7088,51.7088,51.7088,51.7088,22,0
SUPP.US,D,20230614,000000,51.7877,51.8834,51.7877,51.8834,138,0
SUPP.US,D,20230615,000000,52.0097,52.2861,52.0097,52.2861,2393,0
SUPP.US,D,20230616,000000,52.05,52.05,52.05,52.05,206,0
SUPP.US,D,20230620,000000,51.7019,51.9071,51.7019,51.9071,568,0
SUPP.US,D,20230621,000000,52.17,52.17,52.0315,52.0315,534,0
SUPP.US,D,20230622,000000,52.19,52.19,52.0699,52.073,703,0
SUPP.US,D,20230623,000000,51.7399,51.7399,51.6982,51.6982,269,0
SUPP.US,D,20230626,000000,52.23,52.23,51.9054,51.9054,1233,0
SUPP.US,D,20230627,000000,52.15,52.85,52.15,52.8427,1258,0
SUPP.US,D,20230628,000000,52.6,52.67,52.5,52.616,413,0
SUPP.US,D,20230629,000000,52.72,52.8,52.72,52.7918,3807,0
SUPP.US,D,20230630,000000,53.42,53.42,53.38,53.38,636,0
SUPP.US,D,20230703,000000,53.41,53.41,53.3072,53.3072,152,0
SUPP.US,D,20230705,000000,53,53,52.7553,52.7553,1025,0
SUPP.US,D,20230706,000000,52.06,52.06,52.0362,52.0576,1380,0
SUPP.US,D,20230707,000000,52.53,52.53,52.2236,52.2236,317,0
SUPP.US,D,20230710,000000,52.7129,52.7129,52.7129,52.7129,3,0
SUPP.US,D,20230711,000000,52.9,53.0989,52.9,53.0989,600,0
SUPP.US,D,20230712,000000,53.3484,53.3484,53.3484,53.3484,64,0
SUPP.US,D,20230713,000000,53.82,53.82,53.7687,53.7687,713,0
SUPP.US,D,20230714,000000,53.4798,53.4798,53.4798,53.4798,151,0
SUPP.US,D,20230717,000000,53.49,53.86,53.35,53.7799,1713,0
SUPP.US,D,20230718,000000,53.7499,53.97,53.705,53.97,1627,0
SUPP.US,D,20230719,000000,54.02,54.02,53.74,53.7562,965,0
SUPP.US,D,20230720,000000,53.75,53.76,53.68,53.76,790,0
SUPP.US,D,20230721,000000,53.5426,53.5426,53.5426,53.5426,30,0
SUPP.US,D,20230724,000000,53.73,53.73,53.5899,53.655,1819,0
SUPP.US,D,20230725,000000,53.97,53.97,53.9199,53.9199,294,0
SUPP.US,D,20230726,000000,53.49,53.89,53.49,53.6434,812,0
SUPP.US,D,20230727,000000,54.17,54.17,53.64,53.6672,3713,0
SUPP.US,D,20230728,000000,54.1488,54.1488,54.1488,54.1488,21,0
SUPP.US,D,20230731,000000,54.05,54.1,54.05,54.0947,2239,0
SUPP.US,D,20230801,000000,54.2,54.2,54.1774,54.1774,521,0
SUPP.US,D,20230802,000000,53.51,53.51,53.51,53.51,192,0
SUPP.US,D,20230803,000000,52.85,52.85,52.78,52.78,843,0
SUPP.US,D,20230804,000000,52.75,52.75,52.7063,52.7063,413,0
SUPP.US,D,20230807,000000,53.25,53.3271,53.25,53.3271,191,0
SUPP.US,D,20230808,000000,52.8011,52.8011,52.8011,52.8011,101,0
SUPP.US,D,20230809,000000,52.6399,52.6399,52.3834,52.3834,267,0
SUPP.US,D,20230810,000000,52,52.2561,52,52.2561,336,0
SUPP.US,D,20230811,000000,51.97,51.97,51.8849,51.8849,227,0
SUPP.US,D,20230814,000000,52.4551,52.4551,52.4551,52.4551,77,0
SUPP.US,D,20230815,000000,51.74,51.75,51.74,51.74,809,0
SUPP.US,D,20230816,000000,51.3607,51.3607,51.3607,51.3607,2,0
SUPP.US,D,20230817,000000,51.43,51.43,50.56,50.56,856,0
SUPP.US,D,20230818,000000,50.612,50.612,50.612,50.612,5,0
SUPP.US,D,20230821,000000,50.9302,50.9302,50.9302,50.9302,219,0
SUPP.US,D,20230822,000000,50.89,50.89,50.7923,50.7923,152,0
SUPP.US,D,20230823,000000,51.398,51.398,51.398,51.398,20,0
SUPP.US,D,20230824,000000,51.03,51.03,50.78,50.78,592,0
SUPP.US,D,20230825,000000,51.02,51.02,50.8881,50.8881,717,0
SUPP.US,D,20230828,000000,51.2806,51.2806,51.2806,51.2806,7,0
SUPP.US,D,20230829,000000,52.07,52.07,52.0434,52.0434,1850,0
SUPP.US,D,20230830,000000,52.02,52.24,52.02,52.24,745,0
SUPP.US,D,20230831,000000,52.2303,52.2303,52.23,52.23,206,0
SUPP.US,D,20230901,000000,52.69,52.69,52.69,52.69,112,0
SUPP.US,D,20230905,000000,51.98,51.98,51.8845,51.8845,713,0
SUPP.US,D,20230906,000000,51.84,51.85,51.63,51.63,1701,0
SUPP.US,D,20230907,000000,51.14,51.23,51.14,51.23,762,0
SUPP.US,D,20230908,000000,51.02,51.07,51.02,51.07,311,0
SUPP.US,D,20230911,000000,51.24,51.24,51.2307,51.2307,134,0
SUPP.US,D,20230912,000000,51.375,51.39,51.1928,51.1928,1184,0
SUPP.US,D,20230913,000000,50.9948,50.9948,50.9948,50.9948,26,0
SUPP.US,D,20230914,000000,51.42,51.42,51.4143,51.4143,222,0
SUPP.US,D,20230915,000000,51.21,51.21,50.7173,50.7173,1087,0
SUPP.US,D,20230918,000000,50.7148,50.7148,50.7148,50.7148,214,0
SUPP.US,D,20230919,000000,50.59,50.59,50.3203,50.3203,778,0
SUPP.US,D,20230920,000000,50.33,50.33,50.0911,50.0911,763,0
SUPP.US,D,20230921,000000,49.0743,49.0743,49.0743,49.0743,28,0
SUPP.US,D,20230922,000000,49.39,49.39,49.1873,49.1873,232,0
SUPP.US,D,20230925,000000,49.4807,49.4807,49.4807,49.4807,54,0
