<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VMAX.US,D,20231207,000000,39.725,39.7675,39.725,39.7675,374,0
VMAX.US,D,20231208,000000,39.91,40.0005,39.91,40.0005,103,0
VMAX.US,D,20231211,000000,40.33,40.3398,40.33,40.3398,104,0
VMAX.US,D,20231212,000000,40.3101,40.3101,40.3101,40.3101,2,0
VMAX.US,D,20231213,000000,40.34,41.1223,40.34,41.1223,100,0
VMAX.US,D,20231214,000000,42.1,42.1,41.9594,41.9594,272,0
VMAX.US,D,20231215,000000,41.6315,41.7213,41.6315,41.7213,636,0
VMAX.US,D,20231218,000000,41.7787,41.7787,41.7787,41.7787,7,0
VMAX.US,D,20231219,000000,42.2219,42.2219,42.2219,42.2219,2,0
VMAX.US,D,20231220,000000,41.6567,41.6567,41.6567,41.6567,3,0
VMAX.US,D,20231221,000000,41.8,41.9699,41.77,41.9699,310,0
VMAX.US,D,20231222,000000,42.1297,42.1297,42.1297,42.1297,2,0
VMAX.US,D,20231226,000000,42.4225,42.4225,42.4225,42.4225,10,0
VMAX.US,D,20231227,000000,42.4003,42.4003,42.4003,42.4003,10,0
VMAX.US,D,20231228,000000,42.4113,42.4113,42.4113,42.4113,10,0
VMAX.US,D,20231229,000000,42.2643,42.2643,42.2643,42.2643,12,0
VMAX.US,D,20240102,000000,42.3813,42.3813,42.3813,42.3813,5,0
VMAX.US,D,20240103,000000,42.1424,42.1424,42.1424,42.1424,24,0
VMAX.US,D,20240104,000000,41.9876,41.9876,41.9876,41.9876,10,0
VMAX.US,D,20240105,000000,42.1867,42.1867,42.1867,42.1867,40,0
VMAX.US,D,20240108,000000,42.5719,42.5719,42.5719,42.5719,29,0
VMAX.US,D,20240109,000000,42.2239,42.2239,42.2239,42.2239,4,0
VMAX.US,D,20240110,000000,42.2328,42.2328,42.2328,42.2328,4,0
VMAX.US,D,20240111,000000,42.1411,42.1411,42.1411,42.1411,4,0
VMAX.US,D,20240112,000000,42.1489,42.1489,42.1489,42.1489,25,0
VMAX.US,D,20240116,000000,41.7864,41.7864,41.7864,41.7864,7,0
VMAX.US,D,20240117,000000,41.4957,41.4957,41.4957,41.4957,101,0
VMAX.US,D,20240118,000000,41.5967,41.5967,41.5967,41.5967,50,0
VMAX.US,D,20240119,000000,42.1272,42.1272,42.1272,42.1272,25,0
VMAX.US,D,20240122,000000,42.42,42.42,42.42,42.42,2517,0
