<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPDG.US,D,20230913,000000,30.05,30.07,29.9405,29.9902,12680,0
SPDG.US,D,20230914,000000,30.22,30.37,30.18,30.3269,5437,0
SPDG.US,D,20230915,000000,30.27,30.27,29.9749,29.9749,7067,0
SPDG.US,D,20230918,000000,29.97,29.97,29.9612,29.9612,910,0
SPDG.US,D,20230919,000000,29.94,29.94,29.84,29.911,1752,0
SPDG.US,D,20230920,000000,30.015,30.12,29.8099,29.8099,4310,0
SPDG.US,D,20230921,000000,29.56,29.57,29.3678,29.3678,4522,0
SPDG.US,D,20230922,000000,29.46,29.465,29.3533,29.3533,2970,0
SPDG.US,D,20230925,000000,29.28,29.3937,29.28,29.3937,409,0
SPDG.US,D,20230926,000000,29.16,29.2,29.0068,29.0068,1847,0
SPDG.US,D,20230927,000000,28.97,28.9897,28.97,28.9897,412,0
SPDG.US,D,20230928,000000,29.16,29.16,29.144,29.144,328,0
SPDG.US,D,20230929,000000,29.0279,29.0279,29.0279,29.0279,121,0
SPDG.US,D,20231002,000000,28.8296,28.8296,28.8296,28.8296,119,0
SPDG.US,D,20231003,000000,28.6,28.6,28.4979,28.4979,788,0
SPDG.US,D,20231004,000000,28.5997,28.5997,28.5997,28.5997,67,0
SPDG.US,D,20231005,000000,28.4996,28.4996,28.4996,28.4996,61,0
SPDG.US,D,20231006,000000,28.39,28.7187,28.39,28.7187,782,0
SPDG.US,D,20231009,000000,28.94,28.945,28.94,28.945,112,0
SPDG.US,D,20231010,000000,29.21,29.21,29.1351,29.1351,775,0
SPDG.US,D,20231011,000000,29,29.1502,29,29.1502,321,0
SPDG.US,D,20231012,000000,28.9653,28.9653,28.9653,28.9653,54,0
SPDG.US,D,20231013,000000,29.06,29.06,28.846,28.846,252,0
SPDG.US,D,20231016,000000,29.2127,29.22,29.2127,29.214,555,0
SPDG.US,D,20231017,000000,29.08,29.2335,29.08,29.2335,938,0
SPDG.US,D,20231018,000000,28.98,28.99,28.936,28.936,535,0
SPDG.US,D,20231019,000000,28.82,28.82,28.65,28.6721,396,0
SPDG.US,D,20231020,000000,28.4016,28.4016,28.4016,28.4016,121,0
SPDG.US,D,20231023,000000,28.43,28.43,28.171,28.171,305,0
SPDG.US,D,20231024,000000,28.4999,28.5,28.4638,28.4638,1162,0
SPDG.US,D,20231025,000000,28.1408,28.1408,28.1408,28.1408,67,0
SPDG.US,D,20231026,000000,28.0022,28.0022,28.0022,28.0022,50,0
SPDG.US,D,20231027,000000,27.9163,27.9163,27.6694,27.6694,658,0
SPDG.US,D,20231030,000000,27.93,28.04,27.7993,27.9882,619,0
SPDG.US,D,20231031,000000,28.15,28.192,28.15,28.192,608,0
SPDG.US,D,20231101,000000,28.32,28.3516,28.29,28.3516,861,0
SPDG.US,D,20231102,000000,28.92,29.0221,28.92,29.0221,267,0
SPDG.US,D,20231103,000000,29.38,29.3837,29.3263,29.3263,548,0
SPDG.US,D,20231106,000000,29.198,29.22,29.198,29.2094,517,0
SPDG.US,D,20231107,000000,29.145,29.19,29.143,29.143,3747,0
SPDG.US,D,20231108,000000,29.1436,29.1436,29.1436,29.1436,83,0
SPDG.US,D,20231109,000000,29.08,29.104,28.8254,28.8254,761,0
SPDG.US,D,20231110,000000,29.18,29.2561,29.18,29.2561,2016,0
SPDG.US,D,20231113,000000,29.1614,29.1614,29.1614,29.1614,8,0
SPDG.US,D,20231114,000000,29.77,29.93,29.77,29.8367,728,0
SPDG.US,D,20231115,000000,30.045,30.07,30.045,30.0633,777,0
SPDG.US,D,20231116,000000,29.91,29.92,29.79,29.916,1496,0
SPDG.US,D,20231117,000000,30.08,30.0995,30.0617,30.0734,1973,0
SPDG.US,D,20231120,000000,30.1,30.2089,30.1,30.2089,1994,0
SPDG.US,D,20231121,000000,30.0781,30.0781,30.0781,30.0781,126,0
SPDG.US,D,20231122,000000,30.17,30.19,30.17,30.1731,672,0
SPDG.US,D,20231124,000000,30.2606,30.2606,30.2606,30.2606,31,0
SPDG.US,D,20231127,000000,30.1799,30.1799,30.1222,30.1222,268,0
SPDG.US,D,20231128,000000,30.05,30.09,30.05,30.09,143,0
SPDG.US,D,20231129,000000,30.32,30.32,30.1842,30.1842,511,0
SPDG.US,D,20231130,000000,30.27,30.3976,30.27,30.3976,515,0
SPDG.US,D,20231201,000000,30.475,30.7354,30.475,30.7354,952,0
SPDG.US,D,20231204,000000,30.8035,30.8035,30.8035,30.8035,28,0
SPDG.US,D,20231205,000000,30.584,30.62,30.56,30.5854,909,0
SPDG.US,D,20231206,000000,30.78,30.78,30.5563,30.5563,1001,0
SPDG.US,D,20231207,000000,30.733,30.733,30.733,30.733,118,0
SPDG.US,D,20231208,000000,30.8598,30.8598,30.8598,30.8598,64,0
SPDG.US,D,20231211,000000,31.04,31.25,31.04,31.2459,120460,0
