<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NIPG.US,D,20240726,000000,13.11,13.1199,8.04,9.02,1072700,0
NIPG.US,D,20240729,000000,10.09,16.75,10,16.5,7038493,0
NIPG.US,D,20240730,000000,15.55,17.76,10.78,12.3,2529344,0
NIPG.US,D,20240731,000000,11.19,11.74,10.5103,10.81,937559,0
NIPG.US,D,20240801,000000,11.6,11.95,10.59,10.9,631156,0
NIPG.US,D,20240802,000000,10.8,10.8,8.6,9.1,725110,0
NIPG.US,D,20240805,000000,7.32,10.27,7.0601,9.24,685345,0
NIPG.US,D,20240806,000000,9.2,9.6,8.67,9.15,381675,0
NIPG.US,D,20240807,000000,9.06,9.36,7.73,8.15,326805,0
NIPG.US,D,20240808,000000,8.25,8.45,7.98,8.09,153350,0
NIPG.US,D,20240809,000000,8.28,8.45,7.95,8.24,160680,0
NIPG.US,D,20240812,000000,8.11,8.43,7.8008,8.08,197644,0
NIPG.US,D,20240813,000000,8.07,8.07,7.3,7.45,259533,0
NIPG.US,D,20240814,000000,7.43,7.53,6.6,6.73,516414,0
NIPG.US,D,20240815,000000,6.95,7.64,6.95,7.52,266934,0
NIPG.US,D,20240816,000000,7.6,8.77,7.5,8.59,406181,0
NIPG.US,D,20240819,000000,8.48,9.09,8.09,8.38,282832,0
NIPG.US,D,20240820,000000,8.38,8.71,7.94,8.62,223893,0
NIPG.US,D,20240821,000000,8.55,8.71,8.18,8.43,159772,0
NIPG.US,D,20240822,000000,8.5333,8.5333,8.0001,8.26,99884,0
NIPG.US,D,20240823,000000,8.19,8.44,7.94,8.1,52712,0
NIPG.US,D,20240826,000000,8.31,8.31,7.75,7.955,129233,0
NIPG.US,D,20240827,000000,7.95,7.99,7.65,7.8,94483,0
NIPG.US,D,20240828,000000,7.9,8,7.55,7.8,206546,0
NIPG.US,D,20240829,000000,7.96,8.1,7.67,7.76,137522,0
NIPG.US,D,20240830,000000,7.85,7.99,7.58,7.98,78761,0
NIPG.US,D,20240903,000000,8,8.04,7.65,7.75,71011,0
NIPG.US,D,20240904,000000,7.65,7.89,7,7.05,234395,0
NIPG.US,D,20240905,000000,7.19,7.6,6.88,7.13,227365,0
NIPG.US,D,20240906,000000,7.12,7.18,6.71,6.99,166134,0
NIPG.US,D,20240909,000000,6.96,7.5024,6.96,7.26,74942,0
NIPG.US,D,20240910,000000,7.01,7.28,6.93,7.17,31708,0
NIPG.US,D,20240911,000000,7.1488,7.47,7.08,7.39,20270,0
NIPG.US,D,20240912,000000,7.47,7.47,7.181,7.46,34059,0
NIPG.US,D,20240913,000000,7.35,7.392,7.121,7.17,30017,0
NIPG.US,D,20240916,000000,7.2,7.32,7.08,7.154,24892,0
NIPG.US,D,20240917,000000,7.24,7.3762,7.07,7.14,41054,0
NIPG.US,D,20240918,000000,7.06,7.32,7.06,7.21,25392,0
NIPG.US,D,20240919,000000,7.07,7.33,7.04,7.05,44436,0
NIPG.US,D,20240920,000000,7.3,7.3,7,7,28473,0
NIPG.US,D,20240923,000000,7.15,7.23,7.01,7.08,22731,0
NIPG.US,D,20240924,000000,7.3,7.3,7.07,7.15,69740,0
NIPG.US,D,20240925,000000,7.17,7.19,7.05,7.05,38758,0
NIPG.US,D,20240926,000000,7.12,7.25,7.04,7.2,126985,0
NIPG.US,D,20240927,000000,7.11,7.29,7.03,7.06,88012,0
NIPG.US,D,20240930,000000,7.17,8.28,7.15,7.8,271577,0
NIPG.US,D,20241001,000000,7.71,8.4,7.5245,7.909,136454,0
NIPG.US,D,20241002,000000,7.85,7.9,7.335,7.5,100664,0
NIPG.US,D,20241003,000000,7.45,7.55,7.23,7.23,66556,0
NIPG.US,D,20241004,000000,7.49,7.5728,7.24,7.25,32872,0
NIPG.US,D,20241007,000000,7.26,7.43,7.08,7.1,115655,0
NIPG.US,D,20241008,000000,7.06,7.27,7.06,7.14,75778,0
NIPG.US,D,20241009,000000,7.16,7.33,7.14,7.17,34650,0
NIPG.US,D,20241010,000000,7.2,7.3789,7.2,7.239,20010,0
NIPG.US,D,20241011,000000,7.23,7.415,7.19,7.24,18990,0
NIPG.US,D,20241014,000000,7.3,7.3056,7.16,7.2,16147,0
NIPG.US,D,20241015,000000,7.36,7.488,7.15,7.15,44672,0
NIPG.US,D,20241016,000000,7.15,7.3,7.08,7.29,36373,0
NIPG.US,D,20241017,000000,7.28,7.28,7.0601,7.12,77096,0
NIPG.US,D,20241018,000000,7.22,7.23,7.08,7.1,48755,0
NIPG.US,D,20241021,000000,7.2,7.2,7.03,7.05,65930,0
NIPG.US,D,20241022,000000,7.1,7.2049,7.04,7.04,27676,0
NIPG.US,D,20241023,000000,7.04,7.1325,7.04,7.05,29135,0
NIPG.US,D,20241024,000000,7.11,7.18,7.04,7.09,62984,0
NIPG.US,D,20241025,000000,7.09,7.2,7.02,7.08,61746,0
NIPG.US,D,20241028,000000,7.1,7.29,7.05,7.172,77081,0
NIPG.US,D,20241029,000000,7.15,7.3,7.03,7.06,99593,0
NIPG.US,D,20241030,000000,7.01,7.16,7.01,7.14,101153,0
NIPG.US,D,20241031,000000,7.05,7.1499,7.02,7.03,29012,0
NIPG.US,D,20241101,000000,7.01,7.145,7.01,7.08,24827,0
NIPG.US,D,20241104,000000,7.02,7.08,7,7.02,27181,0
NIPG.US,D,20241105,000000,7.14,7.14,6.97,7,77459,0
NIPG.US,D,20241106,000000,6.91,7,6.8,6.82,53717,0
NIPG.US,D,20241107,000000,6.8,7.08,6.5,6.61,91160,0
NIPG.US,D,20241108,000000,6.61,6.95,6.41,6.5,81683,0
NIPG.US,D,20241111,000000,6.5,6.55,6.22,6.22,109694,0
NIPG.US,D,20241112,000000,6.18,6.242,6.0539,6.06,49213,0
NIPG.US,D,20241113,000000,6.12,6.305,5.4,5.5,135167,0
NIPG.US,D,20241114,000000,5.42,5.87,5.42,5.85,47709,0
NIPG.US,D,20241115,000000,5.9,5.97,5.63,5.86,101738,0
NIPG.US,D,20241118,000000,5.78,6.07,5.68,5.84,40343,0
NIPG.US,D,20241119,000000,5.71,5.8316,5.656,5.656,28903,0
NIPG.US,D,20241120,000000,5.7,5.89,5.66,5.78,72958,0
NIPG.US,D,20241121,000000,5.91,6.162,5.78,6.03,99645,0
NIPG.US,D,20241122,000000,5.96,6.4439,5.9,6.26,91691,0
NIPG.US,D,20241125,000000,6.39,7,6.39,6.6,93858,0
NIPG.US,D,20241126,000000,6.7,6.72,6.25,6.4,93408,0
NIPG.US,D,20241127,000000,6.4901,6.63,6.34,6.38,98377,0
NIPG.US,D,20241129,000000,6.46,6.6597,6.42,6.45,12572,0
NIPG.US,D,20241202,000000,6.48,6.615,6.45,6.45,110157,0
NIPG.US,D,20241203,000000,6.4609,6.77,6.46,6.68,92695,0
NIPG.US,D,20241204,000000,6.7,6.865,6.6501,6.7,79041,0
NIPG.US,D,20241205,000000,6.83,7.11,6.78,6.96,126911,0
