<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IMPP.US,D,20211207,000000,91.4954,107.695,63.2983,71.0964,20835.0417,0
IMPP.US,D,20211208,000000,67.4966,68.6966,46.9477,48.2976,19592.84626,0
IMPP.US,D,20211209,000000,48.1476,48.4281,39.013,40.648,11041.55205,0
IMPP.US,D,20211210,000000,41.2479,44.6978,37.4981,40.198,7193.693,0
IMPP.US,D,20211213,000000,39.748,39.8815,34.7983,38.3981,2982.01576,0
IMPP.US,D,20211214,000000,36.2982,37.4981,32.3984,34.6483,5013.18398,0
IMPP.US,D,20211215,000000,33.8983,34.1983,28.6906,31.1984,5296.9315,0
IMPP.US,D,20211216,000000,30.7485,33.7483,30.7485,32.2484,2734.47005,0
IMPP.US,D,20211217,000000,32.2499,35.9967,32.2484,33.9898,2007.03368,0
IMPP.US,D,20211220,000000,33.4483,33.7483,31.6484,33.1483,594.16304,0
IMPP.US,D,20211221,000000,34.0963,34.1308,30.6735,31.7984,2487.59104,0
IMPP.US,D,20211222,000000,30.5985,32.3984,30.5985,31.3259,1096.58816,0
IMPP.US,D,20211223,000000,30.7485,32.5484,30.7485,31.6484,910.11217,0
IMPP.US,D,20211227,000000,33.2983,33.2983,29.9985,30.2985,787.10602,0
IMPP.US,D,20211228,000000,33.8983,33.8983,30.8985,31.7984,715.83579,0
IMPP.US,D,20211229,000000,32.8484,32.8484,30.4485,30.8985,561.56141,0
IMPP.US,D,20211230,000000,30.2475,31.9904,30.2475,30.7485,584.76257,0
IMPP.US,D,20211231,000000,31.0484,34.0468,28.6486,32.0984,2182.1091,0
IMPP.US,D,20220103,000000,30.7485,43.1978,30.2025,38.9981,37918.09581,0
IMPP.US,D,20220104,000000,37.4981,40.9705,34.3783,34.4983,5892.9613,0
IMPP.US,D,20220105,000000,38.5436,38.5436,30.2985,31.0484,3009.75048,0
IMPP.US,D,20220106,000000,32.2484,34.4983,30.7485,32.3984,1147.05735,0
IMPP.US,D,20220107,000000,34.1188,34.4983,31.0484,31.7984,785.10592,0
IMPP.US,D,20220110,000000,33.8983,33.8983,28.7986,30.2985,2490.59119,0
IMPP.US,D,20220111,000000,32.2484,32.7089,28.9486,31.9334,2107.10535,0
IMPP.US,D,20220112,000000,30.555,33.7468,29.5485,29.9985,2166.17497,0
IMPP.US,D,20220113,000000,29.6985,30.7485,29.3985,30.6015,690.30118,0
IMPP.US,D,20220114,000000,30.1485,30.1485,28.4986,29.0985,1264.12987,0
IMPP.US,D,20220118,000000,29.0985,31.3484,28.4986,31.3484,822.57446,0
IMPP.US,D,20220119,000000,30.4485,30.4485,27.1486,28.4986,547.76072,0
IMPP.US,D,20220120,000000,28.6231,29.2485,27.7486,27.7486,739.03695,0
IMPP.US,D,20220121,000000,23.3988,25.4987,20.999,22.4989,5687.88438,0
IMPP.US,D,20220124,000000,21.2404,22.4989,20.249,20.699,5515.74244,0
IMPP.US,D,20220125,000000,20.699,21.3739,20.399,20.399,1552.94431,0
IMPP.US,D,20220126,000000,20.399,20.999,19.499,19.499,1595.87979,0
IMPP.US,D,20220127,000000,21.8989,35.3982,16.0492,17.3991,499578.11099,0
IMPP.US,D,20220128,000000,33.4483,51.7474,31.9484,32.6984,7012903.69432,0
IMPP.US,D,20220131,000000,15.7492,16.1992,14.2868,14.6993,1991150.15253,0
IMPP.US,D,20220201,000000,14.6243,14.6243,13.5008,14.0213,412150.73984,0
IMPP.US,D,20220202,000000,14.1743,14.1743,12.4494,12.7494,238107.43811,0
IMPP.US,D,20220203,000000,11.9514,12.4494,11.2794,11.6994,207811.45672,0
IMPP.US,D,20220204,000000,11.8494,12.7494,10.9945,11.3994,252545.09329,0
IMPP.US,D,20220207,000000,11.3829,11.9919,10.531,10.876,151991.33252,0
IMPP.US,D,20220208,000000,10.6495,10.651,9.75251,9.9115,136014.8004,0
IMPP.US,D,20220209,000000,9.46303,10.4245,9.29954,9.89351,145423.47081,0
IMPP.US,D,20220210,000000,10.0495,10.0495,9.47953,9.60102,83497.77468,0
IMPP.US,D,20220211,000000,9.59952,9.82451,8.85706,9.29954,115729.65286,0
IMPP.US,D,20220214,000000,9.50202,9.50202,8.71456,9.11354,71349.10061,0
IMPP.US,D,20220215,000000,9.11804,9.46453,8.78206,9.06255,49428.60464,0
IMPP.US,D,20220216,000000,8.99955,9.21704,8.24959,8.62457,66051.36907,0
IMPP.US,D,20220217,000000,8.51357,8.99804,7.78161,7.87461,72633.36482,0
IMPP.US,D,20220218,000000,7.9466,7.9496,7.21614,7.35863,74205.77677,0
IMPP.US,D,20220222,000000,10.288,12.8529,9.46453,11.9994,7606649.78014,0
IMPP.US,D,20220223,000000,15.4492,19.349,14.7008,16.9492,10866498.16441,0
IMPP.US,D,20220224,000000,25.1987,26.2487,18.8991,23.5488,6922598.97931,0
IMPP.US,D,20220225,000000,22.0489,33.5983,20.699,31.4984,8853121.56728,0
IMPP.US,D,20220228,000000,35.0982,42.2979,32.2484,35.5482,7139514.22453,0
IMPP.US,D,20220301,000000,33.4483,33.7483,21.7489,22.1989,2823512.03521,0
IMPP.US,D,20220302,000000,27.1486,32.5484,26.9987,30.8985,6015891.84622,0
IMPP.US,D,20220303,000000,36.1482,38.9981,29.3985,32.9984,7609887.67536,0
IMPP.US,D,20220304,000000,32.9984,51.5974,32.0984,50.6975,9880778.81424,0
IMPP.US,D,20220307,000000,70.1965,125.994,65.2467,112.494,14845482.57035,0
IMPP.US,D,20220308,000000,136.943,145.493,55.6472,63.7468,6924637.21455,0
IMPP.US,D,20220309,000000,67.6466,88.9456,64.7968,75.8962,5845015.36949,0
IMPP.US,D,20220310,000000,86.2457,92.8454,70.9465,74.8463,3523671.90812,0
IMPP.US,D,20220311,000000,65.8467,66.4467,53.2473,54.1473,1470043.63184,0
IMPP.US,D,20220314,000000,47.8476,61.3469,45.1477,51.5974,1603174.8214,0
IMPP.US,D,20220315,000000,47.9976,50.9975,39.148,40.948,1380316.07902,0
IMPP.US,D,20220316,000000,41.6979,46.4977,30.1485,30.5985,2241218.32198,0
IMPP.US,D,20220317,000000,36.4482,41.9979,33.7483,34.8733,4661309.78717,0
IMPP.US,D,20220318,000000,40.948,42.4479,33.7483,35.5482,2676030.19482,0
IMPP.US,D,20220321,000000,21.7489,23.3988,21.5989,22.4989,6465446.18948,0
IMPP.US,D,20220322,000000,23.6988,24.1488,21.5989,22.9489,2704581.02229,0
IMPP.US,D,20220323,000000,23.3988,31.6484,22.4989,31.4984,7768973.82927,0
IMPP.US,D,20220324,000000,29.8485,34.3483,26.6987,26.8487,6524691.28492,0
IMPP.US,D,20220325,000000,25.0487,28.6486,23.6988,25.7987,4352930.90233,0
IMPP.US,D,20220328,000000,23.8488,25.1987,22.6489,25.1987,2218141.23485,0
IMPP.US,D,20220329,000000,22.6489,23.6988,21.5989,23.0988,1995422.03278,0
IMPP.US,D,20220330,000000,25.6487,26.9987,23.3988,23.9988,3469399.79465,0
IMPP.US,D,20220331,000000,22.9489,23.2488,21.7489,21.7489,1633214.52331,0
IMPP.US,D,20220401,000000,21.1489,21.5989,19.649,19.799,1758203.2391,0
IMPP.US,D,20220404,000000,20.699,22.3489,20.399,21.7489,1805659.27845,0
IMPP.US,D,20220405,000000,21.2989,21.5989,20.249,20.399,1011259.16043,0
IMPP.US,D,20220406,000000,20.399,21.2989,19.349,19.649,1277944.16068,0
IMPP.US,D,20220407,000000,19.349,19.949,17.8491,18.1491,1204883.04114,0
IMPP.US,D,20220408,000000,17.5491,19.799,16.9492,18.8991,1220829.37175,0
IMPP.US,D,20220411,000000,17.3991,17.8491,16.6492,16.9492,641248.0608,0
IMPP.US,D,20220412,000000,18.5991,21.7489,18.1491,18.5991,3191812.58265,0
IMPP.US,D,20220413,000000,19.049,19.949,17.6991,19.199,1292211.274,0
IMPP.US,D,20220414,000000,18.5991,23.5488,17.6991,21.8989,4033351.45749,0
IMPP.US,D,20220418,000000,20.699,22.9489,19.799,20.399,3000670.15934,0
IMPP.US,D,20220419,000000,19.499,19.649,18.1491,18.7491,1282228.97491,0
IMPP.US,D,20220420,000000,18.7491,19.949,18.2991,18.5991,896867.77448,0
IMPP.US,D,20220421,000000,18.7491,19.499,16.4992,16.6492,1664669.02929,0
IMPP.US,D,20220422,000000,16.0492,16.7992,15.4492,16.0492,767694.24946,0
IMPP.US,D,20220425,000000,14.9963,15.4492,13.9643,14.6708,926718.46694,0
IMPP.US,D,20220426,000000,15.2992,16.3492,14.9993,14.9993,987876.85804,0
IMPP.US,D,20220427,000000,14.9993,14.9993,14.2493,14.3318,496205.07568,0
IMPP.US,D,20220428,000000,14.3618,15.4492,13.5293,15.1492,833495.47269,0
IMPP.US,D,20220429,000000,15.2992,15.8992,14.2493,14.3993,685412.46891,0
IMPP.US,D,20220502,000000,13.5593,14.0631,12.9234,13.1963,587656.38135,0
IMPP.US,D,20220503,000000,13.0508,14.3843,12.9744,13.5008,522925.4783,0
IMPP.US,D,20220504,000000,14.5493,15.8992,14.3993,15.5992,1635091.68383,0
IMPP.US,D,20220505,000000,15.1492,15.4492,13.5743,13.6508,1090240.5093,0
IMPP.US,D,20220506,000000,14.0363,14.4128,13.126,13.3508,524877.64257,0
IMPP.US,D,20220509,000000,13.0088,13.1243,11.5119,11.8569,529294.99676,0
IMPP.US,D,20220510,000000,11.5869,12.2049,10.4995,10.6345,518877.34257,0
IMPP.US,D,20220511,000000,10.7995,11.9994,10.204,10.312,763162.28954,0
IMPP.US,D,20220512,000000,9.79451,10.411,9.37303,10.0165,504003.06556,0
IMPP.US,D,20220513,000000,10.411,10.9045,9.86951,10.021,896348.68186,0
IMPP.US,D,20220516,000000,10.2145,13.3493,9.89951,11.4744,2600038.86211,0
IMPP.US,D,20220517,000000,6.45868,8.0696,6.43168,7.50712,10867094.39422,0
IMPP.US,D,20220518,000000,7.70961,7.70961,6.75266,6.95965,2893877.55331,0
IMPP.US,D,20220519,000000,6.77966,7.12314,6.45118,6.82916,2235829.85257,0
IMPP.US,D,20220520,000000,6.82616,6.91465,6.29969,6.39268,2225651.54368,0
IMPP.US,D,20220523,000000,6.45718,6.74966,5.84971,6.35668,2116216.80555,0
IMPP.US,D,20220524,000000,6.14369,6.20669,5.70571,5.77471,1396878.90712,0
IMPP.US,D,20220525,000000,5.9997,5.9997,5.69972,5.76871,1055892.99201,0
IMPP.US,D,20220526,000000,5.9037,6.32968,5.69972,5.9397,2183900.25622,0
IMPP.US,D,20220527,000000,6.21719,8.39958,5.9517,8.21959,7788932.7605,0
IMPP.US,D,20220531,000000,9.49303,9.59952,7.35113,7.72611,8695239.74025,0
IMPP.US,D,20220601,000000,7.57912,8.0996,7.12464,7.30163,3303799.98174,0
IMPP.US,D,20220602,000000,7.19964,8.0831,7.11714,7.84461,3429348.05883,0
IMPP.US,D,20220603,000000,7.64962,8.47458,7.34963,8.37558,3408880.83552,0
IMPP.US,D,20220606,000000,8.27659,8.91705,7.9526,8.0846,2694446.58226,0
IMPP.US,D,20220607,000000,7.9496,9.22604,7.75461,8.84956,5465745.07359,0
IMPP.US,D,20220608,000000,9.58452,13.1993,9.18704,11.2494,17177401.82715,0
IMPP.US,D,20220609,000000,11.7699,14.5493,11.3994,12.2994,15610564.82255,0
IMPP.US,D,20220610,000000,11.8329,13.7243,11.5494,13.2293,9041313.57641,0
IMPP.US,D,20220613,000000,11.1489,13.0343,10.342,11.8044,11420499.52976,0
IMPP.US,D,20220614,000000,12.2274,12.9744,9.16004,9.34003,9083918.37321,0
IMPP.US,D,20220615,000000,9.00855,9.03705,7.75461,8.16109,5584999.30267,0
IMPP.US,D,20220616,000000,7.80111,8.92455,7.04965,8.17459,5657572.73116,0
IMPP.US,D,20220617,000000,8.93955,8.94554,7.87611,8.18959,2821497.26781,0
IMPP.US,D,20220621,000000,8.29909,8.69957,8.0396,8.24959,2179719.38052,0
IMPP.US,D,20220622,000000,7.51462,7.9496,7.49963,7.67662,2447250.3564,0
IMPP.US,D,20220623,000000,7.49963,7.64962,7.19964,7.37963,1730791.2019,0
IMPP.US,D,20220624,000000,7.28964,8.21959,7.28964,7.67962,2632387.54613,0
IMPP.US,D,20220627,000000,7.9316,8.31708,7.61962,7.79961,2116656.96089,0
IMPP.US,D,20220628,000000,7.9991,8.0096,7.45463,7.46663,1628681.49667,0
IMPP.US,D,20220629,000000,7.51462,7.55512,6.90265,7.04965,1276054.4662,0
IMPP.US,D,20220630,000000,6.61467,6.89816,6.29969,6.30118,1550903.5413,0
IMPP.US,D,20220701,000000,6.67467,6.69717,6.29969,6.50217,724675.16528,0
