<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STSB.US,D,20241127,000000,25.64,25.64,25.6144,25.6144,3523,0
STSB.US,D,20241206,000000,25.7829,25.81,25.7829,25.7852,6393,0
STSB.US,D,20241211,000000,25.62,25.63,25.5837,25.5837,1104,0
STSB.US,D,20241213,000000,25.43,26.4699,25.4146,25.4146,8711,0
STSB.US,D,20241216,000000,25.55,25.55,25.4686,25.4686,6246,0
STSB.US,D,20241218,000000,25.29,25.29,24.5341,24.5341,2720,0
STSB.US,D,20241220,000000,24.81,24.81,24.7342,24.7342,510,0
STSB.US,D,20241223,000000,24.81,24.8208,24.81,24.8208,10915,0
STSB.US,D,20241224,000000,25.01,25.0333,25.01,25.0333,2166,0
STSB.US,D,20241226,000000,25.07,25.09,25.0562,25.0562,581,0
STSB.US,D,20241227,000000,24.97,24.97,24.813,24.813,4790,0
STSB.US,D,20241230,000000,24.45,24.4957,24.38,24.4957,714,0
STSB.US,D,20241231,000000,24.55,24.55,24.4166,24.4166,111,0
STSB.US,D,20250102,000000,24.42,24.42,24.33,24.3826,860,0
STSB.US,D,20250106,000000,24.7,24.7,24.6906,24.6906,100,0
STSB.US,D,20250107,000000,24.62,24.62,24.5468,24.5468,2230,0
STSB.US,D,20250108,000000,24.59,24.631,24.59,24.631,1902,0
STSB.US,D,20250113,000000,24.1,24.2404,24.1,24.2404,13642,0
STSB.US,D,20250114,000000,24.39,24.39,24.3683,24.3683,21068,0
STSB.US,D,20250116,000000,24.86,24.86,24.8256,24.8256,100,0
STSB.US,D,20250117,000000,24.95,25.03,24.46,24.9991,27001,0
STSB.US,D,20250122,000000,25.5,25.52,25.45,25.475,5703,0
STSB.US,D,20250130,000000,25.44,25.47,25.44,25.4579,20046,0
STSB.US,D,20250131,000000,25.58,25.58,25.345,25.345,101,0
STSB.US,D,20250203,000000,25.19,25.225,25.19,25.225,100,0
STSB.US,D,20250204,000000,25.15,25.1922,25.15,25.1922,529,0
STSB.US,D,20250210,000000,25.31,25.4,25.31,25.3601,2610,0
STSB.US,D,20250211,000000,25.36,25.36,25.3433,25.3433,100,0
STSB.US,D,20250218,000000,25.4893,25.5447,25.4893,25.5447,210,0
STSB.US,D,20250221,000000,25.21,25.21,25.0196,25.0196,398,0
STSB.US,D,20250224,000000,25.115,25.115,25.115,25.115,795,0
STSB.US,D,20250225,000000,25.0117,25.0117,24.9694,24.9694,274,0
STSB.US,D,20250226,000000,25.02,25.02,24.9992,24.9992,132,0
STSB.US,D,20250227,000000,25.07,25.07,24.6965,24.6965,1312,0
STSB.US,D,20250228,000000,24.7998,25.006,24.7998,25.006,102,0
STSB.US,D,20250303,000000,25.13,25.13,24.7132,24.7132,405,0
STSB.US,D,20250304,000000,24.68,24.68,24.4724,24.4724,444,0
STSB.US,D,20250305,000000,24.51,24.7003,24.51,24.7003,305,0
STSB.US,D,20250306,000000,24.29,24.29,24.2645,24.2645,467,0
STSB.US,D,20250307,000000,24.25,24.4131,24.25,24.4131,401,0
STSB.US,D,20250310,000000,24.03,24.03,23.8653,23.8653,750,0
STSB.US,D,20250311,000000,23.66,23.67,23.46,23.6101,675,0
STSB.US,D,20250314,000000,23.75,23.7784,23.75,23.7784,272,0
STSB.US,D,20250317,000000,23.96,24.0906,23.96,24.0906,291,0
STSB.US,D,20250319,000000,24.25,24.25,24.1309,24.1309,278,0
STSB.US,D,20250321,000000,23.9,23.9,23.8856,23.8856,640,0
STSB.US,D,20250325,000000,24.3,24.3,24.2708,24.2708,4986,0
STSB.US,D,20250327,000000,24.02,24.04,23.9891,23.9891,581,0
STSB.US,D,20250331,000000,23.72,23.72,23.7106,23.7106,423,0
STSB.US,D,20250402,000000,23.81,23.9337,23.81,23.9337,448,0
STSB.US,D,20250403,000000,23.07,23.07,22.9171,22.9171,103,0
STSB.US,D,20250404,000000,22.13,22.13,21.66,21.66,1285,0
