<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NTWO.US,D,20241230,000000,9.9,9.9,9.9,9.9,126149,0
NTWO.US,D,20241231,000000,9.94,9.94,9.9,9.9,7502,0
NTWO.US,D,20250102,000000,9.94,9.97,9.94,9.97,556,0
NTWO.US,D,20250106,000000,9.94,9.94,9.93,9.93,1594133,0
NTWO.US,D,20250107,000000,9.93,9.93,9.9,9.9,12426,0
NTWO.US,D,20250108,000000,9.9,9.92,9.9,9.92,13669,0
NTWO.US,D,20250110,000000,9.91,9.92,9.9,9.92,444331,0
NTWO.US,D,20250114,000000,9.93,9.93,9.93,9.93,51963,0
NTWO.US,D,20250115,000000,9.92,9.935,9.92,9.93,118551,0
NTWO.US,D,20250116,000000,9.92,9.93,9.92,9.93,57483,0
NTWO.US,D,20250117,000000,9.94,9.94,9.935,9.935,68036,0
NTWO.US,D,20250121,000000,9.94,9.94,9.94,9.94,53353,0
NTWO.US,D,20250122,000000,9.9387,9.94,9.9381,9.94,60654,0
NTWO.US,D,20250123,000000,9.94,9.94,9.93,9.935,51047,0
NTWO.US,D,20250124,000000,9.94,9.94,9.93,9.94,25089,0
NTWO.US,D,20250127,000000,9.94,9.94,9.93,9.94,29885,0
NTWO.US,D,20250128,000000,9.935,9.94,9.93,9.94,15019,0
NTWO.US,D,20250129,000000,9.94,9.95,9.93,9.95,520162,0
NTWO.US,D,20250130,000000,9.9491,10,9.945,10,40628,0
NTWO.US,D,20250203,000000,10.02,10.02,10.01,10.02,18802,0
NTWO.US,D,20250204,000000,10,10,9.98,9.99,81047,0
NTWO.US,D,20250207,000000,9.99,9.99,9.99,9.99,27425,0
NTWO.US,D,20250210,000000,9.985,9.99,9.985,9.99,38793,0
NTWO.US,D,20250213,000000,9.9979,9.9982,9.995,9.9982,673,0
NTWO.US,D,20250218,000000,10,10,10,10,6239,0
NTWO.US,D,20250221,000000,10.01,10.01,10.01,10.01,1324,0
NTWO.US,D,20250224,000000,10.07,10.07,10.05,10.05,1281,0
NTWO.US,D,20250225,000000,10.02,10.02,10.015,10.015,721,0
NTWO.US,D,20250227,000000,10.01,10.0151,10,10.01,216054,0
NTWO.US,D,20250228,000000,10.01,10.0104,10.01,10.0104,385,0
NTWO.US,D,20250304,000000,10.01,10.01,10.01,10.01,706,0
NTWO.US,D,20250305,000000,10.01,10.01,10.01,10.01,855,0
NTWO.US,D,20250307,000000,10.02,10.0211,10.02,10.0211,9497,0
NTWO.US,D,20250310,000000,10.03,10.03,10.01,10.01,5235,0
NTWO.US,D,20250312,000000,10.03,10.03,10.0165,10.0165,1280,0
NTWO.US,D,20250313,000000,10.03,10.03,10.0298,10.03,7869,0
NTWO.US,D,20250318,000000,10.02,10.02,10.02,10.02,4624,0
NTWO.US,D,20250319,000000,10.05,10.05,10.05,10.05,251,0
NTWO.US,D,20250321,000000,10.02,10.02,10.02,10.02,200,0
NTWO.US,D,20250325,000000,10.05,10.05,10.05,10.05,1500,0
NTWO.US,D,20250327,000000,10.05,10.05,10.05,10.05,650,0
NTWO.US,D,20250331,000000,10.06,10.06,10.06,10.06,186,0
NTWO.US,D,20250401,000000,10.0612,10.0612,10.0612,10.0612,1386,0
NTWO.US,D,20250403,000000,10.06,10.07,10.06,10.07,35019,0
NTWO.US,D,20250407,000000,10.06,10.06,10.0598,10.06,2473065,0
NTWO.US,D,20250408,000000,10.06,10.06,10.06,10.06,2026,0
NTWO.US,D,20250409,000000,10.07,10.07,10.06,10.06,32991,0
NTWO.US,D,20250410,000000,10.07,10.07,10.07,10.07,506,0
